"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output http1/Http-1569171834-50-macsec-aesgcm-we-frag-1500-hB5-dstat.csv",,,,"Date:","22 Sep 2019 22:38:03 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.934,3.240,88.097,4.729,0,13974.025,31288654.333,0,0,0,0,16775.184,24160.337
0,0,100,0,0,0,0,502,759,0,0,187,118
0,0,100,0,0,0,0,0,0,0,0,54,42
0,0,100,0,0,0,0,127,0,0,0,43,25
0,0,100,0,0,0,0,147,0,0,0,67,61
4.010,2.506,93.484,0,0,0,36864,55010743,924049,0,0,10276,17645
5.303,3.788,90.909,0,0,0,4096,86868540,1474332,0,0,16092,27980
4.304,4.304,91.392,0,0,0,0,83966498,1423948,0,0,15415,26740
3.618,2.842,93.282,0.258,0,0,0,82607822,1390142,0,0,15261,26273
2.828,2.057,95.116,0,0,0,0,63009804,1056984,0,0,11366,19863
4.293,4.293,91.414,0,0,0,0,81647434,1374242,0,0,15036,25913
1.804,2.835,95.361,0,0,0,16384,62971387,1059446,0,0,11738,19996
2.290,1.781,95.929,0,0,0,0,49222441,835916,0,0,9117,15767
2.538,1.523,95.939,0,0,0,0,47633960,790327,0,0,8733,14789
4.082,3.571,92.347,0,0,0,0,80184368,1352340,0,0,14655,25456
3.351,3.351,93.299,0,0,0,12288,82074630,1391246,0,0,15127,26190
3.359,3.101,93.540,0,0,0,28672,78748604,1319470,0,0,14375,24814
4.557,3.797,91.646,0,0,0,0,82564460,1395778,0,0,15108,26402
4.071,4.326,91.603,0,0,0,0,86333742,1462174,0,0,15976,27562
4.835,3.817,91.349,0,0,0,0,87236314,1483764,0,0,16208,27892
5.089,3.053,91.858,0,0,0,0,84287698,1430606,0,0,15605,26840
3.581,3.581,92.583,0.256,0,0,16384,81417776,1381536,0,0,15223,26058
2.558,3.069,94.373,0,0,0,0,64940216,1090650,0,0,11794,20402
4.071,4.071,91.858,0,0,0,0,84266820,1427758,0,0,15450,26952
4.293,4.040,91.667,0,0,0,0,79651176,1344250,0,0,14791,25383
3.817,3.562,92.621,0,0,0,131072,76302666,1277726,0,0,13907,23872
2.813,3.325,93.862,0,0,0,16384,70164534,1192668,0,0,12929,22387
3.618,2.842,93.540,0,0,0,0,80335459,1354038,0,0,14869,25559
3.351,3.093,93.557,0,0,0,0,79065133,1323708,0,0,14606,25025
3.342,3.085,90.488,3.085,0,0,24334336,75830502,1271719,0,0,14171,23987
3.109,3.368,87.047,6.477,0,0,60817408,84053222,1420224,0,0,15510,26848
3.368,3.109,81.347,12.176,0,0,165752832,78303742,1312752,0,0,14606,24638
3.085,3.085,84.833,8.997,0,0,169082880,66477158,1129734,0,0,12623,21282
