"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output http1/Http-1569171834-50-macsec-chachapoly-we-1500-1464-hB5-dstat.csv",,,,"Date:","23 Sep 2019 01:59:39 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.535,3.451,86.622,5.392,0,26018.369,35405853.986,0,0,0,0,19660.924,28462.067
0.250,0,99.750,0,0,0,0,502,297,0,0,202,107
0,0,100,0,0,0,0,0,612,0,0,71,65
0,0,100,0,0,0,0,127,0,0,0,56,53
0,0,100,0,0,0,0,147,0,0,0,57,43
4.822,2.538,92.640,0,0,0,36864,87618508,390709,0,0,3295,5978
5.598,4.835,89.567,0,0,0,0,123348126,543456,0,0,4426,8089
4.639,4.639,90.722,0,0,0,0,123367860,547384,0,0,4388,8134
6.107,4.326,89.567,0,0,0,0,123398220,545376,0,0,4435,8101
5.867,4.337,89.796,0,0,0,0,123373932,545476,0,0,4393,8144
5.128,4.615,90,0.256,0,0,12288,123355716,550134,0,0,4431,8091
6.138,3.836,90.026,0,0,0,0,123349771,547706,0,0,4403,8163
6.122,4.082,89.796,0,0,0,0,123395331,549416,0,0,4426,8097
5.656,4.113,90.231,0,0,0,0,123376968,549651,0,0,4390,8146
5.867,4.337,89.796,0,0,0,0,123369378,544328,0,0,4417,8079
5.357,5.102,89.541,0,0,0,12288,123304104,544634,0,0,4409,8092
5.398,4.113,90.231,0.257,0,0,0,123370896,550034,0,0,4394,8141
5.412,3.866,90.722,0,0,0,0,123398220,545694,0,0,4401,8072
5.195,3.636,91.169,0,0,0,0,123369378,545158,0,0,4379,8142
5.943,3.618,79.070,11.370,0,0,88784896,123349644,546224,0,0,4783,8224
6.870,3.817,69.720,19.593,0,0,132911104,120180060,528410,0,0,4447,8117
6.015,4.511,71.178,18.296,0,0,162856960,121862004,534458,0,0,4564,8345
5.570,3.544,70.127,20.759,0,0,164364288,123334464,545264,0,0,4590,8287
3.562,2.036,78.372,16.031,0,0,167772160,74465436,328594,0,0,2913,5000
4.337,8.929,86.735,0,0,0,6291456,92375197,412186,0,0,3540,6374
6.091,4.569,89.340,0,0,0,69632,123372414,543892,0,0,4427,8105
6.154,3.590,90.256,0,0,0,0,123355716,543356,0,0,4398,8131
5.641,4.103,90.256,0,0,0,0,123372541,545058,0,0,4401,8080
5.627,4.348,90.026,0,0,0,0,123395331,548978,0,0,4426,8155
5.897,4.103,90,0,0,0,0,123372414,547207,0,0,4423,8085
4.859,5.115,89.770,0.256,0,0,12288,123348126,545688,0,0,4393,8133
4.897,4.381,90.722,0,0,0,0,123373932,544434,0,0,4420,8084
