"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output http1/Http-1569171834-50-macsec-morus640-e-1500-1464-hB5-dstat.csv",,,,"Date:","23 Sep 2019 03:10:12 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.481,3.484,86.456,5.580,0,23201.260,36912979.754,0,0,0,0,18051.326,26389.460
0.499,0,99.501,0,0,0,0,147,0,0,0,195,91
0,0,100,0,0,0,0,502,612,0,0,67,52
0,0,100,0,0,0,0,127,0,0,0,49,43
0,0,99.750,0.250,0,0,0,0,0,0,0,62,49
2.799,3.053,94.148,0,0,0,36864,88777766,405284,0,0,3293,6022
3.333,4.615,92.051,0,0,0,0,123372414,559462,0,0,4406,8050
3.866,3.608,92.526,0,0,0,0,123369378,557560,0,0,4378,8115
3.866,3.866,92.268,0,0,0,0,123373932,558402,0,0,4407,8063
4.082,4.337,91.582,0,0,0,0,123372414,558620,0,0,4381,8101
3.836,4.859,91.304,0,0,0,12288,123366342,559054,0,0,4394,8034
5.063,4.051,90.886,0,0,0,0,123371023,557136,0,0,4391,8111
4.103,3.846,92.051,0,0,0,0,123372414,559144,0,0,4408,8061
4.337,4.337,91.327,0,0,0,0,123377115,559144,0,0,4404,8049
3.827,4.592,91.582,0,0,0,0,123372414,560104,0,0,4387,8122
3.093,4.381,92.268,0.258,0,0,12288,123369378,557554,0,0,4396,8053
3.856,4.113,92.031,0,0,0,0,123366342,559998,0,0,4397,8127
3.333,4.615,92.051,0,0,0,12288,123373932,559462,0,0,4401,8059
3.093,4.381,92.526,0,0,0,0,123361788,558938,0,0,4382,8103
3.856,4.370,80.463,11.311,0,0,88723456,123370896,556918,0,0,4777,8201
4.113,4.113,74.036,17.738,0,0,130875392,120134520,541660,0,0,4444,8186
5.089,3.817,76.336,14.758,0,0,96477184,123372414,557024,0,0,4523,8124
4.337,4.847,72.194,18.622,0,0,131387392,123378486,557772,0,0,4556,8187
2.785,8.861,77.215,11.139,0,0,95162368,76245443,347938,0,0,3071,5478
3.553,5.330,91.117,0,0,0,0,123375450,558520,0,0,4496,7956
4.145,3.109,92.746,0,0,0,65536,123369378,557554,0,0,4431,8050
3.856,3.856,92.288,0,0,0,0,123370896,559362,0,0,4384,8115
4.359,3.846,91.795,0,0,0,0,123372541,558508,0,0,4407,8055
4.071,4.580,91.349,0,0,0,0,123375450,558932,0,0,4406,8063
4.103,4.103,91.795,0,0,0,0,123371043,557882,0,0,4393,8129
3.093,4.381,92.526,0,0,0,12288,123373932,559250,0,0,4392,8066
3.827,4.847,91.327,0,0,0,0,123372414,557772,0,0,4383,8102
3.342,4.370,92.288,0,0,0,0,123372414,559038,0,0,4402,8055
4.348,4.092,91.560,0,0,0,0,123370896,558938,0,0,4375,8105
