"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output http1/Http-1569171834-50-orig-1464-hB5-dstat.csv",,,,"Date:","22 Sep 2019 19:53:15 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.696,2.085,93.363,2.855,0,24457.059,20940108.788,0,0,0,0,5994.481,9807.693
0.249,0,99.751,0,0,0,0,0,714,0,0,205,122
0,0,100,0,0,0,0,123,0,0,0,50,35
0,0.249,99.751,0,0,0,0,143,123,0,0,71,59
0,0,100,0,0,0,0,0,143,0,0,64,51
2.806,3.316,93.878,0,0,0,45056,88711652,386258,0,0,3288,5731
4.082,4.592,91.327,0,0,0,0,123372832,529500,0,0,4403,8048
4.071,5.089,90.840,0,0,0,0,123366776,529992,0,0,4387,8132
4.592,4.082,91.327,0,0,0,0,123368290,529194,0,0,4413,8067
3.876,3.876,92.248,0,0,0,0,123356178,532032,0,0,4383,8112
5.063,4.304,90.380,0.253,0,0,28672,123374469,529606,0,0,4418,8081
3.846,4.359,91.795,0,0,0,0,123366919,531645,0,0,4386,8119
4.370,3.856,91.774,0,0,0,0,123368290,529439,0,0,4420,8075
3.836,4.859,91.304,0,0,0,0,123368290,531120,0,0,4398,8055
4.082,4.592,91.327,0,0,0,0,123369804,530196,0,0,4387,8109
3.846,4.359,91.538,0.256,0,0,12288,123366776,530622,0,0,4412,8054
4.615,3.846,91.538,0,0,0,0,123371318,532542,0,0,4395,8110
3.836,4.604,91.560,0,0,0,0,123366776,531336,0,0,4401,8059
3.827,5.102,91.071,0,0,0,0,123369804,531420,0,0,4374,8102
4.103,4.615,80.769,10.513,0,0,80470016,123366776,531528,0,0,4762,8191
4.293,4.798,73.737,17.172,0,0,120422400,112338800,474300,0,0,4132,7579
4.859,4.092,76.726,14.322,0,0,102842368,123365262,530928,0,0,4535,8092
4.145,3.886,75.130,16.839,0,0,125829120,123371318,531522,0,0,4539,8164
4.271,10.050,77.136,8.543,0,0,71311360,92813725,635636,0,0,6145,11498
6.533,5.025,88.191,0.251,0,0,0,123366776,2045256,0,0,21021,39111
6.045,5.793,88.161,0,0,0,53248,123362234,2039124,0,0,20649,39961
7.268,4.762,87.970,0,0,0,0,123371441,2040126,0,0,20700,39858
6.266,5.514,88.221,0,0,0,0,123368433,2038695,0,0,20591,40143
7.018,5.263,87.719,0,0,0,0,123366776,2040479,0,0,20729,39935
6.983,5.736,87.282,0,0,0,0,123368290,2038474,0,0,20566,40132
6.767,5.514,87.719,0,0,0,12288,123371318,2040240,0,0,20704,39859
6.030,5.528,88.442,0,0,0,0,123368290,2040240,0,0,20699,39843
6.516,5.514,87.970,0,0,0,0,123368290,2038674,0,0,20600,40138
6.566,4.798,88.636,0,0,0,0,123369804,2040138,0,0,20689,39839
6.733,5.486,87.781,0,0,0,0,123368290,2038470,0,0,20580,40124
6.750,5.250,87.750,0.250,0,0,12288,123366776,2040240,0,0,20705,39860
7.250,5,87.750,0,0,0,0,123369804,2038674,0,0,20601,40143
5.823,5.316,87.089,1.772,0,0,16785408,123368290,2039004,0,0,20730,39830
6.784,5.528,75.879,11.809,0,0,125865984,123368290,2034732,0,0,20897,39695
7.250,5.250,71,16.500,0,0,144707584,123359206,2033166,0,0,20799,39990
5.514,5.013,67.669,21.805,0,0,167809024,118629470,683928,0,0,6347,11495
4.103,4.615,72.821,18.462,0,0,169082880,123371318,532338,0,0,4552,8180
1.523,7.614,81.726,9.137,0,0,88866816,48760794,212894,0,0,2109,3650
4.822,4.315,90.863,0,0,0,0,123372832,533682,0,0,4423,7970
