"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","test1-HP-ProDesk-600-G1-TWR",,,,"User:","root"
"Cmdline:","dstat -N eno1,macsec0--noheaders --output http1/Http-1569171834-50-orig-jumbo-without-encryption-1500-hB5-dstat.csv",,,,"Date:","22 Sep 2019 20:44:50 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.729,2.693,90.882,3.696,0,19717.960,25755408.095,0,0,0,0,10107.736,15328.562
0,0,100,0,0,0,0,494,600,0,0,1073,140
0,0,100,0,0,0,0,123,0,0,0,1034,47
0,0,100,0,0,0,0,0,123,0,0,1040,53
0,0,100,0,0,0,0,143,143,0,0,1039,49
11.616,5.808,82.576,0,0,0,40960,88756611,2916896,0,0,58709,110014
15.404,9.091,75.505,0,0,0,0,123403250,4060416,0,0,80876,155063
15.522,8.397,76.081,0,0,0,0,123380102,4044912,0,0,80923,154537
15.090,8.440,76.471,0,0,0,0,123406350,4048458,0,0,80950,145076
15.404,8.838,75.758,0,0,0,0,123406350,4060314,0,0,80826,97735
15.327,8.794,75.628,0.251,0,0,16384,123406473,4045198,0,0,80811,43765
15.152,9.091,75.758,0,0,0,0,123404800,4060437,0,0,80709,44059
15.113,9.068,75.819,0,0,0,0,123406493,4045235,0,0,80798,43836
15.327,9.045,75.628,0,0,0,0,123406350,4044990,0,0,80806,43923
14.861,9.320,75.819,0,0,0,0,123404800,4060416,0,0,80708,44524
16.080,8.291,75.628,0,0,0,16384,123404800,4044888,0,0,80798,43970
15.617,9.068,75.315,0,0,0,0,123407900,4060314,0,0,80816,130057
15.190,8.861,75.949,0,0,0,0,123407900,4044810,0,0,80839,75059
15.152,8.838,76.010,0,0,0,0,123404800,4045194,0,0,80780,44041
15.152,9.343,65.404,10.101,0,0,83165184,123406350,4060416,0,0,81043,45056
15.113,9.068,51.134,24.685,0,0,169082880,122699652,3986442,0,0,80497,52171
15.267,7.888,50.127,26.718,0,0,164450304,117967502,3862230,0,0,77678,66945
15.327,9.548,51.005,24.121,0,0,166985728,123393950,4044582,0,0,80949,45183
11.558,11.558,62.563,14.322,0,0,101449728,84852948,2807402,0,0,57011,31298
15.013,8.651,76.336,0,0,0,0,123313554,4012176,0,0,81615,115471
16.414,8.081,75.505,0,0,0,77824,123406350,4059090,0,0,80847,108047
15.601,8.184,76.215,0,0,0,0,123390973,4049334,0,0,81006,154931
15.190,9.114,75.696,0,0,0,0,123406350,4060539,0,0,80793,140105
15.267,8.651,76.081,0,0,0,0,123406493,4049729,0,0,80960,120188
16.040,8.521,75.439,0,0,0,0,123407900,4049860,0,0,80960,60004
16.539,7.634,75.827,0,0,0,16384,123404800,4060212,0,0,80874,121562
16.121,8.060,75.567,0.252,0,0,0,123404800,4049742,0,0,81014,89829
15.482,8.629,75.888,0,0,0,0,123398600,4060314,0,0,80841,88206
15.443,8.861,75.696,0,0,0,0,123404800,4049472,0,0,81038,108042
15.522,8.397,76.081,0,0,0,0,123406350,4049742,0,0,80948,156131
15.228,8.629,76.142,0,0,0,16384,123406350,4060314,0,0,80727,68177
15.327,9.045,75.628,0,0,0,0,123404800,4049730,0,0,80897,44343
14.758,8.906,73.028,3.308,0,0,23175168,123406350,4049664,0,0,81007,103225
15.424,8.226,58.612,17.738,0,0,132120576,123418750,4060824,0,0,80889,157371
16.497,7.868,56.853,18.782,0,0,131342336,123393950,4048938,0,0,81109,144336
15.482,9.137,51.015,24.365,0,0,168558592,123243600,4032162,0,0,80825,154268
15.443,8.608,26.582,49.367,0,0,167821312,119424400,3916644,0,0,78785,129398
0.759,0.759,49.114,49.367,0,0,169082880,7385167,243066,0,0,5946,9335
0.252,0,50.126,49.622,0,0,168558592,0,0,0,0,1196,231
0.251,0,50.125,49.624,0,0,167772160,0,0,0,0,1194,238
0.252,0,50.126,49.622,0,0,169082880,0,0,0,0,1197,248
0,0,50.253,49.747,0,0,168558592,0,0,0,0,1192,224
0.251,0,50.251,49.497,0,0,167772160,0,0,0,0,1195,237
0.252,0,50.126,49.622,0,0,169082880,0,0,0,0,1196,233
0,0,50.253,49.747,0,0,166461440,0,0,0,0,1193,244
2.513,5.779,56.030,35.678,0,0,128020480,18201981,614198,0,0,12980,7948
14.646,9.091,76.263,0,0,0,0,123122802,4037556,0,0,81060,74561
16.539,7.125,76.336,0,0,0,0,123403250,4054056,0,0,81036,155822
15.696,8.354,75.949,0,0,0,0,123400150,4060212,0,0,80774,109759
15.909,8.586,75.505,0,0,0,0,123407900,4054260,0,0,81256,152009
15.267,8.397,76.081,0.254,0,0,114688,123404800,4054224,0,0,81194,125490
15.736,8.376,75.888,0,0,0,0,123404800,4060416,0,0,80974,155223
16.031,7.379,76.590,0,0,0,0,123401700,4054008,0,0,80953,102930
14.899,9.596,75.505,0,0,0,0,123406473,4060518,0,0,80967,155955
15.113,9.068,75.819,0,0,0,0,123321100,4051389,0,0,80997,96024
15.443,8.608,75.949,0,0,0,16384,123404943,4054535,0,0,80865,48484
15.327,9.045,75.628,0,0,0,0,123404800,4060212,0,0,80716,54634
16.162,8.081,75.758,0,0,0,0,123497800,4057272,0,0,81235,129484
15.909,8.333,75.758,0,0,0,0,123314900,4057356,0,0,80840,75785
15.869,8.312,73.048,2.771,0,0,18980864,123406350,4054314,0,0,80908,48797
15.190,8.101,53.671,23.038,0,0,129273856,118681950,3875892,0,0,78251,140657
16.539,7.888,62.595,12.977,0,0,90996736,123407900,4060624,0,0,81123,154585
15.776,8.142,58.270,17.812,0,0,132124672,123496250,4057206,0,0,81308,108720
15.736,8.629,56.345,19.289,0,0,134221824,123318000,4057458,0,0,80993,79427
10.302,11.558,73.618,4.523,0,0,39845888,80503852,2630324,0,0,53676,30647
16.539,6.870,76.336,0.254,0,0,69632,123497800,4052700,0,0,81213,122338
15.578,9.045,75.377,0,0,0,0,123401700,4060314,0,0,80800,102743
16.285,7.634,76.081,0,0,0,0,123407900,4049484,0,0,81488,109475
15.617,8.816,75.567,0,0,0,0,123314900,4046592,0,0,81090,76255
15.696,8.608,75.696,0,0,0,0,123493150,4063272,0,0,81079,128024
16.327,7.398,76.276,0,0,0,16384,123407900,4049550,0,0,81203,150489
14.721,9.137,76.142,0,0,0,0,123400150,4060212,0,0,80858,156862
15.990,7.868,76.142,0,0,0,0,123411000,4049370,0,0,81045,142867
15.522,8.142,76.336,0,0,0,0,123401700,4049448,0,0,81105,155160
15.306,8.418,76.276,0,0,0,0,123406350,4060314,0,0,80852,156974
16.162,8.081,75.758,0,0,0,16384,123407900,4049742,0,0,81079,155994
15.267,8.397,76.336,0,0,0,0,123404800,4060212,0,0,80832,157411
16.625,7.557,75.819,0,0,0,0,123407900,4049766,0,0,80977,77960
15.909,8.333,66.414,9.343,0,0,75509760,123407900,4049550,0,0,81008,78981
15.152,9.343,60.101,15.404,0,0,113295360,123316450,4057560,0,0,80793,94209
16.414,7.828,51.010,24.747,0,0,169906176,123135100,4012434,0,0,80679,81085
16.368,7.928,38.363,37.340,0,0,165675008,123407900,4060212,0,0,81325,100403
9.548,6.030,35.930,48.492,0,0,165675008,77218867,2529660,0,0,51259,51408
0.252,0,50.126,49.622,0,0,167772160,0,0,0,0,1205,218
0.252,0,50.126,49.622,0,0,169082880,0,0,0,0,1198,248
0.252,0,52.897,46.851,0,0,167772160,0,0,0,0,1346,8745
0.253,0,54.177,45.570,0,0,167772160,0,0,0,0,1387,12409
0.503,0.251,53.518,45.729,0,0,161480704,0,0,0,0,1372,12207
0.252,0,53.904,45.844,0,0,167772160,0,0,0,0,1379,12351
0.253,0,53.788,45.960,0,0,168558592,0,0,0,0,1367,12452
0.253,0,54.040,45.707,0,0,167772160,0,0,0,0,1343,12407
7.868,7.614,67.259,17.259,0,0,69316608,57379883,1889378,0,0,38660,76872
15.816,7.908,76.276,0,0,0,0,123404800,4060416,0,0,80899,155587
15.949,8.101,75.949,0,0,0,0,123389402,4054128,0,0,81193,111482
15.443,8.354,76.203,0,0,0,0,123404800,4049754,0,0,80960,66169
16.121,8.060,75.567,0.252,0,0,0,123406350,4060110,0,0,80818,84216
15.949,8.354,75.696,0,0,0,118784,123404800,4048122,0,0,81288,133345
15.990,8.376,75.635,0,0,0,0,123496250,4063476,0,0,81074,151079
16.456,8.354,75.190,0,0,0,0,123406350,4049370,0,0,81554,147546
15.909,8.333,75.758,0,0,0,0,123392400,4049358,0,0,81277,93688
