"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat -N eth1,macsec0--noheaders --output final/iperf3-1571844895-100-macsec-aegis128l-e-1500-dstat.csv",,,,"Date:","24 Oct 2019 04:40:27 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eth1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.054,8.979,86.727,0.240,0,7559.688,40031.047,0,0,0,0,4688.833,8531.151
2.344,19.271,78.385,0,0,0,0,137802,17854820,0,0,3686,226
1.523,24.112,74.365,0,0,0,0,150042,20084654,0,0,3933,172
1.015,24.619,74.365,0,0,0,0,146166,20114934,0,0,3841,170
2.785,23.038,73.924,0.253,0,0,114688,144636,20084654,0,0,3798,214
4.315,21.320,74.365,0,0,0,8192,144024,20099794,0,0,3746,203
2.532,23.038,74.430,0,0,0,0,144534,20099794,0,0,3698,160
2.284,23.350,74.365,0,0,0,0,143922,20074300,0,0,3673,168
3.299,22.335,74.365,0,0,0,0,143106,20140428,0,0,3872,172
2.041,23.724,73.724,0.510,0,0,24576,136578,20365770,0,0,4280,240
1.039,25.195,73.766,0,0,0,0,122298,21043066,0,0,5535,280
3.815,5.450,90.736,0,0,0,0,47035,9193789,0,0,2150,336
2.918,21.220,75.862,0,0,0,0,91596,20919350,0,0,2852,167
0,26.509,73.491,0,0,0,0,91290,22242986,0,0,2924,135
0.262,26.247,73.228,0.262,0,0,81920,91494,22212706,0,0,2933,158
0.263,26.316,73.421,0,0,0,1089536,93228,22260910,0,0,2979,186
0.262,26.247,73.491,0,0,0,0,91596,22276050,0,0,2925,144
0.262,26.247,73.491,0,0,0,0,90168,22230386,0,0,2932,140
0.262,26.247,73.491,0,0,0,0,92106,22275268,0,0,2929,131
0.262,26.247,73.228,0.262,0,0,40960,90780,22262180,0,0,2946,186
0.262,26.247,73.491,0,0,0,0,91494,22231362,0,0,2922,125
3.377,16.364,80.260,0,0,0,0,91300,13642865,0,0,2657,309
3,22.250,74.750,0,0,0,0,144432,18571824,0,0,4055,188
2,23.250,74.750,0,0,0,0,158406,18496368,0,0,4100,170
3.500,21.750,74.250,0.500,0,0,81920,139955,18698756,0,0,3614,199
1.496,23.691,74.813,0,0,0,0,136986,18796922,0,0,3556,174
3.750,21.500,74.750,0,0,0,0,136578,18749988,0,0,3550,157
3,22.250,74.750,0,0,0,0,122400,18912474,0,0,3510,156
6,19.250,74.750,0,0,0,0,142188,18717099,0,0,3675,189
0.998,24.190,74.314,0.499,0,0,24576,143820,18739634,0,0,3655,173
0.250,25,74.750,0,0,0,0,153816,18757802,0,0,3599,149
2.757,19.048,78.195,0,0,0,32768,116900,13949318,0,0,3043,227
4.313,13.747,81.941,0,0,0,8192,106286,16071714,0,0,3136,300
0.775,25.323,73.902,0,0,0,0,98226,20956280,0,0,4544,251
1.031,25,70.361,3.608,0,0,90112,98736,20956768,0,0,4498,263
1.546,24.485,73.969,0,0,0,0,99042,20961310,0,0,4506,240
1.285,24.936,73.779,0,0,0,98304,100776,20699876,0,0,4565,355
1.036,24.611,74.352,0,0,0,0,98736,20732940,0,0,4421,219
2.046,24.552,73.402,0,0,0,0,100445,20724100,0,0,4438,260
1.031,25.258,73.454,0.258,0,0,40960,96594,20740510,0,0,4545,258
2.302,24.297,73.402,0,0,0,0,97512,20727128,0,0,4573,253
