"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat -N eth1,macsec0--noheaders --output final/iperf3-1571844895-100-macsec-aegis128l-we-1500-dstat.csv",,,,"Date:","24 Oct 2019 05:05:33 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eth1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.983,9.186,86.595,0.235,0,7308.878,39942.947,0,0,0,0,4637.727,8267.100
1.813,20.466,77.720,0,0,0,0,160650,18647180,0,0,3876,233
3.325,22.251,74.169,0.256,0,0,106496,163200,20802584,0,0,4312,216
1.777,24.619,73.604,0,0,0,0,160140,20955254,0,0,4516,220
2.308,23.333,74.359,0,0,0,0,160548,20924974,0,0,4576,208
0.769,24.872,74.359,0,0,0,0,157871,21057962,0,0,4792,225
1.285,24.422,74.293,0,0,0,0,156162,21142746,0,0,4783,178
0.773,25,74.227,0,0,0,0,152694,21258836,0,0,4990,203
1.292,24.548,73.902,0.258,0,0,24576,153714,21224258,0,0,5080,222
1.799,23.907,74.293,0,0,0,0,153306,21224641,0,0,4910,209
1.031,24.742,74.227,0,0,0,0,155958,21249996,0,0,4832,199
5.263,11.842,82.895,0,0,0,0,94874,11758558,0,0,2835,356
2.660,20.745,76.596,0,0,0,1392640,103326,21644362,0,0,3899,272
0.517,25.323,74.160,0,0,0,0,113220,21725930,0,0,4949,198
1.799,24.422,73.265,0.514,0,0,90112,110568,21715576,0,0,4836,215
1.289,24.485,74.227,0,0,0,0,112914,21707762,0,0,4897,212
1.034,25.065,73.902,0,0,0,0,114648,21715576,0,0,4950,227
0,25.840,74.160,0,0,0,90112,112506,21644662,0,0,4955,281
1.550,24.289,74.160,0,0,0,0,111282,21784732,0,0,5032,213
0.517,25.581,73.902,0,0,0,0,110466,21767052,0,0,4999,186
