"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat -N eth1,macsec0--noheaders --output final/iperf3-1571844895-100-macsec-aes-gcm-we-jumbo-MACsec-Ethernet-dstat.csv",,,,"Date:","24 Oct 2019 03:27:17 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eth1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.058,8.748,86.944,0.251,0,8400.038,40228.926,0,0,0,0,4661.241,8882.760
9.343,14.646,76.010,0,0,0,8192,348960,17543500,0,0,7899,19571
7,17.500,75.500,0,0,0,0,288966,17900758,0,0,8313,19793
7.268,17.794,74.937,0,0,0,0,308856,18496358,0,0,8670,20764
6.297,17.632,76.071,0,0,0,0,306654,17960420,0,0,8238,20074
7.519,17.544,74.937,0,0,0,0,317526,18546984,0,0,8534,20838
8.040,17.085,74.874,0,0,0,114688,317832,18555918,0,0,8567,20844
8.020,17.043,74.937,0,0,0,0,317934,18567830,0,0,8569,20846
7.268,17.794,74.937,0,0,0,0,318521,18576764,0,0,8584,20901
9.774,15.288,74.937,0,0,0,0,318036,18576764,0,0,8586,20876
7.035,18.090,74.874,0,0,0,0,317424,18520182,0,0,8570,20755
9.596,13.636,76.768,0,0,0,0,293041,13737258,0,0,6535,16420
7.481,17.207,74.813,0.499,0,0,81920,289752,17981547,0,0,8242,19847
7.018,18.045,74.937,0,0,0,0,309774,18430842,0,0,8472,20662
7.750,16.250,76,0,0,0,0,307608,17644752,0,0,8120,19952
11.055,13.065,75.879,0,0,0,0,288102,18151012,0,0,8349,19923
8.040,17.085,74.874,0,0,0,0,317424,18532094,0,0,8598,20849
6.750,18.250,74.500,0.500,0,0,24576,318036,18579742,0,0,8541,20843
9.023,16.291,74.687,0,0,0,0,318036,18567830,0,0,8613,20952
10.276,14.787,74.937,0,0,0,0,318546,18597610,0,0,8560,20873
8.772,16.291,74.937,0,0,0,0,318546,18612500,0,0,8576,20918
7.342,14.937,77.722,0,0,0,0,257937,13335033,0,0,6592,15757
6.983,17.706,75.062,0.249,0,0,81920,292116,17921604,0,0,8271,19879
8.020,16.291,75.689,0,0,0,0,309907,17784718,0,0,8328,20186
10.276,13.784,75.940,0,0,0,0,294038,17972332,0,0,8279,19925
7.035,17.839,75.126,0,0,0,0,299166,18562293,0,0,8629,20653
8.271,16.291,75.439,0,0,0,0,312198,18231316,0,0,8345,20420
9.296,15.829,74.623,0.251,0,0,24576,318240,18576764,0,0,8564,20908
6.767,18.296,74.937,0,0,0,0,318036,18576764,0,0,8584,20901
8.291,16.834,74.874,0,0,0,0,318546,18585698,0,0,8585,20926
8.772,16.291,74.937,0,0,0,0,318444,18600588,0,0,8589,20860
6.297,16.121,77.582,0,0,0,40960,240678,13418215,0,0,6587,15590
7.342,17.722,63.797,11.139,0,0,98304,358106,18529422,0,0,8480,21157
9.181,15.881,74.938,0,0,0,0,297318,18076562,0,0,8325,20044
11.250,14.250,74.500,0,0,0,0,315282,18514226,0,0,8594,20823
9.296,14.824,75.879,0,0,0,0,285942,18133144,0,0,8374,19836
11.809,13.317,74.874,0,0,0,98304,350904,18588778,0,0,8359,21258
8.229,17.207,74.065,0.499,0,0,24576,313956,18564852,0,0,8628,20922
8.728,15.711,75.561,0,0,0,0,280704,18153990,0,0,8246,19729
11.278,14.035,74.687,0,0,0,0,319362,18630368,0,0,8611,20932
8.521,16.541,74.937,0,0,0,0,318750,18600588,0,0,8568,20939
7.519,17.544,74.937,0,0,0,0,318648,18621434,0,0,8566,20918
7.538,14.824,77.387,0.251,0,0,24576,245384,12662107,0,0,6198,14926
8.020,17.043,74.937,0,0,0,0,306510,18463600,0,0,8545,20672
7.481,16.958,75.561,0,0,0,0,302886,17838322,0,0,8171,20042
8.040,17.085,74.874,0,0,0,0,316710,18484446,0,0,8552,20798
