"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat -N eth1,macsec0--noheaders --output final/iperf3-1571844895-100-macsec-aesgcm-e-dstat.csv",,,,"Date:","23 Oct 2019 21:28:45 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eth1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.969,7.915,87.802,0.314,0,13899.384,43100.198,0,0,0,0,4953.645,9001.058
8.354,15.190,76.456,0,0,0,0,340518,9663862,0,0,8754,20923
6.266,18.797,74.937,0,0,0,0,342312,10163482,0,0,9227,22722
8.772,16.291,74.436,0.501,0,0,106496,340782,10113520,0,0,9232,22633
9.524,15.539,74.937,0,0,0,0,340374,10101408,0,0,9198,22591
7.769,17.293,74.937,0,0,0,0,340782,10115034,0,0,9205,22583
9.975,15.461,74.564,0,0,0,0,337008,10062044,0,0,9313,22600
7.519,17.794,74.687,0,0,0,0,334560,10031764,0,0,9436,22629
8,17.250,74.750,0,0,0,794624,334050,10034792,0,0,9438,22678
7.018,18.296,74.436,0.251,0,0,40960,339456,10049932,0,0,9298,22589
7.268,17.794,74.937,0,0,0,0,345678,10083240,0,0,9190,22598
8.040,15.578,76.382,0,0,0,0,330156,7669423,0,0,7483,18450
7.731,18.204,74.065,0,0,0,0,375270,10261994,0,0,9337,22982
10.050,15.075,74.874,0,0,0,0,336804,10082109,0,0,9423,22613
8.271,16.792,74.937,0,0,0,0,334356,10039334,0,0,9427,22600
8.521,16.541,74.436,0.501,0,0,90112,341106,10025708,0,0,9423,22692
6.015,20.050,73.935,0,0,0,0,433602,10001586,0,0,9230,23881
7.750,18.500,73.750,0,0,0,0,461852,10038024,0,0,9126,24132
8.271,17.794,73.935,0,0,0,0,425236,10156014,0,0,9234,24016
8.081,17.677,74.242,0,0,0,0,449866,10192452,0,0,9239,24253
8.521,17.293,74.185,0,0,0,0,441284,9969792,0,0,9131,23980
9.572,12.594,77.582,0.252,0,0,24576,320966,7089038,0,0,7062,17395
8.020,17.043,74.937,0,0,0,0,340043,10080212,0,0,9248,22390
4.261,21.053,74.687,0,0,0,40960,350472,10045390,0,0,9252,22540
4.750,20.500,74.750,0,0,0,0,380058,9904588,0,0,9124,22910
8.312,17.884,73.804,0,0,0,0,493664,10622428,0,0,8927,24349
7.232,19.451,73.317,0,0,0,0,491466,10066790,0,0,9013,25927
7.035,18.342,74.121,0.503,0,0,81920,406512,9878952,0,0,9148,23596
6.767,19.298,73.935,0,0,0,0,494274,9933558,0,0,8891,25404
7.286,18.593,74.121,0,0,0,0,514784,9683646,0,0,8712,25111
7.769,17.794,74.436,0,0,0,0,444954,9685160,0,0,9003,24149
8.081,15.657,76.263,0,0,0,0,370949,7811832,0,0,7273,20011
6.266,19.549,74.185,0,0,0,0,407838,10322554,0,0,9450,23582
8.772,16.291,74.436,0.501,0,0,139264,342210,10163482,0,0,9270,22719
8.040,17.085,74.874,0,0,0,16384,340680,10110492,0,0,9247,22627
8.521,16.541,74.937,0,0,0,0,339966,10093838,0,0,9194,22563
9.524,15.539,74.937,0,0,0,0,339762,10087782,0,0,9186,22533
7.519,17.544,74.937,0,0,0,0,340068,10096866,0,0,9182,22563
10.302,14.824,74.874,0,0,0,0,333744,10002998,0,0,9412,22568
6.500,18.750,74.250,0.500,0,0,65536,335580,10024194,0,0,9408,22658
9.023,16.291,74.687,0,0,0,0,333438,10012501,0,0,9408,22559
9.524,15.539,74.937,0,0,0,0,335376,10057502,0,0,9408,22560
8.081,14.394,77.525,0,0,0,0,281257,7009320,0,0,6910,16612
7.519,17.544,74.937,0,0,0,0,341088,10083240,0,0,9267,22395
10.025,15.038,74.937,0,0,0,0,353940,10006026,0,0,9182,22629
6.784,18.342,74.623,0.251,0,0,98304,349656,10078698,0,0,9229,22564
9.273,15.789,74.937,0,0,0,0,389791,9721598,0,0,8979,23269
5.263,19.799,74.937,0,0,0,0,337518,10089296,0,0,9364,22598
9.524,15.539,74.937,0,0,0,0,336192,10048418,0,0,9439,22666
6.533,18.593,74.874,0,0,0,0,334764,10049932,0,0,9401,22638
8.020,18.296,73.684,0,0,0,8192,331806,9943952,0,0,9449,22572
7.500,17.500,74.500,0.500,0,0,65536,333540,9998456,0,0,9356,22668
7.731,18.953,73.317,0,0,0,0,328165,7517921,0,0,7446,18947
8,18.500,73.500,0,0,0,0,432014,10481626,0,0,9500,23934
9.023,16.792,74.185,0,0,0,0,396600,10299742,0,0,9310,23836
6.533,19.347,74.121,0,0,0,0,408546,10213546,0,0,9259,23352
6.750,18.500,74.750,0,0,0,0,339456,10074156,0,0,9173,22572
8.521,16.792,74.436,0.251,0,0,81920,338130,10040848,0,0,9194,22497
8.728,16.708,74.564,0,0,0,122880,339048,10062044,0,0,9194,22582
8.543,16.583,74.874,0,0,0,0,338844,10060530,0,0,9173,22500
6.767,18.296,74.937,0,0,0,0,339456,10077184,0,0,9145,22512
8.772,16.291,74.937,0,0,0,0,339150,10069614,0,0,9170,22497
8.291,15.578,76.131,0,0,0,0,316332,9027770,0,0,8346,20608
7.614,14.213,77.665,0.508,0,0,24576,274604,7512270,0,0,7314,17080
5.500,19.750,74.750,0,0,0,0,347514,10022680,0,0,9172,22460
8.291,16.834,74.874,0,0,0,0,354042,10007540,0,0,9152,22543
6.266,18.797,74.937,0,0,0,0,348534,10069614,0,0,9172,22453
7.500,17.750,74.750,0,0,0,0,386774,9733608,0,0,9017,23055
7.769,17.544,74.436,0.251,0,0,98304,334152,10069614,0,0,9379,22614
9.273,15.789,74.937,0,0,0,0,335274,10068100,0,0,9402,22540
7.268,17.794,74.937,0,0,0,0,347622,9987858,0,0,9364,22767
8.750,16.750,74.500,0,0,0,0,357366,9841936,0,0,9033,23011
9.273,15.789,74.937,0,0,0,0,338844,10054474,0,0,9167,22620
8.250,15,73.750,3,0,0,73728,318374,7295469,0,0,7170,18395
