"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat -N eth1,macsec0--noheaders --output final/iperf3-1571844895-100-macsec-aesgcm-e-jumbo-Ethernet-dstat.csv",,,,"Date:","24 Oct 2019 02:10:04 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eth1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.780,8.210,87.747,0.262,0,9516.658,40539.211,0,0,0,0,4419.779,8001.194
8.060,13.602,78.338,0,0,0,0,302736,9162050,0,0,8094,19479
6.566,15.404,78.030,0,0,0,0,313752,9597600,0,0,8418,20723
7.848,14.177,77.975,0,0,0,0,318138,9583650,0,0,8511,20796
5.316,16.456,78.228,0,0,0,0,309876,9636350,0,0,8563,20693
9.950,13.184,76.866,0,0,0,0,406204,9028852,0,0,8291,21325
6.784,16.834,75.628,0.754,0,0,114688,291414,10109202,0,0,8915,21318
7.268,15.789,76.942,0,0,0,1499136,312630,9763552,0,0,8701,21051
7.035,16.080,76.884,0,0,0,0,358456,9461200,0,0,8540,21652
6.835,14.937,78.228,0,0,0,0,312120,9568150,0,0,8544,20675
5.276,16.583,78.141,0,0,0,0,308652,9430303,0,0,8407,20396
8,13.500,78.250,0.250,0,0,40960,302868,6450407,0,0,6371,15602
7.731,15.461,76.808,0,0,0,57344,310386,9647200,0,0,8582,20837
8.060,14.106,77.834,0,0,0,0,315282,9572800,0,0,8548,20767
6.045,16.121,77.834,0,0,0,0,315078,9577450,0,0,8526,20767
8.564,13.854,77.582,0,0,0,0,303654,9676650,0,0,8663,20763
8.271,15.539,75.689,0.501,0,0,81920,387284,9563602,0,0,8634,22177
8.209,15.423,76.368,0,0,0,0,315282,9712300,0,0,8663,21010
6.188,17.574,76.238,0,0,0,0,314058,9579204,0,0,8562,20582
6.801,16.373,76.826,0,0,0,0,357026,9506150,0,0,8595,21784
