"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat -N eth1,macsec0--noheaders --output final/iperf3-1571844895-100-macsec-aesgcm-e-jumbo-dstat.csv",,,,"Date:","24 Oct 2019 00:26:58 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eth1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.806,8.507,87.407,0.280,0,9126.971,41400.010,0,0,0,0,4463.104,7737.051
8.838,15.404,75.758,0,0,0,0,340020,10014550,0,0,8834,22040
6.516,18.546,74.937,0,0,0,0,340884,10364850,0,0,9043,22583
8.521,16.541,74.937,0,0,0,0,339456,10304400,0,0,8944,22486
7.789,17.337,74.623,0.251,0,0,114688,338232,10279600,0,0,9008,22474
9.045,16.080,74.874,0,0,0,0,339456,10290450,0,0,8930,22472
8.772,16.291,74.937,0,0,0,0,338946,10287351,0,0,8969,22480
6.767,18.296,74.937,0,0,0,0,339864,10282700,0,0,8948,22452
8.543,16.583,74.874,0,0,0,0,339252,10287733,0,0,8937,22467
10.174,16.129,73.201,0.496,0,0,24576,401460,10239300,0,0,9013,23538
7.018,18.797,74.185,0,0,0,0,463885,10075205,0,0,8773,24100
8.816,13.854,77.330,0,0,0,0,312856,7724628,0,0,7188,16783
8.271,16.792,74.937,0,0,0,0,342006,10395850,0,0,9048,22669
7.268,17.794,74.937,0,0,0,0,339941,10319900,0,0,9011,22528
8.794,16.332,74.372,0.503,0,0,81920,339150,10307500,0,0,8974,22485
7.268,17.794,74.937,0,0,0,0,338946,10298200,0,0,8970,22455
6.767,18.296,74.937,0,0,0,0,339252,10316800,0,0,8942,22482
7.286,17.839,74.874,0,0,0,0,338844,10290450,0,0,8955,22503
6.516,18.546,74.937,0,0,0,0,339252,10315250,0,0,8979,22446
8.020,17.043,74.687,0.251,0,0,24576,338946,10293550,0,0,8962,22470
7.268,18.296,74.436,0,0,0,0,430614,10118502,0,0,8722,23389
6.818,15.404,77.778,0,0,0,0,316069,7487569,0,0,6922,17272
8.271,16.792,74.937,0,0,0,0,344148,10273400,0,0,9003,22389
