"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat -N eth1,macsec0--noheaders --output final/iperf3-1571844895-100-macsec-chachapoly-we-1500-dstat.csv",,,,"Date:","24 Oct 2019 03:51:26 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eth1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.143,8.881,86.731,0.245,0,8102.655,40156.832,0,0,0,0,4729.601,9094.595
7.988,4.142,87.870,0,0,0,0,305286,32314816,0,0,4693,527
3.385,3.385,93.231,0,0,0,0,298140,32307596,0,0,4500,419
4.294,3.067,92.638,0,0,0,0,301920,32937070,0,0,4593,415
3.951,3.951,92.097,0,0,0,0,302430,32938584,0,0,4589,375
3.988,3.374,92.331,0.307,0,0,114688,302940,32982490,0,0,4611,458
4.242,4.242,91.515,0,0,0,0,302226,32935556,0,0,4573,400
5.183,2.744,92.073,0,0,0,0,301308,32905276,0,0,4552,417
4.491,5.090,90.419,0,0,0,0,300798,32793240,0,0,4548,425
4.893,2.752,92.355,0,0,0,0,302430,32979462,0,0,4589,405
3.647,4.863,91.489,0,0,0,0,301410,32879538,0,0,4557,390
8.447,4.905,86.376,0.272,0,0,24576,171801,19543533,0,0,3369,514
5.952,4.762,89.286,0,0,0,0,303598,32758418,0,0,4540,426
3.738,2.181,94.081,0,0,0,0,299370,32706942,0,0,4549,416
2.181,3.427,94.393,0,0,0,0,297738,32560084,0,0,4504,380
2.469,4.630,92.901,0,0,0,0,298350,32622158,0,0,4545,388
3.406,3.406,92.879,0.310,0,0,81920,301740,32961294,0,0,4596,436
2.786,3.715,93.498,0,0,0,0,300594,32859856,0,0,4557,424
2.804,3.115,94.081,0,0,0,0,299982,32822006,0,0,4544,417
2.492,3.427,94.081,0,0,0,0,298860,32643354,0,0,4504,404
3.988,3.374,92.638,0,0,0,0,299166,32607018,0,0,4522,400
5.307,4.749,89.385,0.559,0,0,24576,210609,22458176,0,0,3726,527
7.101,4.438,88.462,0,0,0,0,300924,32121024,0,0,4638,462
4.615,3.077,92.308,0,0,0,679936,307734,33616856,0,0,4548,466
6.567,2.985,90.448,0,0,0,0,295494,32286050,0,0,4439,401
4.615,2.769,92.615,0,0,0,0,294576,32167958,0,0,4464,428
3.086,3.086,93.519,0.309,0,0,90112,309888,33774313,0,0,4716,436
4.587,3.670,91.743,0,0,0,0,290190,31698618,0,0,4398,413
2.484,3.727,93.789,0,0,0,98304,301206,32817464,0,0,4589,503
4.294,2.761,92.945,0,0,0,0,298554,32663036,0,0,4543,398
2.804,2.804,94.393,0,0,0,0,297942,32592261,0,0,4509,410
4.412,2.647,92.353,0.588,0,0,24576,233186,25136239,0,0,3807,438
7.736,5.444,86.819,0,0,0,0,244303,27427196,0,0,4201,460
4.505,4.805,90.691,0,0,0,57344,304033,32882668,0,0,4559,480
4.308,3.077,92.615,0,0,0,8192,300492,32811408,0,0,4561,418
3.704,3.086,93.210,0,0,0,0,298452,32607437,0,0,4533,398
1.887,3.145,90.566,4.403,0,0,90112,297468,32576738,0,0,4500,425
3.385,3.692,92.923,0,0,0,0,300900,32762960,0,0,4522,411
3.106,3.106,93.789,0,0,0,0,299472,32679690,0,0,4571,386
2.188,3.438,94.375,0,0,0,0,299472,32649410,0,0,4521,420
3.704,3.086,93.210,0,0,0,0,299472,32708456,0,0,4557,381
3.976,3.670,91.743,0.612,0,0,24576,300288,32747820,0,0,4561,400
5.510,8.264,86.226,0,0,0,0,187022,20267031,0,0,3455,462
7.207,3.003,89.790,0,0,0,0,303558,32786208,0,0,4598,514
5.120,3.916,90.964,0,0,0,0,302634,33014284,0,0,4599,417
6.024,3.313,90.663,0,0,0,0,301512,32856828,0,0,4567,381
3.692,3.385,92.615,0.308,0,0,90112,300594,32781128,0,0,4570,440
7.918,3.519,88.563,0,0,0,0,302328,32900734,0,0,4535,426
8.260,2.360,89.381,0,0,0,0,302022,32881052,0,0,4506,443
5.167,3.040,91.793,0,0,0,0,300900,32746306,0,0,4479,420
6.231,3.858,89.911,0,0,0,0,301716,32879538,0,0,4494,431
5.136,3.323,91.541,0,0,0,0,300798,32762960,0,0,4497,406
6.906,6.077,86.464,0.552,0,0,24576,207831,21644772,0,0,3662,524
6.765,3.235,90,0,0,0,0,271822,30767508,0,0,4197,435
6.805,3.846,89.349,0,0,0,0,303124,32915874,0,0,4510,444
7.440,2.381,90.179,0,0,0,0,301002,32806866,0,0,4499,444
5.389,4.192,90.419,0,0,0,0,301104,32808380,0,0,4498,403
4,3.077,92.308,0.615,0,0,81920,301206,32797782,0,0,4577,461
3.395,3.704,92.901,0,0,0,0,301410,32909818,0,0,4543,405
3.681,3.681,92.638,0,0,0,0,302328,33036994,0,0,4590,424
4.294,3.374,92.331,0,0,0,0,301512,32884080,0,0,4549,399
3.067,4.294,92.638,0,0,0,0,300186,32779614,0,0,4543,406
3.561,4.154,92.285,0,0,0,0,247682,26776301,0,0,3925,424
4.373,5.539,89.504,0.583,0,0,65536,249410,27058010,0,0,4102,535
5.152,3.636,91.212,0,0,0,0,301884,32747820,0,0,4525,420
3.106,3.106,93.789,0,0,0,0,300186,32776586,0,0,4531,409
5.455,3.333,91.212,0,0,0,0,300186,32762960,0,0,4521,389
2.786,3.715,93.498,0,0,0,0,298860,32649410,0,0,4540,412
3.406,3.406,92.879,0.310,0,0,147456,303896,32900734,0,0,4570,488
2.500,3.125,94.375,0,0,0,0,299574,32694830,0,0,4521,404
3.715,2.786,93.498,0,0,0,0,297738,32572196,0,0,4507,376
4.242,4.242,91.515,0,0,0,0,299982,32743278,0,0,4568,386
4.308,2.769,92.923,0,0,0,0,300696,32832604,0,0,4545,397
4.959,7.989,86.501,0.551,0,0,114688,178138,20400506,0,0,3517,537
5.471,3.040,91.489,0,0,0,16384,306434,32697858,0,0,4548,467
3.427,2.492,94.081,0,0,0,0,302022,32871968,0,0,4586,410
6.269,3.582,90.149,0,0,0,0,300798,32855314,0,0,4541,433
3.448,1.567,94.984,0,0,0,0,299778,32652438,0,0,4559,391
2.484,3.727,93.168,0.621,0,0,106496,312630,34061972,0,0,4730,428
5.758,3.030,91.212,0,0,0,0,291414,31786430,0,0,4427,406
2.188,3.438,94.375,0,0,0,0,299472,32691802,0,0,4517,417
3.715,2.786,93.498,0,0,0,0,300798,32794754,0,0,4544,399
2.786,3.715,93.498,0,0,0,0,300696,32782642,0,0,4611,425
4.520,5.085,89.831,0.565,0,0,24576,205462,21937360,0,0,3647,478
7.418,4.154,88.427,0,0,0,0,307260,32805352,0,0,4618,495
2.804,3.115,94.081,0,0,0,0,300186,32750848,0,0,4568,403
3.374,3.681,92.945,0,0,0,0,299880,32720568,0,0,4537,391
2.804,3.115,94.081,0,0,0,0,298248,32596420,0,0,4509,399
3.395,3.395,92.593,0.617,0,0,81920,309900,33745546,0,0,4698,454
3.715,2.786,93.498,0,0,0,0,297024,32384460,0,0,4600,375
5.505,2.446,92.049,0,0,0,0,304776,33220188,0,0,4486,411
4.255,3.951,91.793,0,0,0,0,292536,31946914,0,0,4439,397
2.786,3.715,93.498,0,0,0,0,299166,32731166,0,0,4559,398
3.293,3.593,92.515,0.599,0,0,24576,270181,29244122,0,0,4206,420
5.525,8.840,85.635,0,0,0,0,218606,24998932,0,0,3926,494
4.819,4.518,90.663,0,0,0,0,305788,32817464,0,0,4551,427
3.704,3.086,93.210,0,0,0,0,299177,32699755,0,0,4549,441
4.268,3.659,92.073,0,0,0,0,299753,32640326,0,0,4548,425
2.500,3.438,93.750,0.312,0,0,81920,298962,32568073,0,0,4554,443
5.167,3.040,91.793,0,0,0,8192,300312,32828062,0,0,4549,391
4.308,3.077,92.615,0,0,0,0,301410,32847744,0,0,4571,384
3.374,3.988,92.638,0,0,0,0,299166,32723596,0,0,4526,384
2.804,3.115,94.081,0,0,0,0,300084,32773558,0,0,4544,373
3.086,3.395,93.519,0,0,0,0,298656,32681204,0,0,4497,358
6.371,5.540,87.535,0.554,0,0,114688,182955,19785528,0,0,3450,567
5.167,3.647,91.185,0,0,0,0,311774,32905276,0,0,4594,409
5.167,3.647,91.185,0,0,0,0,303450,33094526,0,0,4635,446
4.025,2.477,93.498,0,0,0,0,302124,32927986,0,0,4594,433
5.167,3.040,91.793,0,0,0,0,302430,32920416,0,0,4567,401
2.812,3.438,93.438,0.312,0,0,81920,302736,32965836,0,0,4601,447
3.976,3.670,92.355,0,0,0,0,300696,32805352,0,0,4583,401
5.136,3.625,91.239,0,0,0,0,301920,32923444,0,0,4570,413
0.949,3.481,95.570,0,0,0,0,301410,32817464,0,0,4557,393
4.863,3.343,91.793,0,0,0,0,300696,32811408,0,0,4562,379
5.382,5.099,89.518,0,0,0,57344,215800,22845761,0,0,3727,518
6.647,2.115,90.332,0.906,0,0,90112,281152,31942372,0,0,4447,484
3.058,4.587,92.355,0,0,0,0,298300,32799350,0,0,4522,396
4,3.077,92.923,0,0,0,0,299064,32660008,0,0,4536,394
2.795,3.106,94.099,0,0,0,0,299166,32673634,0,0,4511,385
3.670,3.976,92.355,0,0,0,0,299370,32667578,0,0,4543,399
5.471,2.736,91.793,0,0,0,0,300618,32834118,0,0,4576,434
2.194,3.135,94.357,0.313,0,0,24576,298962,32664550,0,0,4571,425
2.795,3.416,93.789,0,0,0,0,300696,32784156,0,0,4534,408
