"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat -N eth1,macsec0--noheaders --output final/iperf3-1571844895-100-macsec-morus640-we-1500-dstat.csv",,,,"Date:","24 Oct 2019 05:56:52 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eth1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.848,9.640,86.283,0.229,0,6844.478,39775.145,0,0,0,0,4550.591,7777.754
2.850,18.653,78.497,0,0,0,0,137711,15664694,0,0,3674,230
1.781,23.919,74.046,0.254,0,0,114688,144840,17713336,0,0,4059,251
2.025,23.544,74.430,0,0,0,0,136476,17716783,0,0,3649,147
2.025,23.544,74.430,0,0,0,0,127908,17713336,0,0,3424,160
1.263,24.242,74.495,0,0,0,0,126582,17743616,0,0,3399,151
2.015,23.678,74.307,0,0,0,0,125460,17751325,0,0,3375,155
1.013,24.557,74.430,0,0,0,0,125664,17752700,0,0,3404,142
2.020,23.485,74.242,0.253,0,0,24576,126072,17767840,0,0,3378,167
2.020,23.485,74.495,0,0,0,0,125970,17735802,0,0,3348,156
0.759,24.810,74.430,0,0,0,0,124440,17789036,0,0,3408,143
3.763,11.022,85.215,0,0,0,0,76409,9319356,0,0,2499,348
3.733,18.933,77.333,0,0,0,0,78846,18185598,0,0,2619,161
0.259,25.389,74.352,0,0,0,0,77112,18945050,0,0,3726,154
1.285,24.679,73.522,0.514,0,0,90112,80478,18513022,0,0,4201,201
1.285,24.679,74.036,0,0,0,0,81702,18499152,0,0,4234,174
0.256,25.641,74.103,0,0,0,0,79560,18493096,0,0,4173,157
0.514,25.450,74.036,0,0,0,0,80070,18553656,0,0,4205,175
0.514,25.450,74.036,0,0,0,0,78846,18509994,0,0,4168,161
0.513,25.385,74.103,0,0,0,0,78948,18456760,0,0,4212,176
0.514,25.450,73.779,0.257,0,0,24576,80070,18513022,0,0,4174,190
2.618,14.660,82.723,0,0,0,0,72634,10987343,0,0,2844,330
2.545,23.155,74.300,0,0,0,0,145962,17728476,0,0,3923,177
1.269,24.365,74.365,0,0,0,0,141168,17695168,0,0,3721,168
2.020,23.485,74.495,0,0,0,434176,129438,17713336,0,0,3468,184
2.020,23.737,74.242,0,0,0,0,126276,17686084,0,0,3423,171
2.278,23.291,73.924,0.506,0,0,90112,125868,17725448,0,0,3457,173
1.263,24.242,74.495,0,0,0,0,126378,17695168,0,0,3446,155
2.278,23.291,74.430,0,0,0,0,125358,17737560,0,0,3383,144
1.772,23.797,74.430,0,0,0,98304,122604,17808474,0,0,3557,243
1.777,23.858,74.365,0,0,0,0,123114,17866006,0,0,3584,161
2.821,17.436,79.744,0,0,0,0,89768,11723500,0,0,2776,277
2.057,22.365,75.321,0.257,0,0,81920,137088,16500716,0,0,3664,245
2.025,23.797,74.177,0,0,0,0,137088,17683056,0,0,3647,163
3.038,22.532,74.430,0,0,0,73728,125460,17669430,0,0,3409,185
1.515,23.990,74.495,0,0,0,0,126276,17710308,0,0,3372,148
1.763,23.929,74.307,0,0,0,0,125460,17710308,0,0,3383,148
1.519,24.051,74.430,0,0,0,0,125868,17684814,0,0,3352,141
2.020,23.485,74.242,0.253,0,0,65536,126990,17673972,0,0,3354,179
1.515,23.990,74.495,0,0,0,0,126990,17672458,0,0,3371,145
2.025,23.544,74.430,0,0,0,0,125970,17669430,0,0,3395,177
2.015,21.662,76.322,0,0,0,0,116081,16305529,0,0,3190,133
3.093,17.268,79.639,0,0,0,0,76199,12371177,0,0,2816,297
1.515,23.990,73.990,0.505,0,0,81920,131988,17760270,0,0,3530,178
2.792,22.843,74.365,0,0,0,0,132294,17763298,0,0,3622,177
1.269,24.365,74.365,0,0,0,0,134028,17773652,0,0,3717,165
2.020,23.485,74.495,0,0,0,0,125766,17725448,0,0,3379,156
2.278,23.291,74.430,0,0,0,0,125562,17736046,0,0,3383,144
2.273,23.232,74.242,0.253,0,0,24576,124950,17713336,0,0,3377,182
2.278,23.291,74.430,0,0,0,0,127092,17707280,0,0,3366,148
1.515,23.990,74.495,0,0,0,0,125868,17740588,0,0,3408,149
2.278,23.291,74.430,0,0,0,0,126276,17720906,0,0,3364,148
2.057,17.224,80.720,0,0,0,0,98744,11279361,0,0,2774,287
2.314,21.337,75.835,0.514,0,0,81920,115158,17357690,0,0,3551,211
2.036,23.664,74.300,0,0,0,0,122196,17946004,0,0,3680,181
1.527,24.173,74.300,0,0,0,0,121074,17926566,0,0,3680,173
2.030,23.604,74.365,0,0,0,0,121482,17866006,0,0,3676,191
2.036,23.664,74.300,0,0,0,0,122094,17941462,0,0,3650,164
1.272,24.427,74.046,0.254,0,0,24576,121686,17991424,0,0,3741,204
1.772,24.051,74.177,0,0,0,0,121482,17897800,0,0,3684,182
0.254,25.445,74.300,0,0,0,0,122885,17947518,0,0,3688,167
2.538,23.096,74.365,0,0,0,0,123522,17897800,0,0,3623,196
2.302,17.903,79.795,0,0,0,0,87220,11702304,0,0,2837,289
3.133,18.277,78.590,0,0,0,0,117912,15332978,0,0,3145,233
4.061,21.574,74.112,0.254,0,0,172032,129438,17713336,0,0,3558,282
1.515,23.990,74.495,0,0,0,0,128021,17710308,0,0,3482,172
2.532,23.038,74.430,0,0,0,0,126480,17772557,0,0,3459,167
2.513,23.116,74.372,0,0,0,0,123828,17429192,0,0,3315,158
1.256,23.618,75.126,0,0,0,0,120870,16841466,0,0,3182,130
0.500,24.750,74.750,0,0,0,16384,120870,16794288,0,0,3239,183
1.500,23.750,74.250,0.500,0,0,40960,120870,16824951,0,0,3181,164
1.496,23.691,74.813,0,0,0,0,121482,16811186,0,0,3197,148
2,22.250,75.750,0,0,0,0,116587,16079799,0,0,3081,138
5.600,10.133,84.267,0,0,0,0,87014,10685107,0,0,2494,326
3.989,19.149,76.862,0,0,0,65536,84252,18508324,0,0,2670,167
0.519,25.195,74.286,0,0,0,16384,74970,19132054,0,0,3567,182
0.769,25.128,73.590,0.513,0,0,90112,80172,18479470,0,0,4152,184
0.769,25.385,73.846,0,0,0,0,80376,18550872,0,0,4190,173
0.257,25.707,74.036,0,0,0,0,79458,18470386,0,0,4196,211
0.256,25.897,73.846,0,0,0,0,80070,18589992,0,0,4231,194
0.771,25.193,74.036,0,0,0,0,80784,18487040,0,0,4141,161
0.767,25.575,73.402,0.256,0,0,24576,80784,18484012,0,0,4215,207
0.512,25.575,73.913,0,0,0,0,80274,18482742,0,0,4117,204
2.344,16.927,80.729,0,0,0,0,87934,11846662,0,0,3057,300
2.025,23.544,74.430,0,0,0,0,136782,17695168,0,0,3579,167
2.532,23.038,74.430,0,0,0,0,129336,17710308,0,0,3556,152
2.785,22.785,73.924,0.506,0,0,81920,131172,17710308,0,0,3600,191
2.278,23.291,74.430,0,0,0,0,130152,17710308,0,0,3443,145
2.273,23.232,74.495,0,0,0,0,127092,17710308,0,0,3379,148
