"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat -N eth1,macsec0--noheaders --output final/iperf3-1571844895-100-no-macsec-2928-dstat.csv",,,,"Date:","23 Oct 2019 18:26:57 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eth1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.615,2.848,95.058,0.479,0,35364.202,51568.753,0,0,0,0,2955.583,1700.629
0.276,1.657,98.066,0,0,0,0,202224,34107204,0,0,5089,561
0.282,1.977,97.740,0,0,0,0,194766,34078114,0,0,5053,552
0.563,2.254,97.183,0,0,0,0,194898,34121452,0,0,5128,552
0.284,1.420,98.295,0,0,0,0,194700,34078114,0,0,5140,529
0.282,2.260,97.458,0,0,0,0,199122,34063668,0,0,5144,556
0.560,2.521,96.639,0.280,0,0,90112,194634,34092560,0,0,5098,558
0.847,1.695,97.458,0,0,0,0,194568,34078114,0,0,5076,561
0.838,2.514,96.648,0,0,0,0,194568,34107006,0,0,5074,532
0.565,1.695,97.740,0,0,0,0,199452,34078114,0,0,5099,552
0.283,1.700,98.017,0,0,0,0,191893,33341571,0,0,4983,517
3.403,4.188,92.408,0,0,0,2154496,162204,22628104,0,0,3932,608
0,2.793,96.648,0.559,0,0,90112,218658,34294804,0,0,5241,599
0.282,2.535,97.183,0,0,0,0,194766,34135898,0,0,5154,552
0.565,1.695,97.740,0,0,0,0,194832,34121452,0,0,5112,533
0.285,1.425,98.291,0,0,0,0,194568,34107006,0,0,5132,539
0.560,2.801,96.639,0,0,0,90112,194502,34092560,0,0,5124,618
0.282,1.977,97.740,0,0,0,0,194502,34092560,0,0,5075,533
0.277,4.155,95.291,0.277,0,0,24576,194766,34107006,0,0,5149,559
1.114,2.786,96.100,0,0,0,0,194832,34150344,0,0,5149,523
0.283,1.983,97.734,0,0,0,0,195030,34150344,0,0,5180,561
1.877,5.630,92.493,0,0,0,16384,129291,21699832,0,0,3731,553
0,0.831,99.169,0,0,0,0,199386,34497048,0,0,5145,580
0.281,2.809,96.910,0,0,0,0,194370,34063668,0,0,5154,572
0.563,2.535,96.620,0.282,0,0,90112,197934,34020330,0,0,5130,581
1.114,2.507,96.379,0,0,0,0,194568,34063668,0,0,5124,554
0.279,3.073,96.648,0,0,0,0,194172,34049222,0,0,5090,548
