"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat -N eth1,macsec0--noheaders --output final/iperf3-1571844895-100-orig-jumbo-dstat.csv",,,,"Date:","23 Oct 2019 19:44:49 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eth1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.870,5.447,91.302,0.381,0,21284.688,45919.031,0,0,0,0,4209.407,5747.817
7.089,16.709,76.203,0,0,0,0,326566,9840290,0,0,8735,21696
7.286,17.839,74.874,0,0,0,0,326536,10304090,0,0,9050,22561
9.500,15.750,74.750,0,0,0,0,325360,10270078,0,0,8936,22470
8.772,16.291,74.937,0,0,0,0,321342,10198962,0,0,9092,22475
10.276,14.787,74.937,0,0,0,0,319382,10175772,0,0,9153,22447
8.794,16.332,74.623,0.251,0,0,786432,321734,10192778,0,0,9127,22532
8.521,16.792,74.687,0,0,0,0,324674,10226790,0,0,8907,22444
8.271,16.792,74.937,0,0,0,0,325850,10234520,0,0,8954,22424
9.524,15.539,74.937,0,0,0,0,326732,10220606,0,0,8953,22457
6.266,18.797,74.937,0,0,0,0,329182,10220606,0,0,8932,22467
8.122,14.213,77.665,0,0,0,0,286090,7458903,0,0,6982,16965
10.777,14.286,74.436,0.501,0,0,98304,327418,10333464,0,0,9021,22629
7.769,17.544,74.687,0,0,0,0,325556,10274716,0,0,8993,22492
9.774,15.288,74.937,0,0,0,0,325458,10265440,0,0,8930,22451
11.028,14.035,74.937,0,0,0,0,324478,10242250,0,0,8970,22459
8.271,16.792,74.937,0,0,0,0,324968,10246888,0,0,8916,22413
8,17.250,74.750,0,0,0,0,324576,10239158,0,0,8915,22393
8.291,16.834,74.623,0.251,0,0,24576,324772,10248434,0,0,8909,22450
6.015,19.048,74.937,0,0,0,0,324772,10245342,0,0,8918,22431
7.035,18.090,74.874,0,0,0,0,325360,10266986,0,0,8903,22415
9.045,15.075,75.879,0,0,0,0,295719,7525381,0,0,7029,17812
6.281,19.095,74.623,0,0,0,0,384582,10386126,0,0,9108,23024
8.250,17.250,74.500,0,0,0,0,337876,10364384,0,0,9072,22648
9,16.250,74.500,0.250,0,0,81920,324772,10246888,0,0,8952,22424
8.794,16.332,74.874,0,0,0,0,323988,10228336,0,0,8955,22418
7.519,17.544,74.937,0,0,0,0,324478,10231428,0,0,8906,22362
8.250,17,74.750,0,0,0,0,324184,10229882,0,0,8946,22446
7.519,17.544,74.937,0,0,0,0,324772,10248434,0,0,8884,22362
9.296,15.829,74.874,0,0,0,0,323988,10220606,0,0,8927,22429
9.250,15.750,74.500,0.500,0,0,24576,324674,10242250,0,0,8943,22415
9.045,15.327,75.628,0,0,0,0,276415,8266090,0,0,7498,18774
7.389,17.734,74.877,0,0,0,0,356098,8918698,0,0,8130,20384
7.268,17.794,74.937,0,0,0,0,327614,10338102,0,0,9027,22601
9.023,16.040,74.937,0,0,0,0,325752,10273170,0,0,8971,22499
7.035,18.090,74.874,0,0,0,0,325164,10263894,0,0,8946,22464
4.500,20.750,74.500,0.250,0,0,81920,324968,10248434,0,0,8915,22445
6.533,18.593,74.874,0,0,0,8192,325285,10249980,0,0,8906,22423
5.514,19.549,74.937,0,0,0,0,324772,10251526,0,0,8924,22432
8.271,16.792,74.937,0,0,0,0,325360,10262348,0,0,8881,22419
7.268,17.794,74.937,0,0,0,0,324772,10245342,0,0,8938,22434
8.543,16.583,74.874,0,0,0,0,321440,10212876,0,0,9068,22409
7.595,15.190,76.962,0.253,0,0,122880,288806,7462281,0,0,7062,17544
8.271,16.792,74.937,0,0,0,0,325458,10327280,0,0,9128,22648
9.023,16.040,74.937,0,0,0,0,320264,10217514,0,0,9170,22558
7.286,17.839,74.874,0,0,0,0,319088,10191647,0,0,9157,22485
8.020,17.043,74.937,0,0,0,0,318402,10172680,0,0,9162,22460
6.500,18.750,74.750,0,0,0,0,319186,10188140,0,0,9156,22452
6.266,18.797,74.436,0.501,0,0,90112,318500,10186594,0,0,9189,22500
8.020,17.043,74.937,0,0,0,0,318402,10180410,0,0,9142,22473
7.018,18.296,74.687,0,0,0,0,318304,10178864,0,0,9183,22410
8,17.250,74.750,0,0,0,0,318598,10186594,0,0,9131,22443
6.281,16.583,77.136,0,0,0,0,249522,6956451,0,0,6697,16280
9.524,15.539,74.937,0,0,0,0,329182,10387574,0,0,9112,22728
7.286,17.839,74.623,0.251,0,0,81920,325948,10287084,0,0,8987,22526
8.521,16.541,74.937,0,0,0,0,325164,10262348,0,0,8931,22463
5.263,19.799,74.937,0,0,0,0,324478,10234520,0,0,8925,22384
7.018,18.296,74.687,0,0,0,0,323498,10228336,0,0,8938,22419
7.519,17.544,74.937,0,0,0,0,320852,10189686,0,0,9116,22486
9.023,16.040,74.937,0,0,0,0,325066,10229882,0,0,8906,22405
6.767,18.296,74.436,0.501,0,0,24576,325262,10236066,0,0,8926,22420
8.521,16.541,74.937,0,0,0,0,327712,10220606,0,0,8850,22455
6.801,17.128,76.071,0,0,0,0,315247,9305003,0,0,8247,21041
7.286,17.085,75.628,0,0,0,0,316890,8581572,0,0,7854,19524
6.516,18.546,74.937,0,0,0,0,326634,10302544,0,0,9040,22557
7.268,17.794,74.937,0,0,0,0,320460,10186594,0,0,9134,22488
10.804,14.322,74.623,0.251,0,0,81920,319284,10183502,0,0,9112,22497
6.767,18.296,74.937,0,0,0,0,319186,10177318,0,0,9155,22484
8.772,16.291,74.937,0,0,0,0,318696,10164950,0,0,9168,22426
6.266,18.797,74.937,0,0,0,0,318108,10169588,0,0,9132,22471
7.769,17.544,74.687,0,0,0,0,318892,10178864,0,0,9156,22436
8.521,16.541,74.937,0,0,0,0,319480,10178864,0,0,9205,22445
8.291,16.834,74.623,0.251,0,0,24576,319382,10171134,0,0,9202,22461
7.481,15.461,77.057,0,0,0,32768,264813,7043030,0,0,6765,16482
7.789,17.337,74.874,0,0,0,0,328496,10355108,0,0,9024,22672
7.769,17.293,74.937,0,0,0,0,325654,10282446,0,0,9000,22505
7.018,18.045,74.937,0,0,0,0,325262,10266986,0,0,8912,22482
6.516,18.546,74.937,0,0,0,0,324674,10248434,0,0,8933,22413
7.769,17.293,74.185,0.752,0,0,106496,325458,10253072,0,0,8914,22441
6.767,18.296,74.937,0,0,0,0,324772,10254618,0,0,8899,22418
7.769,17.544,74.687,0,0,0,0,325066,10257710,0,0,8920,22394
6.015,19.048,74.937,0,0,0,0,322714,10236066,0,0,9048,22436
8.271,16.792,74.185,0.752,0,0,139264,325752,10237612,0,0,8977,22469
10.327,13.350,76.322,0,0,0,0,281660,7338218,0,0,6871,17383
8.838,16.414,74.495,0.253,0,0,90112,367382,10552996,0,0,9215,23070
5.779,19.347,74.874,0,0,0,0,327418,10333464,0,0,9019,22607
7.018,18.045,74.937,0,0,0,0,325556,10268532,0,0,8972,22456
8.271,16.792,74.937,0,0,0,0,325556,10265440,0,0,8974,22490
8.750,17.750,73.500,0,0,0,0,428010,10319648,0,0,8968,24116
8.020,17.794,74.185,0,0,0,0,411160,10155772,0,0,8957,23750
8.020,18.045,73.434,0.501,0,0,24576,444604,10149686,0,0,8875,24218
6.750,19.500,73.750,0,0,0,0,429118,10185146,0,0,8766,24147
8.271,17.794,73.935,0,0,0,0,446684,10186692,0,0,8820,24183
6.784,17.337,75.879,0,0,0,0,379239,9623089,0,0,8367,22361
6.297,17.380,76.322,0,0,0,0,320671,8068791,0,0,7461,17991
8.291,16.834,74.874,0,0,0,0,330496,10308728,0,0,9031,22566
6.015,19.048,74.687,0.251,0,0,81920,324870,10246888,0,0,9006,22459
6.015,19.048,74.937,0,0,0,0,324772,10254618,0,0,8965,22411
7.286,17.839,74.874,0,0,0,0,324478,10234520,0,0,8993,22443
9.524,15.539,74.937,0,0,0,0,325066,10253072,0,0,8916,22445
7.268,17.794,74.937,0,0,0,0,324674,10240704,0,0,8940,22404
7.018,18.045,74.937,0,0,0,0,325187,10249980,0,0,8950,22381
9.023,16.291,74.436,0.251,0,0,24576,323694,10214422,0,0,8980,22403
9.524,15.539,74.937,0,0,0,0,324576,10237612,0,0,8957,22371
7.053,16.121,76.826,0,0,0,0,273451,7250096,0,0,6835,16853
9.273,15.789,74.937,0,0,0,0,324184,10224081,0,0,8975,22257
7.286,17.839,74.874,0,0,0,0,335543,10200508,0,0,8938,22414
8.020,17.043,74.937,0,0,0,0,336532,10198962,0,0,8934,22492
7.519,17.544,49.875,25.063,0,0,0,363998,10038593,0,0,8856,22889
8,17.500,66.750,7.750,0,0,98304,337040,10143588,0,0,8975,22500
6.750,18.500,74.750,0,0,0,0,326242,10283992,0,0,9054,22504
7.500,17.750,74.750,0,0,0,0,322518,10180410,0,0,8979,22622
7.286,17.839,74.874,0,0,0,0,349582,9955720,0,0,8912,23102
10.777,14.286,74.937,0,0,0,0,321048,10260802,0,0,9215,22477
10.526,15.038,73.935,0.501,0,0,24576,292095,8107394,0,0,7601,19479
7.268,17.544,75.188,0,0,0,0,353357,9615405,0,0,8604,20762
5.779,19.347,74.874,0,0,0,0,326438,10291722,0,0,8960,22507
8.772,16.291,74.937,0,0,0,73728,324282,10248434,0,0,8974,22447
7.519,17.544,74.937,0,0,0,0,323988,10219060,0,0,8907,22418
8.291,16.834,74.874,0,0,0,0,323988,10220606,0,0,8950,22363
