"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat -N eth1,macsec0--noheaders --output final/iperf3-1571844895-100-orig-jumbo-without-encryption-dstat.csv",,,,"Date:","23 Oct 2019 20:10:24 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eth1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.238,6.307,90.100,0.355,0,18823.478,45021.322,0,0,0,0,4493.176,6942.368
11.809,14.070,74.121,0,0,0,0,483158,12943308,0,0,10317,26998
8.521,16.541,74.436,0.501,0,0,114688,368382,13035872,0,0,10761,26776
10.804,13.317,75.879,0,0,0,0,361812,12391288,0,0,10262,25660
8.543,15.327,76.131,0,0,0,0,380704,12306258,0,0,10225,25886
10.302,14.824,74.874,0,0,0,0,373576,12913738,0,0,10655,26747
10.804,13.568,75.628,0,0,0,0,370596,12663384,0,0,10359,26138
11.028,14.035,74.937,0,0,0,0,404642,12777690,0,0,10513,27115
10.526,14.787,74.436,0.251,0,0,24576,405230,12788512,0,0,10454,27163
9.524,15.539,74.937,0,0,0,0,404936,12776144,0,0,10518,27176
10.276,15.038,74.687,0,0,0,0,405034,12790058,0,0,10472,27146
8.040,14.573,77.387,0,0,0,0,325555,8981617,0,0,7854,19864
9.524,15.539,74.937,0,0,0,0,410816,12745224,0,0,10456,27020
9.500,15.750,74.750,0,0,0,0,419636,12683384,0,0,10447,27216
9.548,15.578,74.623,0.251,0,0,81920,421530,12603090,0,0,10429,27356
9.045,16.080,74.874,0,0,0,57344,375254,13032878,0,0,10839,26873
8.020,16.792,75.188,0,0,0,0,351568,13000412,0,0,10665,26366
7.519,17.293,75.188,0,0,0,0,348903,13175110,0,0,10760,26197
10.777,14.536,74.687,0,0,0,0,367794,13014228,0,0,10779,26938
8.772,15.789,75.439,0,0,0,0,440028,12564440,0,0,10387,27049
9.524,15.038,74.937,0.501,0,0,40960,398788,12850450,0,0,10567,26881
10.804,13.065,76.131,0,0,0,0,388138,9159408,0,0,8082,21242
9.548,16.080,74.372,0,0,0,0,448688,13266422,0,0,10408,27495
9.726,14.713,75.561,0,0,0,0,361608,12524146,0,0,10390,25943
7.286,17.839,74.874,0,0,0,0,369950,12975578,0,0,10724,26723
8.772,15.539,75.689,0,0,0,0,330730,12834990,0,0,10493,25636
9.273,15.288,75.188,0.251,0,0,81920,387080,12366967,0,0,10346,26147
8,16.500,75.500,0,0,0,0,383940,12479410,0,0,10359,26109
9.799,15.327,74.874,0,0,0,0,367500,12949296,0,0,10786,26785
7.769,16.541,75.689,0,0,0,0,381696,12392834,0,0,10331,26043
11,13.500,75.500,0,0,0,0,355046,12672660,0,0,10489,25908
8.543,13.819,77.638,0,0,0,0,270197,9937857,0,0,8482,20426
9.799,14.573,75.377,0.251,0,0,65536,446425,11772173,0,0,9700,25611
8.629,16.497,74.873,0,0,0,0,499874,13210766,0,0,10315,28143
9.250,15.750,75,0,0,0,0,369460,12915284,0,0,10556,26605
9.799,13.317,76.884,0,0,0,90112,355094,11806998,0,0,9865,24696
9.023,16.040,74.937,0,0,0,16384,375144,12913738,0,0,10692,26773
7.789,16.080,76.131,0,0,0,0,370164,12293890,0,0,10237,25662
7.268,17.293,74.937,0.501,0,0,106496,329908,12881370,0,0,10604,25715
