"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/iperf3-1578411774-1-macsec-aegis128l-e-1500-dstat.csv",,,,"Date:","07 Jan 2020 15:53:20 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.102,2.952,94.860,0.086,0,189268.608,19416.691,0,0,0,0,1312.655,2752.916
7.778,8.333,83.889,0,0,0,0,198094,27855463,0,0,3278,302
10.112,5.337,84.270,0.281,0,0,155648,216568,33061218,0,0,3628,280
12.570,3.911,83.520,0,0,0,0,227256,33471618,0,0,3703,273
15.323,4.839,79.839,0,0,0,0,310896,33208076,0,0,3769,251
15.508,5.080,78.342,1.070,0,0,262144,313140,33436690,0,0,3882,394
16.623,4.749,78.628,0,0,0,0,267954,33298916,0,0,3712,257
14.402,4.076,81.522,0,0,0,0,220908,33530558,0,0,3675,252
13.223,4.408,82.094,0.275,0,0,40960,226236,33588090,0,0,3720,287
12.113,3.380,84.507,0,0,0,0,224298,33327682,0,0,3666,265
12.707,4.420,82.873,0,0,0,0,223992,33403382,0,0,3690,256
