"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/iperf3-1578411774-1-macsec-aes-gcm-e-jumbo-MACsec-Ethernet-dstat.csv",,,,"Date:","07 Jan 2020 15:51:45 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.002,2.798,95.112,0.089,0,199932.834,19160.314,0,0,0,0,1222.234,2561.633
7.673,17.574,74.505,0.248,0,0,155648,356512,18032096,0,0,7745,20106
6.983,19.202,73.815,0,0,0,0,445388,21840856,0,0,9018,25759
7.789,17.588,74.623,0,0,0,0,442786,21429896,0,0,8733,25355
8.521,17.043,74.436,0,0,0,0,442568,20932464,0,0,8823,25006
6.281,19.347,74.372,0,0,0,147456,456826,20804410,0,0,8924,25159
6.452,20.099,73.449,0,0,0,0,470832,21078488,0,0,8505,25453
7.107,17.513,75.381,0,0,0,57344,464872,21129114,0,0,8443,25310
7.232,18.953,73.815,0,0,0,0,447342,20920552,0,0,8624,25000
7.960,18.408,73.632,0,0,0,0,465672,21385222,0,0,8375,25522
5.486,20.200,74.314,0,0,0,0,478724,20863970,0,0,8340,25193
