"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/iperf3-1578411774-1-macsec-aes-gcm-we-jumbo-Ethernet-dstat.csv",,,,"Date:","07 Jan 2020 15:51:15 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.927,2.708,95.275,0.090,0,203541.240,18652.472,0,0,0,0,1169.390,2380.592
9.500,15.500,75,0,0,0,0,595976,14818510,0,0,10472,31009
9.524,16.040,74.436,0,0,0,0,632958,17479554,0,0,12153,35755
10.831,14.610,74.559,0,0,0,0,684280,17124710,0,0,12120,36243
10.250,15.500,74.250,0,0,0,0,759764,17095154,0,0,11385,37302
11.750,14.250,74,0,0,0,0,783116,16978904,0,0,11554,38340
13.819,11.809,74.372,0,0,0,131072,690700,16633152,0,0,12099,36482
10.276,15.288,74.436,0,0,0,131072,682766,16744854,0,0,11948,36505
10,15.750,74.250,0,0,0,0,754206,16507704,0,0,11611,37043
10.422,15.881,73.697,0,0,0,0,738416,16991304,0,0,11432,37555
10.859,13.889,75.253,0,0,0,0,914948,16168254,0,0,11121,38617
