"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/iperf3-1578411774-1-macsec-aesgcm-we-dstat.csv",,,,"Date:","07 Jan 2020 15:46:30 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.527,1.940,96.431,0.102,0,246028.419,16277.712,0,0,0,0,926.515,1850.801
9.975,14.713,75.312,0,0,0,0,575279,14173543,0,0,10488,29571
10.302,15.327,74.372,0,0,0,0,689996,17285542,0,0,12287,36388
9.250,16.250,74.250,0.250,0,0,237568,706602,17220546,0,0,11918,36387
8.586,16.667,74.747,0,0,0,0,696742,16745044,0,0,12266,37110
8.500,17.500,74,0,0,0,0,684780,17171992,0,0,12072,37727
10.644,15.842,73.515,0,0,0,0,717388,16685998,0,0,12166,37397
9.453,16.667,73.881,0,0,0,0,676474,16495234,0,0,12293,36766
10.076,15.365,74.559,0,0,0,81920,703200,16193846,0,0,12175,36816
13.283,12.531,74.185,0,0,0,0,741792,16427104,0,0,11891,37474
9.572,15.617,74.811,0,0,0,0,735582,16299928,0,0,11907,37228
