"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/iperf3-1578411774-1-macsec-aesgcm-we-frag-dstat.csv",,,,"Date:","07 Jan 2020 15:47:47 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.673,2.137,96.093,0.098,0,232874.935,17016.618,0,0,0,0,1000.308,2017.923
0.501,0.752,98.496,0.251,0,0,196608,210,19886,0,0,147,80
0,0,100,0,0,0,0,0,1514,0,0,93,34
0,0,100,0,0,0,0,0,0,0,0,84,31
0,0,100,0,0,0,0,0,1620,0,0,100,41
0,0,100,0,0,0,0,0,0,0,0,86,31
0,0,100,0,0,0,8192,0,0,0,0,87,28
0,0,100,0,0,0,49152,0,1514,0,0,112,70
0,0,100,0,0,0,0,0,0,0,0,88,28
0,0,100,0,0,0,0,0,0,0,0,85,30
0,0,100,0,0,0,0,0,0,0,0,95,43
