"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/iperf3-1578411774-1-macsec-chachapoly-e-frag-dstat.csv",,,,"Date:","07 Jan 2020 15:47:24 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.630,2.062,96.208,0.100,0,236740.099,16883.356,0,0,0,0,984.701,2046.606
0.549,21.154,78.297,0,0,0,0,260848,28147287,0,0,4479,279
6.479,13.239,80.282,0,0,0,0,290496,31514074,0,0,4241,275
6.268,11.966,81.766,0,0,0,0,287436,30998088,0,0,4131,258
7.123,10.826,82.051,0,0,0,8192,286110,30705676,0,0,4011,291
6.742,12.640,80.618,0,0,0,0,289272,31005994,0,0,4082,274
6.197,13.521,80,0.282,0,0,155648,290088,31306934,0,0,4163,290
8.659,10.894,80.447,0,0,0,0,285090,30759902,0,0,3982,277
5.367,14.407,80.226,0,0,0,0,291720,31542922,0,0,4239,251
7.843,11.765,80.392,0,0,0,40960,287742,30871762,0,0,4039,277
5.966,12.216,81.818,0,0,0,0,281286,30871762,0,0,3977,253
