"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/iperf3-1578411774-1-macsec-chachapoly-we-1500-dstat.csv",,,,"Date:","07 Jan 2020 15:52:32 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.089,2.966,94.857,0.087,0,194465.876,19281.277,0,0,0,0,1295.230,2820.721
4.533,2.550,92.918,0,0,0,0,291620,31617066,0,0,3991,371
1.765,0.294,97.941,0,0,0,0,319594,35183948,0,0,4188,246
0.587,2.053,97.361,0,0,0,0,320178,35392778,0,0,4307,231
1.754,1.170,96.784,0.292,0,0,147456,322932,35597274,0,0,4406,275
0.296,1.479,98.225,0,0,0,0,324336,35836380,0,0,4434,241
0.592,1.183,98.225,0,0,0,0,323544,35837894,0,0,4352,242
0.298,0.893,98.810,0,0,0,0,324870,35813670,0,0,4456,229
0.299,0.299,99.401,0,0,0,0,324258,35742512,0,0,4413,227
0.299,0.599,99.102,0,0,0,40960,323544,35781876,0,0,4398,234
0.592,0.888,98.225,0.296,0,0,40960,322626,35798530,0,0,4374,247
