"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/iperf3-1578411774-1-orig-we-dstat.csv",,,,"Date:","07 Jan 2020 15:43:42 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.940,1.047,97.902,0.111,0,280113.521,13438.850,0,0,0,0,493.232,495.056
8.564,15.113,76.322,0,0,0,0,480415,14039103,0,0,10938,28843
9.250,15.750,75,0,0,0,0,496370,16753450,0,0,12885,34829
9.524,15.539,74.436,0.501,0,0,303104,494998,16664360,0,0,12903,34743
10.750,14.250,75,0,0,0,0,497938,16647852,0,0,12826,34715
12,13.250,74.750,0,0,0,0,493822,16622080,0,0,12806,34614
9.524,15.539,74.937,0,0,0,0,565230,16681068,0,0,12278,35204
10.777,14.787,74.436,0,0,0,0,800222,16371616,0,0,11171,37756
11.675,13.452,74.619,0.254,0,0,188416,788232,15891436,0,0,11819,38116
8.772,16.792,74.436,0,0,0,0,694312,16285546,0,0,11877,37142
13,12.750,74.250,0,0,0,0,698380,16211556,0,0,11881,36978
