"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/iperf3-1578412664-100-macsec-aegis128l-we-1500-dstat.csv",,,,"Date:","08 Jan 2020 03:18:05 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.207,8.407,87.351,0.035,0,10338.296,38328.490,0,0,0,0,4912.962,11409.289
5.038,18.388,76.574,0,0,0,0,280502,31760520,0,0,3968,227
5.500,19.750,74.750,0,0,0,0,299880,34383720,0,0,4269,201
4.738,20.449,74.813,0,0,0,0,304674,34263088,0,0,4271,186
4.750,20.500,74.750,0,0,0,0,301410,34355198,0,0,4258,184
7.796,12.366,79.570,0.269,0,0,122880,294576,33725882,0,0,4008,276
12.849,2.793,84.358,0,0,0,0,285126,33878778,0,0,3809,274
13.736,3.846,82.418,0,0,0,0,292944,33790966,0,0,3825,288
13.774,3.306,82.920,0,0,0,0,294270,33856068,0,0,3828,272
13.056,3.333,83.611,0,0,0,0,287958,33939338,0,0,3853,281
12.948,4.408,82.645,0,0,0,24576,296718,33965076,0,0,3889,313
5.867,13.265,80.867,0,0,0,0,228382,24823900,0,0,3265,365
8.140,5.233,86.628,0,0,0,0,283728,33470048,0,0,3854,289
9.714,4.857,85.429,0,0,0,0,294474,34030178,0,0,3889,280
8.529,3.824,87.647,0,0,0,1400832,289272,33850012,0,0,3916,342
11.364,3.693,84.943,0,0,0,90112,291312,33759172,0,0,3882,318
9.538,3.757,86.705,0,0,0,0,284970,33887862,0,0,3910,295
9.855,3.768,86.377,0,0,0,0,291924,34119504,0,0,3951,284
10.315,4.011,85.673,0,0,0,0,293148,34019580,0,0,3940,304
9.538,4.335,86.127,0,0,0,106496,297636,34152812,0,0,3997,351
10.725,2.899,86.377,0,0,0,0,294576,34142214,0,0,3940,288
7.368,9.474,83.158,0,0,0,24576,226180,24869109,0,0,3195,383
5.013,19.799,75.188,0,0,0,0,300084,34226508,0,0,4297,203
6,19.250,74.750,0,0,0,0,303042,34223724,0,0,4274,196
10.298,8.401,81.301,0,0,0,8192,285634,33254436,0,0,3893,280
10.057,4.310,85.632,0,0,0,0,288252,34090738,0,0,3882,292
9.483,4.598,85.920,0,0,0,0,292638,33963562,0,0,3890,282
13.370,3.343,82.730,0.557,0,0,81920,292740,33943880,0,0,3876,299
10.345,3.736,85.920,0,0,0,0,288102,34054508,0,0,3858,304
10.694,2.890,86.416,0,0,0,0,293964,34098308,0,0,3871,299
10.663,3.458,85.879,0,0,0,0,298248,34130102,0,0,3900,295
7.500,5.833,86.667,0,0,0,0,237752,26535175,0,0,3138,334
9.687,4.843,85.185,0.285,0,0,81920,288662,31903212,0,0,3795,406
12.113,3.380,84.507,0,0,0,0,282954,33718294,0,0,3844,287
11.648,3.409,84.943,0,0,0,73728,294984,33990814,0,0,3856,285
12.465,3.116,84.419,0,0,0,0,295800,33928740,0,0,3829,289
10.345,3.448,86.207,0,0,0,0,286434,34027150,0,0,3873,294
9.302,4.070,86.337,0.291,0,0,73728,296514,34019580,0,0,3849,318
10.375,3.458,86.167,0,0,0,0,297126,34111934,0,0,3859,271
10.571,4.571,84.857,0,0,0,0,299676,34108906,0,0,3867,276
11.017,4.520,84.463,0,0,0,0,298452,34048346,0,0,3866,288
10.086,4.035,85.879,0,0,0,0,295902,34061972,0,0,3874,290
5.322,6.443,87.675,0.560,0,0,24576,222790,24111448,0,0,3074,436
11.798,4.494,83.708,0,0,0,0,287918,33790966,0,0,3910,269
10.826,3.989,85.185,0,0,0,0,294270,34058944,0,0,3911,289
12.147,3.672,84.181,0,0,0,0,293862,34040776,0,0,3889,290
11.429,3.429,85.143,0,0,0,0,298656,34007468,0,0,3908,282
10.057,3.736,85.920,0.287,0,0,81920,291048,34031692,0,0,3927,314
10.795,3.977,85.227,0,0,0,0,296820,33939338,0,0,3886,278
13.388,4.645,81.967,0,0,0,0,297126,34078626,0,0,3865,301
13.019,3.878,83.102,0,0,0,0,295188,34030178,0,0,3878,286
13.056,3.611,83.333,0,0,0,0,295698,33995356,0,0,3847,285
9.788,6.349,83.598,0.265,0,0,24576,224050,24334005,0,0,3066,441
12.640,3.371,83.989,0,0,0,0,286946,33236842,0,0,3854,284
10.375,3.746,85.879,0,0,0,32768,293148,34052888,0,0,3929,305
12.707,4.696,82.597,0,0,0,0,295494,34040776,0,0,3901,272
14.247,3.836,81.918,0,0,0,0,291006,33934796,0,0,3839,296
12.535,3.621,83.844,0,0,0,81920,287478,34060458,0,0,3893,295
13.774,3.857,82.369,0,0,0,0,292026,34061972,0,0,3875,278
13.370,3.343,83.287,0,0,0,114688,296820,33951450,0,0,3951,334
11.648,3.693,84.659,0,0,0,0,297432,34049860,0,0,3910,298
11.111,3.989,84.900,0,0,0,0,292332,34189148,0,0,3947,282
8.743,6.011,85.246,0,0,0,40960,230882,26233889,0,0,3173,353
9.375,5.966,84.659,0,0,0,0,286418,32037958,0,0,3850,386
9.296,6.197,84.507,0,0,0,0,287366,34001552,0,0,3863,258
11.549,4.225,84.225,0,0,0,0,292230,34105878,0,0,3900,291
13.928,2.786,83.287,0,0,0,0,291108,34042290,0,0,3890,279
11.461,2.579,85.673,0.287,0,0,81920,286764,33901488,0,0,3860,310
12.286,2.286,85.429,0,0,0,0,293250,33910572,0,0,3866,279
12.011,4.469,83.520,0,0,0,0,293760,34012010,0,0,3879,290
9.884,3.198,86.919,0,0,0,0,295698,33990814,0,0,3863,290
11.648,3.409,84.943,0,0,0,0,296106,34125560,0,0,3864,275
10.826,3.989,84.900,0.285,0,0,24576,292026,33974160,0,0,3847,312
7.923,6.284,85.792,0,0,0,0,222517,24521759,0,0,3096,428
10.663,3.170,86.167,0,0,0,0,284768,33556296,0,0,3820,284
10.602,3.725,85.673,0,0,0,0,293964,34001412,0,0,3835,295
11.268,4.789,83.944,0,0,0,0,293964,33975674,0,0,3848,296
13.445,2.801,83.473,0.280,0,0,81920,295188,34043804,0,0,3826,296
11.111,3.419,85.470,0,0,0,0,287418,33801564,0,0,3833,293
