"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/iperf3-1578412664-100-macsec-aesgcm-e-dstat.csv",,,,"Date:","07 Jan 2020 19:49:03 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.380,8.225,87.355,0.040,0,27093.514,37983.452,0,0,0,0,5406.984,13131.941
8.883,15.228,75.888,0,0,0,0,541448,13188658,0,0,10416,28785
8.816,16.625,74.559,0,0,0,0,565608,14352924,0,0,11237,30862
7.828,17.172,74.495,0.505,0,0,352256,588916,14134806,0,0,11003,31416
9.701,16.667,73.632,0,0,0,0,592528,13860772,0,0,11057,31515
8.500,17.500,74,0,0,0,0,577146,13939602,0,0,10996,31546
8.060,17.128,74.811,0,0,0,0,596908,14036396,0,0,10735,31892
9.476,16.459,74.065,0,0,0,0,601992,13677680,0,0,10694,31459
9.453,16.915,73.632,0,0,0,49152,569046,13697158,0,0,11049,31260
8.663,17.574,73.762,0,0,0,0,559188,13688278,0,0,10865,30939
8.271,17.794,73.935,0,0,0,0,597480,14219692,0,0,10644,32168
6.281,14.824,78.894,0,0,0,0,416975,9787573,0,0,8134,22602
9.500,15.750,74.750,0,0,0,0,462978,13736522,0,0,11042,29326
8.229,16.958,74.813,0,0,0,0,461652,13701700,0,0,11010,29244
9.500,15.750,74.500,0.250,0,0,81920,503120,13400516,0,0,10809,29915
6.983,18.204,74.813,0,0,0,0,464202,13812222,0,0,11074,29563
12.250,13,74.750,0,0,0,0,457062,13795568,0,0,11209,29497
9.227,15.960,74.813,0,0,0,0,490992,13604804,0,0,11031,29955
10.500,14.750,74.750,0,0,0,0,456488,13660924,0,0,11115,29717
9.250,16,74.750,0,0,0,0,458490,13791026,0,0,11203,29609
9.476,15.960,74.564,0,0,0,24576,457776,13804652,0,0,11252,29511
9,15.250,75.750,0,0,0,0,429426,9972304,0,0,8318,24032
8.772,17.043,74.185,0,0,0,0,549948,14389158,0,0,11417,31051
11.083,13.854,75.063,0,0,0,0,498348,14101498,0,0,11275,30304
8.395,18.272,73.333,0,0,0,0,598284,14072732,0,0,10924,31102
8.978,16.958,74.065,0,0,0,0,552726,14084844,0,0,11057,30994
8.750,17.250,73.750,0.250,0,0,81920,579052,13986434,0,0,10927,31632
8.911,17.574,73.515,0,0,0,0,606776,13941116,0,0,10636,32113
7.323,18.182,74.495,0,0,0,0,619810,14163674,0,0,10626,32470
9.045,16.332,74.623,0,0,0,0,595306,13610860,0,0,11003,31400
9.500,16.500,74,0,0,0,0,618092,13782146,0,0,10625,31941
6.716,16.418,76.866,0,0,0,0,498081,10843038,0,0,8302,25688
9.524,16.040,74.436,0,0,0,81920,584840,13809602,0,0,11009,30926
10.579,14.861,74.559,0,0,0,114688,573400,14171142,0,0,11213,31146
8.521,17.293,74.185,0,0,0,0,597440,14057694,0,0,11095,32058
9,16.750,74.250,0,0,0,0,560034,13962108,0,0,11132,31463
9.023,16.541,74.436,0,0,0,0,557306,13827464,0,0,11043,31158
9.227,16.708,74.065,0,0,0,0,553056,13939500,0,0,10977,31238
8.271,17.293,74.185,0.251,0,0,32768,586452,14024386,0,0,10740,31765
8.479,17.456,74.065,0,0,0,0,613176,13941014,0,0,10757,32046
7.731,18.454,73.815,0,0,0,0,610174,13883584,0,0,10586,31865
9.500,16.250,74.250,0,0,0,0,577482,13835034,0,0,10829,31455
6.500,15.250,78.250,0,0,0,0,414753,10153103,0,0,8407,23165
7.500,18,74.500,0,0,0,212992,465426,13821306,0,0,11138,29470
8.728,16.459,74.813,0,0,0,0,463182,13745606,0,0,11014,29350
9.250,16,74.750,0,0,0,0,506892,13467132,0,0,10892,29916
8.250,17,74.750,0,0,0,0,460734,13842502,0,0,11216,29594
8.728,16.459,74.813,0,0,0,0,458082,13828877,0,0,11212,29516
9.500,15.750,74.500,0.250,0,0,73728,521452,13406572,0,0,10881,30445
7.463,18.657,73.881,0,0,0,57344,653266,13933546,0,0,9855,32813
8.060,17.128,74.811,0,0,0,0,699538,13421712,0,0,10156,32444
9.204,16.667,74.129,0,0,0,0,637324,13105388,0,0,10771,31127
5.290,16.121,78.589,0,0,0,0,526049,9462630,0,0,7638,23202
9.068,16.373,74.559,0,0,0,81920,556392,14204450,0,0,11225,31196
7.500,18.500,74,0,0,0,0,577438,14157618,0,0,11004,31652
7.160,19.506,73.333,0,0,0,0,551420,14054564,0,0,10937,31464
9.023,16.792,74.185,0,0,0,0,591332,13868342,0,0,10961,31794
10.750,15,74.250,0,0,0,0,586688,13941014,0,0,10867,31766
9.701,16.418,73.632,0.249,0,0,24576,583516,13807782,0,0,10910,31641
10.804,14.824,74.372,0,0,0,0,625212,13869856,0,0,10736,32243
7.769,18.045,74.185,0,0,0,0,607764,13872986,0,0,10652,31876
10.396,15.842,73.762,0,0,0,0,551982,13904678,0,0,10903,31189
6.281,16.080,77.638,0,0,0,0,511732,10113226,0,0,7976,24241
7.769,17.794,74.436,0,0,0,0,570396,14177300,0,0,11208,31273
7.769,18.045,74.185,0,0,0,81920,578112,14221104,0,0,10938,30788
7.980,17.955,74.065,0,0,0,122880,560412,13971294,0,0,11123,31258
8.955,17.413,73.632,0,0,0,0,600416,13882070,0,0,10742,31805
8.521,16.792,74.687,0,0,0,0,553308,13922846,0,0,10870,31217
11.111,16.049,72.840,0,0,0,0,624922,14062236,0,0,10884,32421
6.750,19.250,73.750,0.250,0,0,40960,565554,14000060,0,0,11016,31677
9.750,15.750,74.500,0,0,0,0,576386,13509422,0,0,10940,30955
7.750,18.250,74,0,0,0,24576,600630,13971396,0,0,10800,31955
9.453,16.169,74.378,0,0,0,0,611389,13287505,0,0,10449,31427
7.519,14.787,77.694,0,0,0,0,464485,10748674,0,0,8627,23666
8.521,17.293,74.185,0,0,0,0,570306,14184870,0,0,11053,30908
7.731,18.204,74.065,0,0,0,81920,564420,14043966,0,0,11022,30980
9,16.750,74.250,0,0,0,0,575556,14050124,0,0,11031,31014
7.018,18.797,74.185,0,0,0,90112,611256,13871472,0,0,10883,31837
9.524,16.040,74.436,0,0,0,0,610976,13972808,0,0,10717,31984
