"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/iperf3-1578412664-100-macsec-aesgcm-e-frag-dstat.csv",,,,"Date:","07 Jan 2020 20:39:48 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.800,8.873,86.289,0.038,0,22742.338,38169.302,0,0,0,0,5838.033,14735.891
0,1.253,98.747,0,0,0,0,623,20439,0,0,146,76
0,0,100,0,0,0,131072,0,1514,0,0,93,47
0,0,100,0,0,0,0,0,0,0,0,88,29
0,0,100,0,0,0,0,0,1514,0,0,86,34
0,0,100,0,0,0,16384,0,0,0,0,104,35
0,0,100,0,0,0,0,0,0,0,0,81,26
0,0,100,0,0,0,0,0,1514,0,0,91,35
0,0,99.749,0.251,0,0,40960,106,0,0,0,92,48
0,0,100,0,0,0,0,0,0,0,0,90,34
0,0,100,0,0,0,0,0,0,0,0,84,32
2.250,3.250,94.500,0,0,0,0,2030,20797,0,0,272,218
0,0,100,0,0,0,0,0,3028,0,0,88,38
0,0,100,0,0,0,0,0,0,0,0,87,33
0,0,100,0,0,0,81920,0,3028,0,0,100,54
0,0,100,0,0,0,0,0,0,0,0,85,28
0,0,100,0,0,0,0,0,0,0,0,85,30
0,0,100,0,0,0,0,0,0,0,0,84,27
0,0,100,0,0,0,0,0,1514,0,0,91,35
0,0,100,0,0,0,0,0,0,0,0,83,29
0,0,99.750,0.250,0,0,24576,0,0,0,0,94,49
1.250,3.500,95.250,0,0,0,0,1924,20797,0,0,264,228
0,0,100,0,0,0,0,0,1514,0,0,90,33
0,0,100,0,0,0,0,0,1514,0,0,87,34
0,0,100,0,0,0,0,0,0,0,0,87,35
0,0,100,0,0,0,0,0,3028,0,0,89,35
0,0,100,0,0,0,81920,0,0,0,0,95,46
0,0,100,0,0,0,0,0,0,0,0,82,28
0,0,100,0,0,0,0,0,3028,0,0,93,36
0,0,100,0,0,0,0,0,0,0,0,83,29
0,0,100,0,0,0,8192,0,0,0,0,92,41
1.746,2.743,95.511,0,0,0,0,1299,1851,0,0,215,180
0,1.250,98.500,0.250,0,0,65536,623,20439,0,0,151,93
0,0,100,0,0,0,0,0,1514,0,0,87,34
0,0,100,0,0,0,0,0,0,0,0,90,33
0,0,100,0,0,0,114688,0,3028,0,0,121,70
0,0,100,0,0,0,0,0,0,0,0,86,31
0,0,100,0,0,0,90112,0,0,0,0,93,46
0,0,100,0,0,0,0,0,1514,0,0,91,36
0,0,100,0,0,0,0,0,1514,0,0,87,33
0,0,100,0,0,0,0,0,0,0,0,89,34
0,0,100,0,0,0,0,0,106,0,0,93,39
1.504,4.010,94.486,0,0,0,0,1924,20795,0,0,262,222
0,0,99.750,0.250,0,0,81920,0,3028,0,0,101,55
0,0,100,0,0,0,0,0,0,0,0,85,32
0,0,100,0,0,0,0,0,1514,0,0,91,35
0,0,100,0,0,0,0,0,1514,0,0,83,28
0,0,100,0,0,0,0,0,0,0,0,90,28
0,0,100,0,0,0,0,0,0,0,0,85,28
0,0,100,0,0,0,24576,0,3028,0,0,96,48
0,0,100,0,0,0,0,0,0,0,0,85,32
0,0,100,0,0,0,0,0,0,0,0,86,32
0.500,4.500,95,0,0,0,0,1924,20778,0,0,278,238
0,0,100,0,0,0,0,0,1514,0,0,96,37
0,0,100,0,0,0,0,0,1514,0,0,86,31
0,0,100,0,0,0,81920,0,0,0,0,96,47
0,0,100,0,0,0,0,0,4542,0,0,90,36
0,0,100,0,0,0,0,0,0,0,0,81,20
0,0,100,0,0,0,0,0,0,0,0,85,33
0,0,100,0,0,0,0,0,1514,0,0,89,34
0,0,100,0,0,0,0,0,1514,0,0,89,34
0,0,99.750,0.250,0,0,24576,0,0,0,0,96,48
1.504,2.757,95.739,0,0,0,0,1299,1853,0,0,208,179
0,1.500,98.500,0,0,0,0,623,20439,0,0,162,88
0,0,100,0,0,0,0,0,1514,0,0,88,33
0.250,0,99.750,0,0,0,0,0,0,0,0,96,37
0,0,100,0,0,0,16384,0,4542,0,0,105,48
0,0.250,99.500,0.250,0,0,81920,0,0,0,0,92,45
0,0,100,0,0,0,0,0,0,0,0,89,34
0,0,100,0,0,0,0,0,1514,0,0,105,48
0,0,100,0,0,0,0,0,1514,0,0,90,37
0,0,100,0,0,0,73728,0,0,0,0,122,72
0,0,100,0,0,0,0,0,0,0,0,87,34
1.003,3.759,95.238,0,0,0,24576,1922,20776,0,0,276,239
0,0,100,0,0,0,0,0,3028,0,0,96,39
0,0,100,0,0,0,0,0,0,0,0,86,30
0,0,100,0,0,0,65536,0,4542,0,0,102,52
0,0,100,0,0,0,0,0,0,0,0,84,31
0,0,99.750,0.250,0,0,98304,0,0,0,0,94,46
0,0,100,0,0,0,0,0,0,0,0,82,26
0,0,100,0,0,0,0,0,3028,0,0,93,38
0,0,100,0,0,0,0,0,0,0,0,86,32
0,0,100,0,0,0,0,0,0,0,0,88,34
1.500,4,94.500,0,0,0,0,1924,19264,0,0,256,221
0,0,100,0,0,0,81920,0,3028,0,0,97,51
0,0,100,0,0,0,0,0,1514,0,0,87,35
0,0,100,0,0,0,0,0,0,0,0,88,34
0,0,100,0,0,0,0,0,4542,0,0,89,40
