"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/iperf3-1578412664-100-macsec-aesgcm-e-frag-jumbo-dstat.csv",,,,"Date:","07 Jan 2020 23:34:31 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.198,8.953,86.813,0.036,0,14646.327,38206.844,0,0,0,0,5120.040,12068.915
0,1.253,98.747,0,0,0,0,316,20127,0,0,143,79
0,0,100,0,0,0,114688,0,1514,0,0,102,55
0,0,100,0,0,0,0,0,0,0,0,81,23
0,0,100,0,0,0,0,0,1514,0,0,94,36
0,0,100,0,0,0,0,0,0,0,0,90,30
0,0,100,0,0,0,0,0,0,0,0,93,35
0,0,100,0,0,0,0,0,1514,0,0,91,29
0,0.250,99.500,0.250,0,0,24576,0,0,0,0,96,46
0,0,100,0,0,0,0,0,0,0,0,88,33
0,0.251,99.749,0,0,0,442368,0,0,0,0,156,102
1,4.500,94.500,0,0,0,24576,2030,20797,0,0,283,240
0,0,100,0,0,0,0,0,3028,0,0,99,40
0,0,100,0,0,0,0,0,0,0,0,85,27
0,0,99.750,0.250,0,0,106496,0,1514,0,0,103,51
0,0,100,0,0,0,0,0,1514,0,0,88,30
0,0,100,0,0,0,0,0,0,0,0,94,38
0,0,100,0,0,0,0,0,0,0,0,90,29
0,0,100,0,0,0,0,0,1514,0,0,92,30
0,0,100,0,0,0,0,0,0,0,0,85,27
0,0.250,99.750,0,0,0,24576,0,0,0,0,100,46
1.005,3.769,95.226,0,0,0,0,1924,20778,0,0,257,216
0,0,100,0,0,0,0,0,1514,0,0,95,42
0,0,100,0,0,0,0,0,1514,0,0,88,33
0,0,100,0,0,0,0,0,0,0,0,86,29
0,0,100,0,0,0,0,0,3028,0,0,89,35
0,0,99.749,0.251,0,0,81920,106,0,0,0,101,54
0,0,100,0,0,0,0,0,0,0,0,83,31
0,0,100,0,0,0,0,0,1514,0,0,95,40
0,0,100,0,0,0,0,0,1514,0,0,85,27
0,0,100,0,0,0,0,0,0,0,0,85,29
1.746,2.743,95.511,0,0,0,0,1300,1850,0,0,228,197
0.250,1,98.500,0.250,0,0,65536,623,20439,0,0,151,94
0,0,100,0,0,0,0,0,1514,0,0,91,31
0,0,100,0,0,0,0,0,0,0,0,87,33
0,0,100,0,0,0,0,0,3028,0,0,92,35
0,0,100,0,0,0,0,0,0,0,0,91,36
0,0,100,0,0,0,0,0,0,0,0,87,32
0,0,100,0,0,0,73728,0,1514,0,0,100,51
0,0,100,0,0,0,0,0,1514,0,0,90,35
0,0,100,0,0,0,0,0,0,0,0,86,29
0,0,100,0,0,0,65536,0,0,0,0,97,45
1,3.750,95.250,0,0,0,0,1924,20794,0,0,279,233
0,0,100,0,0,0,0,0,3028,0,0,93,39
0,0,99.750,0.250,0,0,98304,0,106,0,0,103,50
0,0,100,0,0,0,0,0,3028,0,0,94,39
0,0,100,0,0,0,81920,0,0,0,0,129,76
0,0,100,0,0,0,0,0,0,0,0,82,24
0,0,100,0,0,0,0,0,0,0,0,85,29
0,0,100,0,0,0,0,0,3028,0,0,94,36
0,0,100,0,0,0,24576,0,0,0,0,96,46
0,0,100,0,0,0,0,0,0,0,0,93,35
0.752,4.261,94.987,0,0,0,0,1922,20776,0,0,277,220
0,0,100,0,0,0,0,0,1514,0,0,92,37
0,0,100,0,0,0,0,0,1514,0,0,89,38
0,0,100,0,0,0,0,0,0,0,0,83,26
0,0,99.750,0.250,0,0,81920,0,4542,0,0,109,62
0,0,100,0,0,0,0,0,0,0,0,86,24
0,0,100,0,0,0,0,0,0,0,0,89,31
0,0,100,0,0,0,0,0,1514,0,0,87,31
0,0,100,0,0,0,0,0,1514,0,0,92,35
0,0,100,0,0,0,0,0,0,0,0,91,34
1.750,2,96.250,0,0,0,24576,1301,1853,0,0,235,204
0.250,1,98.750,0,0,0,0,623,20439,0,0,138,73
0,0,100,0,0,0,0,0,1514,0,0,90,35
0,0,100,0,0,0,0,0,0,0,0,86,31
0,0,100,0,0,0,0,0,3028,0,0,95,38
0,0,100,0,0,0,0,0,1514,0,0,88,34
0,0.250,99.500,0.250,0,0,81920,0,0,0,0,102,48
0,0,100,0,0,0,0,0,1514,0,0,86,31
0,0,100,0,0,0,0,0,1514,0,0,92,32
