"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/iperf3-1578412664-100-macsec-aesgcm-e-jumbo-dstat.csv",,,,"Date:","07 Jan 2020 22:43:47 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.861,8.572,87.530,0.036,0,16334.984,38283.534,0,0,0,0,4793.194,10805.295
6.281,13.568,80.151,0,0,0,0,390254,11101304,0,0,8778,22780
6.923,12.051,81.026,0,0,0,0,382806,12221750,0,0,9575,25276
4.569,15.228,80.203,0,0,0,131072,387600,12134950,0,0,9544,25281
7,14.250,78.750,0,0,0,221184,458670,11861748,0,0,9437,25852
10.076,11.083,78.841,0,0,0,0,387294,12685302,0,0,9940,26092
5.764,15.539,78.697,0,0,0,0,439524,12141252,0,0,9575,26383
6.297,13.602,80.101,0,0,0,0,390252,11939650,0,0,9405,25000
7,13.500,79.500,0,0,0,0,387702,11838900,0,0,9333,24824
6.818,12.626,80.303,0.253,0,0,49152,390252,11907100,0,0,9375,24979
5.398,12.853,81.748,0,0,0,0,390762,11885400,0,0,9348,24935
5.063,11.899,83.038,0,0,0,0,394064,8124510,0,0,6780,18935
6.818,13.131,80.051,0,0,0,0,383316,12224850,0,0,9587,25246
6.329,13.418,80.253,0,0,0,0,380664,12139600,0,0,9501,25098
6.107,13.232,80.662,0,0,0,0,378216,12074500,0,0,9453,24919
8.060,12.846,79.093,0,0,0,81920,449892,12023350,0,0,9545,26195
9.799,10.302,79.899,0,0,0,0,386376,11888500,0,0,9361,24830
6.750,14.500,78.750,0,0,0,0,441428,12045152,0,0,9517,25866
8.020,17.043,74.937,0,0,0,0,545696,13612202,0,0,10694,30084
8.500,16.500,75,0,0,0,0,452472,14016650,0,0,10945,29527
6.767,18.296,74.937,0,0,0,0,456450,14084850,0,0,11011,29460
5.198,18.069,76.485,0.248,0,0,24576,424855,10378314,0,0,8390,24296
9.273,16.541,74.185,0,0,0,0,544724,14694102,0,0,11158,31051
8.728,17.456,73.815,0,0,0,0,552744,14474104,0,0,11093,31167
10.697,15.672,73.632,0,0,0,0,598226,14489502,0,0,10690,31944
11.587,13.854,74.559,0,0,0,0,603716,14089602,0,0,10692,31758
10.025,15.539,74.436,0,0,0,81920,560964,14071002,0,0,10793,31195
7,19,74,0,0,0,0,593026,14277254,0,0,10623,31834
10.276,15.288,74.436,0,0,0,0,593818,14064802,0,0,10477,31556
8.838,16.414,74.747,0,0,0,0,602812,14204404,0,0,10380,31841
7.731,18.204,74.065,0,0,0,0,621062,13913004,0,0,10411,31691
7.789,15.075,76.884,0.251,0,0,57344,501631,12219936,0,0,9534,27685
5.514,18.797,75.689,0,0,0,8192,506416,12362668,0,0,9522,26730
6.500,18.500,75,0,0,0,0,467568,14218150,0,0,10889,29905
9.774,15.288,74.937,0,0,0,0,463794,14094150,0,0,10814,29694
10.025,15.038,74.937,0,0,0,8192,461652,14033700,0,0,10750,29593
8,17,75,0,0,0,0,461550,14021301,0,0,10710,29550
7.268,17.794,74.937,0,0,0,81920,462162,14038350,0,0,10716,29597
9.023,16.040,74.937,0,0,0,0,460938,14060050,0,0,10751,29589
8.521,16.541,74.937,0,0,0,0,454104,14007350,0,0,10884,29461
10,15,75,0,0,0,73728,452778,13957750,0,0,10964,29390
7.250,18,74.750,0,0,0,0,452268,13979450,0,0,10917,29326
6.566,14.899,78.535,0,0,0,0,435464,10398380,0,0,8284,23551
8.250,17.750,73.750,0.250,0,0,81920,562146,14618254,0,0,11035,31053
6.965,19.154,73.881,0,0,0,0,570960,14408902,0,0,10760,31324
9.227,16.958,73.815,0,0,0,73728,567536,14115952,0,0,10794,31388
11.111,14.141,74.747,0,0,0,0,580998,14226108,0,0,10723,31711
8.543,16.834,74.623,0,0,0,0,572754,14019852,0,0,10711,31282
9.023,16.792,74.185,0,0,0,0,615654,14247804,0,0,10314,32070
9.750,16,74.250,0,0,0,40960,585804,13770302,0,0,10584,31172
9.500,16.500,74,0,0,0,0,615750,14154804,0,0,10398,31940
8.772,16.792,74.436,0,0,0,0,591882,13798202,0,0,10558,31264
8.060,13.350,78.589,0,0,0,0,464523,10324844,0,0,7995,24136
10.945,15.423,73.632,0,0,0,0,567444,14692552,0,0,10889,30911
9.848,15.404,74.747,0,0,0,0,578982,14368602,0,0,10921,31897
7.268,18.546,73.935,0.251,0,0,81920,572888,14260102,0,0,10801,31557
9.677,16.625,73.697,0,0,0,0,590864,14131554,0,0,10598,31618
11.028,14.536,74.436,0,0,0,0,548204,14100350,0,0,10835,30632
9.750,16,74.250,0,0,0,0,608076,14052402,0,0,10512,31343
8.816,16.373,74.811,0,0,0,0,589872,14043102,0,0,10505,31544
10.050,15.327,74.623,0,0,0,0,577134,13919102,0,0,10708,31083
9.524,16.291,74.185,0,0,0,24576,579154,13869502,0,0,10599,31123
6.250,16.250,77.500,0,0,0,0,450167,10443226,0,0,8072,23957
9.273,16.040,74.687,0,0,0,0,569192,14280456,0,0,10991,30459
8.955,17.413,73.632,0,0,0,0,567136,14497354,0,0,11002,31511
9.524,16.291,74.185,0,0,0,0,591320,14379452,0,0,10760,32046
9.500,16.250,74,0.250,0,0,81920,576580,14261754,0,0,10816,31666
9.824,15.617,74.559,0,0,0,0,590724,14174852,0,0,10576,31595
9.500,16.250,74.250,0,0,0,0,598656,14119154,0,0,10578,31621
8.020,17.794,74.185,0,0,0,0,568294,14130004,0,0,10618,31315
10.500,15.500,74,0,0,0,16384,573892,14416754,0,0,10698,31618
9.799,15.327,74.874,0,0,0,0,551948,14001252,0,0,10639,31023
6.767,19.048,74.185,0,0,0,40960,609772,14143954,0,0,10177,31896
6.516,15.539,77.945,0,0,0,0,460274,10657331,0,0,8259,24013
8.794,17.085,74.121,0,0,0,0,579890,14587254,0,0,10760,31636
8,17.750,74.250,0,0,0,8192,561938,14201202,0,0,10685,31407
9.774,16.040,74.185,0,0,0,0,611614,14173404,0,0,10601,32055
8.750,17.250,74,0,0,0,0,574920,14043102,0,0,10611,31396
8.271,17.293,74.185,0.251,0,0,81920,605464,14109752,0,0,10435,31795
8.229,17.706,74.065,0,0,0,0,600160,14095904,0,0,10545,31753
10.526,15.288,74.185,0,0,0,0,594822,13956302,0,0,10448,31558
9.453,16.667,73.881,0,0,0,0,606740,14173404,0,0,10307,31871
8.312,16.877,74.811,0,0,0,0,612908,14091254,0,0,10274,31791
5.808,15.909,78.283,0,0,0,0,490586,10513362,0,0,8133,23211
7.305,18.388,74.307,0,0,0,81920,573390,14596554,0,0,10928,30981
8.750,17.250,74,0,0,0,81920,577926,14591904,0,0,10897,31150
8.521,17.293,74.185,0,0,0,0,580808,14334502,0,0,10739,31246
11.558,14.070,74.372,0,0,0,0,595062,14164104,0,0,10659,31903
8.978,16.958,74.065,0,0,0,0,587768,14170304,0,0,10608,31716
10,15.750,74.250,0,0,0,0,589904,13771750,0,0,10575,31180
11.750,13.750,74.250,0.250,0,0,40960,587252,13742402,0,0,10551,31051
7.481,18.703,73.815,0,0,0,0,615758,13880454,0,0,10371,31630
9.500,16.250,74.250,0,0,0,0,582736,14046202,0,0,10528,31463
6.784,15.075,78.141,0,0,0,0,473026,9916431,0,0,7689,22915
8.521,16.541,74.937,0,0,0,0,462876,14015100,0,0,10807,29305
8.750,16.250,75,0,0,0,0,460836,14013550,0,0,10817,29246
8.521,16.541,74.937,0,0,0,81920,489116,13937600,0,0,10821,29469
9.774,15.288,74.937,0,0,0,0,467482,13875804,0,0,10822,29715
7.018,18.045,74.937,0,0,0,0,448596,13957750,0,0,10875,29524
11.750,13.250,75,0,0,0,0,455124,14151500,0,0,11030,29409
9.273,15.789,74.937,0,0,0,0,483364,13717602,0,0,10674,30064
9.023,16.040,74.937,0,0,0,0,462774,14061600,0,0,10866,29471
8.250,16.750,74.750,0.250,0,0,24576,464916,14131350,0,0,10884,29504
8.271,18.296,73.434,0,0,0,0,463375,13847909,0,0,10688,29192
5.038,15.365,79.597,0,0,0,0,440540,9985955,0,0,7970,23547
7.576,17.677,74.747,0,0,0,8192,563576,14587152,0,0,11048,30758
8.500,17.500,74,0,0,0,0,574452,14425952,0,0,10898,31057
8.521,17.043,74.436,0,0,0,0,549090,14182602,0,0,10785,30619
8.312,16.877,74.811,0,0,0,81920,562070,14233854,0,0,10579,30836
6.076,18.987,74.937,0,0,0,0,570866,14340804,0,0,10642,31489
8.706,17.413,73.881,0,0,0,65536,586452,13923752,0,0,10703,31419
5.985,19.950,74.065,0,0,0,0,593436,13933154,0,0,10497,31424
10.050,15.327,74.623,0,0,0,0,564200,14063252,0,0,10516,31172
10.327,15.113,74.559,0,0,0,0,605400,13978002,0,0,10376,31682
6.061,15.404,78.535,0,0,0,24576,482348,10466766,0,0,8057,24456
10.777,14.787,74.436,0,0,0,0,563610,14526804,0,0,10851,31074
9.023,16.792,74.185,0,0,0,0,579376,14401152,0,0,10877,31466
9.045,16.583,74.372,0,0,0,0,586564,14097352,0,0,10655,31670
7.750,18.250,74,0,0,0,0,588704,14193554,0,0,10571,31756
9.158,17.079,73.762,0,0,0,0,580370,14041552,0,0,10539,31346
9.227,16.708,73.815,0.249,0,0,81920,576330,14053952,0,0,10541,31371
11.471,14.713,73.815,0,0,0,0,610576,14178054,0,0,10371,32066
9.750,16,74.250,0,0,0,0,551904,14153254,0,0,10595,31066
9.500,16.250,74.250,0,0,0,0,550260,13940802,0,0,10629,30828
6.983,15.212,77.805,0,0,0,0,448384,10131984,0,0,8057,23738
5.970,20.149,73.881,0,0,0,81920,543816,14706502,0,0,11116,31168
7.769,18.296,73.935,0,0,0,106496,573520,14494254,0,0,10918,31510
7.519,18.296,74.185,0,0,0,0,552564,14115952,0,0,10904,31169
9,16.750,74.250,0,0,0,0,573804,14165552,0,0,10785,31487
11.278,14.536,74.185,0,0,0,0,575976,14308254,0,0,10575,31634
10.973,14.963,74.065,0,0,0,0,572254,14131554,0,0,10628,31415
8.209,18.159,73.632,0,0,0,0,632994,13956302,0,0,10362,31982
9.848,15.152,74.747,0.253,0,0,24576,597290,14157904,0,0,10250,31757
7.500,18.250,74.250,0,0,0,0,601384,13837054,0,0,10562,31395
9.045,14.573,76.382,0,0,0,0,540877,12233999,0,0,9200,28072
8,15.750,76.250,0,0,0,0,461384,12454118,0,0,9695,25839
8.750,16.250,75,0,0,0,16384,466854,14187150,0,0,10940,29845
8.816,16.625,74.559,0,0,0,0,566184,14219904,0,0,10739,30929
10,15.500,74.250,0.250,0,0,90112,567768,14261652,0,0,10781,31191
11.250,14.500,74.250,0,0,0,0,550574,14080302,0,0,10832,30997
10.777,15.038,74.185,0,0,0,0,585924,14160902,0,0,10683,31564
7.789,17.588,74.623,0,0,0,0,582282,14024502,0,0,10750,31311
9.273,16.291,74.436,0,0,0,0,569664,13990504,0,0,10729,31091
10.500,15.500,74,0,0,0,0,600254,13846150,0,0,10633,31439
10.606,14.646,74.747,0,0,0,24576,563748,14176402,0,0,10619,31201
7.519,14.787,77.694,0,0,0,0,452047,10779956,0,0,8484,24051
11.970,14.214,73.815,0,0,0,32768,563454,14455402,0,0,11030,31448
8.586,17.172,74.242,0,0,0,0,606522,14543854,0,0,10837,32414
8.816,16.625,74.559,0,0,0,0,582234,14281904,0,0,10860,31722
10.302,15.075,74.623,0,0,0,0,567008,14131452,0,0,10706,31301
9.548,16.080,74.372,0,0,0,81920,567198,14106652,0,0,10664,31273
10.697,15.672,73.632,0,0,0,0,626066,13967254,0,0,10465,32039
9.023,16.541,74.436,0,0,0,0,631940,14119154,0,0,10264,32097
10.526,15.038,74.436,0,0,0,0,600090,13743952,0,0,10546,31316
7.769,18.045,74.185,0,0,0,0,556878,13956302,0,0,10666,31153
6.045,15.365,78.589,0,0,0,0,482909,10181480,0,0,7701,23655
11,14,74.750,0.250,0,0,81920,461448,14025950,0,0,10809,29384
9.023,16.040,74.937,0,0,0,0,462978,14072450,0,0,10815,29343
9.774,15.288,74.937,0,0,0,0,502714,13711402,0,0,10549,29967
6.750,18.250,75,0,0,0,0,465018,14112852,0,0,10790,29674
8.521,16.541,74.937,0,0,0,0,458694,14115850,0,0,10895,29629
7,18,75,0,0,0,0,457164,14159250,0,0,11001,29527
9.548,15.578,74.874,0,0,0,24576,475674,13667900,0,0,10641,30184
8.250,16.750,75,0,0,0,0,454614,14084850,0,0,11001,29521
9.023,16.040,74.937,0,0,0,0,458694,14136000,0,0,11014,29475
10.302,13.317,76.382,0,0,0,0,422171,11746105,0,0,9314,26381
6.582,17.468,75.949,0,0,0,81920,558157,13436361,0,0,10187,29306
10.302,15.327,74.372,0,0,0,0,573582,14543752,0,0,11046,32140
9.750,16,74,0.250,0,0,90112,572208,14151602,0,0,10782,31539
9.091,16.162,74.747,0,0,0,0,569286,14111302,0,0,10813,31409
7.232,18.703,74.065,0,0,0,0,589594,14150052,0,0,10567,31612
10.050,15.327,74.623,0,0,0,8192,572934,13881902,0,0,10706,31168
8.794,16.834,74.372,0,0,0,0,591222,13943902,0,0,10520,31375
8.060,17.128,74.811,0,0,0,0,606742,13821452,0,0,10522,31503
9.320,16.121,74.559,0,0,0,24576,555634,13971802,0,0,10666,30983
