"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/iperf3-1578412664-100-macsec-aesgcm-we-jumbo-dstat.csv",,,,"Date:","07 Jan 2020 23:08:48 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.013,8.782,87.169,0.036,0,15456.015,38162.358,0,0,0,0,4944.900,11391.903
9.950,15.174,74.876,0,0,0,0,586168,16297349,0,0,11435,32638
10.250,16,73.750,0,0,0,2220032,695434,17806604,0,0,11895,35307
10.831,14.610,74.559,0,0,0,0,722604,17563254,0,0,11743,36550
10.406,14.213,75.127,0.254,0,0,139264,689934,17171104,0,0,11949,36414
7.828,17.424,74.747,0,0,0,0,716564,17045554,0,0,11799,37297
9.799,15.578,74.623,0,0,0,0,695902,16893654,0,0,12000,36837
10.250,16,73.750,0,0,0,122880,756570,17116752,0,0,11560,38086
9.653,16.832,73.515,0,0,0,0,613992,16836304,0,0,12406,35693
9.677,16.625,73.697,0,0,0,0,686018,16752604,0,0,11759,36532
10.448,15.672,73.881,0,0,0,24576,736104,16425554,0,0,11496,36846
8.271,14.035,77.694,0,0,0,0,520677,12774734,0,0,9354,27196
11.500,14.500,74,0,0,0,0,682254,17622052,0,0,11827,35861
10.777,14.536,74.687,0,0,0,0,670858,17265654,0,0,11502,35755
8.271,17.544,74.185,0,0,0,0,751320,17403604,0,0,11360,36436
11.721,14.214,74.065,0,0,0,0,711410,16949454,0,0,11471,36613
10.777,14.787,74.185,0.251,0,0,81920,702206,17121504,0,0,11725,37170
11.529,14.286,74.185,0,0,0,0,706324,16529404,0,0,11738,36485
9.045,16.332,74.623,0,0,0,0,778212,16650304,0,0,11329,37641
9.975,15.960,74.065,0,0,0,0,718328,16377504,0,0,11771,36504
9.701,16.667,73.632,0,0,0,0,732338,16940154,0,0,11709,37391
