"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/iperf3-1578412664-100-macsec-chachapoly-e-1500-dstat.csv",,,,"Date:","08 Jan 2020 02:29:13 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.174,8.699,87.092,0.035,0,11097.475,38335.183,0,0,0,0,5043.810,12200.247
1.529,3.976,94.495,0,0,0,0,278267,30421039,0,0,3713,338
1.881,1.881,95.611,0.627,0,0,1417216,310892,34357202,0,0,4090,402
0.318,2.229,97.452,0,0,0,0,316812,34522228,0,0,4005,248
0.629,3.459,95.912,0,0,0,0,314976,34402622,0,0,4002,254
0.629,2.830,96.541,0,0,0,0,310704,34390510,0,0,4013,254
0.943,2.516,96.541,0,0,0,0,315078,34329950,0,0,4013,259
0.313,3.448,96.238,0,0,0,0,314772,34284530,0,0,3995,250
0.633,2.848,96.519,0,0,0,73728,314772,34382940,0,0,4019,265
0.935,3.427,95.639,0,0,0,0,317118,34464696,0,0,4001,266
1.262,1.893,96.845,0,0,0,0,314976,34382940,0,0,4036,258
0.865,7.205,91.931,0,0,0,0,241535,25180331,0,0,3270,405
1.577,2.208,96.215,0,0,0,0,310380,34366286,0,0,3984,283
0.635,2.222,97.143,0,0,0,0,315690,34463182,0,0,4031,275
1.258,2.201,96.226,0.314,0,0,81920,316302,34331464,0,0,3988,295
1.254,2.508,96.238,0,0,0,0,312474,34437444,0,0,4033,272
0.955,1.592,97.452,0,0,0,0,316098,34278474,0,0,3995,254
0.318,1.911,97.771,0,0,0,0,317730,34504060,0,0,4016,265
0.949,1.899,97.152,0,0,0,0,316812,34357202,0,0,4006,257
0.319,1.917,97.764,0,0,0,0,316098,34388996,0,0,4007,274
0.935,3.115,95.639,0.312,0,0,24576,316506,34373856,0,0,3984,275
1.173,4.985,93.842,0,0,0,0,242313,25212124,0,0,3224,404
1.250,3.438,95.312,0,0,0,0,309880,34154326,0,0,3964,306
1.572,2.201,96.226,0,0,0,0,316914,34505574,0,0,3998,271
1.254,2.508,96.238,0,0,0,0,316404,34352660,0,0,3953,277
1.270,1.905,96.825,0,0,0,0,317424,34475294,0,0,4001,264
0.949,1.899,97.152,0,0,0,81920,314370,34364772,0,0,4019,289
0.629,3.145,96.226,0,0,0,0,317220,34417762,0,0,4000,269
0.313,3.762,95.925,0,0,0,0,316608,34348118,0,0,4032,258
0.949,2.215,96.835,0,0,0,0,316914,34440472,0,0,4012,237
0.946,2.524,96.530,0,0,0,0,316098,34269390,0,0,4010,268
0.890,4.451,94.659,0,0,0,0,251587,27004497,0,0,3281,320
3.030,4.848,91.818,0.303,0,0,81920,303962,32440682,0,0,4000,402
0.938,2.812,96.250,0,0,0,8192,312994,34101438,0,0,3976,275
0.316,2.532,97.152,0,0,0,0,314874,34316324,0,0,4006,258
1.567,2.508,95.925,0,0,0,0,316812,34416248,0,0,4016,262
0.635,2.540,96.825,0,0,0,0,315180,34393538,0,0,4029,275
0.312,4.050,95.639,0,0,0,24576,312234,34396566,0,0,4078,280
1.875,2.500,95.625,0,0,0,90112,316710,34361744,0,0,4075,318
0.315,2.839,96.845,0,0,0,0,316200,34343576,0,0,4040,251
0.946,2.524,96.530,0,0,0,0,316506,34363258,0,0,4034,261
0.637,2.229,97.134,0,0,0,0,316812,34482864,0,0,4021,254
1.445,5.780,92.486,0.289,0,0,24576,241402,25383207,0,0,3285,443
1.567,2.194,96.238,0,0,0,73728,305628,33942366,0,0,3944,268
2.500,1.875,95.625,0,0,0,0,315282,34357202,0,0,4045,316
0.955,1.592,97.452,0,0,0,0,315588,34379912,0,0,4011,244
1.254,2.508,96.238,0,0,0,0,312210,34420790,0,0,3999,239
0.946,2.208,96.530,0.315,0,0,90112,315282,34411706,0,0,4045,271
0.633,2.532,96.835,0,0,0,0,315486,34367800,0,0,4022,260
0.943,2.830,96.226,0,0,0,0,315996,34476808,0,0,4040,276
1.266,1.899,96.835,0,0,0,0,316302,34438958,0,0,4036,254
2.508,1.254,96.238,0,0,0,0,315996,34484378,0,0,4030,263
2.326,4.651,93.023,0,0,0,0,239614,25139471,0,0,3261,398
2.454,3.988,93.252,0.307,0,0,81920,311192,34217914,0,0,4046,322
0.631,2.524,96.845,0,0,0,0,316506,34311782,0,0,4053,258
1.250,2.812,95.938,0,0,0,0,317322,34360230,0,0,3998,242
1.270,1.587,97.143,0,0,0,0,316200,34336006,0,0,4000,266
1.258,2.201,96.541,0,0,0,0,316812,34292100,0,0,4008,260
1.262,2.208,96.530,0,0,0,0,317220,34463182,0,0,3989,277
0.935,3.427,95.327,0.312,0,0,24576,316710,34308754,0,0,3978,260
0.955,1.274,97.771,0,0,0,0,316200,34270904,0,0,4014,264
1.270,1.587,97.143,0,0,0,0,315894,34336006,0,0,4000,263
1.187,4.451,94.362,0,0,0,0,245100,26167255,0,0,3216,327
1.852,4.012,94.136,0,0,0,0,317864,33759376,0,0,4070,382
0.633,1.582,97.785,0,0,0,0,312782,33898562,0,0,3902,257
1.558,3.115,95.016,0.312,0,0,81920,316302,34313296,0,0,4007,277
0.637,1.911,97.452,0,0,0,0,316506,34385968,0,0,3988,263
1.274,1.592,97.134,0,0,0,0,316098,34378398,0,0,3975,254
1.572,1.887,96.541,0,0,0,16384,315468,34361744,0,0,4028,265
0.633,2.215,97.152,0,0,0,0,317016,34392024,0,0,4058,265
0.639,1.597,97.764,0,0,0,0,315996,34295129,0,0,4024,268
1.567,2.508,95.611,0.313,0,0,40960,316098,34337520,0,0,4015,281
1.254,2.821,95.925,0,0,0,0,317220,34554022,0,0,4043,279
2.825,6.780,90.395,0,0,0,0,238600,24951736,0,0,3204,439
2.194,1.881,95.925,0,0,0,0,314188,34157354,0,0,3964,271
1.270,1.587,97.143,0,0,0,0,315388,34204288,0,0,3988,269
0.633,2.532,96.835,0,0,0,0,315588,34429874,0,0,4017,266
2.188,1.875,95.625,0.312,0,0,81920,312138,34437444,0,0,4028,287
1.587,1.270,97.143,0,0,0,65536,316200,34301184,0,0,4086,295
1.887,1.887,96.226,0,0,0,0,315996,34276960,0,0,4024,257
0.633,2.532,96.835,0,0,0,0,315078,34310268,0,0,3999,248
0.629,3.145,96.226,0,0,0,0,316812,34407164,0,0,3996,236
1.262,1.893,96.845,0,0,0,0,313956,34181578,0,0,4003,256
3.429,5.143,91.429,0,0,0,106496,239440,25044089,0,0,3219,452
2.167,3.096,94.737,0,0,0,0,310478,33984860,0,0,4013,295
1.572,1.887,96.541,0,0,0,0,315588,34431388,0,0,4019,264
1.254,2.821,95.925,0,0,0,0,316914,34448042,0,0,4005,257
2.181,2.492,95.327,0,0,0,0,315792,34363258,0,0,4004,256
0.629,2.830,96.541,0,0,0,0,312318,34467724,0,0,4029,304
1.592,0.955,97.134,0.318,0,0,90112,315690,34364772,0,0,4011,277
0.938,3.438,95.625,0,0,0,0,315996,34314810,0,0,4044,263
0.633,2.215,97.152,0,0,0,0,315996,34429874,0,0,4017,259
1.258,2.516,96.226,0,0,0,0,314466,34276960,0,0,3986,257
1.760,4.692,93.548,0,0,0,0,239060,25557215,0,0,3117,319
1.529,5.199,93.272,0,0,0,0,317732,33930356,0,0,4176,367
0.943,2.201,96.541,0.314,0,0,81920,313884,33995458,0,0,3963,277
1.582,1.582,96.835,0,0,0,0,315588,34385968,0,0,3971,263
0.633,2.532,96.835,0,0,0,0,316506,34419276,0,0,3979,264
1.558,2.804,95.639,0,0,0,0,314262,34496490,0,0,4006,272
0.321,1.603,98.077,0,0,0,0,317118,34369314,0,0,3969,269
0.637,1.911,97.452,0,0,0,0,315588,34198232,0,0,3940,253
0.949,1.899,96.835,0.316,0,0,24576,317934,34463182,0,0,4018,286
0.639,1.278,98.083,0,0,0,0,317832,34485892,0,0,3999,286
1.558,3.115,95.327,0,0,0,8192,315996,34320866,0,0,3983,266
2.029,5.507,92.464,0,0,0,0,241786,25183357,0,0,3217,429
0.949,1.899,97.152,0,0,0,0,312802,33789554,0,0,3932,268
1.863,2.795,95.342,0,0,0,0,316506,34311782,0,0,4007,260
0.949,2.215,96.519,0.316,0,0,81920,316302,34339034,0,0,3979,262
0.946,2.208,96.845,0,0,0,0,311538,34299670,0,0,3989,267
0.318,1.911,97.771,0,0,0,0,315690,34269390,0,0,4014,258
1.558,3.115,95.327,0,0,0,0,316200,34331464,0,0,4020,253
0.955,1.274,97.771,0,0,0,0,316302,34325408,0,0,3983,252
0.633,2.215,97.152,0,0,0,0,316404,34393538,0,0,4015,258
1.266,2.215,96.519,0,0,0,98304,314466,34254250,0,0,4028,298
2.899,4.638,92.464,0,0,0,0,240856,25339318,0,0,3288,412
2.154,3.692,94.154,0,0,0,0,310374,34080140,0,0,3959,303
0.949,2.215,96.835,0,0,0,0,315690,34385968,0,0,4012,251
0.633,2.532,96.835,0,0,0,0,313344,34208830,0,0,4010,254
1.262,2.208,96.530,0,0,0,0,315486,34366286,0,0,3981,280
1.558,2.492,95.639,0.312,0,0,81920,315256,34314810,0,0,4037,271
0.633,2.215,97.152,0,0,0,0,314466,34202774,0,0,3991,266
0.641,1.282,98.077,0,0,0,0,316506,34296642,0,0,4008,254
1.562,2.812,95.625,0,0,0,0,315486,34417762,0,0,4017,247
1.266,1.582,97.152,0,0,0,57344,315078,34313296,0,0,4012,284
1.749,4.665,93.586,0,0,0,0,236263,25231725,0,0,3098,320
3.354,3.659,92.683,0.305,0,0,90112,316970,33953066,0,0,4149,446
0.940,2.508,96.552,0,0,0,0,311304,33856170,0,0,3949,265
0.627,3.135,96.238,0,0,0,0,315792,34325408,0,0,4011,255
0.949,2.215,96.835,0,0,0,0,315180,34396566,0,0,4000,261
1.254,2.508,96.238,0,0,0,0,313176,34416354,0,0,3994,270
0.637,1.911,97.452,0,0,0,0,316200,34349632,0,0,4028,267
1.258,2.201,96.226,0.314,0,0,24576,314976,34354174,0,0,4043,286
0.631,2.839,96.530,0,0,0,0,316710,34354174,0,0,4027,255
1.254,2.508,96.238,0,0,0,0,315180,34372342,0,0,3987,237
0.317,2.540,97.143,0,0,0,8192,315792,34364772,0,0,4006,250
2.305,6.628,91.066,0,0,0,0,237286,24680711,0,0,3228,432
1.852,3.086,95.062,0,0,0,0,310994,33940954,0,0,3953,261
0.321,1.923,97.756,0,0,0,81920,316710,34352660,0,0,4016,277
1.254,2.821,95.925,0,0,0,0,316200,34379912,0,0,3991,269
1.262,2.208,96.530,0,0,0,0,316812,34496490,0,0,3995,282
1.262,1.893,96.845,0,0,0,0,314718,34432902,0,0,3983,261
0.316,2.532,97.152,0,0,0,0,316710,34323894,0,0,4009,254
1.270,1.587,97.143,0,0,0,0,317220,34348118,0,0,4014,271
0.952,1.905,97.143,0,0,0,24576,318954,34522228,0,0,4039,278
1.875,2.188,95.938,0,0,0,0,313854,34137672,0,0,3922,267
2.874,5.460,91.667,0,0,0,0,240663,25153097,0,0,3212,414
2.804,1.869,95.327,0,0,0,0,309828,34093766,0,0,3992,299
0.637,1.911,97.452,0,0,0,0,315180,34195204,0,0,4021,242
1.254,2.508,96.238,0,0,0,0,316608,34261820,0,0,4022,264
2.188,1.875,95.938,0,0,0,90112,316812,34354174,0,0,4009,289
0.955,1.592,97.452,0,0,0,0,317220,34339034,0,0,4049,265
0.637,1.911,97.452,0,0,0,0,315690,34207316,0,0,4047,246
1.258,2.201,96.541,0,0,0,0,316608,34305726,0,0,4035,264
0.633,2.215,97.152,0,0,0,0,314364,34122532,0,0,4013,260
1.254,2.508,96.238,0,0,0,0,314976,34187634,0,0,4005,261
1.187,4.154,94.659,0,0,0,24576,238832,25511897,0,0,3230,345
3.049,3.963,92.988,0,0,0,0,319344,34219428,0,0,4152,357
1.266,1.899,96.835,0,0,0,0,312842,34181578,0,0,3988,257
0.631,2.524,96.845,0,0,0,0,314670,34245166,0,0,4018,258
0.631,2.839,96.530,0,0,0,90112,316098,34388996,0,0,3995,263
1.262,2.208,96.530,0,0,0,0,314496,34405650,0,0,4000,256
0.635,1.905,97.460,0,0,0,106496,315486,34269390,0,0,4011,245
1.262,2.208,96.530,0,0,0,0,316404,34405650,0,0,4030,266
1.266,1.899,96.835,0,0,0,0,315282,34322380,0,0,4005,258
3.704,1.543,94.753,0,0,0,0,315690,34307240,0,0,4022,306
1.254,2.821,95.925,0,0,0,0,314466,34281502,0,0,3982,257
2.915,4.665,92.420,0,0,0,0,239698,25110704,0,0,3222,441
1.250,1.875,96.562,0.312,0,0,81920,313586,33937926,0,0,3971,275
0,3.165,96.835,0,0,0,0,315996,34351146,0,0,4006,241
2.194,1.881,95.925,0,0,0,16384,314568,34317838,0,0,4019,284
2.469,2.469,95.062,0,0,0,0,312324,34363258,0,0,4000,266
0.949,2.215,96.835,0,0,0,0,315894,34322380,0,0,4033,248
1.572,1.887,96.541,0,0,0,0,316812,34346604,0,0,3986,278
0.629,3.145,96.226,0,0,0,40960,315384,34325408,0,0,4018,268
0.946,2.524,96.530,0,0,0,0,316404,34547966,0,0,4042,268
1.893,1.577,96.530,0,0,0,0,316812,34401108,0,0,3999,254
1.749,5.248,93.003,0,0,0,0,239710,24944165,0,0,3196,396
2.744,5.793,91.463,0,0,0,0,299724,32952604,0,0,3865,293
3.659,2.134,94.207,0,0,0,0,316302,34390510,0,0,3963,305
2.778,2.160,95.062,0,0,0,81920,316710,34348118,0,0,3949,318
4.242,2.424,93.333,0,0,0,0,316710,34357202,0,0,3936,295
4.242,2.121,93.636,0,0,0,0,312996,34240624,0,0,3887,278
3.939,2.727,93.333,0,0,0,0,316914,34307240,0,0,3938,288
3.385,1.538,95.077,0,0,0,0,315792,34295128,0,0,3935,289
2.477,2.167,95.356,0,0,0,90112,316710,34270904,0,0,3982,338
5.422,1.807,92.771,0,0,0,24576,315690,34257278,0,0,3921,295
5.070,4.507,90.423,0,0,0,0,238102,25195489,0,0,3094,357
7.632,12.368,80,0,0,0,0,323060,34910986,0,0,4330,331
0.631,2.839,96.530,0,0,0,0,309944,34065000,0,0,3933,263
1.262,2.208,96.530,0,0,0,0,318036,34499518,0,0,4026,275
2.188,2.188,95.625,0,0,0,0,315282,34258792,0,0,3961,256
1.562,2.812,95.625,0,0,0,81920,316020,34488920,0,0,4022,294
0.955,1.592,97.452,0,0,0,0,317118,34420790,0,0,4026,272
0.635,2.222,97.143,0,0,0,0,318138,34508602,0,0,4002,250
1.254,2.508,96.238,0,0,0,0,316098,34398080,0,0,3994,274
3.364,2.141,94.495,0,0,0,0,315384,34237596,0,0,3961,285
3.963,2.134,93.902,0,0,0,0,316098,34416248,0,0,3927,292
3.662,5.634,90.423,0.282,0,0,24576,237475,24762485,0,0,3143,459
4.790,2.695,92.515,0,0,0,0,312160,34004542,0,0,3972,322
4.242,2.424,93.333,0,0,0,73728,315282,34332979,0,0,3985,324
4.268,2.134,93.598,0,0,0,0,316098,34401108,0,0,3968,286
3.951,2.128,93.921,0,0,0,0,315486,34292100,0,0,3956,295
3.963,1.829,94.207,0,0,0,90112,313440,34401108,0,0,4001,321
2.446,3.364,94.190,0,0,0,0,316812,34484378,0,0,3972,293
3.040,3.040,93.921,0,0,0,8192,316404,34455612,0,0,3990,324
4.518,2.711,92.771,0,0,0,0,316404,34354174,0,0,3951,301
3.916,3.313,92.771,0,0,0,0,316404,34423818,0,0,3987,291
3.380,6.479,90.141,0,0,0,0,240064,25160649,0,0,3198,422
4.834,2.115,93.051,0,0,0,81920,308106,34114962,0,0,3954,319
4.217,2.711,93.072,0,0,0,0,315588,34363258,0,0,3952,310
3.354,2.744,93.902,0,0,0,0,316200,34452584,0,0,3974,306
3.976,1.835,94.190,0,0,0,0,315180,34378398,0,0,3935,292
4.518,2.711,92.771,0,0,0,0,314298,34478322,0,0,3953,316
3.670,1.835,94.495,0,0,0,0,314976,34252736,0,0,3958,302
3.067,2.761,94.172,0,0,0,24576,315792,34345090,0,0,3979,332
3.951,2.432,93.617,0,0,0,0,314874,34396566,0,0,3969,313
4.179,3.881,91.940,0,0,0,0,317118,34361744,0,0,3971,294
3.390,6.215,90.395,0,0,0,0,235077,25062238,0,0,3046,342
5.341,5.341,89.318,0,0,0,0,308346,32872900,0,0,4020,403
3.058,2.446,94.495,0,0,0,8192,310694,34336006,0,0,3979,305
2.744,3.354,93.598,0.305,0,0,81920,316608,34376884,0,0,3941,315
3.647,2.736,93.617,0,0,0,0,317730,34478322,0,0,3921,297
3.647,2.736,93.617,0,0,0,0,316812,34358716,0,0,3918,295
3.343,2.736,93.921,0,0,0,0,315466,34417762,0,0,3925,290
4.230,2.719,93.051,0,0,0,0,316608,34322380,0,0,3955,315
5.405,2.102,92.192,0.300,0,0,24576,316608,34392024,0,0,3920,325
4.204,3.003,92.793,0,0,0,0,317016,34490434,0,0,3950,307
2.167,2.786,95.046,0,0,0,0,316404,34357202,0,0,3935,288
3.170,4.611,92.219,0,0,0,0,236367,24650447,0,0,3102,445
5.310,3.540,91.150,0,0,0,0,310236,34119504,0,0,3925,308
2.469,2.469,95.062,0,0,0,81920,316200,34328436,0,0,3939,311
3.963,2.439,93.598,0,0,0,0,317322,34452584,0,0,3946,299
