"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/iperf3-1578412664-100-macsec-morus640-we-1500-dstat.csv",,,,"Date:","08 Jan 2020 04:07:01 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.343,8.299,87.323,0.036,0,9675.653,38335.863,0,0,0,0,4790.392,10718.280
7.438,9.642,82.920,0,0,0,0,226655,29715415,0,0,3432,314
12.295,6.011,81.694,0,0,0,0,245322,32956752,0,0,3685,263
14.209,5.898,79.893,0,0,0,0,249390,33102096,0,0,3694,259
12.603,5.753,81.644,0,0,0,0,251532,32979462,0,0,3667,264
15.282,4.826,79.893,0,0,0,0,252144,33123292,0,0,3714,253
13.896,4.632,81.199,0.272,0,0,122880,241166,32894678,0,0,3649,264
13.388,5.191,81.421,0,0,0,0,251634,33255010,0,0,3719,248
12.465,5.263,82.271,0,0,0,1892352,249594,33179311,0,0,3723,288
13.774,4.408,81.818,0,0,0,0,271422,33114208,0,0,3757,256
13.315,5.978,80.707,0,0,0,0,254490,33338280,0,0,3737,254
7.258,9.140,83.602,0,0,0,0,183124,22235231,0,0,2846,382
10.674,5.618,83.146,0.562,0,0,90112,241714,32027258,0,0,3693,266
11.173,5.866,82.961,0,0,0,0,252144,33280748,0,0,3795,266
12.813,4.735,82.451,0,0,0,0,263874,33005200,0,0,3791,259
12.742,4.709,82.548,0,0,0,0,243892,32934042,0,0,3747,263
11.798,5.056,83.146,0,0,0,0,266220,33188394,0,0,3802,267
12.948,5.234,81.818,0,0,0,0,254388,33235328,0,0,3803,252
11.944,6.111,81.944,0,0,0,24576,254796,33397326,0,0,3838,276
12.707,5.525,81.768,0,0,0,0,249288,33227758,0,0,3819,252
11.421,6.128,82.451,0,0,0,0,265302,33385214,0,0,3840,256
7.163,6.887,85.950,0,0,0,0,198950,23922215,0,0,3012,380
6.877,8.596,84.527,0,0,0,0,249370,32747820,0,0,3771,282
10.734,5.367,83.898,0,0,0,8192,251226,33182338,0,0,3815,252
11.204,5.882,82.633,0.280,0,0,81920,251634,33109666,0,0,3822,277
14.481,4.372,81.148,0,0,0,0,254490,33105124,0,0,3816,265
12.397,5.510,82.094,0,0,0,0,247224,33052134,0,0,3777,251
11.421,6.128,82.451,0,0,0,0,247758,33265608,0,0,3783,272
12.465,5.263,82.271,0,0,0,0,254490,33286804,0,0,3820,261
11.699,6.128,81.894,0.279,0,0,24576,252450,33308000,0,0,3795,276
11.236,5.337,83.427,0,0,0,0,247962,33289832,0,0,3780,266
11.528,4.826,83.646,0,0,0,0,201959,26537652,0,0,3132,314
7.479,10.526,81.994,0,0,0,0,230735,29047485,0,0,3580,344
