"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/iperf3-1578412664-100-orig-jumbo-without-encryption-dstat.csv",,,,"Date:","07 Jan 2020 18:32:32 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.523,6.407,90.028,0.042,0,32135.621,37759.465,0,0,0,0,4733.237,9892.852
9.314,16.176,74.510,0,0,0,16384,588580,15492858,0,0,10840,30642
11.616,13.384,75,0,0,0,0,664794,17589038,0,0,11803,35969
10.945,15.423,73.632,0,0,0,0,669232,17211814,0,0,12067,37294
10.250,15.500,74,0.250,0,0,131072,623394,16945902,0,0,12246,36472
11.823,15.271,72.906,0,0,0,0,683312,17004650,0,0,12071,37298
9.045,16.583,74.372,0,0,0,0,676170,16667622,0,0,12100,36870
7.286,18.090,74.623,0,0,0,0,665604,16860872,0,0,11993,36817
10.973,14.963,74.065,0,0,0,0,683616,16647524,0,0,11938,36769
10,15.750,74.250,0,0,0,0,739468,16457366,0,0,11714,37430
10.474,15.461,73.815,0.249,0,0,24576,623920,16540850,0,0,12344,35954
5.013,16.541,78.446,0,0,0,0,438267,12276241,0,0,9257,26302
9.750,15.500,74.750,0,0,0,0,494508,16783376,0,0,12405,33915
10,15,75,0,0,0,0,498374,16577758,0,0,12310,34128
11,14.250,74.750,0,0,0,0,466480,16883866,0,0,12564,33753
9.750,15.250,75,0,0,0,0,468930,16794198,0,0,12512,33698
11.278,13.784,74.937,0,0,0,81920,470498,16826664,0,0,12572,32993
10.526,14.536,74.937,0,0,0,0,468146,16761732,0,0,12482,33645
9,16,75,0,0,0,0,470008,16780284,0,0,12490,33673
8.772,16.291,74.937,0,0,0,0,472458,16743180,0,0,12405,33720
10.500,14.500,75,0,0,0,0,472948,16738542,0,0,12392,33695
8.291,14.070,77.638,0,0,0,8192,401096,10861939,0,0,8245,24444
9.160,15.522,75.064,0.254,0,0,81920,650186,17633872,0,0,11972,35898
11.692,14.428,73.881,0,0,0,0,668438,17329310,0,0,11815,36005
8.772,16.792,74.436,0,0,0,0,681978,17151520,0,0,11602,36192
12.030,13.784,74.185,0,0,0,0,686134,17106686,0,0,11625,36264
8.933,17.122,73.945,0,0,0,327680,681950,17154514,0,0,11244,35619
11.809,13.568,74.623,0,0,0,0,724306,16652162,0,0,11745,36673
11.750,14,74,0.250,0,0,49152,788154,16724824,0,0,11379,37093
9.950,16.169,73.881,0,0,0,0,653392,16664530,0,0,11929,35933
9.750,16.250,74,0,0,0,0,741840,16712456,0,0,11695,37518
9.824,12.091,78.086,0,0,0,65536,547534,12290329,0,0,9006,28291
11.166,15.385,73.449,0,0,0,0,686648,17085042,0,0,12018,37395
9.848,15.404,74.747,0,0,0,0,645106,17298390,0,0,12052,37215
11.500,14.250,74.250,0,0,0,90112,667790,16840774,0,0,11796,36846
9.453,16.915,73.632,0,0,0,0,668312,17018564,0,0,11820,37186
12.091,13.350,74.559,0,0,0,122880,729586,16740284,0,0,11959,37532
11.250,14.500,74.250,0,0,0,0,647200,16669168,0,0,12147,36475
10.526,15.288,74.185,0,0,0,0,671856,16814492,0,0,11905,36874
10.302,15.075,74.623,0,0,0,0,683582,16400164,0,0,11815,36442
10.697,15.672,73.632,0,0,0,24576,702848,16313588,0,0,11825,36807
11.750,13.750,74.500,0,0,0,0,702475,16599799,0,0,11554,36794
7.035,15.075,77.889,0,0,0,0,507760,12978022,0,0,9257,27902
10.500,15,74.500,0,0,0,0,678468,17282832,0,0,11557,36119
11.421,13.452,75.127,0,0,0,0,636906,17323126,0,0,12055,35927
10.831,14.358,74.811,0,0,0,0,672678,16914982,0,0,11839,36132
10.750,15,74,0.250,0,0,81920,671206,17063398,0,0,11883,36751
10.553,14.824,74.623,0,0,0,0,673146,16652162,0,0,11781,36652
10.302,15.075,74.623,0,0,0,0,719654,16519206,0,0,11832,37150
10.973,14.963,74.065,0,0,0,0,716026,16397072,0,0,11586,36946
10.670,15.633,73.697,0,0,0,0,658326,16316680,0,0,12169,36185
9.273,16.792,73.935,0,0,0,0,771166,16424900,0,0,11584,37743
8.458,14.179,77.363,0,0,0,24576,529259,12308689,0,0,9073,26007
10.276,15.288,74.436,0,0,0,0,691190,16721732,0,0,11709,37233
10.406,14.467,75.127,0,0,0,0,759464,16630518,0,0,11449,37997
11.911,14.640,73.449,0,0,0,0,675430,16979914,0,0,11794,37222
7.323,17.677,75,0,0,0,0,647338,16523844,0,0,12056,36224
9.500,16.250,74.250,0,0,0,0,614060,16704628,0,0,12359,35794
10.750,14.750,74.250,0.250,0,0,81920,628066,16726472,0,0,12031,35835
11.471,13.716,74.813,0,0,0,0,504630,16692162,0,0,12455,34268
11.529,13.534,74.937,0,0,0,0,483140,16839032,0,0,12476,34026
8.479,16.708,74.813,0,0,0,0,482356,16798836,0,0,12463,33914
6.566,13.636,79.798,0,0,0,24576,378436,11064159,0,0,8445,23982
11.779,13.784,74.436,0,0,0,0,636852,17803932,0,0,12099,35861
9.524,16.291,74.185,0,0,0,0,669004,17658608,0,0,11769,36420
10.474,15.960,73.566,0,0,0,90112,711842,17435984,0,0,11663,36563
11.500,13.750,74.750,0,0,0,0,545342,17114220,0,0,12283,34767
10.526,14.536,74.937,0,0,0,0,490686,17013730,0,0,12555,34362
10.750,14.250,75,0,0,0,0,488824,17010638,0,0,12516,34265
10.276,14.787,74.937,0,0,0,0,487844,16976626,0,0,12553,34264
10.250,14.750,75,0,0,0,0,489020,16973534,0,0,12520,34277
11.471,13.716,74.564,0.249,0,0,24576,488432,16897780,0,0,12507,34194
8.291,14.824,76.633,0.251,0,0,122880,442431,14668061,0,0,11002,30365
8.040,16.080,75.879,0,0,0,0,599694,14914184,0,0,10609,31704
11.028,14.536,74.436,0,0,0,0,665080,17244280,0,0,12050,37528
12.250,13.750,74,0,0,0,0,655872,17200992,0,0,12023,37211
11.055,14.573,74.372,0,0,0,0,672822,16792848,0,0,12012,36995
