"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat -N eth1,macsec0--noheaders --output final/ping-1571844895-macsec-aegis128l-e-frag-1500-dstat.csv",,,,"Date:","23 Oct 2019 23:28:07 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eth1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.896,8.128,87.706,0.270,0,9939.233,40667.247,0,0,0,0,4758.710,8693.234
0.514,2.314,97.172,0,0,0,0,123904,125330,0,0,2543,1722
2.302,1.790,95.908,0,0,0,0,115908,116561,0,0,2440,1612
1.535,2.813,95.652,0,0,0,0,115596,115882,0,0,2442,1624
0.758,0.505,60.354,38.384,0,0,221184,28392,28236,0,0,1349,572
0.765,1.020,73.469,24.745,0,0,335872,58812,58968,0,0,1690,869
0.515,2.835,96.649,0,0,0,0,115908,115752,0,0,2431,1601
0.514,3.085,96.401,0,0,0,0,115908,115908,0,0,2423,1598
1.028,2.571,96.401,0,0,0,0,115908,116064,0,0,2446,1606
0.771,2.828,95.630,0.771,0,0,114688,114972,114816,0,0,2417,1618
0.771,2.828,96.401,0,0,0,0,115908,115908,0,0,2437,1606
2.046,2.302,95.652,0,0,0,8192,115842,117506,0,0,2430,1618
2.296,2.041,95.663,0,0,0,0,116064,116291,0,0,2441,1620
1.023,3.069,95.908,0,0,0,0,115908,115908,0,0,2424,1604
0.761,3.553,89.086,6.599,0,0,40960,101088,101244,0,0,2268,1440
1.554,1.295,97.150,0,0,0,0,116064,115908,0,0,2422,1612
1.546,1.804,96.649,0,0,0,0,116327,116064,0,0,2458,1619
1.790,2.302,95.908,0,0,0,0,116064,116483,0,0,2418,1606
1.546,2.062,96.392,0,0,0,0,116064,116064,0,0,2440,1604
2.290,2.290,94.911,0.509,0,0,24576,115284,115284,0,0,2420,1623
1.542,2.057,96.401,0,0,0,0,116220,116220,0,0,2433,1607
0.773,2.835,96.392,0,0,0,0,116064,116064,0,0,2442,1609
1.795,2.051,96.154,0,0,0,0,116064,116064,0,0,2430,1600
0.771,2.828,96.401,0,0,0,0,116220,116064,0,0,2441,1611
1.795,2.051,95.641,0.513,0,0,24576,115823,115440,0,0,2438,1634
1.535,2.558,95.908,0,0,0,0,116064,116220,0,0,2440,1616
2.296,2.041,95.663,0,0,0,0,115908,115908,0,0,2437,1625
1.542,2.057,96.401,0,0,0,0,116064,116064,0,0,2432,1608
2.821,1.026,96.154,0,0,0,0,115908,115908,0,0,2422,1612
4.061,0.761,94.670,0.508,0,0,24576,115596,115596,0,0,2454,1640
3.061,1.276,95.663,0,0,0,0,116064,115908,0,0,2432,1614
2.545,2.036,95.420,0,0,0,0,115908,116064,0,0,2445,1616
1.272,3.308,95.420,0,0,0,0,115908,115752,0,0,2433,1598
1.028,2.314,96.658,0,0,0,0,115752,115908,0,0,2435,1609
1.285,2.571,95.887,0.257,0,0,24576,115284,115284,0,0,2429,1615
1.285,2.571,96.144,0,0,0,2719744,115440,115440,0,0,2471,1668
2.308,1.538,96.154,0,0,0,0,115986,115830,0,0,2421,1603
1.809,1.292,96.899,0,0,0,0,115752,115908,0,0,2443,1608
1.527,2.799,95.674,0,0,0,0,115908,115908,0,0,2422,1593
2.057,1.542,95.630,0.771,0,0,40960,114660,114504,0,0,2430,1616
1.519,3.544,94.937,0,0,0,0,115752,115908,0,0,2432,1604
1.786,2.551,95.663,0,0,0,8192,115752,115752,0,0,2453,1632
0.771,2.828,96.401,0,0,0,90112,115908,115908,0,0,2452,1662
1.036,1.813,97.150,0,0,0,0,115908,115908,0,0,2445,1615
1.289,2.320,95.876,0.515,0,0,24576,115050,115050,0,0,2421,1614
1.535,2.558,95.908,0,0,0,8192,115752,115752,0,0,2448,1622
1.276,3.316,95.408,0,0,0,0,115908,115908,0,0,2424,1601
