"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat -N eth1,macsec0--noheaders --output final/ping-1571844895-macsec-aes-gcm-e-jumbo-MACsec-Ethernet-9000-dstat.csv",,,,"Date:","24 Oct 2019 02:53:10 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eth1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.042,8.593,87.114,0.251,0,8859.368,39722.937,0,0,0,0,4668.020,8832.965
1.786,2.806,95.408,0,0,0,0,121787,121851,0,0,3286,4838
4.113,1.285,94.602,0,0,0,0,113362,113670,0,0,3120,4516
3.283,3.535,93.182,0,0,0,0,109824,110349,0,0,2461,3797
3.069,2.558,94.373,0,0,0,0,109200,109380,0,0,2329,3644
3.474,4.715,91.315,0.496,0,0,81920,108498,108498,0,0,2304,3626
4.282,2.519,93.199,0,0,0,0,109200,109200,0,0,2323,3638
3.250,4.500,90.750,1.500,0,0,770048,108647,108264,0,0,2350,3920
5.185,3.457,91.358,0,0,0,8192,109044,109044,0,0,2331,3724
4.589,6.039,89.372,0,0,0,0,109044,109427,0,0,2341,3764
2.558,2.046,88.235,7.161,0,0,65536,94068,94068,0,0,2104,3343
2.584,1.809,95.607,0,0,0,0,109044,109044,0,0,2302,3795
1.550,2.842,95.607,0,0,0,0,109200,109200,0,0,2285,3747
4.831,6.039,89.130,0,0,0,0,109044,109044,0,0,2337,3787
2.256,5.013,92.732,0,0,0,0,109200,109200,0,0,2303,3748
1.546,3.093,94.845,0.515,0,0,24576,108576,108576,0,0,2308,3822
4.545,6.938,88.517,0,0,0,0,109044,109044,0,0,2340,3805
4.715,3.722,91.563,0,0,0,876544,109463,109044,0,0,2362,3725
4.048,7.857,88.095,0,0,0,0,109200,109200,0,0,2359,3754
4.045,12.809,83.146,0,0,0,0,109044,109463,0,0,2412,3784
4.773,7.160,87.828,0.239,0,0,40960,108576,108576,0,0,2362,3732
5.463,6.888,87.648,0,0,0,0,109044,109044,0,0,2346,3739
