"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat -N eth1,macsec0--noheaders --output final/ping-1571844895-macsec-aesgcm-e-frag-jumbo-1500-dstat.csv",,,,"Date:","24 Oct 2019 01:10:05 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eth1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.108,8.948,86.673,0.271,0,8371.562,40316.710,0,0,0,0,4761.008,8758.363
0.258,3.608,96.134,0,0,0,0,120276,120915,0,0,3272,4805
0.767,5.115,94.118,0,0,0,0,113206,113621,0,0,3055,4421
1.768,5.051,93.182,0,0,0,0,110760,111022,0,0,2357,3693
1.031,4.124,94.845,0,0,0,131072,111228,111408,0,0,3065,4453
2.284,3.807,93.401,0.508,0,0,81920,110058,110058,0,0,2885,4224
1.961,7.353,90.686,0,0,0,0,109512,109512,0,0,2358,3634
2.785,3.291,93.924,0,0,0,0,109356,109356,0,0,2309,3866
1.575,1.312,97.113,0,0,0,8192,109200,109200,0,0,2301,4020
3.491,4.239,92.269,0,0,0,0,109200,109044,0,0,2313,3982
1.026,4.103,94.359,0.513,0,0,32768,108264,108264,0,0,2303,3948
3.474,4.715,91.811,0,0,0,0,109356,109356,0,0,2318,3904
2.250,5.250,92.500,0,0,0,0,109044,109200,0,0,2335,4010
3.457,5.185,91.358,0,0,0,65536,109200,109044,0,0,2335,3964
2.703,6.388,90.909,0,0,0,0,109044,109044,0,0,2338,3988
3.676,5.637,90.196,0.490,0,0,98304,108527,108264,0,0,2344,3980
2.005,5.263,92.732,0,0,0,0,109356,109356,0,0,2358,3959
4.450,8.899,86.651,0,0,0,0,109044,108888,0,0,2400,3957
4.106,6.522,89.372,0,0,0,8192,109200,109775,0,0,2410,3891
3.325,2.046,94.629,0,0,0,0,109200,109044,0,0,2322,3970
1.583,0.792,97.098,0.528,0,0,49152,108264,108420,0,0,2322,3968
2.778,3.788,93.434,0,0,0,0,109044,109044,0,0,2338,4004
3.474,4.715,91.811,0,0,0,0,109044,108888,0,0,2370,3958
2.169,8.434,89.398,0,0,0,0,109044,109044,0,0,2364,3974
2.963,5.679,91.358,0,0,0,0,108888,109044,0,0,2371,3923
2.089,1.044,96.084,0.783,0,0,24576,108264,108264,0,0,2307,3977
2.927,6.585,90.488,0,0,0,0,109044,109044,0,0,2372,3834
0.269,0.269,99.462,0,0,0,0,109278,109122,0,0,2298,3922
0.792,1.583,97.625,0,0,0,8192,108888,109044,0,0,2316,4044
0.796,0.796,98.408,0,0,0,0,109044,108888,0,0,2326,3999
1.299,2.857,95.584,0.260,0,0,40960,108108,108264,0,0,2305,3969
1.527,4.326,94.148,0,0,0,0,109044,108888,0,0,2346,3996
0.267,0.800,98.933,0,0,0,0,108888,109044,0,0,2316,3979
1.047,2.094,96.597,0.262,0,0,2768896,108966,108810,0,0,2356,4103
1.813,2.073,96.114,0,0,0,0,109044,109200,0,0,2294,3957
2.041,3.571,92.857,1.531,0,0,49152,105768,105612,0,0,2274,3761
2.217,6.650,91.133,0,0,0,0,109044,109200,0,0,2325,3919
1.571,1.309,97.120,0,0,0,0,109200,109200,0,0,2296,3980
2.709,6.404,90.887,0,0,0,114688,109200,109200,0,0,2371,3991
2.519,4.282,93.199,0,0,0,0,109356,109356,0,0,2330,3936
1.319,1.055,97.098,0.528,0,0,24576,108732,108576,0,0,2294,4004
1.285,3.599,95.116,0,0,0,0,109200,109200,0,0,2309,4059
1.546,3.351,95.103,0,0,0,0,109200,109356,0,0,2297,3989
2.519,4.282,93.199,0,0,0,0,109356,109356,0,0,2317,3887
2.320,2.320,95.361,0,0,0,0,109200,109044,0,0,2301,3963
2.513,4.523,92.462,0.503,0,0,24576,108420,108420,0,0,2321,3991
0.533,1.067,98.400,0,0,0,0,109463,109044,0,0,2279,4014
2.806,2.806,94.388,0,0,0,0,109044,109044,0,0,2295,3947
1.036,3.109,95.855,0,0,0,0,109427,109200,0,0,2290,4013
2.083,1.562,96.354,0,0,0,0,109044,109271,0,0,2303,4047
0.794,1.323,97.354,0.529,0,0,24576,108342,108342,0,0,2261,3985
2.577,2.320,95.103,0,0,0,0,109044,109619,0,0,2358,3914
2.513,4.523,92.965,0,0,0,0,109668,109512,0,0,2352,3639
4.668,4.177,91.155,0,0,0,0,109200,109200,0,0,2331,3714
4.369,5.825,89.806,0,0,0,0,109200,109356,0,0,2361,3781
4.866,5.109,89.538,0.487,0,0,24576,108420,108264,0,0,2334,3877
1.567,1.828,96.606,0,0,0,0,109200,109200,0,0,2311,3909
2.799,3.053,94.148,0,0,0,0,109200,109356,0,0,2307,3883
3.731,4.229,92.040,0,0,0,0,109356,109200,0,0,2336,3899
2.743,4.988,92.269,0,0,0,0,109356,109356,0,0,2322,3881
1.975,6.667,90.864,0.494,0,0,24576,108732,108732,0,0,2333,3784
3.659,6.098,90.244,0,0,0,0,109200,109200,0,0,2337,3835
2.920,7.056,90.024,0,0,0,0,109200,109356,0,0,2353,3898
2.057,3.085,94.859,0,0,0,2588672,109200,109200,0,0,2322,3993
2.934,6.601,90.465,0,0,0,0,109200,109200,0,0,2355,3949
2.993,4.738,91.771,0.499,0,0,40960,108810,108654,0,0,2317,3845
2.956,5.665,91.379,0,0,0,0,109512,109512,0,0,2347,3806
2.051,3.077,94.872,0,0,0,0,109512,109512,0,0,2309,3848
3.704,4.938,91.358,0,0,0,16384,109200,109356,0,0,2346,3875
2.025,4.304,93.671,0,0,0,0,109356,109200,0,0,2303,3938
1.493,6.468,91.542,0.498,0,0,40960,108576,108732,0,0,2353,3889
0.779,2.857,96.364,0,0,0,0,109512,109356,0,0,2298,3934
3.544,6.582,89.873,0,0,0,0,142610,142610,0,0,2653,3776
1.546,3.351,95.103,0,0,0,0,193972,193972,0,0,2970,4223
2.302,3.325,94.373,0,0,0,0,193404,193688,0,0,2722,3974
2.036,3.562,93.893,0.509,0,0,32768,191700,191700,0,0,2266,3509
2.799,3.308,93.893,0,0,0,0,192268,192268,0,0,2306,3541
1.527,4.326,94.148,0,0,0,0,192836,192552,0,0,2259,3504
2.545,3.308,94.148,0,0,0,0,192552,192552,0,0,2285,3530
2.041,3.571,94.388,0,0,0,0,192268,192552,0,0,2269,3502
