"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat -N eth1,macsec0--noheaders --output final/ping-1571844895-macsec-aesgcm-e-jumbo-2928-dstat.csv",,,,"Date:","24 Oct 2019 00:18:17 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eth1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.844,8.595,87.292,0.269,0,9295.979,40671.923,0,0,0,0,4506.144,7822.603
1.289,2.320,96.392,0,0,0,0,121319,121241,0,0,3122,4624
2.030,4.569,93.401,0,0,0,0,111490,111826,0,0,2433,3758
2.250,5.250,92.500,0,0,0,0,111540,111384,0,0,2390,3722
3.667,6.357,89.731,0.244,0,0,98304,110136,110472,0,0,2415,4081
2.577,2.320,95.103,0,0,0,0,109590,109434,0,0,2351,4124
0.800,0.533,98.667,0,0,0,0,108888,109044,0,0,2324,4176
0.269,0.269,99.462,0,0,0,0,109044,109044,0,0,2309,4181
2.604,1.302,96.094,0,0,0,0,109044,108888,0,0,2343,4155
1.323,0.529,96.561,1.587,0,0,0,105612,105612,0,0,2279,4064
0.758,0.253,35.101,63.889,0,0,98304,15288,15288,0,0,1147,703
3.266,3.769,92.965,0,0,0,0,109044,109044,0,0,2356,4076
1.064,0.532,98.404,0,0,0,0,108888,109044,0,0,2328,4139
2.073,2.073,95.855,0,0,0,0,109044,108888,0,0,2331,4146
7.005,3.382,88.164,1.449,0,0,0,105612,105612,0,0,2355,3944
0.254,0,35.369,64.377,0,0,131072,11388,11388,0,0,1085,482
4.030,2.771,93.199,0,0,0,0,109044,109044,0,0,2379,4058
1.064,0.532,98.404,0,0,0,0,108888,109427,0,0,2310,4123
1.053,1.579,97.368,0,0,0,0,109307,109307,0,0,2346,4239
1.055,1.583,97.098,0.264,0,0,262144,107952,107952,0,0,2355,4375
1.064,0.532,98.404,0,0,0,0,108888,108888,0,0,2332,4264
2.089,1.567,96.345,0,0,0,0,109044,108888,0,0,2328,4149
0.532,1.064,98.404,0,0,0,0,108888,109044,0,0,2336,4169
0.268,0.536,99.196,0,0,0,0,109044,109044,0,0,2316,4193
2.356,0.785,96.597,0.262,0,0,32768,109271,108732,0,0,2344,4211
0.528,2.111,97.361,0,0,0,0,108966,108966,0,0,2343,4148
1.326,0.531,98.143,0,0,0,0,109044,109044,0,0,2320,4155
2.525,4.040,93.434,0,0,0,0,108888,108888,0,0,2372,4083
2.571,2.314,95.116,0,0,0,0,109044,109044,0,0,2343,4054
0.792,1.319,96.306,1.583,0,0,0,105612,105612,0,0,2295,4076
0.245,0,25.490,74.265,0,0,49152,156,312,0,0,967,107
1.351,1.351,97.027,0.270,0,0,8192,106080,105924,0,0,2278,4097
2.089,1.567,96.345,0,0,0,0,109044,109044,0,0,2350,4222
2.100,0.787,97.113,0,0,0,0,109044,109044,0,0,2337,4200
1.857,0.265,96.552,1.326,0,0,2637824,105300,105300,0,0,2275,4161
0.211,0,26.427,73.362,0,0,57344,156,312,0,0,1128,124
0.990,0,98.680,0.330,0,0,8192,88452,88452,0,0,1885,3472
1.319,1.055,97.625,0,0,0,0,109044,108888,0,0,2334,4163
1.583,0.792,97.625,0,0,0,0,108888,109044,0,0,2307,4134
1.323,1.058,97.619,0,0,0,32768,108732,108732,0,0,2344,4174
1.319,1.055,97.625,0,0,0,0,108888,108888,0,0,2320,4148
1.070,0,98.930,0,0,0,0,109200,109044,0,0,2333,4131
0.536,0.536,98.928,0,0,0,0,109044,109044,0,0,2318,4157
1.067,0.267,98.667,0,0,0,0,108888,109044,0,0,2332,4127
1.579,0.789,96.842,0.789,0,0,32768,107640,107640,0,0,2299,4213
3.390,7.264,89.346,0,0,0,0,109044,108888,0,0,2396,3926
2.005,5.514,92.481,0,0,0,0,111228,111384,0,0,3039,4322
1.279,4.348,94.373,0,0,0,0,111696,111696,0,0,3089,4422
0.515,4.381,95.103,0,0,0,0,111696,111696,0,0,3071,4408
2.158,9.353,88.489,0,0,0,32768,109668,110087,0,0,2582,3879
1.235,7.407,91.358,0,0,0,0,109697,109122,0,0,2350,3790
0.268,0.804,98.928,0,0,0,0,108888,109044,0,0,2278,4176
0.798,0.798,98.404,0,0,0,0,108888,108732,0,0,2284,4241
0.796,1.061,98.143,0,0,0,0,108732,108732,0,0,2266,4277
1.036,3.109,95.596,0.259,0,0,73728,108576,108732,0,0,2316,4156
0.532,1.330,98.138,0,0,0,0,108810,108810,0,0,2280,4304
1.323,0.794,97.884,0,0,0,0,109200,109044,0,0,2307,4183
0.532,1.064,98.404,0,0,0,0,108888,109044,0,0,2279,4201
0.535,0.802,98.663,0,0,0,0,109044,108888,0,0,2289,4195
2.326,1.809,95.607,0.258,0,0,32768,108732,108888,0,0,2302,4110
2.821,2.308,94.872,0,0,0,0,108888,108732,0,0,2313,4184
1.813,2.332,95.855,0,0,0,0,108888,109044,0,0,2293,4111
2.806,3.061,94.133,0,0,0,0,109044,108888,0,0,2306,4110
1.312,1.575,97.113,0,0,0,0,108888,109044,0,0,2273,4149
1.809,2.584,95.349,0.258,0,0,32768,108576,108420,0,0,2307,4170
1.828,1.567,96.606,0,0,0,2482176,108888,108888,0,0,2294,4144
4.358,6.053,89.588,0,0,0,0,109044,109044,0,0,2357,3980
6.954,4.317,88.729,0,0,0,0,109044,109044,0,0,2325,3888
4.489,3.242,92.269,0,0,0,0,109200,109200,0,0,2334,3886
7.143,4.762,87.857,0.238,0,0,49152,108576,108732,0,0,2345,3853
0.789,1.842,97.368,0,0,0,16384,109512,109512,0,0,2442,4250
1.531,4.337,94.133,0,0,0,0,112008,111852,0,0,3070,4431
1.282,4.359,94.359,0,0,0,0,111852,111852,0,0,3095,4439
2.494,5.237,92.269,0,0,0,0,110604,110760,0,0,2725,4063
0.773,4.124,95.103,0,0,0,49152,110760,110604,0,0,2819,4178
1.786,4.082,94.133,0,0,0,0,111774,111930,0,0,3091,4451
3.333,5.641,91.026,0,0,0,0,146740,146868,0,0,2828,3839
0.783,3.133,96.084,0,0,0,0,195392,195108,0,0,2988,4240
1.305,2.611,96.084,0,0,0,0,195108,195392,0,0,2957,4241
0.779,3.636,95.325,0.260,0,0,40960,193972,193688,0,0,2946,4225
3.053,2.799,94.148,0,0,0,0,190848,190848,0,0,2228,3488
2.041,3.827,94.133,0,0,0,0,190564,190848,0,0,2238,3490
1.804,2.835,95.361,0,0,0,0,191132,191515,0,0,2216,3489
1.786,4.082,94.133,0,0,0,0,190848,190848,0,0,2216,3479
1.289,3.351,95.103,0.258,0,0,32768,190280,190280,0,0,2227,3496
1.538,3.846,94.615,0,0,0,32768,190848,190564,0,0,2244,3502
1.538,3.846,94.615,0,0,0,0,191132,191132,0,0,2233,3495
1.546,3.093,95.361,0,0,0,0,190947,190848,0,0,2233,3492
2.604,1.302,96.094,0,0,0,0,190848,190848,0,0,2219,3480
2.057,2.828,94.859,0.257,0,0,32768,189996,189996,0,0,2236,3501
2.564,2.821,94.615,0,0,0,0,190848,190564,0,0,2228,3488
1.042,2.865,96.094,0,0,0,0,190280,190564,0,0,2232,3485
1.542,3.599,94.859,0,0,0,0,190564,190280,0,0,2241,3471
3.562,2.290,94.148,0,0,0,0,189996,190280,0,0,2239,3475
2.046,3.581,93.095,1.279,0,0,0,184884,184600,0,0,2173,3364
0.192,0,26.488,73.321,0,0,24576,0,284,0,0,1223,131
1.527,1.145,96.947,0.382,0,0,2523136,131208,131208,0,0,1570,2497
2.308,3.077,94.615,0,0,0,0,190280,190280,0,0,2268,3483
2.551,3.316,94.133,0,0,0,0,190280,190280,0,0,2252,3467
1.790,3.836,93.862,0.512,0,0,49152,188860,188860,0,0,2276,3476
3.299,2.792,93.909,0,0,0,0,190280,190280,0,0,2261,3486
1.523,4.822,93.655,0,0,0,8192,190436,190436,0,0,2272,3482
3.759,3.759,92.481,0,0,0,0,189996,189996,0,0,2290,3488
3.827,2.041,94.133,0,0,0,0,190280,190280,0,0,2259,3481
2.041,3.827,93.367,0.765,0,0,32768,188292,188292,0,0,2272,3464
2.308,2.821,94.872,0,0,0,0,190848,190848,0,0,2282,3495
2.314,2.828,94.859,0,0,0,8192,191132,191132,0,0,2298,3507
2.778,3.788,93.434,0,0,0,0,191700,191416,0,0,2286,3493
1.285,3.856,94.859,0,0,0,0,191416,191700,0,0,2299,3495
2.564,2.821,94.103,0.513,0,0,32768,189712,189428,0,0,2295,3487
1.535,3.836,94.629,0,0,0,0,191700,191984,0,0,2312,3495
1.809,2.842,95.349,0,0,0,0,191700,191700,0,0,2296,3501
1.289,3.608,95.103,0,0,0,0,192268,191984,0,0,2310,3505
0.765,4.847,94.388,0,0,0,0,191984,192687,0,0,2302,3500
1.036,3.368,94.819,0.777,0,0,32768,190415,189996,0,0,2311,3499
0.775,3.876,95.349,0,0,0,0,191984,191700,0,0,2294,3497
1.546,3.093,95.361,0,0,0,0,191700,191984,0,0,2310,3508
1.285,3.856,94.859,0,0,0,0,191984,191984,0,0,2289,3488
3.061,2.806,94.133,0,0,0,0,191700,191700,0,0,2320,3514
1.535,3.836,93.862,0.767,0,0,32768,189712,189712,0,0,2285,3484
1.809,2.842,95.349,0,0,0,0,191984,191984,0,0,2323,3510
3.061,2.806,94.133,0,0,0,16384,191700,191700,0,0,2295,3510
1.535,3.836,94.629,0,0,0,0,191984,191984,0,0,2316,3510
2.813,2.813,94.373,0,0,0,0,191984,191984,0,0,2309,3518
1.028,3.856,94.344,0.771,0,0,32768,189996,189712,0,0,2309,3498
1.818,2.338,95.844,0,0,0,0,191984,191984,0,0,2287,3499
2.041,3.827,94.133,0,0,0,2523136,190926,191210,0,0,2335,3526
1.777,4.569,93.655,0,0,0,0,191984,191700,0,0,2288,3495
2.290,3.562,94.148,0,0,0,0,191984,191984,0,0,2291,3504
2.302,3.325,93.606,0.767,0,0,49152,189428,189712,0,0,2306,3491
1.538,3.590,94.872,0,0,0,0,191984,191984,0,0,2302,3498
1.813,2.591,95.596,0,0,0,0,191984,191984,0,0,2303,3501
1.790,3.581,94.629,0,0,0,0,192268,191984,0,0,2292,3502
1.790,3.836,94.373,0,0,0,0,191700,191984,0,0,2308,3505
2.062,2.577,94.845,0.515,0,0,32768,190848,190564,0,0,2290,3497
2.538,3.807,93.655,0,0,0,0,191700,191700,0,0,2328,3511
1.302,2.604,96.094,0,0,0,0,191700,191700,0,0,2287,3497
2.046,3.325,94.629,0,0,0,8192,191700,191700,0,0,2314,3513
2.302,3.325,94.373,0,0,0,0,191984,191984,0,0,2288,3496
2.046,3.325,94.118,0.512,0,0,32768,190280,190564,0,0,2306,3500
2.302,3.325,94.373,0,0,0,0,191700,191700,0,0,2290,3498
2.296,3.316,94.388,0,0,0,0,191700,191700,0,0,2318,3500
1.538,3.846,94.615,0,0,0,0,191984,191984,0,0,2284,3492
2.302,3.069,94.629,0,0,0,0,191984,191700,0,0,2303,3504
2.551,3.316,93.622,0.510,0,0,32768,190564,190564,0,0,2284,3506
2.062,2.835,95.103,0,0,0,0,191700,191700,0,0,2305,3503
2.785,3.544,93.671,0,0,0,0,191700,192367,0,0,2294,3503
2.558,3.069,94.373,0,0,0,0,191778,191494,0,0,2318,3512
1.026,4.359,94.615,0,0,0,0,191700,191984,0,0,2286,3488
1.279,4.092,94.118,0.512,0,0,32768,190564,190280,0,0,2306,3505
2.046,3.325,94.629,0,0,0,0,191984,192268,0,0,2288,3491
2.571,3.599,93.830,0,0,0,0,183357,182690,0,0,2309,3435
2.604,4.167,93.229,0,0,0,0,311040,311580,0,0,2785,3693
1.279,4.604,94.118,0,0,0,0,345060,345060,0,0,2411,3498
2.290,4.071,93.384,0.254,0,0,40960,341280,341280,0,0,2229,3313
2.030,4.569,93.401,0,0,0,0,342900,342900,0,0,2241,3314
1.523,5.076,93.147,0.254,0,0,2523136,339120,338580,0,0,2229,3306
1.786,4.337,93.878,0,0,0,0,342900,343440,0,0,2209,3287
