"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat -N eth1,macsec0--noheaders --output final/ping-1571844895-macsec-aesgcm-we-frag-jumbo-1500-dstat.csv",,,,"Date:","24 Oct 2019 01:36:00 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eth1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.952,8.600,87.181,0.266,0,7974.534,40123.621,0,0,0,0,4598.477,8395.093
1.546,1.804,96.649,0,0,0,0,123580,125329,0,0,3323,4905
1.299,2.857,95.844,0,0,0,0,116171,116010,0,0,3165,4592
2.273,4.293,93.434,0,0,0,0,112476,112426,0,0,2450,4090
2.278,4.304,93.418,0,0,0,0,112320,112500,0,0,2388,4411
3.509,3.509,92.732,0.251,0,0,90112,111462,113132,0,0,2377,4312
2.284,3.807,93.909,0,0,0,0,112632,112476,0,0,2380,4262
2.785,3.797,93.418,0,0,0,0,112476,112632,0,0,2367,4259
1.531,4.082,94.388,0,0,0,0,112632,112476,0,0,2359,4233
1.795,3.333,94.872,0,0,0,0,112632,112632,0,0,2365,4220
2.314,2.828,94.602,0.257,0,0,24576,113412,113568,0,0,2921,4370
1.813,2.850,95.337,0,0,0,0,115440,116954,0,0,3144,4562
1.295,3.109,95.596,0,0,0,0,115128,115128,0,0,3151,4559
1.289,3.866,94.845,0,0,0,0,114816,114816,0,0,3126,4531
2.558,3.069,94.373,0,0,0,8192,112944,112944,0,0,3092,4478
2.513,4.523,92.714,0.251,0,0,24576,110604,110604,0,0,2484,3956
2.261,5.025,92.714,0,0,0,0,110370,110370,0,0,2354,4368
1.733,6.683,91.584,0,0,0,0,110604,110604,0,0,2344,4200
2.469,6.173,91.358,0,0,0,0,110604,111023,0,0,2358,4226
1.504,6.015,92.481,0,0,0,98304,110867,110448,0,0,2351,4281
2.764,4.271,92.714,0.251,0,0,106496,109512,109356,0,0,2348,4136
2.046,3.325,94.629,0,0,0,0,110604,110760,0,0,2316,4184
3.008,4.261,92.732,0,0,0,0,110448,111962,0,0,2348,4251
