"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat -N eth1,macsec0--noheaders --output final/ping-1571844895-macsec-chachapoly-e-frag-1500-dstat.csv",,,,"Date:","23 Oct 2019 22:37:58 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eth1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.161,8.181,87.374,0.284,0,11291.235,40946.679,0,0,0,0,5083.586,9755.597
1.028,1.799,97.172,0,0,0,0,131627,133995,0,0,2666,1882
0.777,2.332,96.891,0,0,0,319488,123502,123580,0,0,2548,1829
1.299,1.299,97.403,0,0,0,0,123708,123888,0,0,2507,1724
0.781,1.302,97.917,0,0,0,0,123708,123708,0,0,2503,1712
1.558,1.299,96.883,0.260,0,0,163840,123084,123264,0,0,2502,1732
1.790,2.046,96.164,0,0,0,0,123708,123708,0,0,2508,1723
0.262,1.309,98.429,0,0,0,0,123708,123708,0,0,2490,1702
1.295,1.554,97.150,0,0,0,0,123864,123864,0,0,2507,1717
1.042,1.042,97.917,0,0,0,0,123708,123708,0,0,2495,1713
1.299,1.039,97.403,0.260,0,0,24576,123396,123396,0,0,2510,1729
1.546,1.804,96.649,0,0,0,0,123798,125306,0,0,2494,1711
1.289,1.804,96.907,0,0,0,0,123864,123708,0,0,2504,1712
0.773,2.320,96.907,0,0,0,0,123708,123864,0,0,2493,1705
1.282,2.308,96.410,0,0,0,0,123708,123552,0,0,2505,1710
1.538,2.051,95.641,0.769,0,0,24576,121992,122148,0,0,2473,1718
0.515,2.835,96.649,0,0,0,0,124205,123786,0,0,2513,1718
1.809,1.292,96.899,0,0,0,1572864,123552,123971,0,0,2537,1842
1.542,1.799,96.658,0,0,0,24576,123864,123864,0,0,2515,1733
1.795,2.051,96.154,0,0,0,0,123552,123552,0,0,2494,1711
1.289,1.804,96.392,0.515,0,0,40960,122772,122772,0,0,2512,1728
2.062,1.289,96.649,0,0,0,0,123786,123786,0,0,2486,1706
1.546,1.546,96.907,0,0,0,0,123708,124091,0,0,2498,1717
2.046,2.046,95.908,0,0,0,0,123708,123552,0,0,2482,1703
1.538,2.051,96.410,0,0,0,0,123552,123708,0,0,2511,1714
0.517,2.584,96.382,0.517,0,0,24576,122928,122928,0,0,2492,1722
1.276,2.806,95.918,0,0,0,0,123552,123552,0,0,2512,1712
1.023,2.813,96.164,0,0,0,0,123396,123396,0,0,2490,1700
1.279,2.813,95.908,0,0,0,0,123552,123552,0,0,2500,1700
1.519,3.291,95.190,0,0,0,0,123396,123396,0,0,2511,1709
0.775,2.584,96.382,0.258,0,0,24576,122772,122772,0,0,2497,1716
1.282,2.308,96.410,0,0,0,0,123779,123396,0,0,2502,1715
1.795,2.051,96.154,0,0,0,1474560,123396,123396,0,0,2505,1728
1.786,2.551,95.663,0,0,0,0,123396,123240,0,0,2502,1714
1.781,2.545,95.674,0,0,0,0,123396,123552,0,0,2492,1715
2.799,1.527,94.911,0.763,0,0,40960,122148,122148,0,0,2491,1729
1.795,2.051,96.154,0,0,0,0,123396,123396,0,0,2495,1707
2.302,1.535,96.164,0,0,0,0,123396,123396,0,0,2495,1708
1.804,1.289,96.907,0,0,0,0,123396,123396,0,0,2481,1712
0.771,2.828,96.401,0,0,0,0,123240,123240,0,0,2512,1710
2.551,1.531,95.408,0.510,0,0,24576,122772,122772,0,0,2488,1733
1.538,2.051,96.410,0,0,0,0,123474,123474,0,0,2493,1710
2.025,3.038,94.937,0,0,0,0,123396,123240,0,0,2497,1709
1.023,2.813,96.164,0,0,0,0,123240,123240,0,0,2492,1706
2.799,1.527,95.674,0,0,0,0,123396,123396,0,0,2474,1707
2.041,2.296,95.153,0.510,0,0,24576,122460,122616,0,0,2488,1731
2.030,2.538,95.431,0,0,0,0,123474,123474,0,0,2479,1701
1.531,2.806,95.663,0,0,0,0,123396,123240,0,0,2494,1713
2.296,1.786,95.918,0,0,0,0,123815,123552,0,0,2482,1705
1.550,1.292,97.158,0,0,0,0,123396,123815,0,0,2498,1719
1.554,1.554,96.632,0.259,0,0,24576,122772,122772,0,0,2477,1715
1.289,1.804,96.907,0,0,0,0,123396,123396,0,0,2508,1720
1.028,2.571,95.887,0.514,0,0,32768,122148,122148,0,0,2483,1734
2.302,1.790,95.908,0,0,0,1941504,123396,123396,0,0,2500,1734
2.296,2.041,95.663,0,0,0,0,123396,123396,0,0,2487,1704
0.773,2.577,96.134,0.515,0,0,40960,122616,122616,0,0,2472,1709
1.804,1.546,96.649,0,0,0,0,123396,123396,0,0,2493,1705
1.292,1.809,96.899,0,0,0,0,123552,123396,0,0,2474,1701
1.285,2.314,96.401,0,0,0,0,123396,123396,0,0,2489,1704
1.790,2.302,95.908,0,0,0,0,123396,123396,0,0,2478,1695
0.517,2.326,96.641,0.517,0,0,24576,122616,122772,0,0,2496,1726
1.786,2.806,95.408,0,0,0,0,123552,123552,0,0,2477,1701
0.773,2.577,96.649,0,0,0,0,123396,123396,0,0,2498,1704
1.036,1.813,97.150,0,0,0,983040,123396,123396,0,0,2485,1715
2.046,3.325,94.629,0,0,0,0,202312,202156,0,0,3218,1790
1.535,2.558,95.396,0.512,0,0,49152,215556,215840,0,0,2503,1671
1.031,2.320,96.649,0,0,0,0,217054,216770,0,0,2442,1659
0.259,2.591,97.150,0,0,0,0,216692,216976,0,0,2430,1641
0.779,1.818,97.403,0,0,0,0,216976,216976,0,0,2445,1650
1.026,2.821,96.154,0,0,0,0,216976,216976,0,0,2425,1641
1.546,1.804,96.134,0.515,0,0,24576,215272,215272,0,0,2441,1668
1.295,1.554,97.150,0,0,0,0,217338,217054,0,0,2420,1637
1.039,1.299,97.662,0,0,0,0,216976,217260,0,0,2440,1648
1.036,2.073,96.891,0,0,0,983040,216976,216976,0,0,2438,1684
0.773,2.577,96.649,0,0,0,0,217260,217260,0,0,2458,1661
0.512,3.325,95.652,0.512,0,0,49152,215840,215840,0,0,2426,1652
1.028,2.571,96.401,0,0,0,0,217260,216976,0,0,2453,1660
1.292,1.809,96.899,0,0,0,0,217260,217544,0,0,2420,1642
0.524,1.309,98.168,0,0,0,0,217544,217544,0,0,2447,1652
1.279,2.813,95.908,0,0,0,0,217544,217260,0,0,2431,1639
1.511,4.030,94.207,0.252,0,0,24576,216124,216408,0,0,2443,1666
0.761,4.061,95.178,0,0,0,0,217544,217260,0,0,2449,1648
1.028,2.571,96.401,0,0,0,0,217544,217544,0,0,2439,1639
1.795,2.051,96.154,0,0,0,966656,216976,216976,0,0,2461,1698
1.804,1.546,96.649,0,0,0,0,217260,217544,0,0,2437,1652
1.031,2.062,96.134,0.773,0,0,40960,214988,215371,0,0,2439,1664
1.289,2.062,96.649,0,0,0,0,217544,217260,0,0,2441,1648
0.767,3.069,96.164,0,0,0,0,216976,217260,0,0,2447,1644
1.535,2.558,95.908,0,0,0,0,217260,217260,0,0,2434,1648
1.023,3.069,95.908,0,0,0,0,217260,217260,0,0,2445,1651
1.542,1.799,96.144,0.514,0,0,24576,215840,215840,0,0,2440,1670
1.289,2.062,96.649,0,0,0,0,216976,216976,0,0,2451,1653
2.041,2.041,95.918,0,0,0,0,217260,217260,0,0,2443,1652
1.538,2.308,96.154,0,0,0,974848,216692,216692,0,0,2462,1678
1.279,2.558,96.164,0,0,0,0,217643,216976,0,0,2444,1650
2.564,1.282,95.641,0.513,0,0,40960,214704,214988,0,0,2443,1668
2.036,2.545,95.420,0,0,0,0,217338,217054,0,0,2436,1651
2.525,2.778,94.697,0,0,0,0,216976,217260,0,0,2460,1662
0.777,2.073,97.150,0,0,0,0,217260,217260,0,0,2434,1643
3.046,1.777,95.178,0,0,0,0,217260,216976,0,0,2453,1666
1.538,2.308,95.641,0.513,0,0,24576,216124,216408,0,0,2436,1668
1.292,1.809,96.899,0,0,0,0,216976,216976,0,0,2438,1658
1.799,1.799,96.401,0,0,0,0,217260,216976,0,0,2422,1640
2.308,1.538,96.154,0,0,0,966656,216976,216976,0,0,2444,1675
2.284,2.538,95.178,0,0,0,0,216692,216976,0,0,2417,1649
2.545,2.290,94.656,0.509,0,0,40960,214782,214782,0,0,2433,1680
1.036,1.813,97.150,0,0,0,0,216976,216976,0,0,2430,1643
1.295,1.554,97.150,0,0,0,0,217260,217260,0,0,2420,1642
2.326,1.034,96.641,0,0,0,0,217260,217260,0,0,2445,1653
1.554,1.295,97.150,0,0,0,0,217260,217260,0,0,2417,1646
1.042,1.302,97.135,0.521,0,0,24576,216124,216124,0,0,2432,1664
3.308,1.272,95.420,0,0,0,0,217395,216976,0,0,2452,1677
1.282,2.564,96.154,0,0,0,0,217260,217260,0,0,2437,1645
2.792,2.030,95.178,0,0,0,974848,216692,217111,0,0,2445,1686
2.051,1.795,96.154,0,0,0,0,216976,216976,0,0,2448,1654
1.289,2.062,95.876,0.773,0,0,40960,214988,214704,0,0,2433,1662
2.284,2.538,95.178,0,0,0,0,216692,216976,0,0,2453,1665
1.285,2.057,96.658,0,0,0,0,216976,216976,0,0,2432,1638
1.028,2.571,96.401,0,0,0,0,216976,216976,0,0,2447,1649
1.285,2.057,96.658,0,0,0,0,216976,216976,0,0,2431,1637
1.804,1.804,96.134,0.258,0,0,24576,216124,216124,0,0,2456,1678
0.771,2.571,96.658,0,0,0,0,217338,217338,0,0,2475,1646
1.786,2.551,95.663,0,0,0,0,217544,217260,0,0,2492,1658
1.050,0.525,98.425,0,0,0,0,217260,217544,0,0,2459,1641
2.062,1.031,96.907,0,0,0,0,217544,217260,0,0,2491,1661
1.272,3.308,94.911,0.509,0,0,24576,215840,215840,0,0,2457,1657
1.036,1.813,97.150,0,0,0,0,217260,217260,0,0,2436,1660
1.289,1.804,96.907,0,0,0,0,217260,217544,0,0,2418,1638
2.821,1.026,96.154,0,0,0,0,217544,217260,0,0,2457,1663
4.592,3.571,91.837,0,0,0,0,230144,230684,0,0,2523,1585
1.036,2.591,95.855,0.518,0,0,32768,397980,397980,0,0,3035,1637
2.513,3.266,94.221,0,0,0,0,395280,395280,0,0,2365,1569
1.809,1.292,96.899,0,0,0,0,395820,395820,0,0,2370,1574
1.299,1.558,97.143,0,0,0,1875968,395820,395820,0,0,2386,1614
1.515,3.788,94.697,0,0,0,0,395820,395280,0,0,2381,1578
2.062,1.546,96.134,0.258,0,0,40960,393120,393660,0,0,2379,1607
2.326,0.775,96.899,0,0,0,0,395820,395820,0,0,2372,1573
1.550,1.550,96.899,0,0,0,0,395820,395280,0,0,2376,1590
0.792,0.528,98.681,0,0,0,0,395280,395820,0,0,2345,1576
1.511,4.030,94.458,0,0,0,0,395280,395280,0,0,2384,1582
1.036,2.073,96.373,0.518,0,0,24576,392580,392580,0,0,2367,1596
1.546,2.062,96.392,0,0,0,0,395280,394740,0,0,2385,1590
1.538,2.564,95.897,0,0,0,0,394740,395280,0,0,2370,1584
0.517,2.842,96.641,0,0,0,0,394740,394200,0,0,2374,1579
1.538,2.564,95.897,0,0,0,0,394200,394740,0,0,2354,1575
2.302,2.302,94.885,0.512,0,0,24576,392118,392118,0,0,2365,1607
1.292,2.067,96.641,0,0,0,0,393738,393738,0,0,2352,1578
0.519,2.597,96.883,0,0,0,0,394200,394200,0,0,2356,1578
1.535,2.813,95.141,0.512,0,0,1417216,390960,390803,0,0,2368,1634
