"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat -N eth1,macsec0--noheaders --output final/ping-1571844895-macsec-chachapoly-we-1500-1500-dstat.csv",,,,"Date:","24 Oct 2019 03:44:46 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eth1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.168,8.942,86.644,0.247,0,8182.672,39573.357,0,0,0,0,4750.716,9168.341
1.295,0.777,97.927,0,0,0,0,134607,134501,0,0,3569,1890
1.542,2.314,96.144,0,0,0,0,127296,127476,0,0,3385,1758
1.295,2.073,96.632,0,0,0,0,127140,127090,0,0,3413,1779
1.302,1.302,96.875,0.521,0,0,0,125424,125760,0,0,3353,1748
2.046,2.558,94.629,0.767,0,0,688128,127218,127062,0,0,3433,1880
1.295,1.813,96.891,0,0,0,8192,127452,127452,0,0,3387,1757
0.771,3.085,96.144,0,0,0,0,127296,127452,0,0,3390,1753
1.276,3.316,95.408,0,0,0,0,127452,127452,0,0,3405,1757
1.289,2.320,96.134,0.258,0,0,0,124644,124488,0,0,3166,1718
2,3.500,91.500,3,0,0,131072,110448,110448,0,0,2379,1555
2,4.250,93.750,0,0,0,0,124956,124956,0,0,2554,1724
1.772,3.291,94.937,0,0,0,0,124956,124956,0,0,2560,1728
2.025,3.038,94.937,0,0,0,0,125112,125112,0,0,2542,1728
2.256,3.759,93.734,0.251,0,0,24576,124020,124020,0,0,2559,1742
2.525,2.525,94.949,0,0,0,0,124956,124956,0,0,2540,1729
1.558,1.299,97.143,0,0,0,0,126672,126672,0,0,3389,1737
1.515,3.788,94.697,0,0,0,0,124956,124956,0,0,2552,1731
1.023,3.069,95.908,0,0,0,0,125531,125531,0,0,2556,1734
1.995,4.489,93.267,0.249,0,0,24576,123864,123864,0,0,2544,1752
2.051,1.795,96.154,0,0,0,0,126672,126828,0,0,3403,1758
1.546,2.062,96.392,0,0,0,0,126984,126984,0,0,3379,1753
1.018,3.817,95.165,0,0,0,0,126048,125892,0,0,2980,1732
2.010,3.518,94.472,0,0,0,0,125112,125112,0,0,2543,1722
0.260,2.597,96.883,0.260,0,0,24576,125268,125268,0,0,3138,1749
1.746,4.489,93.766,0,0,0,0,125112,125112,0,0,2550,1732
2.519,3.023,94.458,0,0,0,0,124800,124800,0,0,2561,1727
3.509,2.506,93.985,0,0,0,0,124800,124800,0,0,2546,1726
3.242,2.993,93.766,0,0,0,0,124956,124956,0,0,2557,1737
2.261,3.266,93.970,0.503,0,0,24576,124020,124020,0,0,2528,1726
2.532,2.532,94.937,0,0,0,0,124800,124800,0,0,2560,1740
2.015,3.275,94.710,0,0,0,0,125034,125034,0,0,2548,1728
1.504,4.511,93.985,0,0,0,0,124956,124956,0,0,2541,1718
2.500,3.750,93.750,0,0,0,0,125034,125034,0,0,2565,1730
1.023,2.813,95.908,0.256,0,0,24576,124020,124020,0,0,2530,1729
3.030,2.273,94.697,0,0,0,73728,125268,125424,0,0,2825,1764
1.546,2.062,96.392,0,0,0,2875392,127452,127452,0,0,3401,1775
0.781,1.823,97.396,0,0,0,0,127452,127452,0,0,3396,1761
0.512,3.581,95.908,0,0,0,0,127608,127608,0,0,3384,1747
1.295,1.813,96.632,0.259,0,0,32768,126204,126204,0,0,3377,1767
1.031,2.320,96.649,0,0,0,8192,126672,126516,0,0,3139,1733
2.256,3.759,93.985,0,0,0,57344,124800,124800,0,0,2576,1763
2.267,3.275,94.458,0,0,0,57344,124800,124800,0,0,2546,1741
2.010,3.518,94.472,0,0,0,0,124956,124956,0,0,2556,1734
2.273,3.030,94.444,0.253,0,0,24576,124488,124488,0,0,2643,1729
1.519,3.544,94.937,0,0,0,0,124800,124800,0,0,2552,1730
1.263,4.040,94.697,0,0,0,0,124956,124956,0,0,2542,1718
1.241,5.459,93.300,0,0,0,0,124800,124800,0,0,2555,1729
1.995,4.489,93.516,0,0,0,0,124800,125183,0,0,2547,1724
2.036,2.545,95.165,0.254,0,0,24576,125134,124751,0,0,2871,1761
1.777,3.046,95.178,0,0,0,0,124956,124956,0,0,2537,1716
2.015,3.526,94.458,0,0,0,0,124800,124800,0,0,2551,1733
2.545,2.036,95.420,0,0,0,0,125112,125112,0,0,2536,1724
1.023,3.069,95.908,0,0,0,0,124956,124956,0,0,2543,1729
2.015,3.526,94.207,0.252,0,0,24576,123864,123864,0,0,2526,1732
2.250,4,93.750,0,0,0,0,124800,124800,0,0,2548,1736
2.743,3.741,93.516,0,0,0,0,124722,124722,0,0,2524,1717
0.521,1.823,97.656,0,0,0,0,124332,124332,0,0,2522,1720
0,1.579,98.421,0,0,0,0,125112,125112,0,0,2978,1708
0,0.266,99.468,0.266,0,0,24576,123084,123084,0,0,2430,1703
0,1.319,98.681,0,0,0,0,124488,124488,0,0,2717,1719
0,0.266,99.734,0,0,0,0,124020,124020,0,0,2478,1697
0,0.267,99.733,0,0,0,0,124020,124020,0,0,2474,1704
2.350,3.655,93.995,0,0,0,0,173244,173244,0,0,2430,1643
1.542,2.057,96.144,0.257,0,0,32768,222656,222656,0,0,2526,1717
1.828,0.522,97.650,0,0,0,811008,224722,224722,0,0,2610,1740
0.267,0,99.733,0,0,0,2138112,226632,226916,0,0,3318,1734
0.777,2.332,96.891,0,0,0,0,226916,226632,0,0,3329,1721
0.265,0.531,99.204,0,0,0,0,226348,226348,0,0,3329,1705
1.036,1.813,96.891,0.259,0,0,40960,222088,222088,0,0,2505,1705
1.042,1.302,97.656,0,0,0,0,224076,224076,0,0,2537,1705
0.521,2.083,97.396,0,0,0,0,224076,224076,0,0,2518,1693
2.041,2.296,95.663,0,0,0,0,224076,224076,0,0,2549,1714
1.026,2.821,96.154,0,0,0,0,224076,224076,0,0,2537,1707
0.518,2.591,96.632,0.259,0,0,24576,222656,222656,0,0,2534,1710
1.034,2.067,96.899,0,0,0,0,224076,224076,0,0,2516,1696
1.542,2.057,96.401,0,0,0,16384,224076,224076,0,0,2551,1717
1.295,1.554,97.150,0,0,0,0,224076,224076,0,0,2529,1716
1.039,1.558,97.403,0,0,0,0,224644,224644,0,0,2553,1710
0,5.316,94.177,0.506,0,0,40960,224076,224076,0,0,3302,1703
1.550,1.550,96.899,0,0,0,0,224644,224644,0,0,2555,1720
1.295,1.554,97.150,0,0,0,0,224360,224360,0,0,2532,1702
0.789,0.526,98.684,0,0,0,0,224644,224644,0,0,2548,1706
0.525,1.050,98.425,0,0,0,0,224360,224360,0,0,2517,1693
0.521,1.562,97.656,0.260,0,0,24576,222940,222940,0,0,2528,1704
1.042,1.302,97.656,0,0,0,0,224644,224644,0,0,2540,1709
1.039,1.558,97.403,0,0,0,0,224928,224928,0,0,2536,1704
0.262,1.309,98.429,0,0,0,0,224644,224644,0,0,2537,1703
1.036,1.813,97.150,0,0,0,0,224644,224644,0,0,2531,1697
0,1.571,98.168,0.262,0,0,24576,222940,222940,0,0,2532,1714
0.522,1.567,97.911,0,0,0,0,224644,224644,0,0,2530,1699
0.262,1.309,98.429,0,0,0,0,224644,224644,0,0,2540,1698
1.034,1.809,97.158,0,0,0,0,224644,224644,0,0,2536,1702
1.036,1.554,97.409,0,0,0,0,224644,224644,0,0,2545,1704
0.519,1.818,97.403,0.260,0,0,24576,222372,222372,0,0,2524,1703
0.267,0,99.733,0,0,0,0,226348,226632,0,0,3316,1715
1.247,5.237,93.017,0.499,0,0,2990080,223792,223792,0,0,3328,1759
0.267,0,99.733,0,0,0,0,226994,226994,0,0,3350,1727
0.266,0,99.734,0,0,0,0,227200,226916,0,0,3343,1706
3.038,2.278,94.430,0.253,0,0,40960,225574,225858,0,0,3311,1728
0.266,0,99.734,0,0,0,0,226632,226348,0,0,3247,1698
1.031,2.062,96.907,0,0,0,0,224928,224928,0,0,2545,1716
0.779,1.558,97.662,0,0,0,0,224644,224644,0,0,2529,1700
0.261,1.567,98.172,0,0,0,0,224644,224644,0,0,2537,1704
1.034,1.809,96.899,0.258,0,0,24576,222656,222656,0,0,2514,1698
0.524,1.047,98.429,0,0,0,0,224644,224644,0,0,2544,1708
0.522,1.305,98.172,0,0,0,8192,224360,224360,0,0,2522,1695
1.036,1.554,97.409,0,0,0,0,224360,224360,0,0,2547,1723
0.783,1.044,98.172,0,0,0,0,224644,224644,0,0,2522,1689
0.517,2.326,96.899,0.258,0,0,24576,222940,222940,0,0,2543,1718
1.289,1.804,96.907,0,0,0,0,224360,224360,0,0,2527,1695
0.519,1.818,97.662,0,0,0,0,224360,224360,0,0,2531,1696
1.031,1.804,97.165,0,0,0,0,224644,224644,0,0,2550,1697
0,2.338,97.662,0,0,0,0,225162,224743,0,0,2538,1698
0.522,1.305,97.911,0.261,0,0,24576,223508,224211,0,0,2676,1723
0.266,0.266,99.468,0,0,0,0,226916,226916,0,0,3343,1711
0.265,0.529,99.206,0,0,0,0,227200,227200,0,0,3307,1716
0.265,0.265,99.469,0,0,0,0,226916,226916,0,0,3284,1711
0.266,0.266,99.468,0,0,0,0,226916,226916,0,0,3316,1717
1.554,1.036,97.150,0.259,0,0,24576,223792,223508,0,0,2601,1708
1.799,1.542,96.658,0,0,0,0,224360,224360,0,0,2550,1705
0,0.531,99.469,0,0,0,0,226348,226632,0,0,3335,1721
1.295,1.295,97.409,0,0,0,0,224928,224644,0,0,2545,1695
1.039,1.558,97.403,0,0,0,0,223792,223792,0,0,2541,1704
1.538,2.051,96.154,0.256,0,0,24576,222088,222088,0,0,2539,1709
0.517,2.326,97.158,0,0,0,0,224076,224076,0,0,2523,1691
2.835,4.124,93.041,0,0,0,2973696,249732,250272,0,0,2708,1665
1.036,2.332,96.632,0,0,0,0,423900,423900,0,0,3289,1690
1.542,2.057,96.401,0,0,0,0,417420,416880,0,0,2479,1663
1.523,3.046,95.178,0.254,0,0,49152,413718,413718,0,0,2470,1670
