"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat -N eth1,macsec0--noheaders --output final/ping-1571844895-macsec-morus640-e-1500-1500-dstat.csv",,,,"Date:","24 Oct 2019 05:22:49 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eth1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.936,9.472,86.358,0.234,0,7145.716,39417.318,0,0,0,0,4631.657,8087.543
0.262,1.047,98.168,0.524,0,0,106496,123346,123703,0,0,3299,1761
0.526,1.579,97.895,0,0,0,0,116844,117677,0,0,3119,1649
0.261,2.611,97.128,0,0,0,0,116688,116794,0,0,3131,1623
0.265,1.061,98.674,0,0,0,106496,116064,116088,0,0,2942,1703
1.285,2.314,96.401,0,0,0,0,114738,114738,0,0,2362,1593
1.015,3.807,94.924,0.254,0,0,40960,113412,113412,0,0,2334,1585
1.282,2.564,96.154,0,0,0,0,114972,115128,0,0,2373,1598
0.268,0,99.732,0,0,0,0,116844,116844,0,0,3100,1607
1.042,2.083,96.875,0,0,0,0,116220,116064,0,0,2982,1607
1.519,3.291,95.190,0,0,0,0,114816,114816,0,0,2354,1583
1.542,2.057,96.144,0.257,0,0,24576,114192,114192,0,0,2358,1620
1.023,3.069,95.908,0,0,0,0,114816,114816,0,0,2349,1590
1.289,2.320,96.392,0,0,0,0,114816,114816,0,0,2363,1594
0.767,3.069,96.164,0,0,0,0,114816,114816,0,0,2342,1578
1.031,2.320,96.649,0,0,0,0,115235,114816,0,0,2373,1603
1.795,2.051,95.897,0.256,0,0,24576,113880,113880,0,0,2333,1592
1.523,3.299,95.178,0,0,0,0,114660,115079,0,0,2368,1603
0.258,2.842,96.899,0,0,0,0,114660,114660,0,0,2341,1573
1.015,3.807,95.178,0,0,0,49152,114504,114504,0,0,2382,1631
1.531,2.806,95.663,0,0,0,0,114816,114816,0,0,2341,1589
0.259,3.109,96.114,0.518,0,0,81920,115206,115362,0,0,3131,1632
0.263,1.842,97.895,0,0,0,0,116532,116532,0,0,3113,1599
0.779,2.597,96.623,0,0,0,0,116532,116532,0,0,3140,1616
0,2.611,97.389,0,0,0,0,115752,115596,0,0,2898,1583
1.527,3.053,95.420,0,0,0,0,114504,114504,0,0,2353,1592
0.517,2.842,96.641,0,0,0,24576,113724,113724,0,0,2347,1594
0.763,3.562,95.674,0,0,0,0,114504,114504,0,0,2350,1577
1.023,3.069,95.908,0,0,0,0,114504,114504,0,0,2358,1581
0.513,3.333,96.154,0,0,0,8192,114504,114504,0,0,2350,1590
1.026,2.821,96.154,0,0,0,0,114504,114504,0,0,2352,1589
0,2.842,96.641,0.517,0,0,40960,113100,113100,0,0,2328,1581
1.292,1.809,96.899,0,0,0,0,114348,114348,0,0,2351,1587
0.769,3.077,96.154,0,0,0,0,114348,114348,0,0,2344,1581
1.781,2.799,95.420,0,0,0,3022848,114192,114192,0,0,2375,1626
1.028,2.828,96.144,0,0,0,8192,114660,114660,0,0,2358,1597
1.279,2.046,92.839,3.836,0,0,49152,97344,97344,0,0,2144,1380
0.256,3.590,96.154,0,0,0,0,114504,114504,0,0,2354,1576
0.773,2.835,96.392,0,0,0,0,114504,114504,0,0,2358,1577
0.259,3.109,96.632,0,0,0,73728,115284,115284,0,0,2809,1662
1.804,1.546,96.649,0,0,0,0,114660,114660,0,0,2376,1606
2.041,2.296,95.408,0.255,0,0,24576,113880,114036,0,0,2350,1603
0.526,1.316,98.158,0,0,0,0,115986,115830,0,0,2802,1608
0.775,2.842,96.382,0,0,0,0,115440,115440,0,0,2731,1592
0.513,3.333,96.154,0,0,0,0,114816,114816,0,0,2362,1597
0.257,3.342,96.401,0,0,0,0,114816,114816,0,0,2340,1577
0.510,3.571,95.408,0.510,0,0,24576,114192,114192,0,0,2360,1607
0.513,3.333,96.154,0,0,0,0,114972,114972,0,0,2349,1579
0.765,3.571,95.663,0,0,0,0,115079,114660,0,0,2373,1602
0.509,4.071,95.420,0,0,0,0,114816,114816,0,0,2348,1580
0.767,3.325,95.908,0,0,0,0,114972,115391,0,0,2359,1588
1.026,3.077,95.897,0,0,0,24576,114192,114192,0,0,2361,1602
1.279,2.813,95.908,0,0,0,0,115199,114816,0,0,2359,1591
1.279,2.558,96.164,0,0,0,0,114972,114972,0,0,2372,1597
0.257,3.342,96.401,0,0,0,0,115128,115284,0,0,2361,1592
2.062,1.546,96.392,0,0,0,0,115596,115440,0,0,2535,1599
1.772,2.785,94.937,0.506,0,0,24576,114192,114192,0,0,2354,1603
0.761,4.061,95.178,0,0,0,0,115050,115050,0,0,2375,1604
2.051,1.795,96.154,0,0,0,0,114972,114972,0,0,2357,1588
1.535,2.558,95.908,0,0,0,0,114972,114972,0,0,2363,1592
3.291,1.772,94.937,0,0,0,0,114816,114816,0,0,2373,1611
0.771,2.571,96.401,0.257,0,0,24576,114192,114192,0,0,2356,1604
2.041,2.296,95.663,0,0,0,0,115050,115050,0,0,2354,1592
1.538,2.308,96.154,0,0,0,0,114972,115355,0,0,2365,1603
0,1.583,98.417,0,0,0,2711552,115752,115752,0,0,2923,1644
1.276,3.061,95.663,0,0,0,0,114972,114972,0,0,2368,1590
1.523,3.046,95.178,0.254,0,0,40960,114036,114036,0,0,2334,1590
