"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat -N eth1,macsec0--noheaders --output final/ping-1571844895-macsec-morus640-e-frag-1500-dstat.csv",,,,"Date:","23 Oct 2019 23:53:26 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eth1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.892,8.346,87.498,0.264,0,9372.923,40478.373,0,0,0,0,4629.535,8229.428
0.514,3.599,95.887,0,0,0,0,123084,123944,0,0,3312,1814
0.754,5.779,93.467,0,0,0,0,117106,117336,0,0,3095,1618
1.279,3.581,95.141,0,0,0,0,117000,117603,0,0,3093,1644
2.046,2.302,95.652,0,0,0,90112,115440,115440,0,0,2345,1686
2.806,1.531,95.153,0.510,0,0,81920,114582,114762,0,0,2309,1626
1.519,3.544,94.937,0,0,0,0,115596,115596,0,0,2319,1607
2.041,2.296,95.663,0,0,0,0,115752,115752,0,0,2306,1607
2.545,2.290,95.165,0,0,0,0,115596,115596,0,0,2318,1611
2.261,3.518,94.221,0,0,0,65536,115596,115596,0,0,2325,1631
2.267,3.023,93.955,0.756,0,0,73728,114504,114504,0,0,2313,1607
0.763,3.817,95.420,0,0,0,0,115752,115596,0,0,2310,1595
0.761,4.061,95.178,0,0,0,0,115596,115752,0,0,2315,1602
0.514,3.085,96.401,0,0,0,0,115752,115752,0,0,2301,1592
0.509,4.326,95.165,0,0,0,0,116171,115752,0,0,2324,1609
1.023,3.069,95.652,0.256,0,0,24576,115284,115128,0,0,2301,1614
1.023,3.069,95.908,0,0,0,0,115752,115908,0,0,2321,1609
1.023,3.069,95.908,0,0,0,0,115752,115752,0,0,2302,1587
0.513,3.333,96.154,0,0,0,0,115752,115596,0,0,2317,1602
1.285,2.314,96.401,0,0,0,0,115752,116327,0,0,2293,1593
1.531,2.551,94.898,1.020,0,0,131072,113880,113880,0,0,2317,1645
2.296,2.041,95.663,0,0,0,0,115596,115596,0,0,2296,1594
1.772,3.291,94.937,0,0,0,0,115596,115596,0,0,2311,1607
2.532,2.532,94.937,0,0,0,0,115596,115596,0,0,2300,1596
3.038,2.025,94.937,0,0,0,0,115596,115440,0,0,2304,1599
1.777,2.792,94.924,0.508,0,0,24576,114660,114816,0,0,2302,1615
3.562,1.018,95.420,0,0,0,0,115440,115440,0,0,2296,1603
4.040,1.263,94.697,0,0,0,0,115440,115440,0,0,2310,1604
2.792,2.030,95.178,0,0,0,0,115596,115440,0,0,2296,1598
2.806,1.531,95.663,0,0,0,8192,115440,115440,0,0,2314,1609
3.526,1.763,94.207,0.504,0,0,40960,114504,114660,0,0,2298,1617
1.039,2.338,96.623,0,0,0,0,116532,116532,0,0,2922,1607
0.531,0.796,98.674,0,0,0,0,116844,116688,0,0,3061,1603
0.525,1.837,97.638,0,0,0,0,116844,117000,0,0,3075,1609
2.813,2.046,95.141,0,0,0,3014656,116532,116532,0,0,3084,1659
1.823,1.302,96.615,0.260,0,0,49152,115518,115901,0,0,2934,1637
2.806,1.531,95.663,0,0,0,0,115284,115284,0,0,2301,1594
2.584,0.775,96.641,0,0,0,0,115440,115440,0,0,2309,1607
2.538,2.284,95.178,0,0,0,0,115440,115440,0,0,2294,1594
2.314,1.542,96.144,0,0,0,131072,115440,115440,0,0,2343,1711
1.777,2.284,89.086,6.853,0,0,32768,100691,100152,0,0,2124,1439
1.279,3.069,95.652,0,0,0,0,115440,115596,0,0,2312,1603
2.532,2.532,94.937,0,0,0,0,115440,115440,0,0,2313,1607
2.792,2.284,94.924,0,0,0,0,115284,115284,0,0,2317,1615
2.545,2.036,95.420,0,0,0,0,115440,115440,0,0,2292,1590
2.821,1.282,95.385,0.513,0,0,24576,114660,114660,0,0,2310,1629
2.538,2.284,95.178,0,0,0,0,115859,115440,0,0,2299,1600
3.562,1.272,95.165,0,0,0,0,115440,115440,0,0,2315,1610
2.551,1.786,95.663,0,0,0,0,115440,115440,0,0,2287,1601
3.562,1.272,95.165,0,0,0,0,115596,115440,0,0,2316,1615
3.590,0.513,95.641,0.256,0,0,24576,115050,115206,0,0,2294,1623
2.036,2.545,95.420,0,0,0,0,115596,115440,0,0,2302,1599
1.795,2.308,95.897,0,0,0,0,115440,116015,0,0,2310,1605
3.299,1.523,95.178,0,0,0,0,115596,115596,0,0,2297,1605
2.792,2.030,95.178,0,0,0,0,115596,115440,0,0,2311,1610
2.041,2.296,95.153,0.510,0,0,24576,114972,115128,0,0,2297,1609
2.799,1.781,95.420,0,0,0,0,115596,115596,0,0,2313,1611
1.028,2.571,96.401,0,0,0,0,115596,115596,0,0,2295,1590
0.767,3.325,95.908,0,0,0,0,115596,115596,0,0,2308,1601
1.777,3.046,95.178,0,0,0,0,115752,115752,0,0,2299,1595
1.023,3.069,95.396,0.512,0,0,24576,114972,114972,0,0,2311,1612
1.795,2.051,96.154,0,0,0,0,115596,115596,0,0,2293,1589
1.020,3.316,95.663,0,0,0,0,115596,115596,0,0,2309,1598
0.510,3.571,95.918,0,0,0,0,115596,115596,0,0,2291,1587
1.266,4.051,94.684,0,0,0,2727936,115596,115596,0,0,2339,1650
1.028,2.571,95.887,0.514,0,0,40960,114816,114816,0,0,2298,1606
0.510,3.827,95.663,0,0,0,0,115596,115596,0,0,2306,1597
1.028,2.571,96.401,0,0,0,0,115596,115596,0,0,2296,1583
2.799,5.598,91.603,0,0,0,0,132376,132504,0,0,2496,1542
0.260,3.125,96.615,0,0,0,16384,205332,205332,0,0,2997,1559
1.026,3.077,95.128,0.769,0,0,49152,200014,200014,0,0,2339,1559
0.514,3.085,96.401,0,0,0,0,201924,201924,0,0,2231,1525
0.759,4.304,94.937,0,0,0,0,201924,201640,0,0,2252,1540
1.282,2.564,96.154,0,0,0,0,201640,201924,0,0,2233,1529
0.510,3.827,95.663,0,0,0,0,201924,201640,0,0,2252,1538
1.015,3.553,94.924,0.508,0,0,24576,200504,200788,0,0,2231,1548
1.023,3.069,95.908,0,0,0,0,201640,201640,0,0,2236,1530
