"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat -N eth1,macsec0--noheaders --output final/ping-1571844895-macsec-morus640-we-1500-1500-dstat.csv",,,,"Date:","24 Oct 2019 05:48:37 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eth1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.870,9.667,86.233,0.230,0,6914.981,39338.052,0,0,0,0,4574.771,7844.126
1.531,1.786,96.684,0,0,0,0,124438,124639,0,0,2578,1741
0.526,1.053,98.421,0,0,0,0,116532,117052,0,0,2437,1637
0.775,2.067,97.158,0,0,0,0,116844,117107,0,0,2430,1618
0.526,0.789,98.684,0,0,0,0,116688,117024,0,0,2462,1624
0.521,1.823,97.396,0.260,0,0,90112,115986,115830,0,0,2422,1626
0.779,1.818,97.403,0,0,0,0,116688,116688,0,0,2451,1616
0.525,1.050,98.425,0,0,0,49152,116688,116844,0,0,2448,1636
0.260,2.083,97.656,0,0,0,0,116688,116688,0,0,2448,1609
0.781,1.302,97.917,0,0,0,0,116688,116688,0,0,2430,1604
1.282,2.564,95.897,0.256,0,0,73728,115596,115596,0,0,2442,1630
0.526,0.789,98.684,0,0,0,0,116844,116688,0,0,2446,1614
0.773,2.577,96.649,0,0,0,0,116688,116688,0,0,2450,1621
0.777,2.073,97.150,0,0,0,0,116844,117000,0,0,2438,1608
1.289,1.804,96.907,0,0,0,0,116844,116688,0,0,2450,1615
1.571,0.262,97.906,0.262,0,0,24576,116327,116064,0,0,2411,1628
0.265,0.265,99.471,0,0,0,0,116844,116844,0,0,2432,1611
0.529,0.265,99.206,0,0,0,0,116844,116844,0,0,2419,1604
0.528,0.528,98.945,0,0,0,0,116844,117263,0,0,2422,1617
2.233,4.715,93.052,0,0,0,0,117000,116844,0,0,2462,1606
0.525,1.050,98.163,0.262,0,0,24576,115908,116064,0,0,2400,1628
2.750,3.500,93.750,0,0,0,0,117000,117000,0,0,2454,1607
2.057,1.799,96.144,0,0,0,40960,116688,116688,0,0,2473,1647
2.551,1.786,95.663,0,0,0,16384,117000,117000,0,0,2446,1620
0.528,0.528,98.945,0,0,0,0,116844,116844,0,0,2427,1619
1.305,1.044,97.128,0.522,0,0,106496,114816,114816,0,0,2406,1612
0.781,1.562,97.656,0,0,0,0,116688,116532,0,0,2433,1616
1.036,1.813,97.150,0,0,0,0,116688,116688,0,0,2412,1594
1.832,0.262,97.644,0.262,0,0,147456,116688,116688,0,0,2514,1782
1.305,0.783,97.911,0,0,0,0,116688,116688,0,0,2415,1601
1.538,2.308,95.897,0.256,0,0,40960,115674,115830,0,0,2425,1620
0.783,1.567,97.650,0,0,0,0,116688,116688,0,0,2436,1614
1.550,1.550,96.899,0,0,0,0,116688,116688,0,0,2435,1608
1.295,1.813,96.891,0,0,0,2932736,116532,116532,0,0,2464,1651
1.044,1.044,97.911,0,0,0,0,116688,116688,0,0,2432,1614
1.305,0.783,97.650,0.261,0,0,49152,115752,115752,0,0,2438,1632
1.276,3.061,95.663,0,0,0,0,117000,116844,0,0,2460,1613
0.531,0,99.469,0,0,0,0,116844,117000,0,0,2415,1610
2.228,4.703,93.069,0,0,0,0,117000,117000,0,0,2469,1609
0.529,0.265,99.206,0,0,0,0,116844,116844,0,0,2412,1618
2.703,5.160,91.892,0.246,0,0,24576,115908,115908,0,0,2464,1614
0.265,0.265,99.471,0,0,0,0,116844,116844,0,0,2420,1612
2.398,7.674,89.928,0,0,0,0,117383,117000,0,0,2489,1617
0.526,0.789,98.684,0,0,0,0,116844,116844,0,0,2400,1614
0.529,0,99.471,0,0,0,0,117000,117000,0,0,2411,1611
1.013,4.051,94.684,0.253,0,0,24576,115908,115908,0,0,2454,1625
0.265,0.265,99.469,0,0,0,0,117000,117000,0,0,2410,1609
0.477,10.024,89.499,0,0,0,0,117419,117000,0,0,2505,1621
0.526,0.526,98.947,0,0,0,0,116844,116844,0,0,2389,1607
0.254,4.326,95.420,0,0,0,0,117078,117078,0,0,2451,1621
0.952,9.524,89.048,0.476,0,0,24576,116064,116483,0,0,2465,1622
0.526,0.789,98.684,0,0,0,0,116844,116844,0,0,2436,1628
0.792,0,99.208,0,0,0,0,117000,117383,0,0,2413,1607
0.264,0.792,98.945,0,0,0,0,116844,116844,0,0,2412,1617
0.265,0.265,99.469,0,0,0,0,117000,117000,0,0,2397,1612
2.519,2.771,94.458,0.252,0,0,24576,116064,116064,0,0,2443,1618
1.663,9.264,89.074,0,0,0,0,117000,116844,0,0,2497,1618
0.531,0,99.469,0,0,0,0,116844,117000,0,0,2411,1615
0.775,2.326,96.899,0,0,0,0,116844,116844,0,0,2431,1624
0.265,0,99.735,0,0,0,0,117000,117000,0,0,2413,1609
2.625,7.876,89.260,0.239,0,0,24576,115986,115986,0,0,2488,1625
0.792,0.264,98.945,0,0,0,0,116844,116844,0,0,2422,1610
1.190,9.524,89.286,0,0,0,0,117000,116844,0,0,2500,1612
0.256,0.256,64.194,35.294,0,0,0,34788,34788,0,0,1350,518
0.256,0,67.179,32.564,0,0,2793472,41808,41964,0,0,1504,702
0.518,2.591,96.632,0.259,0,0,73728,115908,115908,0,0,2436,1644
3.023,2.771,94.207,0,0,0,0,116844,116844,0,0,2463,1616
1.809,1.292,96.899,0,0,0,0,116844,116688,0,0,2427,1612
1.550,1.809,96.641,0,0,0,0,116688,116844,0,0,2438,1613
3.817,4.835,91.349,0,0,0,0,171332,171460,0,0,2859,1538
1.790,2.302,95.652,0.256,0,0,32768,203344,203344,0,0,2396,1588
0.763,3.562,95.674,0,0,0,0,204764,204764,0,0,2379,1546
1.015,3.553,95.431,0,0,0,0,204764,204764,0,0,2407,1557
1.786,2.551,95.663,0,0,0,0,204764,204480,0,0,2379,1551
0.765,3.316,95.918,0,0,0,0,204764,204764,0,0,2410,1566
1.023,2.813,95.908,0.256,0,0,24576,203060,203344,0,0,2380,1563
0.761,4.061,95.178,0,0,0,0,204480,204480,0,0,2411,1567
1.527,3.053,95.420,0,0,0,0,205048,204764,0,0,2389,1554
1.759,3.769,94.472,0,0,0,0,204480,204764,0,0,2410,1568
1.018,3.562,95.420,0,0,0,0,204764,204764,0,0,2389,1555
0.759,4.051,94.684,0.506,0,0,24576,202776,202776,0,0,2408,1574
1.272,3.308,95.420,0,0,0,0,204764,204764,0,0,2394,1552
1.511,3.778,94.710,0,0,0,0,204764,204764,0,0,2396,1553
2.757,3.258,93.985,0,0,0,0,204764,204480,0,0,2411,1565
1.015,3.807,95.178,0,0,0,0,204764,204764,0,0,2397,1555
2.015,3.526,94.207,0.252,0,0,24576,202776,203060,0,0,2395,1573
2.273,2.778,94.949,0,0,0,0,204764,204480,0,0,2401,1557
2.046,2.046,95.908,0,0,0,0,204764,205048,0,0,2414,1580
2.020,3.283,94.697,0,0,0,0,204480,204480,0,0,2389,1562
3.500,2.750,93.750,0,0,0,0,204842,204842,0,0,2408,1573
2.273,2.778,94.697,0.253,0,0,24576,203060,203060,0,0,2390,1568
3.266,2.513,94.221,0,0,0,0,204842,204558,0,0,2409,1568
2.278,2.785,94.937,0,0,0,0,204764,204764,0,0,2394,1559
3.778,1.763,94.458,0,0,0,0,204764,204764,0,0,2406,1570
2.785,2.278,94.937,0,0,0,1056768,204480,204480,0,0,2407,1578
3.053,1.272,95.420,0.254,0,0,1662976,203344,203344,0,0,2403,1596
3.291,1.772,94.937,0,0,0,0,204764,204764,0,0,2394,1568
2.538,2.284,95.178,0,0,0,0,204764,204764,0,0,2402,1564
2.525,2.778,94.697,0,0,0,0,204764,204764,0,0,2392,1557
1.777,3.046,95.178,0,0,0,49152,204480,204764,0,0,2427,1611
1.772,3.038,94.937,0.253,0,0,24576,203628,203344,0,0,2387,1574
1.020,3.316,95.663,0,0,0,0,204764,204764,0,0,2405,1563
2.036,2.545,95.420,0,0,0,0,204764,205048,0,0,2383,1559
1.028,2.571,96.401,0,0,0,0,205048,204764,0,0,2400,1572
2.284,2.538,95.178,0,0,0,0,204764,205048,0,0,2390,1559
2.538,2.284,94.924,0.254,0,0,24576,203628,203628,0,0,2397,1590
1.786,2.551,95.663,0,0,0,0,205048,205048,0,0,2400,1571
2.036,2.545,95.420,0,0,0,0,205431,204764,0,0,2406,1583
2.296,2.041,95.663,0,0,0,0,205048,205048,0,0,2400,1564
1.276,3.316,95.408,0,0,0,0,205048,205048,0,0,2389,1561
0.761,4.061,94.924,0.254,0,0,24576,203628,203628,0,0,2402,1576
0.506,4.557,94.937,0,0,0,0,204842,205126,0,0,2395,1560
1.020,3.316,95.663,0,0,0,0,205751,205048,0,0,2407,1570
0.508,4.315,95.178,0,0,0,0,205048,205048,0,0,2391,1557
1.015,4.061,94.924,0,0,0,0,205048,205332,0,0,2401,1559
1.003,5.013,93.734,0.251,0,0,24576,204196,204331,0,0,2394,1580
2.010,3.769,94.221,0,0,0,0,204764,205431,0,0,2419,1584
1.015,3.807,95.178,0,0,0,0,205048,205048,0,0,2392,1557
2.005,4.010,93.985,0,0,0,0,205048,205048,0,0,2403,1563
1.786,2.806,95.408,0,0,0,0,205048,205048,0,0,2390,1561
1.269,3.553,94.670,0.508,0,0,24576,202208,201924,0,0,2393,1568
2.284,2.538,95.178,0,0,0,0,204764,205048,0,0,2405,1569
2.551,2.041,95.408,0,0,0,0,205048,204764,0,0,2399,1565
3.788,1.515,94.697,0,0,0,0,204764,205048,0,0,2378,1564
3.061,1.531,95.408,0,0,0,0,205048,205048,0,0,2398,1575
3.807,1.269,94.670,0.254,0,0,2752512,202776,202776,0,0,2397,1617
3.069,1.279,95.652,0,0,0,0,205048,205048,0,0,2396,1571
1.538,2.564,95.897,0,0,0,0,205048,205048,0,0,2377,1555
2.577,1.289,96.134,0,0,0,0,204764,204764,0,0,2396,1584
2.046,2.302,95.652,0,0,0,0,204764,204764,0,0,2379,1557
2.778,2.778,94.192,0.253,0,0,32768,203344,203344,0,0,2392,1604
1.295,2.332,96.373,0,0,0,0,205616,205332,0,0,2800,1572
1.285,2.828,95.887,0,0,0,0,205616,205900,0,0,2913,1572
1.279,3.069,95.652,0,0,0,0,204480,204480,0,0,2382,1554
1.519,3.797,94.684,0,0,0,0,204920,204636,0,0,2391,1562
0.765,3.827,95.153,0.255,0,0,24576,203344,203628,0,0,2388,1575
1.795,2.564,95.641,0,0,0,0,204764,204764,0,0,2395,1583
1.018,3.562,95.420,0,0,0,0,204764,204764,0,0,2397,1564
3.266,6.281,90.452,0,0,0,0,210308,210564,0,0,2288,1505
1.023,3.581,95.396,0,0,0,0,366660,366660,0,0,2297,1473
0.769,3.333,95.641,0.256,0,0,32768,361800,361800,0,0,2272,1479
1.282,2.564,96.154,0,0,0,0,366660,366120,0,0,2302,1478
0.769,3.333,95.897,0,0,0,0,366660,366660,0,0,2297,1469
2.036,2.799,95.165,0,0,0,0,367200,367200,0,0,2306,1480
2.046,2.046,95.908,0,0,0,0,367200,367740,0,0,2289,1476
1.777,3.046,94.670,0.508,0,0,24576,364500,363960,0,0,2315,1496
1.028,2.571,96.401,0,0,0,0,367740,368280,0,0,2296,1478
2.284,2.538,95.178,0,0,0,0,368280,367740,0,0,2315,1485
2.558,1.790,95.652,0,0,0,0,367740,368280,0,0,2311,1485
2.046,2.046,95.908,0,0,0,0,368280,368280,0,0,2314,1476
0.769,3.333,95.641,0.256,0,0,24576,364500,364500,0,0,2291,1477
1.279,2.813,95.908,0,0,0,0,368280,368280,0,0,2317,1473
1.279,2.813,95.908,0,0,0,0,367740,367740,0,0,2297,1464
1.023,3.325,95.652,0,0,0,0,368280,368280,0,0,2318,1477
1.020,3.316,95.663,0,0,0,0,367740,367740,0,0,2297,1465
1.535,2.813,94.885,0.767,0,0,2629632,356940,356940,0,0,2347,1604
1.550,1.809,96.641,0,0,0,0,368358,367818,0,0,2307,1478
1.026,2.821,96.154,0,0,0,0,367740,368280,0,0,2315,1482
1.279,2.813,95.908,0,0,0,0,368280,368280,0,0,2303,1470
1.031,2.577,96.392,0,0,0,0,368280,367740,0,0,2301,1476
0.515,2.835,96.392,0.258,0,0,49152,364500,365040,0,0,2311,1509
1.026,3.077,95.897,0,0,0,0,367740,367740,0,0,2299,1479
1.023,3.069,95.908,0,0,0,0,367740,367740,0,0,2316,1486
1.523,3.299,95.178,0,0,0,0,367740,367740,0,0,2299,1477
1.795,2.308,95.897,0,0,0,0,368280,367740,0,0,2320,1476
1.289,2.062,96.392,0.258,0,0,40960,365040,365580,0,0,2314,1507
1.795,2.308,95.897,0,0,0,0,367740,367740,0,0,2324,1490
1.538,2.308,96.154,0,0,0,0,368280,367740,0,0,2306,1476
2.046,2.046,95.908,0,0,0,0,367740,368280,0,0,2309,1477
1.020,3.571,95.408,0,0,0,0,367740,367740,0,0,2295,1470
2.036,2.799,94.911,0.254,0,0,49152,365423,364500,0,0,2322,1509
1.538,2.308,96.154,0,0,0,0,367740,368280,0,0,2302,1476
1.282,2.821,95.897,0,0,0,0,367740,367200,0,0,2324,1476
1.804,1.546,96.649,0,0,0,0,367740,368280,0,0,2299,1473
1.042,1.562,97.396,0,0,0,0,367740,367740,0,0,2308,1479
1.282,2.564,95.897,0.256,0,0,24576,364500,364500,0,0,2289,1481
1.282,2.821,95.897,0,0,0,0,368159,367740,0,0,2321,1491
0.767,3.325,95.908,0,0,0,0,367818,367818,0,0,2287,1457
1.028,2.828,96.144,0,0,0,0,367740,367200,0,0,2319,1482
0.517,2.584,96.899,0,0,0,0,367818,368237,0,0,2295,1467
0.514,3.342,95.887,0.257,0,0,24576,364500,365423,0,0,2311,1493
1.023,3.069,95.908,0,0,0,0,367740,367740,0,0,2295,1462
1.282,2.821,95.897,0,0,0,0,367740,367740,0,0,2318,1482
0.771,2.828,96.401,0,0,0,0,367740,367740,0,0,2293,1470
1.013,4.051,94.937,0,0,0,0,367740,367740,0,0,2308,1481
0.514,3.599,95.630,0.257,0,0,2580480,363960,363420,0,0,2298,1514
0.513,3.333,96.154,0,0,0,0,367740,368280,0,0,2310,1475
1.282,2.564,96.154,0,0,0,0,367740,367740,0,0,2308,1475
0.773,2.835,96.392,0,0,0,0,367740,367740,0,0,2308,1478
2.046,2.046,95.908,0,0,0,0,367740,367740,0,0,2310,1481
2.545,2.036,95.165,0.254,0,0,40960,364500,364500,0,0,2312,1498
1.282,2.564,96.154,0,0,0,0,367740,367740,0,0,2324,1477
1.026,3.077,95.897,0,0,0,0,367740,367740,0,0,2302,1477
2.041,2.296,95.663,0,0,0,0,368280,367740,0,0,2322,1479
0.775,2.326,96.899,0,0,0,0,367740,368280,0,0,2319,1491
1.531,2.806,95.153,0.510,0,0,24576,364500,364500,0,0,2309,1492
1.535,2.558,95.908,0,0,0,0,367740,367740,0,0,2307,1474
2.302,1.790,95.908,0,0,0,0,367740,367740,0,0,2313,1481
1.279,2.813,95.908,0,0,0,0,367740,367740,0,0,2302,1465
2.308,1.538,96.154,0,0,0,0,367200,367200,0,0,2309,1476
1.031,2.577,96.134,0.258,0,0,57344,363960,363960,0,0,2309,1506
