"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat -N eth1,macsec0--noheaders --output final/ping-1571844895-no-macsec-2928-2928-dstat.csv",,,,"Date:","23 Oct 2019 18:21:01 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eth1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.615,2.903,94.994,0.488,0,37240.042,48208.379,0,0,0,0,2966.346,1694.085
1.279,1.279,96.931,0.512,0,0,65536,111480,111360,0,0,2832,2030
2.273,2.525,95.202,0,0,0,0,106560,106680,0,0,2714,1906
2.538,2.030,95.431,0,0,0,0,106560,106560,0,0,2741,1920
2.525,2.273,95.202,0,0,0,532480,106560,106560,0,0,2769,2009
3.038,1.519,95.443,0,0,0,0,106680,106680,0,0,2730,1928
2.771,2.519,94.207,0.504,0,0,81920,105840,105720,0,0,2708,1912
2.284,2.030,95.685,0,0,0,0,106680,106800,0,0,2740,1925
3.562,0.509,95.929,0,0,0,0,106800,106800,0,0,2712,1909
2.564,0.769,96.667,0,0,0,0,107339,106920,0,0,2768,1944
2.314,0.514,97.172,0,0,0,0,107160,107160,0,0,2717,1909
1.279,2.046,95.908,0.767,0,0,24576,106200,106583,0,0,2733,1932
2.062,0.773,97.165,0,0,0,0,107040,107040,0,0,2716,1911
1.550,1.034,97.416,0,0,0,0,107160,107040,0,0,2731,1911
1.804,0.773,97.423,0,0,0,0,107040,107160,0,0,2721,1917
2.551,1.276,96.173,0,0,0,0,107040,107040,0,0,2718,1917
0.775,1.809,96.899,0.517,0,0,24576,106703,106739,0,0,2732,1934
0.519,1.558,97.922,0,0,0,0,107040,107040,0,0,2709,1909
1.031,1.804,97.165,0,0,0,0,106920,106920,0,0,2718,1908
0.514,2.314,97.172,0,0,0,0,106680,106680,0,0,2700,1899
0,2.835,97.165,0,0,0,0,106680,106680,0,0,2705,1900
0.773,2.320,96.649,0.258,0,0,24576,105960,105960,0,0,2706,1918
0.258,2.320,97.423,0,0,0,0,106680,106680,0,0,2719,1905
0.260,1.818,97.922,0,0,0,0,106560,106560,0,0,2704,1896
0.258,2.577,97.165,0,0,0,0,106560,106560,0,0,2725,1902
0,2.332,97.668,0,0,0,0,106560,106560,0,0,2706,1892
0.513,2.564,96.410,0.513,0,0,24576,105960,105960,0,0,2721,1924
1.790,1.790,96.419,0,0,0,0,106560,106560,0,0,2711,1906
0.514,2.571,96.915,0,0,0,0,106620,106602,0,0,2726,1918
1.279,2.302,96.419,0,0,0,0,106560,106560,0,0,2715,1909
1.531,2.806,95.663,0,0,0,0,106560,106560,0,0,2735,1925
2.296,1.531,95.663,0.510,0,0,24576,105840,105840,0,0,2707,1920
3.308,0.763,95.929,0,0,0,0,106560,106560,0,0,2730,1917
2.314,0.771,96.915,0,0,0,0,106560,106560,0,0,2711,1893
2.821,0.769,96.410,0,0,0,3538944,106320,106320,0,0,2752,1965
3.061,0.765,96.173,0,0,0,0,106680,106560,0,0,2713,1903
2.041,0,82.653,15.306,0,0,0,74400,74400,0,0,2184,1356
1.031,1.289,87.113,10.567,0,0,40960,90780,90882,0,0,2454,1651
1.282,1.795,96.923,0,0,0,0,107040,107040,0,0,2713,1910
1.542,1.542,96.915,0,0,0,0,107160,107160,0,0,2729,1924
2.067,0.517,97.416,0,0,0,65536,107040,107040,0,0,2727,1985
2.041,1.531,95.918,0.510,0,0,24576,106680,106680,0,0,2727,1947
1.786,2.041,96.173,0,0,0,0,106800,106800,0,0,2720,1915
1.531,2.041,96.429,0,0,0,0,106800,106800,0,0,2712,1911
0.515,2.320,97.165,0,0,0,0,106680,106680,0,0,2712,1903
0.256,2.821,96.923,0,0,0,0,106560,106560,0,0,2716,1901
0.257,2.828,96.401,0.514,0,0,24576,105840,105840,0,0,2709,1901
0.765,3.061,96.173,0,0,0,0,106560,106440,0,0,2745,1921
1.026,2.051,96.923,0,0,0,0,106560,106680,0,0,2714,1902
0.256,2.821,96.923,0,0,0,0,106560,106560,0,0,2729,1909
1.279,2.046,96.675,0,0,0,0,106560,106560,0,0,2704,1898
0.256,3.077,96.154,0.513,0,0,24576,105840,105840,0,0,2732,1928
1.023,2.302,96.675,0,0,0,0,106560,106560,0,0,2708,1900
0.765,2.806,96.429,0,0,0,0,106560,106560,0,0,2732,1917
0.765,2.806,96.429,0,0,0,0,106680,106560,0,0,2713,1904
0.769,2.308,96.923,0,0,0,0,106560,106680,0,0,2736,1919
0.257,2.571,96.658,0.514,0,0,24576,105840,105840,0,0,2701,1910
5.141,1.799,93.059,0,0,0,0,122776,122656,0,0,2866,1840
2.571,0.514,96.915,0,0,0,0,218984,218984,0,0,3583,1898
1.804,1.031,97.165,0,0,0,0,219232,219232,0,0,3611,1905
2.314,0.771,96.915,0,0,0,0,219232,219232,0,0,3582,1899
1.292,1.550,96.899,0.258,0,0,32768,216752,216752,0,0,3592,1920
1.804,1.031,97.165,0,0,0,0,218984,218984,0,0,3578,1893
2.062,0.773,97.165,0,0,0,0,219232,219232,0,0,3596,1904
1.031,2.062,96.907,0,0,0,3481600,218736,218736,0,0,3582,1939
1.028,1.799,97.172,0,0,0,0,219044,219026,0,0,3541,1885
0.775,1.809,96.899,0.517,0,0,40960,216752,216752,0,0,3544,1893
0.515,2.320,97.165,0,0,0,0,219232,219232,0,0,3564,1880
0.515,2.320,97.165,0,0,0,0,218984,218984,0,0,3571,1878
0,2.828,97.172,0,0,0,0,219232,219232,0,0,3570,1883
0.515,2.320,97.165,0,0,0,0,219232,219232,0,0,3585,1893
0.258,2.584,96.899,0.258,0,0,24576,217744,217744,0,0,3580,1913
0.258,2.326,97.416,0,0,0,0,218984,219232,0,0,3022,1904
0.256,3.077,96.667,0,0,0,0,218907,218488,0,0,2732,1900
0.518,1.813,97.668,0,0,0,16384,218736,219119,0,0,2731,1918
1.523,2.792,95.685,0,0,0,0,218488,218488,0,0,2710,1883
2.538,1.777,94.924,0.761,0,0,40960,216256,216008,0,0,2723,1907
2.030,2.284,95.685,0,0,0,0,218736,218736,0,0,2713,1897
1.523,3.046,95.431,0,0,0,0,218488,218736,0,0,2731,1904
0.763,3.308,95.929,0,0,0,0,218736,218736,0,0,2703,1884
0.769,2.564,96.667,0,0,0,0,218736,218736,0,0,2724,1898
2.278,2.278,94.937,0.506,0,0,24576,218375,218163,0,0,2727,1926
1.781,2.290,95.929,0,0,0,0,218736,218984,0,0,2727,1907
2.296,1.531,96.173,0,0,0,0,218984,218984,0,0,2706,1886
1.276,2.806,95.918,0,0,0,0,218984,218736,0,0,2735,1900
1.282,2.051,96.667,0,0,0,0,218736,218984,0,0,2708,1878
1.542,1.799,96.401,0.257,0,0,24576,217496,217496,0,0,2738,1929
1.786,2.041,96.173,0,0,0,0,218736,218736,0,0,2713,1890
0.258,2.326,97.416,0,0,0,0,218984,218984,0,0,2721,1895
2.051,1.282,96.667,0,0,0,8192,218736,218736,0,0,2704,1902
1.538,2.051,96.410,0,0,0,0,219044,219026,0,0,2716,1897
