"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat -N eth1,macsec0--noheaders --output final/ping-1571844895-orig-we-1500-dstat.csv",,,,"Date:","23 Oct 2019 19:10:49 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eth1",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.247,4.507,92.855,0.390,0,25762.304,45453.551,0,0,0,0,3768.968,3845.525
2.036,2.799,94.911,0.254,0,0,81920,117040,117511,0,0,2523,3844
2.519,4.534,92.947,0,0,0,0,108832,109649,0,0,2425,4211
1.289,3.866,94.845,0,0,0,0,108832,108934,0,0,2398,4116
2.296,3.316,94.388,0,0,0,0,107008,107184,0,0,2384,4066
3.186,6.373,90.441,0,0,0,0,106778,106778,0,0,2390,4072
5.938,6.176,87.648,0.238,0,0,40960,105640,105640,0,0,2380,4152
3.465,5.198,91.337,0,0,0,0,106704,106704,0,0,2366,4058
3.390,7.022,89.588,0,0,0,0,106704,106704,0,0,2409,4040
2.302,3.325,94.373,0,0,0,0,106856,106856,0,0,2362,4054
5.623,3.912,90.465,0,0,0,0,106704,106704,0,0,2395,4078
3.194,5.897,90.663,0.246,0,0,24576,105944,105944,0,0,2366,3994
3.023,4.030,92.947,0,0,0,0,106856,106856,0,0,2387,4031
4.680,4.187,91.133,0,0,0,0,107271,106856,0,0,2376,4092
3.448,5.665,90.887,0,0,0,0,106856,106856,0,0,2386,4092
2.920,7.056,90.024,0,0,0,0,106704,106704,0,0,2384,4130
4.369,5.825,89.320,0.485,0,0,73728,105792,105640,0,0,2399,4076
1.481,7.160,91.358,0,0,0,0,106856,106856,0,0,2375,4073
5.516,5.995,88.489,0,0,0,0,106552,106704,0,0,2405,4113
1.980,6.436,91.584,0,0,0,0,107008,107271,0,0,2390,4060
2.978,5.459,91.563,0,0,0,0,106704,106856,0,0,2381,4108
2.062,2.835,94.845,0.258,0,0,147456,107312,107160,0,0,2689,4221
4.535,7.160,88.305,0,0,0,0,106856,107008,0,0,2406,4091
3.960,4.703,91.337,0,0,0,0,106704,106704,0,0,2406,4083
2.941,6.373,90.686,0,0,0,0,106856,106856,0,0,2378,4071
2.256,5.013,92.732,0,0,0,0,107008,106856,0,0,2383,3992
3.448,5.911,90.394,0.246,0,0,237568,105792,105944,0,0,2433,4210
1.786,3.827,94.388,0,0,0,0,108528,108528,0,0,2789,4224
5.637,3.922,90.441,0,0,0,0,106778,106778,0,0,2384,4129
3.234,4.726,92.040,0,0,0,0,106856,106856,0,0,2395,4028
5.379,4.401,90.220,0,0,0,0,106704,106704,0,0,2377,4088
3.941,3.202,86.207,6.650,0,0,0,76304,76152,0,0,1988,2917
0,0,51.425,48.575,0,0,2654208,152,304,0,0,1818,174
4.545,9.091,86.364,0,0,0,8192,5776,5776,0,0,132,206
1.485,6.683,91.832,0,0,0,0,107391,107008,0,0,2370,4026
3.731,4.478,91.791,0,0,0,0,106856,107239,0,0,2395,4058
2.030,4.315,93.401,0.254,0,0,286720,105792,105792,0,0,2354,3948
2.513,4.523,92.965,0,0,0,0,106856,106856,0,0,2378,4035
3.960,4.703,91.337,0,0,0,0,106704,106704,0,0,2375,4104
2.532,4.051,93.418,0,0,0,0,109288,109136,0,0,2979,4374
3.095,8.810,88.095,0,0,0,0,106704,106856,0,0,2396,4169
3.333,8.571,87.619,0.476,0,0,24576,105640,105640,0,0,2394,4100
4.327,6.971,88.702,0,0,0,0,106704,106704,0,0,2386,4040
5.085,5.327,89.588,0,0,0,0,106856,106856,0,0,2393,4134
2.469,6.173,91.358,0,0,0,0,106856,106856,0,0,2350,4051
2.723,5.941,91.337,0,0,0,0,107271,106704,0,0,2393,4057
4.255,8.511,86.998,0.236,0,0,24576,105714,105714,0,0,2388,4107
1.728,6.914,91.358,0,0,0,0,106856,107008,0,0,2376,4036
4.938,3.704,91.358,0,0,0,0,106856,106856,0,0,2372,4067
1.970,6.897,91.133,0,0,0,0,106856,106856,0,0,2364,4042
5.924,6.635,87.441,0,0,0,0,106704,106704,0,0,2407,4100
2.239,5.721,91.791,0.249,0,0,24576,106096,106511,0,0,2355,3960
3.902,6.098,90,0,0,0,0,106856,106704,0,0,2389,4074
