"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/ping-1578411232-orig-1500-dstat.csv",,,,"Date:","07 Jan 2020 15:35:20 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.087,1.148,97.584,0.182,0,479985.832,15759.055,0,0,0,0,582.634,310.175
0,0,100,0,0,0,0,74,74,0,0,111,42
0,0,100,0,0,0,0,0,102,0,0,97,43
0,0,100,0,0,0,0,74,74,0,0,91,42
0,0,100,0,0,0,0,74,74,0,0,93,32
0,0,100,0,0,0,0,74,74,0,0,90,34
0,0,99.749,0.251,0,0,122880,0,0,0,0,95,43
0,0,100,0,0,0,0,74,74,0,0,85,32
1.508,2.010,96.482,0,0,0,0,74,74,0,0,232,236
0,0.250,99.750,0,0,0,0,74,74,0,0,90,32
0,0,100,0,0,0,106496,74,74,0,0,153,101
0,0,100,0,0,0,0,0,0,0,0,100,48
0,0,99.750,0.250,0,0,49152,176,74,0,0,92,43
0,0,100,0,0,0,0,74,74,0,0,92,40
0,0,100,0,0,0,0,74,74,0,0,86,30
1.256,2.261,96.482,0,0,0,0,74,74,0,0,236,230
0,0.250,99.750,0,0,0,40960,74,74,0,0,108,55
0,0,100,0,0,0,0,74,74,0,0,92,39
0,0,100,0,0,0,32768,0,102,0,0,111,65
0,0,100,0,0,0,0,74,74,0,0,89,33
0,0,100,0,0,0,0,74,74,0,0,88,30
0,0,100,0,0,0,0,74,74,0,0,90,32
1.005,2.513,96.482,0,0,0,0,74,74,0,0,243,230
0.250,0,99.750,0,0,0,0,74,74,0,0,96,43
0,0.249,99.501,0.249,0,0,32768,74,74,0,0,98,48
0,0,100,0,0,0,0,0,0,0,0,96,39
0,0,100,0,0,0,0,74,74,0,0,84,28
0,0,100,0,0,0,0,74,74,0,0,90,32
0,0,100,0,0,0,0,74,74,0,0,88,34
0.504,2.267,97.229,0,0,0,28672,0,0,0,0,181,174
0.500,0.500,99,0,0,0,4096,74,74,0,0,142,86
0,0,100,0,0,0,0,74,74,0,0,94,39
0,0,100,0,0,0,0,74,74,0,0,87,33
0,0,100,0,0,0,0,0,0,0,0,100,50
0,0,100,0,0,0,0,74,74,0,0,83,29
0,0,100,0,0,0,24576,74,74,0,0,98,45
0,0,100,0,0,0,0,74,74,0,0,84,26
1.259,2.267,96.474,0,0,0,0,74,74,0,0,242,230
0,0,100,0,0,0,0,74,74,0,0,89,36
0,0,100,0,0,0,0,74,74,0,0,84,37
0,0,100,0,0,0,0,0,0,0,0,95,44
0,0,99.749,0.251,0,0,32768,74,74,0,0,95,46
0,0,100,0,0,0,0,74,74,0,0,90,35
0,0,100,0,0,0,0,74,74,0,0,88,33
