"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/ping-1578412664-macsec-aesgcm-e-jumbo-2928-dstat.csv",,,,"Date:","07 Jan 2020 22:35:33 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.906,8.643,87.416,0.036,0,16646.018,37424.362,0,0,0,0,4858.221,10953.573
1.523,2.538,95.939,0,0,0,73728,124438,124332,0,0,2427,4770
1.527,4.326,94.148,0,0,0,0,112164,112270,0,0,1713,3808
1.531,4.337,94.133,0,0,0,0,111384,111384,0,0,2276,4382
1.511,5.290,92.695,0.504,0,0,557056,109668,109668,0,0,2035,4054
1.772,4.557,93.671,0,0,0,0,110214,110214,0,0,2255,4334
1.781,4.326,93.639,0.254,0,0,155648,109668,109668,0,0,2236,4317
0,0,100,0,0,0,0,109200,109044,0,0,1486,3562
0.524,2.356,97.120,0,0,0,0,109044,109200,0,0,1502,3576
2.273,3.788,93.939,0,0,0,0,109044,109044,0,0,1514,3567
0.528,1.583,97.889,0,0,0,0,109200,109200,0,0,1504,3562
2.828,1.799,95.373,0,0,0,24576,109044,108888,0,0,1505,3582
1.034,2.842,96.124,0,0,0,0,109200,109356,0,0,1504,3580
0,0.536,99.464,0,0,0,0,109200,109044,0,0,1484,3561
0,0,100,0,0,0,0,109200,109200,0,0,1493,3565
1.558,1.818,96.623,0,0,0,0,109200,109356,0,0,1505,3579
2.250,5,92.500,0.250,0,0,24576,109150,108888,0,0,1538,3586
0.779,2.597,96.623,0,0,0,0,109200,109356,0,0,1501,3576
2.842,1.292,95.866,0,0,0,0,109200,109306,0,0,1511,3584
1.995,5.736,92.269,0,0,0,0,109980,109824,0,0,1980,4041
1.015,5.076,93.909,0,0,0,0,110292,110448,0,0,2253,4332
2.267,4.786,92.947,0,0,0,24576,109824,109824,0,0,2243,4320
1.781,4.326,93.893,0,0,0,0,110292,110292,0,0,2237,4325
1.013,5.316,93.671,0,0,0,0,110448,110292,0,0,2248,4319
0.266,1.064,98.670,0,0,0,0,109356,109356,0,0,1633,3710
0,1.067,98.933,0,0,0,0,109278,109434,0,0,1497,3579
2.179,7.748,89.831,0.242,0,0,24576,108732,108576,0,0,1544,3568
0,0,100,0,0,0,0,109200,109200,0,0,1480,3552
1.781,3.562,94.656,0,0,0,0,109200,109356,0,0,1509,3583
2.015,4.534,93.451,0,0,0,0,109200,109200,0,0,1518,3573
1.741,5.970,92.289,0,0,0,0,109200,109200,0,0,1525,3572
3.023,3.275,93.451,0.252,0,0,24576,109044,108888,0,0,1526,3580
1.299,2.078,96.623,0,0,0,0,109200,109356,0,0,1498,3574
1.292,2.842,95.866,0,0,0,0,109200,109200,0,0,1513,3564
1.527,4.580,93.893,0,0,0,2580480,108264,108264,0,0,1537,3585
0,0,100,0,0,0,0,109200,109044,0,0,1492,3557
0,0,99.731,0.269,0,0,40960,108888,109044,0,0,1494,3572
1.562,1.823,96.615,0,0,0,0,109200,109200,0,0,1502,3564
0,0,100,0,0,0,0,109200,109044,0,0,1483,3564
0,0,100,0,0,0,139264,109200,109200,0,0,1561,3638
