"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/ping-1578412664-macsec-morus640-e-1500-1500-dstat.csv",,,,"Date:","08 Jan 2020 03:35:31 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.350,8.351,87.264,0.035,0,10092.082,37805.807,0,0,0,0,4886.071,11144.513
0.514,1.028,98.201,0.257,0,0,81920,132912,132912,0,0,2698,1821
1.818,1.039,97.143,0,0,0,147456,124488,124594,0,0,2584,1760
1.047,1.047,97.906,0,0,0,0,124282,124020,0,0,2507,1678
0.775,2.584,96.641,0,0,0,0,122772,122772,0,0,1699,1660
0.773,3.093,96.134,0,0,0,0,122850,122850,0,0,1702,1657
1.285,2.571,95.887,0.257,0,0,24576,122460,122460,0,0,1711,1677
1.276,4.847,93.878,0,0,0,24576,122304,122304,0,0,1785,1729
0.526,2.105,97.368,0,0,0,106496,123552,123552,0,0,2582,1742
0.771,3.085,96.144,0,0,0,0,122616,122616,0,0,1701,1660
0.514,3.342,96.144,0,0,0,0,122460,122460,0,0,1698,1658
0.517,2.842,96.641,0,0,0,0,122460,122460,0,0,1691,1656
1.813,1.295,96.891,0,0,0,0,123552,123552,0,0,2246,1679
0.771,3.085,95.887,0.257,0,0,40960,122304,122304,0,0,1708,1669
1.034,2.326,96.641,0,0,0,0,122616,122616,0,0,1699,1665
1.538,2.564,95.897,0,0,0,0,122772,122772,0,0,1700,1660
0.775,2.842,96.382,0,0,0,0,122772,122772,0,0,1705,1661
1.786,2.806,95.408,0,0,0,24576,122772,122878,0,0,1725,1684
1.546,2.062,96.134,0.258,0,0,49152,122928,122928,0,0,2056,1687
1.282,2.821,95.897,0,0,0,0,122878,122772,0,0,1700,1660
1.531,3.061,95.408,0,0,0,0,122772,122772,0,0,1708,1668
0.259,2.850,96.891,0,0,0,0,122772,122772,0,0,1695,1657
1.781,3.308,94.911,0,0,0,49152,122772,122772,0,0,1727,1686
0.514,3.085,96.144,0.257,0,0,81920,122304,122304,0,0,1699,1658
1.289,2.577,96.134,0,0,0,0,122928,122928,0,0,1707,1665
1.023,3.325,95.652,0,0,0,0,122772,122772,0,0,1701,1663
1.026,3.077,95.897,0,0,0,0,122928,122928,0,0,1720,1679
0.519,2.338,97.143,0,0,0,8192,122772,122772,0,0,1703,1664
0.775,2.584,96.124,0.517,0,0,40960,122148,122148,0,0,1703,1673
1.042,1.562,97.396,0,0,0,0,122772,122772,0,0,1697,1662
1.804,1.804,96.392,0,0,0,0,122772,122772,0,0,1702,1668
1.795,2.308,95.897,0,0,0,0,122772,122772,0,0,1704,1665
0.521,2.604,96.875,0,0,0,0,121836,121992,0,0,1699,1672
1.282,2.821,94.872,1.026,0,0,3129344,119028,118872,0,0,1681,1646
0.513,3.590,95.897,0,0,0,0,122928,122928,0,0,1703,1656
1.289,2.320,96.392,0,0,0,0,122616,122616,0,0,1703,1660
0.779,2.338,96.883,0,0,0,0,122616,122616,0,0,1700,1656
1.538,2.564,95.897,0,0,0,0,122616,122616,0,0,1701,1664
1.039,1.818,97.143,0,0,0,24576,122304,122304,0,0,1701,1678
0.773,3.093,96.134,0,0,0,0,122616,122616,0,0,1699,1656
0.773,2.835,96.392,0,0,0,0,122772,122772,0,0,1700,1658
0.773,2.835,96.392,0,0,0,0,122616,122616,0,0,1700,1655
1.282,2.821,95.897,0,0,0,0,122772,122772,0,0,1704,1659
0.767,3.581,95.396,0.256,0,0,147456,122460,122460,0,0,1760,1726
1.295,1.813,96.891,0,0,0,0,122928,122928,0,0,1701,1660
1.795,2.308,95.897,0,0,0,0,122928,123034,0,0,1714,1672
0.769,3.333,95.897,0,0,0,0,122772,122772,0,0,1694,1660
1.034,2.326,96.641,0,0,0,0,122616,122616,0,0,1699,1658
0.260,2.597,96.883,0.260,0,0,24576,122460,122460,0,0,1704,1667
0.771,3.085,96.144,0,0,0,0,122616,122616,0,0,1693,1648
0.513,3.590,95.897,0,0,0,0,122616,122616,0,0,1703,1653
