"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth2,macsec0--noheaders --output final/ping-1578412664-orig-jumbo-without-encryption-9000-dstat.csv",,,,"Date:","07 Jan 2020 18:24:52 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth2",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.599,6.508,89.851,0.041,0,33495.504,35532.430,0,0,0,0,4871.153,10166.242
1.020,2.296,96.429,0.255,0,0,90112,118712,118560,0,0,2493,4800
1.777,4.569,93.655,0,0,0,196608,108072,108072,0,0,2376,4461
1.750,5.250,93,0,0,0,0,107160,107160,0,0,1604,3647
1,6.250,92.750,0,0,0,0,107008,107110,0,0,1570,3654
1.754,5.013,93.233,0,0,0,0,107082,107082,0,0,1564,3645
1.768,4.545,93.687,0,0,0,32768,106704,106704,0,0,1572,3653
2.750,4.500,92.750,0,0,0,57344,107008,107008,0,0,1588,3663
1.519,4.557,93.924,0,0,0,0,107008,107008,0,0,1559,3648
1,6,93,0,0,0,0,106856,106856,0,0,1556,3635
2.256,4.511,93.233,0,0,0,0,106856,106856,0,0,1559,3639
1.777,4.061,93.909,0.254,0,0,73728,106096,106096,0,0,1556,3730
1.519,4.557,93.924,0,0,0,0,106704,106704,0,0,1555,3732
1.763,4.786,93.451,0,0,0,0,107160,107160,0,0,1644,3709
2.025,4.304,93.671,0,0,0,0,108326,108224,0,0,2285,4367
1.754,5.013,93.233,0,0,0,0,107160,107160,0,0,1568,3635
1.263,4.798,93.687,0.253,0,0,32768,106704,106704,0,0,1561,3644
2.256,4.762,92.982,0,0,0,0,106856,106856,0,0,1564,3648
2.250,4.750,93,0,0,0,0,106856,106856,0,0,1561,3639
1.763,4.786,93.451,0,0,0,0,106856,106958,0,0,1562,3657
3.500,3.500,93,0,0,0,0,106704,106704,0,0,1563,3651
2.736,4.726,92.289,0.249,0,0,32768,106704,106704,0,0,1570,3659
2,5.250,92.750,0,0,0,0,106856,106856,0,0,1565,3642
2.036,3.308,94.656,0,0,0,49152,106704,106704,0,0,1574,3678
2.284,3.553,94.162,0,0,0,0,106552,106552,0,0,1552,3721
1.504,5.514,92.982,0,0,0,0,106856,106856,0,0,1564,3636
1.504,5.514,92.982,0,0,0,90112,106552,106552,0,0,1566,3642
2.481,5.459,92.060,0,0,0,0,106930,106930,0,0,1571,3655
2.963,5.185,91.852,0,0,0,8192,106856,106856,0,0,1572,3655
1.263,4.798,93.939,0,0,0,0,106704,106704,0,0,1551,3637
2.985,4.726,92.289,0,0,0,0,106704,106704,0,0,1563,3635
2.743,4.489,92.519,0.249,0,0,49152,106400,106400,0,0,1576,3641
2.934,6.112,90.954,0,0,0,0,106704,106704,0,0,1574,3640
1.781,4.071,93.893,0.254,0,0,2760704,105640,105640,0,0,1559,3739
0.758,5.556,93.687,0,0,0,0,106856,106856,0,0,1557,3644
0.754,5.779,93.467,0,0,0,0,107008,107008,0,0,1559,3643
2.267,4.282,93.199,0.252,0,0,57344,106248,106248,0,0,1564,3638
1.259,5.290,93.451,0,0,0,0,106856,106856,0,0,1559,3635
1.010,5.051,93.939,0,0,0,81920,106856,106856,0,0,1603,3684
2.506,4.511,92.982,0,0,0,0,106704,106704,0,0,1574,3651
2.256,4.511,93.233,0,0,0,0,106704,106704,0,0,1554,3612
2.743,4.738,92.269,0.249,0,0,32768,106576,106474,0,0,1575,3668
1.975,6.173,91.852,0,0,0,0,106856,106856,0,0,1563,3634
0.515,4.124,95.361,0,0,0,0,108072,108072,0,0,2273,4358
2.010,4.774,93.216,0,0,0,0,107008,107008,0,0,1626,3680
1.508,5.276,93.216,0,0,0,0,106856,106856,0,0,1563,3636
2.046,3.069,94.885,0,0,0,32768,106248,106248,0,0,1557,3726
2.463,6.158,91.379,0,0,0,0,106856,106856,0,0,1574,3636
2.244,4.988,92.768,0,0,0,0,106856,106856,0,0,1563,3641
1.737,6.203,92.060,0,0,0,0,106704,106704,0,0,1564,3622
2,5,93,0,0,0,0,106704,106704,0,0,1562,3631
1.266,5.063,93.418,0.253,0,0,32768,107160,107262,0,0,2066,4162
0.765,4.847,94.388,0,0,0,0,108224,108224,0,0,2279,4366
2.278,4.051,93.671,0,0,0,0,108298,108298,0,0,2285,4369
2.506,4.762,92.732,0,0,0,0,107616,107616,0,0,1902,3961
2.010,4.523,93.467,0,0,0,0,106856,106856,0,0,1552,3638
1.741,5.970,92.289,0,0,0,32768,106704,106704,0,0,1574,3645
3.465,4.703,91.832,0,0,0,0,106704,106704,0,0,1564,3657
3.178,6.112,90.709,0,0,0,0,106704,106704,0,0,1578,3632
2.256,4.511,93.233,0,0,0,0,106552,106552,0,0,1560,3635
2.184,7.767,90.049,0,0,0,0,106400,106400,0,0,1582,3620
2.993,4.239,92.519,0.249,0,0,32768,106400,106400,0,0,1565,3641
1.737,5.955,92.308,0,0,0,0,106552,106552,0,0,1559,3636
2.750,4.750,92.500,0,0,0,2596864,106096,106096,0,0,1588,3661
2.985,4.726,92.289,0,0,0,0,106856,106856,0,0,1565,3645
2.015,4.534,93.451,0,0,0,0,106856,106856,0,0,1564,3650
1.496,5.985,92.519,0,0,0,49152,106248,106248,0,0,1563,3711
2.020,4.293,93.687,0,0,0,0,106856,106856,0,0,1554,3638
2.757,4.010,93.233,0,0,0,16384,106856,106856,0,0,1564,3639
3.500,3.750,92.750,0,0,0,0,106704,106704,0,0,1555,3649
2.978,4.715,92.308,0,0,0,0,106552,106552,0,0,1564,3630
2.764,4.523,92.462,0.251,0,0,49152,102904,102904,0,0,1670,3810
2.025,3.797,94.177,0,0,0,0,195160,195160,0,0,2310,4374
0.787,1.837,97.375,0,0,0,24576,193760,193760,0,0,1665,3705
1.292,2.584,96.124,0,0,0,0,193200,193200,0,0,1509,3606
1.295,2.591,96.114,0,0,0,0,193274,193274,0,0,1517,3600
1.790,3.069,94.885,0.256,0,0,40960,192640,192640,0,0,1526,3600
2.057,2.571,95.373,0,0,0,0,193200,193200,0,0,1517,3594
1.795,2.821,95.385,0,0,0,0,193200,193200,0,0,1519,3594
1.535,3.581,94.885,0,0,0,0,192360,192360,0,0,1518,3722
1.554,2.332,96.114,0,0,0,0,193274,193274,0,0,1514,3587
1.292,2.842,95.866,0,0,0,32768,192920,192920,0,0,1526,3609
1.804,2.577,95.619,0,0,0,0,192920,192920,0,0,1516,3603
0.775,3.359,95.866,0,0,0,0,192920,192920,0,0,1520,3584
0.769,3.846,95.385,0,0,0,0,192080,192080,0,0,1510,3712
1.292,2.842,95.866,0,0,0,0,192920,192920,0,0,1519,3594
2.308,2.308,95.128,0.256,0,0,32768,192640,192640,0,0,1523,3592
1.550,2.584,95.866,0,0,0,0,192920,192920,0,0,1516,3598
0.773,3.351,95.876,0,0,0,0,192920,192920,0,0,1516,3587
1.285,3.342,95.373,0,0,0,0,192920,192920,0,0,1524,3586
1.282,3.590,95.128,0,0,0,0,192360,192360,0,0,1511,3723
2.036,3.308,94.402,0.254,0,0,32768,192640,192640,0,0,1529,3598
1.295,2.591,96.114,0,0,0,0,193200,193200,0,0,1506,3577
2.067,2.584,95.349,0,0,0,2572288,191800,191800,0,0,1531,3599
1.034,2.842,96.124,0,0,0,0,193200,193200,0,0,1511,3588
1.538,3.333,95.128,0,0,0,0,193200,193200,0,0,1523,3583
2.046,2.813,94.885,0.256,0,0,49152,192640,192640,0,0,1526,3600
0.779,2.857,96.364,0,0,0,0,193200,193480,0,0,1518,3586
1.292,2.842,95.866,0,0,0,0,193200,192920,0,0,1513,3648
1.546,2.577,95.876,0,0,0,0,193200,193200,0,0,1520,3606
1.799,2.828,95.373,0,0,0,0,192920,192920,0,0,1509,3605
1.538,3.077,95.128,0.256,0,0,32768,191902,191800,0,0,1523,3758
0.773,3.608,95.619,0,0,0,0,192920,192920,0,0,1513,3640
1.538,3.077,95.385,0,0,0,16384,193200,193480,0,0,1529,3603
0.779,2.857,96.364,0,0,0,0,192920,192640,0,0,1519,3677
1.799,2.571,95.630,0,0,0,0,192920,192920,0,0,1518,3615
1.299,2.597,96.104,0,0,0,32768,192434,192434,0,0,1523,3632
1.036,2.591,96.373,0,0,0,0,192920,192920,0,0,1504,3592
1.299,2.338,96.364,0,0,0,24576,193200,193200,0,0,1532,3625
0.773,3.351,95.876,0,0,0,0,193200,193200,0,0,1514,3590
1.538,3.077,95.385,0,0,0,0,193274,193274,0,0,1519,3614
1.028,3.342,95.373,0.257,0,0,32768,192640,192640,0,0,1529,3618
0.518,3.368,96.114,0,0,0,0,193200,193200,0,0,1519,3617
1.289,2.835,95.876,0,0,0,0,193480,193480,0,0,1517,3597
1.285,3.342,95.373,0,0,0,0,193480,193480,0,0,1518,3616
1.285,3.085,95.630,0,0,0,0,193480,193480,0,0,1536,3621
