"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth0,macsec0--noheaders --output ethernet/iperf3-1579534859-100-macsec-aegis128l-we-1500-dstat.csv",,,,"Date:","20 Jan 2020 22:26:27 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth0",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.893,2.376,95.711,0.020,0,14611.761,13907.877,0,0,0,0,4687.940,639.975
1.127,24.789,74.085,0,0,0,0,416060,36516054,0,0,35188,1210
0.283,28.329,71.388,0,0,0,0,485724,39690948,0,0,40357,1315
2.210,28.177,69.613,0,0,0,0,484500,39686850,0,0,40393,1372
0.283,28.329,71.388,0,0,0,0,488784,39712400,0,0,40424,1315
0.563,28.169,70.986,0.282,0,0,122880,491334,39696300,0,0,40387,1352
0.283,28.329,71.388,0,0,0,0,488172,39711000,0,0,40409,1316
0.283,28.329,71.388,0,0,0,0,482460,39714398,0,0,40402,1309
0,28.329,71.671,0,0,0,0,486744,39704598,0,0,40390,1303
0,28.409,71.591,0,0,0,0,481950,39705750,0,0,40293,1303
0.283,28.329,71.388,0,0,0,0,486030,39691400,0,0,40310,1330
0.833,23.611,75.556,0,0,0,24576,405255,27430830,0,0,28518,1083
0,28.329,71.671,0,0,0,0,480114,39748100,0,0,40373,1314
0.563,28.451,70.986,0,0,0,0,471342,39749748,0,0,40426,1334
0,28.814,71.186,0,0,0,0,469710,39759650,0,0,40397,1300
0.845,28.169,70.986,0,0,0,5734400,463488,39390050,0,0,40075,1355
0,28.329,70.822,0.850,0,0,90112,472668,39801650,0,0,40457,1354
0.562,28.652,70.787,0,0,0,0,470016,39775400,0,0,40402,1332
0,28.612,71.388,0,0,0,0,467160,39804800,0,0,40457,1319
0.282,28.249,71.469,0,0,0,0,468486,39814250,0,0,40476,1306
0.565,28.249,71.186,0,0,0,122880,472158,39801650,0,0,40535,1404
1.099,23.077,75.824,0,0,0,0,368127,30372359,0,0,31016,1134
0,28.409,71.307,0.284,0,0,81920,475932,39761750,0,0,40412,1333
0.282,28.451,71.268,0,0,0,0,472260,39761750,0,0,40431,1369
0.283,28.329,71.388,0,0,0,0,469914,39777500,0,0,40461,1325
0.282,28.249,71.469,0,0,0,0,477156,39766650,0,0,40393,1330
0.283,28.329,71.388,0,0,0,0,473790,39764900,0,0,40411,1324
0,29.014,70.986,0,0,0,0,471648,39775196,0,0,40414,1316
0.845,28.169,70.986,0,0,0,24576,480216,39764900,0,0,40395,1348
0.282,28.249,71.469,0,0,0,0,474504,39775400,0,0,40362,1340
0.565,28.249,71.186,0,0,0,0,475218,39783800,0,0,40419,1339
2.432,22.973,74.595,0,0,0,49152,363843,30189677,0,0,30766,1150
0.282,28.451,71.268,0,0,0,0,471648,39748800,0,0,39698,1321
0,28.409,71.591,0,0,0,90112,476748,39714500,0,0,39637,1296
0,28.409,71.591,0,0,0,0,479502,39730848,0,0,39742,1302
0,28.329,71.671,0,0,0,0,478686,39707150,0,0,39692,1286
0,28.409,71.591,0,0,0,0,477156,39732000,0,0,39662,1304
0.563,28.169,71.268,0,0,0,0,476340,39726050,0,0,39694,1289
0.282,28.531,70.904,0.282,0,0,24576,482868,39728850,0,0,39720,1357
0.282,28.249,71.469,0,0,0,0,478380,39725000,0,0,39710,1308
0.282,28.531,71.186,0,0,0,0,476850,39745650,0,0,39779,1297
0.836,23.677,75.487,0,0,0,0,396371,32690922,0,0,32687,1169
1.657,27.348,70.994,0,0,0,0,462785,37356753,0,0,37491,1283
0.565,28.249,71.186,0,0,0,81920,484602,39705648,0,0,39684,1318
0.283,28.329,71.388,0,0,0,0,487254,39707150,0,0,39714,1301
0.282,28.249,71.469,0,0,0,0,482256,39724548,0,0,39697,1286
0.283,28.329,71.388,0,0,0,0,475320,39727100,0,0,39662,1299
