"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth0,macsec0--noheaders --output ethernet/iperf3-1579534859-100-macsec-aesgcm-we-frag-dstat.csv",,,,"Date:","20 Jan 2020 19:43:58 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth0",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.566,0.752,96.659,0.023,0,22338.428,11895.100,0,0,0,0,3174.029,691.255
0,0,100,0,0,0,0,0,78,0,0,89,48
0,0,100,0,0,0,0,0,0,0,0,61,35
0,0,99.750,0.250,0,0,65536,0,78,0,0,97,52
1.008,2.519,96.474,0,0,0,0,0,78,0,0,256,248
0,0,100,0,0,0,0,0,78,0,0,104,52
0,0,100,0,0,0,0,0,78,0,0,88,26
2.267,1.259,96.474,0,0,0,0,0,78,0,0,224,160
0,0.250,99.750,0,0,0,40960,0,78,0,0,107,61
0,0,100,0,0,0,0,0,78,0,0,76,51
1.259,2.267,96.474,0,0,0,0,0,78,0,0,189,160
0,0,100,0,0,0,0,0,78,0,0,87,40
0,0,100,0,0,0,0,0,78,0,0,95,42
1.005,2.010,96.734,0.251,0,0,32768,0,78,0,0,215,147
0,0,100,0,0,0,0,0,78,0,0,104,43
0,0,100,0,0,0,16384,0,78,0,0,108,60
1.259,2.267,96.474,0,0,0,0,0,78,0,0,212,147
0,0,100,0,0,0,0,0,78,0,0,66,42
0,0,100,0,0,0,0,0,78,0,0,75,46
1.511,2.015,96.474,0,0,0,57344,0,78,0,0,225,178
0,0.250,99.750,0,0,0,73728,0,78,0,0,137,82
0,0,100,0,0,0,0,0,78,0,0,87,34
0.756,2.771,96.474,0,0,0,0,0,78,0,0,218,146
0,0,100,0,0,0,0,0,78,0,0,100,43
0,0,99.750,0.250,0,0,32768,0,78,0,0,105,53
0.754,1.759,97.487,0,0,0,0,0,78,0,0,139,121
0,1.253,98.747,0,0,0,0,0,78,0,0,121,88
0,0,100,0,0,0,0,0,78,0,0,79,41
0,0,100,0,0,0,0,0,0,0,0,98,45
0.754,1.759,97.487,0,0,0,32768,0,78,0,0,221,162
0,0,100,0,0,0,0,0,78,0,0,100,49
0,0,100,0,0,0,40960,0,78,0,0,99,49
1.259,2.267,96.474,0,0,0,0,0,78,0,0,205,140
0,0,100,0,0,0,0,0,78,0,0,97,64
0,0.250,99.500,0.250,0,0,65536,0,78,0,0,69,50
1.256,2.261,96.482,0,0,0,0,0,78,0,0,189,152
0,0,100,0,0,0,0,0,78,0,0,93,36
0,0,100,0,0,0,0,0,78,0,0,88,32
1.259,2.267,96.474,0,0,0,0,0,78,0,0,214,145
0,0,100,0,0,0,32768,0,78,0,0,105,61
0,0,100,0,0,0,0,0,78,0,0,83,32
1.763,1.763,96.474,0,0,0,0,0,78,0,0,203,152
0,0,100,0,0,0,0,0,78,0,0,65,46
0,0,100,0,0,0,0,0,78,0,0,67,34
1.008,2.519,96.474,0,0,0,0,0,78,0,0,217,152
0,0.251,99.749,0,0,0,32768,0,78,0,0,112,56
0,0,100,0,0,0,0,0,78,0,0,89,39
1.763,1.763,96.474,0,0,0,0,0,78,0,0,213,153
0,0,100,0,0,0,0,0,78,0,0,91,39
0,0,100,0,0,0,0,0,78,0,0,93,43
