"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth0,macsec0--noheaders --output ethernet/iperf3-1579534859-100-no-macsec-1500-dstat.csv",,,,"Date:","20 Jan 2020 16:08:45 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth0",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.767,1.749,93.442,0.042,0,62467.718,25095.928,0,0,0,0,5886.188,1767.697
19.577,2.646,77.778,0,0,0,0,1953204,108791146,0,0,25032,2697
22.308,2.308,75.128,0.256,0,0,114688,2081178,108616742,0,0,26161,2614
21.522,1.050,77.428,0,0,0,0,2014254,107752112,0,0,25833,2508
19.841,1.587,78.571,0,0,0,0,1969758,108689692,0,0,25092,2014
21.149,2.089,76.762,0,0,0,0,2112726,108845832,0,0,26725,2121
21.649,2.577,75.773,0,0,0,0,2112594,108715768,0,0,26679,2103
20.888,2.089,77.023,0,0,0,0,2091078,108851744,0,0,26131,2323
19.948,2.625,77.165,0.262,0,0,24576,2077746,108650736,0,0,25876,2485
19.894,1.857,78.249,0,0,0,0,2076690,108755674,0,0,25883,2479
18.499,2.145,79.357,0,0,0,0,2053663,107467061,0,0,25674,2389
18.252,3.599,78.149,0,0,0,0,1827657,95378489,0,0,16946,1458
23.038,3.291,73.671,0,0,0,0,2348016,123009506,0,0,21562,1608
23.529,1.790,74.680,0,0,0,0,2342604,122999160,0,0,21491,1662
22.135,2.083,75.521,0.260,0,0,81920,2348346,122993248,0,0,21671,1759
22.739,1.809,75.452,0,0,0,0,2350590,123028720,0,0,21010,1862
21.053,2.105,76.842,0,0,0,0,2348256,123009506,0,0,21134,1955
21.260,2.362,76.378,0,0,0,0,2387352,122990292,0,0,21418,1832
21.503,2.850,75.648,0,0,0,0,2383590,123021330,0,0,21685,1842
23.469,2.296,74.235,0,0,0,0,2381214,122978468,0,0,21585,1791
22.622,2.314,74.807,0.257,0,0,24576,2384118,122994726,0,0,21552,1844
15.803,4.663,79.534,0,0,0,0,1657186,84467157,0,0,19075,1740
22.977,1.305,75.457,0.261,0,0,6430720,2143680,109281842,0,0,27143,2184
22.680,1.804,75.515,0,0,0,0,2141766,109323226,0,0,27069,2065
22.917,1.042,76.042,0,0,0,0,2144274,109299578,0,0,27070,2111
23.377,0.519,76.104,0,0,0,0,2144406,109407472,0,0,27148,2036
22.762,2.558,74.680,0,0,0,90112,2141634,109403038,0,0,27138,2083
