"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth0,macsec0--noheaders --output ethernet/ping-1579534859-macsec-aegis128l-we-1500-1500-dstat.csv",,,,"Date:","20 Jan 2020 22:25:05 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth0",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
1.880,2.361,95.740,0.020,0,14654.284,12780.676,0,0,0,0,4672.225,618.924
3.439,6.614,89.683,0.265,0,0,73728,856908,856908,0,0,11323,11405
3.117,9.351,87.532,0,0,0,0,888108,888108,0,0,11697,11784
3.150,8.136,88.714,0,0,0,0,888420,888264,0,0,11707,11787
1.857,8.753,89.390,0,0,0,0,888420,888420,0,0,11699,11785
1.596,8.245,90.160,0,0,0,0,863772,863928,0,0,11381,11464
2.618,9.162,88.220,0,0,0,24576,885846,885690,0,0,11665,11769
2.362,8.924,88.714,0,0,0,0,889044,889044,0,0,11683,11804
2.083,10.156,87.760,0,0,0,0,889044,889200,0,0,11685,11792
2.865,9.635,87.500,0,0,0,0,887140,886984,0,0,10771,10900
1.583,8.971,89.446,0,0,0,0,1510028,1510312,0,0,10940,11018
2.835,9.794,87.371,0,0,0,32768,1518832,1518832,0,0,11007,11094
1.562,10.417,88.021,0,0,0,0,1523376,1523092,0,0,11035,11103
1.554,10.622,87.824,0,0,0,0,1523376,1523660,0,0,11033,11105
2.122,7.427,90.451,0,0,0,0,1479356,1479356,0,0,10705,10783
3.342,9.769,86.889,0,0,0,0,1523660,1523660,0,0,11004,11101
2.326,9.819,87.597,0.258,0,0,24576,1518264,1517980,0,0,10974,11093
2.604,9.115,88.281,0,0,0,0,1523944,1523944,0,0,11032,11103
2.362,8.399,89.239,0,0,0,0,1483048,1483332,0,0,10738,10808
4.222,7.124,88.654,0,0,0,0,2147040,2146756,0,0,13020,9891
1.081,8.378,90.541,0,0,0,0,2446740,2446740,0,0,14386,9405
1.374,6.044,92.582,0,0,0,32768,2518560,2518560,0,0,13383,9708
1.330,7.979,90.691,0,0,0,0,2575260,2575260,0,0,9813,9862
2.674,5.882,91.444,0,0,0,0,2554740,2554740,0,0,9701,9788
3.403,7.330,89.267,0,0,0,0,2604960,2604960,0,0,9911,9996
1.571,9.162,89.267,0,0,0,0,2603880,2603880,0,0,9919,9981
2.116,7.672,89.947,0.265,0,0,24576,2596320,2596320,0,0,9900,9982
2.865,7.812,89.323,0,0,0,8192,2525040,2525580,0,0,9641,9701
2.089,9.138,88.773,0,0,0,0,2603340,2603340,0,0,9920,9976
2.139,7.487,90.374,0,0,0,0,2542146,2524178,0,0,9750,9331
11.529,7.018,81.454,0,0,0,0,2260830,2118728,0,0,9892,4480
11.111,6.313,82.576,0,0,0,49152,1886082,1769464,0,0,8418,3977
6.846,8.313,84.841,0,0,0,19333120,3589278,3365348,0,0,10129,7106
7.876,8.353,83.771,0,0,0,0,3714866,3482120,0,0,10335,7178
6.388,7.125,86.486,0,0,0,0,3716140,3484224,0,0,10346,7161
5.911,8.128,85.961,0,0,0,0,3536622,3317034,0,0,9880,6887
5.637,7.843,86.275,0.245,0,0,73728,3579180,3355880,0,0,9974,6932
4.938,8.395,86.667,0,0,0,2056192,3714942,3482120,0,0,10360,7192
5.839,8.759,85.401,0,0,0,0,3714942,3484224,0,0,10345,7156
4.774,7.286,87.940,0,0,0,0,3596010,3370608,0,0,10010,6986
6.683,6.436,86.881,0,0,0,0,3640890,3413740,0,0,10113,7056
5.610,8.537,85.854,0,0,0,40960,3616130,3390596,0,0,10069,7024
7.767,7.039,85.194,0,0,0,0,3715018,3483172,0,0,10344,7177
6.024,9.639,84.337,0,0,0,0,3645378,3419000,0,0,10170,7060
7.353,6.863,85.784,0,0,0,0,3603864,3379024,0,0,10044,7009
6.326,7.786,85.888,0,0,0,0,3599376,3373764,0,0,10030,6955
10.742,6.394,82.864,0,0,0,32768,3002214,2851364,0,0,9503,4927
9.391,7.868,82.741,0,0,0,0,2299430,2191980,0,0,8006,3469
9.620,7.089,83.291,0,0,0,0,2458218,2343348,0,0,7844,3828
10.952,5.476,83.571,0,0,0,0,4588374,4373964,0,0,9725,6771
10.552,5.516,83.933,0,0,0,0,4584926,4371108,0,0,9756,6787
9.375,6.250,84.135,0.240,0,0,24576,4558866,4346832,0,0,9705,6760
9.069,8.115,82.816,0,0,0,0,4264806,4065516,0,0,9290,6506
11.031,4.796,84.173,0,0,0,0,4494000,4282572,0,0,9565,6640
10.263,6.205,83.532,0,0,0,0,4600358,4386816,0,0,9784,6793
9.739,7.126,83.135,0,0,0,0,4621330,4405380,0,0,9810,6831
8.454,7.488,83.816,0.242,0,0,24576,4365172,4161192,0,0,9469,6672
8.193,7.229,84.578,0,0,0,0,4465538,4256868,0,0,9476,6606
9.856,6.010,84.135,0,0,0,0,4613466,4396890,0,0,9821,6834
10.096,5.769,84.135,0,0,0,0,4618786,4402524,0,0,9820,6838
8.193,8.193,83.614,0,0,0,0,4381650,4176900,0,0,9518,6671
8.916,6.747,84.337,0,0,0,24576,4531450,4319700,0,0,9646,6728
9.179,6.280,84.541,0,0,0,0,4531450,4321128,0,0,9649,6706
8.831,7.637,83.532,0,0,0,0,4594366,4378248,0,0,9786,6862
12.469,7.731,79.800,0,0,0,0,2564574,2451244,0,0,8338,3780
11.587,6.549,81.864,0,0,0,0,2406096,2299766,0,0,7919,3459
9.898,7.360,82.487,0.254,0,0,32768,2396592,2290682,0,0,7932,3466
9.774,7.268,82.957,0,0,0,10797056,3793142,3626030,0,0,10628,5339
6.127,9.069,84.804,0,0,0,0,4667002,4461758,0,0,9960,6627
10.024,6.683,83.294,0,0,0,0,4508064,4308844,0,0,9162,6387
8.454,6.763,84.783,0,0,0,0,4782096,4570766,0,0,9625,6689
6.585,7.805,85.366,0.244,0,0,49152,4759920,4549570,0,0,9584,6665
6.829,7.805,85.366,0,0,0,0,4722950,4513234,0,0,9526,6641
7.444,6.203,86.352,0,0,0,0,4453162,4255854,0,0,9086,6352
8.038,8.983,82.979,0,0,0,0,4769424,4560168,0,0,9589,6662
6.404,7.143,86.453,0,0,0,0,4786848,4573794,0,0,9618,6660
6.813,7.786,85.158,0.243,0,0,24576,4766256,4555626,0,0,9604,6681
9.615,6.971,83.413,0,0,0,8192,4463712,4266452,0,0,9190,6447
7.524,7.282,85.194,0,0,0,0,4696560,4489010,0,0,9466,6568
7.895,8.134,83.971,0,0,0,0,4782096,4570766,0,0,9622,6673
9.809,6.459,83.732,0,0,0,0,4783680,4572280,0,0,9594,6673
8.434,7.952,83.614,0,0,0,24576,4522320,4322470,0,0,9288,6547
