"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth0,macsec0--noheaders --output ethernet/ping-1579534859-macsec-aesgcm-e-1500-dstat.csv",,,,"Date:","20 Jan 2020 17:36:04 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth0",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
4.315,1.175,94.480,0.029,0,32063.309,16802.419,0,0,0,0,5367.936,1148.974
0,0,100,0,0,0,0,0,78,0,0,116,48
0,0,99.749,0.251,0,0,65536,0,0,0,0,97,46
0,0,100,0,0,0,0,0,78,0,0,93,41
0,0,100,0,0,0,0,0,78,0,0,83,50
0,0,100,0,0,0,0,0,78,0,0,64,46
0,0,100,0,0,0,0,0,0,0,0,75,44
0,0,100,0,0,0,0,0,78,0,0,87,30
0,0,100,0,0,0,24576,0,78,0,0,114,68
0,0,100,0,0,0,0,0,78,0,0,93,36
0,0,100,0,0,0,0,0,0,0,0,94,42
0,0,100,0,0,0,0,0,78,0,0,96,45
0,0,100,0,0,0,0,0,78,0,0,83,43
0,0,100,0,0,0,24576,0,78,0,0,75,57
0,0,100,0,0,0,0,0,0,0,0,67,36
0,0,100,0,0,0,0,0,78,0,0,96,45
0,0,100,0,0,0,0,0,78,0,0,101,39
0,0,100,0,0,0,0,0,78,0,0,85,31
0,0,100,0,0,0,0,0,0,0,0,95,35
0,0,99.750,0.250,0,0,24576,0,78,0,0,104,54
0,0,100,0,0,0,0,0,78,0,0,96,53
0,0,100,0,0,0,0,0,78,0,0,67,41
0,0,100,0,0,0,0,0,0,0,0,50,26
0,0,100,0,0,0,0,0,78,0,0,97,39
0,0,100,0,0,0,0,0,78,0,0,99,48
0,0,100,0,0,0,24576,0,78,0,0,109,61
0,0,100,0,0,0,0,0,0,0,0,110,54
0,0,100,0,0,0,8192,0,78,0,0,94,36
0,0,100,0,0,0,0,0,78,0,0,97,50
0,0,100,0,0,0,0,0,78,0,0,64,36
0,0,100,0,0,0,0,0,0,0,0,60,38
0,0,99.750,0.250,0,0,40960,0,78,0,0,101,58
0,0,100,0,0,0,65536,0,78,0,0,137,83
0,0,100,0,0,0,0,0,0,0,0,99,42
0,0,100,0,0,0,0,0,78,0,0,90,41
0,0,100,0,0,0,0,0,78,0,0,99,41
0,0,100,0,0,0,0,0,78,0,0,91,38
0,0,100,0,0,0,49152,0,0,0,0,74,55
0,0,100,0,0,0,0,0,78,0,0,64,43
0,0,100,0,0,0,0,0,78,0,0,86,40
0,0,100,0,0,0,0,0,78,0,0,95,46
0,0,100,0,0,0,0,0,0,0,0,87,30
0,0,99.750,0.250,0,0,40960,0,78,0,0,91,36
0,0,100,0,0,0,0,0,78,0,0,92,38
0,0,100,0,0,0,0,0,78,0,0,98,46
0,0.251,99.749,0,0,0,0,0,0,0,0,112,102
0,0,100,0,0,0,0,0,78,0,0,57,36
0,0,100,0,0,0,0,0,78,0,0,78,38
0,0,100,0,0,0,40960,0,78,0,0,102,56
0,0,100,0,0,0,0,0,0,0,0,87,34
0,0,100,0,0,0,0,0,78,0,0,91,37
0,0,100,0,0,0,0,0,78,0,0,90,36
0,0,100,0,0,0,0,0,0,0,0,98,46
0,0,100,0,0,0,0,0,78,0,0,69,26
0,0,100,0,0,0,24576,0,78,0,0,65,44
0,0,100,0,0,0,0,0,78,0,0,69,36
0,0,100,0,0,0,0,0,0,0,0,94,42
0,0,100,0,0,0,0,0,78,0,0,89,35
0,0,100,0,0,0,0,0,78,0,0,92,40
0,0,100,0,0,0,0,0,78,0,0,91,39
0,0,99.750,0.250,0,0,24576,0,0,0,0,104,57
0,0,100,0,0,0,0,0,78,0,0,82,38
0,0,100,0,0,0,0,0,78,0,0,55,35
0,0,100,0,0,0,0,0,78,0,0,61,37
0,0,100,0,0,0,0,0,0,0,0,97,43
0,0,100,0,0,0,24576,0,78,0,0,100,51
0,0,100,0,0,0,0,0,78,0,0,89,34
0,0,100,0,0,0,40960,0,78,0,0,115,63
0,0,100,0,0,0,0,0,0,0,0,88,32
0,0,100,0,0,0,0,0,78,0,0,78,33
0,0,100,0,0,0,0,0,78,0,0,60,38
0,0,99.750,0.250,0,0,24576,0,78,0,0,66,52
0,0,100,0,0,0,16384,0,0,0,0,102,47
0,0,100,0,0,0,0,0,78,0,0,90,36
0,0,100,0,0,0,0,0,78,0,0,85,28
0,0,100,0,0,0,0,0,78,0,0,94,38
0,0,100,0,0,0,0,0,0,0,0,91,40
0,0,100,0,0,0,57344,0,78,0,0,112,65
0,0,100,0,0,0,0,0,78,0,0,57,39
0,0,100,0,0,0,0,0,78,0,0,59,31
0,0,100,0,0,0,0,0,0,0,0,87,38
0,0,100,0,0,0,0,0,78,0,0,89,33
0,0,100,0,0,0,0,0,78,0,0,87,35
0,0,99.749,0.251,0,0,24576,0,78,0,0,102,53
0,0,100,0,0,0,0,0,0,0,0,94,41
0,0,100,0,0,0,0,0,78,0,0,93,37
0,0,100,0,0,0,0,0,78,0,0,71,49
0,0,100,0,0,0,0,0,78,0,0,62,34
0,0,100,0,0,0,0,0,0,0,0,78,41
0,0,100,0,0,0,24576,0,78,0,0,99,48
0,0,100,0,0,0,0,0,78,0,0,87,37
0,0,100,0,0,0,0,0,78,0,0,92,33
0,0,100,0,0,0,0,0,0,0,0,93,38
0,0,100,0,0,0,0,0,78,0,0,91,36
0,0,100,0,0,0,0,0,78,0,0,55,17
0,0,100,0,0,0,24576,0,78,0,0,72,55
0,0,100,0,0,0,0,0,0,0,0,72,39
0,0,100,0,0,0,0,0,78,0,0,92,40
0,0,100,0,0,0,0,0,78,0,0,89,36
0,0,100,0,0,0,0,0,78,0,0,89,29
0,0,100,0,0,0,0,0,0,0,0,110,57
0,0,99.749,0.251,0,0,24576,0,78,0,0,99,54
0,0,100,0,0,0,24576,0,78,0,0,97,59
0,0,100,0,0,0,0,0,78,0,0,62,40
0,0,100,0,0,0,0,0,0,0,0,73,44
0,0,100,0,0,0,0,0,78,0,0,90,36
0,0,100,0,0,0,0,0,78,0,0,99,45
0,0,100,0,0,0,32768,0,78,0,0,103,57
0,0,100,0,0,0,0,0,0,0,0,99,49
0,0,100,0,0,0,0,0,78,0,0,85,33
0,0,100,0,0,0,0,0,78,0,0,83,37
0,0,100,0,0,0,0,0,78,0,0,63,38
0,0,100,0,0,0,0,0,0,0,0,66,41
0,0,99.750,0.250,0,0,24576,0,78,0,0,97,50
0,0,100,0,0,0,0,0,78,0,0,87,31
0,0,100,0,0,0,0,0,78,0,0,88,38
0,0,100,0,0,0,0,0,0,0,0,104,49
0,0,100,0,0,0,0,0,78,0,0,89,34
0,0,100,0,0,0,0,0,78,0,0,87,39
0,0,100,0,0,0,24576,0,78,0,0,65,45
0.250,2,97.750,0,0,0,0,0,0,0,0,117,121
0.750,1.500,97.750,0,0,0,0,0,78,0,0,179,145
0,0,100,0,0,0,0,0,78,0,0,95,41
0,0,100,0,0,0,0,0,78,0,0,88,39
0,0,100,0,0,0,0,0,0,0,0,96,36
0,0,100,0,0,0,32768,0,78,0,0,98,55
0,0,100,0,0,0,0,0,78,0,0,95,40
0,0,100,0,0,0,0,0,78,0,0,58,37
0,0,100,0,0,0,0,0,0,0,0,62,39
0,0,100,0,0,0,0,0,78,0,0,78,36
0,0,100,0,0,0,0,0,78,0,0,89,36
0,0,99.750,0.250,0,0,24576,0,78,0,0,118,65
0,0.250,99.750,0,0,0,0,0,0,0,0,96,40
0,0,100,0,0,0,0,0,78,0,0,89,33
0,0,100,0,0,0,0,0,78,0,0,86,35
0,0,100,0,0,0,0,0,78,0,0,66,35
0,0,100,0,0,0,0,0,0,0,0,74,54
0,0,100,0,0,0,49152,0,78,0,0,98,62
0,0,100,0,0,0,0,0,78,0,0,91,38
0,0,100,0,0,0,0,0,78,0,0,91,33
0,0.250,99.750,0,0,0,0,0,0,0,0,91,35
0,0,100,0,0,0,0,0,78,0,0,97,45
0,0,99.750,0.250,0,0,49152,0,78,0,0,101,56
0,0,100,0,0,0,0,0,78,0,0,73,40
0,0,100,0,0,0,0,0,0,0,0,62,37
0,0,100,0,0,0,0,0,78,0,0,69,34
0,0,100,0,0,0,0,0,78,0,0,109,49
0,0,100,0,0,0,0,0,78,0,0,91,38
0,0,100,0,0,0,24576,0,0,0,0,103,57
0,0,100,0,0,0,0,0,78,0,0,90,36
0,0,100,0,0,0,0,0,78,0,0,88,36
0,0,100,0,0,0,0,0,78,0,0,86,43
0,0,100,0,0,0,0,0,0,0,0,59,33
0,0,100,0,0,0,8192,0,78,0,0,67,39
0,0,99.749,0.251,0,0,24576,0,78,0,0,99,51
0,0,100,0,0,0,0,0,78,0,0,88,34
0,0,100,0,0,0,0,0,0,0,0,105,55
0,0,100,0,0,0,0,0,78,0,0,87,31
0,0,100,0,0,0,0,0,78,0,0,90,39
0,0,100,0,0,0,0,0,78,0,0,79,32
0,0,100,0,0,0,24576,0,0,0,0,72,54
0,0,100,0,0,0,0,0,78,0,0,64,44
0,0,100,0,0,0,0,0,78,0,0,90,37
0,0,100,0,0,0,0,0,78,0,0,92,38
0,0.250,99.750,0,0,0,0,0,0,0,0,96,36
0,0,100,0,0,0,0,0,78,0,0,87,30
0,0,100,0,0,0,24576,0,78,0,0,97,53
0,0,100,0,0,0,0,0,78,0,0,87,35
0,0,100,0,0,0,8192,0,0,0,0,72,52
0,0,100,0,0,0,0,0,78,0,0,66,44
0,0,100,0,0,0,0,0,78,0,0,83,38
0,0,100,0,0,0,0,0,78,0,0,90,34
0,0.250,99.500,0.250,0,0,24576,0,0,0,0,99,43
0,0,100,0,0,0,16384,0,78,0,0,101,52
0,0,100,0,0,0,0,0,78,0,0,92,48
0,0,100,0,0,0,0,0,78,0,0,90,39
0,0,100,0,0,0,0,0,0,0,0,67,43
0,0,100,0,0,0,24576,0,78,0,0,65,43
0,0,100,0,0,0,16384,0,78,0,0,85,47
0,0,100,0,0,0,0,0,78,0,0,91,36
0,0.250,99.750,0,0,0,0,0,0,0,0,95,43
0,0,100,0,0,0,0,0,78,0,0,92,37
0,0,100,0,0,0,0,0,78,0,0,87,33
0,0,99.750,0.250,0,0,40960,0,78,0,0,103,53
0,0,100,0,0,0,0,0,0,0,0,71,38
0,0,100,0,0,0,0,0,78,0,0,58,30
0,0,100,0,0,0,0,0,78,0,0,69,36
0,0,100,0,0,0,0,0,78,0,0,92,38
0,0.250,99.750,0,0,0,0,0,0,0,0,97,47
0,0,100,0,0,0,24576,0,78,0,0,99,46
0,0,100,0,0,0,0,0,78,0,0,85,29
0,0,100,0,0,0,0,0,78,0,0,92,34
0,0,100,0,0,0,0,0,0,0,0,69,35
0,0,100,0,0,0,0,0,78,0,0,60,38
0,0,100,0,0,0,0,0,78,0,0,62,32
0,0,100,0,0,0,24576,0,78,0,0,103,56
0,0.250,99.750,0,0,0,0,0,0,0,0,96,42
0,0,100,0,0,0,0,0,78,0,0,90,30
0,0,100,0,0,0,0,0,78,0,0,81,26
0,0,100,0,0,0,0,0,78,0,0,90,33
0,0,100,0,0,0,0,0,0,0,0,80,39
0,0,99.750,0.250,0,0,24576,0,78,0,0,69,52
0,0,100,0,0,0,0,0,78,0,0,58,34
0,0,100,0,0,0,8192,0,78,0,0,97,35
0,0.250,99.750,0,0,0,0,0,0,0,0,93,36
0,0,100,0,0,0,0,0,78,0,0,88,35
0,0,100,0,0,0,0,0,78,0,0,104,52
0,0,100,0,0,0,24576,0,78,0,0,98,47
0,0,100,0,0,0,16384,0,0,0,0,100,51
0,0,100,0,0,0,0,0,78,0,0,56,27
0,0,100,0,0,0,0,0,78,0,0,58,30
0,0,100,0,0,0,0,0,78,0,0,85,29
0,0,100,0,0,0,0,0,0,0,0,94,39
0,0,99.750,0.250,0,0,32768,0,78,0,0,103,57
0,0,100,0,0,0,0,0,78,0,0,89,36
0,0,100,0,0,0,0,0,78,0,0,89,34
0,0,100,0,0,0,0,0,0,0,0,96,42
0,0,100,0,0,0,0,0,78,0,0,56,28
0,0,100,0,0,0,24576,0,78,0,0,64,44
0,0,100,0,0,0,0,0,78,0,0,78,31
0,0,100,0,0,0,0,0,0,0,0,98,46
0,0,100,0,0,0,0,0,78,0,0,87,31
0,0,100,0,0,0,0,0,78,0,0,90,33
0,0,100,0,0,0,0,0,78,0,0,88,33
0,0,100,0,0,0,24576,0,0,0,0,97,43
0,0,100,0,0,0,0,0,78,0,0,63,36
0,0,100,0,0,0,0,0,78,0,0,61,38
0,0,100,0,0,0,0,0,78,0,0,74,34
0,0.250,99.750,0,0,0,0,0,0,0,0,102,41
0,0,100,0,0,0,0,0,78,0,0,84,27
0,0,99.750,0.250,0,0,24576,0,78,0,0,95,42
0,0,100,0,0,0,0,0,78,0,0,89,33
0,0,100,0,0,0,0,0,0,0,0,92,35
0,0,100,0,0,0,0,0,78,0,0,73,37
0,0,100,0,0,0,0,0,78,0,0,55,33
0,0,100,0,0,0,0,0,78,0,0,76,39
0,0.250,99.750,0,0,0,24576,0,0,0,0,107,57
0,0,100,0,0,0,0,0,78,0,0,88,33
0,0,100,0,0,0,16384,0,78,0,0,101,50
0,0,100,0,0,0,0,0,78,0,0,90,32
0,0,100,0,0,0,0,0,0,0,0,97,39
1.003,2.757,95.990,0.251,0,0,49152,0,78,0,0,235,239
0,0,100,0,0,0,0,0,78,0,0,55,32
0,0,100,0,0,0,24576,0,78,0,0,82,50
0,0,100,0,0,0,0,0,0,0,0,88,35
0,0,100,0,0,0,0,0,78,0,0,88,34
0,0,100,0,0,0,0,0,78,0,0,89,39
0,0,100,0,0,0,24576,0,78,0,0,101,48
0,0,100,0,0,0,16384,0,0,0,0,107,54
0,0,100,0,0,0,0,0,78,0,0,79,31
0,0,100,0,0,0,0,0,78,0,0,48,21
0,0,100,0,0,0,0,0,78,0,0,61,36
0,0,100,0,0,0,0,0,0,0,0,92,36
0,0,99.750,0.250,0,0,40960,0,78,0,0,105,50
0,0,100,0,0,0,0,0,78,0,0,87,34
0,0,100,0,0,0,0,0,78,0,0,93,37
0,0,100,0,0,0,0,0,0,0,0,94,43
0,0,100,0,0,0,0,0,78,0,0,80,32
0,0,100,0,0,0,0,0,78,0,0,63,41
