"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth0,macsec0--noheaders --output ethernet/ping-1579534859-macsec-aesgcm-e-frag-1500-dstat.csv",,,,"Date:","20 Jan 2020 18:35:07 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth0",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.277,0.927,95.771,0.025,0,24122.601,13843.670,0,0,0,0,4062.183,876.365
0,0,99.749,0.251,0,0,98304,0,78,0,0,140,91
0,0,100,0,0,0,0,0,78,0,0,70,44
0,0,100,0,0,0,0,0,0,0,0,63,36
0,0,100,0,0,0,0,0,78,0,0,92,47
0,0,100,0,0,0,0,0,78,0,0,96,41
0,0.249,99.252,0.499,0,0,106496,0,78,0,0,142,92
0,0,100,0,0,0,0,0,0,0,0,102,43
0,0,100,0,0,0,0,0,78,0,0,102,52
0,0,100,0,0,0,0,0,78,0,0,88,32
0,0,100,0,0,0,0,0,78,0,0,69,45
0,0,100,0,0,0,0,0,0,0,0,59,28
0,0,100,0,0,0,40960,0,78,0,0,101,68
0,0,100,0,0,0,0,0,78,0,0,98,40
0,0,100,0,0,0,0,0,78,0,0,85,31
0,0,100,0,0,0,0,0,0,0,0,104,45
0,0,100,0,0,0,0,0,78,0,0,105,53
0,0,99.750,0.250,0,0,24576,0,78,0,0,117,59
0,0,100,0,0,0,0,0,78,0,0,77,42
0,0,100,0,0,0,0,0,0,0,0,54,32
0,0,100,0,0,0,0,0,78,0,0,86,53
0,0,100,0,0,0,0,0,78,0,0,98,43
0,0,100,0,0,0,0,0,78,0,0,102,41
0,0,100,0,0,0,24576,0,0,0,0,116,67
0,0,100,0,0,0,0,0,78,0,0,98,44
0,0,100,0,0,0,0,0,78,0,0,96,40
0,0,100,0,0,0,0,0,78,0,0,87,46
0,0,100,0,0,0,0,0,0,0,0,63,37
0,0,100,0,0,0,0,0,78,0,0,77,42
0,0,100,0,0,0,24576,0,78,0,0,92,44
0,0,100,0,0,0,0,0,78,0,0,88,32
0,0,100,0,0,0,0,0,0,0,0,91,35
0,0,100,0,0,0,0,0,78,0,0,105,53
0,0,100,0,0,0,0,0,0,0,0,94,38
0,0,100,0,0,0,0,0,78,0,0,80,30
0,0,99.749,0.251,0,0,24576,0,78,0,0,65,51
0,0,100,0,0,0,0,0,78,0,0,75,53
0,0,100,0,0,0,8192,0,0,0,0,92,38
0,0,100,0,0,0,0,0,78,0,0,101,46
0,0,100,0,0,0,0,0,78,0,0,97,47
0,0,100,0,0,0,0,0,78,0,0,103,45
0,0,100,0,0,0,32768,0,0,0,0,100,51
0,0,100,0,0,0,32768,0,78,0,0,113,62
0,0,100,0,0,0,0,0,78,0,0,66,40
0,0,100,0,0,0,0,0,78,0,0,64,41
0,0,100,0,0,0,0,0,0,0,0,86,38
0,0,100,0,0,0,0,0,78,0,0,99,48
0,0,99.750,0.250,0,0,24576,0,78,0,0,109,59
0,0,100,0,0,0,0,0,78,0,0,93,41
0,0,100,0,0,0,0,0,0,0,0,85,32
0,0,100,0,0,0,0,0,78,0,0,90,37
0,0,100,0,0,0,0,0,78,0,0,68,45
0,0,100,0,0,0,0,0,78,0,0,72,51
0,0,100,0,0,0,24576,0,0,0,0,84,42
0,0,100,0,0,0,0,0,78,0,0,101,42
0,0,100,0,0,0,0,0,78,0,0,90,40
0,0,100,0,0,0,0,0,78,0,0,104,53
0,0,100,0,0,0,0,0,0,0,0,94,39
0,0,100,0,0,0,0,0,78,0,0,88,32
0,0,99.750,0.250,0,0,24576,0,78,0,0,73,45
0,0,100,0,0,0,0,0,78,0,0,60,41
0,0,100,0,0,0,0,0,0,0,0,79,40
0,0,100,0,0,0,0,0,78,0,0,99,47
0,0,100,0,0,0,0,0,78,0,0,83,24
0,0,100,0,0,0,0,0,78,0,0,94,42
0,0,100,0,0,0,24576,0,0,0,0,99,48
0,0,100,0,0,0,0,0,78,0,0,98,42
0,0,100,0,0,0,0,0,78,0,0,80,42
0,0,100,0,0,0,0,0,78,0,0,59,40
0,0,100,0,0,0,0,0,0,0,0,62,33
0,0,100,0,0,0,0,0,78,0,0,93,35
0,0,100,0,0,0,24576,0,78,0,0,103,55
0,0,100,0,0,0,8192,0,0,0,0,109,54
0,0,100,0,0,0,0,0,78,0,0,83,25
0,0,100,0,0,0,0,0,78,0,0,92,34
0,0,100,0,0,0,0,0,78,0,0,81,41
0,0,100,0,0,0,0,0,0,0,0,74,49
0,0.250,99.500,0.250,0,0,40960,0,78,0,0,88,65
0,0,100,0,0,0,0,0,78,0,0,100,46
0,0,100,0,0,0,0,0,78,0,0,86,30
0,0,100,0,0,0,0,0,0,0,0,98,41
0,0,100,0,0,0,0,0,78,0,0,85,34
0,0,100,0,0,0,40960,0,78,0,0,115,63
0,0,100,0,0,0,0,0,78,0,0,84,36
0,0,100,0,0,0,0,0,0,0,0,65,43
0,0,100,0,0,0,0,0,78,0,0,63,42
0,0,100,0,0,0,0,0,78,0,0,98,42
0,0,100,0,0,0,0,0,78,0,0,100,46
0,0,99.749,0.251,0,0,24576,0,0,0,0,105,58
0,0,100,0,0,0,0,0,78,0,0,77,20
0,0,100,0,0,0,0,0,78,0,0,111,52
0,0,100,0,0,0,0,0,78,0,0,85,33
0,0,100,0,0,0,0,0,0,0,0,79,48
0,0,100,0,0,0,24576,0,78,0,0,72,50
0,0,100,0,0,0,0,0,78,0,0,82,37
0,0.250,99.750,0,0,0,0,0,78,0,0,98,44
0,0,100,0,0,0,0,0,0,0,0,95,44
0,0,100,0,0,0,0,0,78,0,0,102,46
0,0,100,0,0,0,0,0,78,0,0,88,34
0,0,100,0,0,0,24576,0,78,0,0,97,44
0,0,100,0,0,0,0,0,0,0,0,74,49
0,0,100,0,0,0,0,0,78,0,0,58,37
0,0.251,99.749,0,0,0,0,0,78,0,0,131,125
0,0,100,0,0,0,0,0,78,0,0,96,36
0,0,100,0,0,0,0,0,0,0,0,102,49
0,0,99.750,0.250,0,0,40960,0,78,0,0,112,65
0,0,100,0,0,0,0,0,78,0,0,90,36
0,0,100,0,0,0,8192,0,78,0,0,106,55
0,0,100,0,0,0,0,0,0,0,0,68,38
0,0,100,0,0,0,0,0,78,0,0,63,38
0,0,100,0,0,0,0,0,78,0,0,80,46
0,0,100,0,0,0,24576,0,78,0,0,105,57
0,0,100,0,0,0,8192,0,0,0,0,110,59
0,0,100,0,0,0,0,0,78,0,0,97,44
0,0,100,0,0,0,0,0,78,0,0,96,42
0,0,100,0,0,0,0,0,78,0,0,99,36
0,0,99.749,0.251,0,0,24576,0,0,0,0,99,67
0,0,100,0,0,0,32768,0,78,0,0,92,65
0,0,100,0,0,0,0,0,78,0,0,80,48
0,0,100,0,0,0,0,0,78,0,0,100,41
1.250,1.750,97,0,0,0,0,0,0,0,0,176,156
0.251,0.754,98.995,0,0,0,0,0,78,0,0,168,118
0,0,100,0,0,0,32768,0,78,0,0,117,64
0,0,100,0,0,0,0,0,78,0,0,97,42
0,0,100,0,0,0,0,0,0,0,0,96,52
0,0,100,0,0,0,0,0,78,0,0,66,43
0,0,100,0,0,0,0,0,78,0,0,72,47
0,0,100,0,0,0,0,0,78,0,0,104,50
