"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth0,macsec0--noheaders --output ethernet/ping-1579534859-macsec-aesgcm-we-1500-dstat.csv",,,,"Date:","20 Jan 2020 18:04:29 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth0",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
3.736,1.039,95.198,0.027,0,27678.959,15162.541,0,0,0,0,4646.610,998.194
0.250,0,99.750,0,0,0,0,0,78,0,0,83,51
0.250,0,99.750,0,0,0,0,0,78,0,0,77,36
0.250,0,99.750,0,0,0,0,0,0,0,0,95,39
0.250,0,99.750,0,0,0,0,0,78,0,0,102,44
0.250,0,99.750,0,0,0,0,0,78,0,0,99,43
0.249,0,99.501,0.249,0,0,65536,0,78,0,0,106,56
0.250,0,99.750,0,0,0,0,0,0,0,0,90,33
0.250,0,99.750,0,0,0,0,0,78,0,0,81,43
0.250,0,99.750,0,0,0,0,0,0,0,0,55,33
0.249,0,99.751,0,0,0,0,0,78,0,0,77,44
0.250,0,99.750,0,0,0,0,0,78,0,0,107,50
0.251,0,99.749,0,0,0,24576,0,78,0,0,111,61
0.249,0,99.751,0,0,0,0,0,106,0,0,106,48
0.250,0,99.750,0,0,0,0,0,78,0,0,98,39
0.250,0,99.750,0,0,0,0,0,78,0,0,100,43
0.250,0,99.750,0,0,0,0,0,78,0,0,95,51
0.250,0,99.750,0,0,0,24576,0,0,0,0,73,50
0.250,0,99.750,0,0,0,0,0,78,0,0,68,42
0.250,0,99.750,0,0,0,0,0,78,0,0,86,27
0.250,0,99.750,0,0,0,0,0,78,0,0,107,46
0.250,0,99.750,0,0,0,0,0,0,0,0,97,41
0.249,0,99.751,0,0,0,0,0,78,0,0,92,37
0.250,0,99.500,0.250,0,0,24576,0,78,0,0,108,61
0.250,0,99.750,0,0,0,0,0,78,0,0,90,41
0.249,0,99.751,0,0,0,0,0,0,0,0,62,31
0.250,0,99.750,0,0,0,0,0,78,0,0,71,48
0.250,0,99.750,0,0,0,0,0,78,0,0,87,36
0.250,0,99.750,0,0,0,0,0,78,0,0,106,49
0.250,0,99.750,0,0,0,24576,0,0,0,0,106,51
0.250,0,99.750,0,0,0,0,0,78,0,0,100,45
0.250,0,99.750,0,0,0,16384,0,78,0,0,111,54
0.250,0,99.750,0,0,0,0,0,78,0,0,114,65
0.250,0,99.750,0,0,0,0,0,0,0,0,68,41
0.249,0,99.751,0,0,0,0,0,78,0,0,60,36
0.250,0,99.500,0.250,0,0,40960,0,78,0,0,101,58
0.250,0,99.750,0,0,0,49152,0,78,0,0,143,84
0.250,0,99.750,0,0,0,0,0,0,0,0,89,34
0.250,0,99.750,0,0,0,0,0,78,0,0,102,43
0.249,0,99.751,0,0,0,0,0,78,0,0,88,27
0.250,0,99.750,0,0,0,0,0,78,0,0,111,49
0.251,0,99.749,0,0,0,40960,0,0,0,0,83,58
0.249,0,99.751,0,0,0,0,0,78,0,0,74,51
0.250,0,99.750,0,0,0,0,0,78,0,0,81,43
0.250,0,99.750,0,0,0,0,0,78,0,0,106,49
0.250,0,99.750,0,0,0,0,0,0,0,0,97,34
0.250,0,99.750,0,0,0,0,0,78,0,0,101,41
0.249,0,99.501,0.249,0,0,24576,0,78,0,0,100,49
0.250,0,99.750,0,0,0,0,0,0,0,0,105,47
0.250,0,99.750,0,0,0,0,0,78,0,0,75,37
0.249,0,99.751,0,0,0,0,0,78,0,0,78,55
0.250,0,99.750,0,0,0,0,0,78,0,0,75,33
0.250,0,99.750,0,0,0,0,0,0,0,0,110,54
0.251,0,99.749,0,0,0,24576,0,78,0,0,106,57
0.249,0,99.751,0,0,0,0,0,78,0,0,101,43
0.250,0,99.750,0,0,0,0,0,78,0,0,98,41
0.250,0,99.750,0,0,0,0,0,0,0,0,112,52
0.250,0,99.750,0,0,0,0,0,78,0,0,75,34
0.250,0,99.750,0,0,0,0,0,78,0,0,67,40
0.250,0,99.750,0,0,0,24576,0,78,0,0,83,56
0.250,0,99.750,0,0,0,0,0,0,0,0,95,38
0.250,0,99.750,0,0,0,0,0,78,0,0,121,59
0.250,0,99.750,0,0,0,0,0,78,0,0,92,38
0.250,0,99.750,0,0,0,0,0,78,0,0,101,45
0.250,0,99.750,0,0,0,0,0,0,0,0,104,48
0.249,0,99.501,0.249,0,0,24576,0,78,0,0,91,45
0.250,0,99.750,0,0,0,8192,0,78,0,0,74,45
0.249,0,99.751,0,0,0,0,0,78,0,0,62,41
0.250,0,99.750,0,0,0,0,0,0,0,0,104,52
0.250,0,99.750,0,0,0,0,0,78,0,0,105,45
0.250,0,99.750,0,0,0,0,0,78,0,0,98,40
0.250,0,99.750,0,0,0,57344,0,78,0,0,131,78
0.250,0,99.750,0,0,0,0,0,0,0,0,100,47
0.250,0,99.750,0,0,0,0,0,78,0,0,93,43
0.250,0,99.750,0,0,0,0,0,78,0,0,76,48
0.250,0,99.750,0,0,0,0,0,78,0,0,72,48
0.250,0,99.750,0,0,0,0,0,0,0,0,106,53
0.249,0,99.501,0.249,0,0,24576,0,78,0,0,96,42
0.250,0,99.750,0,0,0,0,0,78,0,0,90,37
0.250,0,99.750,0,0,0,0,0,78,0,0,102,42
0.250,0,99.750,0,0,0,0,0,0,0,0,110,51
0.249,0,99.751,0,0,0,0,0,78,0,0,102,43
0.250,0,99.750,0,0,0,0,0,78,0,0,72,44
0.250,0,99.750,0,0,0,24576,0,78,0,0,76,53
0.250,0,99.750,0,0,0,0,0,0,0,0,104,58
0.250,0,99.750,0,0,0,0,0,78,0,0,101,39
0.250,0,99.750,0,0,0,0,0,78,0,0,104,47
0.250,0,99.750,0,0,0,0,0,78,0,0,88,34
0.250,0,99.750,0,0,0,0,0,0,0,0,110,52
0.250,0,99.750,0,0,0,24576,0,78,0,0,103,55
0.250,0,99.750,0,0,0,0,0,78,0,0,83,43
0.250,0,99.750,0,0,0,0,0,78,0,0,66,40
0.249,0,99.751,0,0,0,0,0,0,0,0,85,44
0.250,0,99.750,0,0,0,0,0,78,0,0,97,47
0.250,0,99.750,0,0,0,0,0,78,0,0,101,44
0.249,0,99.501,0.249,0,0,24576,0,78,0,0,111,59
0.250,0,99.750,0,0,0,0,0,0,0,0,108,52
0.250,0,99.750,0,0,0,0,0,78,0,0,84,30
0.250,0,99.750,0,0,0,0,0,78,0,0,84,43
0.250,0,99.750,0,0,0,0,0,78,0,0,65,41
0.250,0,99.750,0,0,0,0,0,0,0,0,88,54
0.250,0,99.750,0,0,0,40960,0,78,0,0,115,67
0.250,0,99.750,0,0,0,0,0,78,0,0,96,43
0.250,0,99.750,0,0,0,0,0,78,0,0,90,34
0.250,0,99.750,0,0,0,0,0,0,0,0,108,45
0.249,0,99.751,0,0,0,0,0,78,0,0,101,43
0.250,0,99.500,0.250,0,0,57344,0,78,0,0,114,78
0.250,0,99.750,0,0,0,0,0,78,0,0,57,36
0.250,0,99.750,0,0,0,0,0,0,0,0,81,46
0.249,0,99.751,0,0,0,0,0,78,0,0,87,31
0.250,0,99.750,0,0,0,0,0,78,0,0,105,44
0.250,0,99.750,0,0,0,16384,0,78,0,0,108,52
0.251,0,99.749,0,0,0,24576,0,0,0,0,107,55
0.249,0,99.751,0,0,0,0,0,78,0,0,108,50
0.250,0,99.750,0,0,0,0,0,78,0,0,91,40
0.250,0,99.750,0,0,0,0,0,78,0,0,75,44
