"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth0,macsec0--noheaders --output ethernet/ping-1579534859-macsec-chachapoly-e-1500-1500-dstat.csv",,,,"Date:","20 Jan 2020 21:26:59 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth0",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.039,1.643,96.298,0.020,0,16729.791,12022.209,0,0,0,0,3864.465,617.659
0,0.250,99.750,0,0,0,0,0,78,0,0,94,41
0.251,0,99.749,0,0,0,65536,0,78,0,0,80,57
0.249,0,99.751,0,0,0,0,0,0,0,0,69,41
0,0.250,99.750,0,0,0,0,0,78,0,0,107,48
0.250,0,99.750,0,0,0,0,0,78,0,0,98,40
0,0.250,99.750,0,0,0,0,0,78,0,0,106,47
0,0.250,99.750,0,0,0,0,0,0,0,0,94,36
0,0.250,99.500,0.250,0,0,73728,0,78,0,0,148,93
0.250,0,99.750,0,0,0,0,0,78,0,0,92,39
0,0.249,99.751,0,0,0,0,0,78,0,0,66,37
0,0.250,99.750,0,0,0,0,0,0,0,0,63,36
0.250,0,99.750,0,0,0,0,0,78,0,0,99,47
0,0.250,99.750,0,0,0,0,0,78,0,0,92,28
0,0.250,99.750,0,0,0,24576,0,78,0,0,109,55
0,0.250,99.750,0,0,0,0,0,0,0,0,94,39
0,0.250,99.750,0,0,0,0,0,78,0,0,108,49
0,0.250,99.750,0,0,0,0,0,78,0,0,96,37
0,0.249,99.751,0,0,0,0,0,78,0,0,74,44
0,0.250,99.750,0,0,0,0,0,0,0,0,65,38
0.250,0,99.500,0.250,0,0,24576,0,78,0,0,107,68
0.249,0,99.751,0,0,0,0,0,78,0,0,99,38
0,0.250,99.750,0,0,0,0,0,78,0,0,97,32
0,0.250,99.750,0,0,0,0,0,0,0,0,98,35
0.250,0,99.750,0,0,0,0,0,78,0,0,106,49
0,0.250,99.750,0,0,0,0,0,78,0,0,102,42
0,0.250,99.750,0,0,0,24576,0,78,0,0,82,53
0.250,0,99.750,0,0,0,0,0,0,0,0,65,41
0,0.250,99.750,0,0,0,0,0,78,0,0,84,45
0,0.250,99.750,0,0,0,8192,0,78,0,0,117,46
0.250,0,99.750,0,0,0,0,0,78,0,0,97,40
0,0.249,99.751,0,0,0,0,0,0,0,0,101,36
0.251,0,99.749,0,0,0,40960,0,78,0,0,124,75
0.250,0,99.750,0,0,0,0,0,78,0,0,103,34
0,0.499,99.501,0,0,0,24576,0,78,0,0,86,51
0.250,0,99.750,0,0,0,0,0,0,0,0,70,46
0,0.250,99.750,0,0,0,0,0,78,0,0,81,45
0,0.249,99.751,0,0,0,0,0,0,0,0,98,36
0,0.250,99.500,0.250,0,0,40960,0,78,0,0,103,49
0,0.250,99.750,0,0,0,0,0,78,0,0,95,31
0,0.250,99.750,0,0,0,0,0,78,0,0,104,46
0,0.249,99.751,0,0,0,0,0,0,0,0,98,35
0,0.250,99.750,0,0,0,0,0,78,0,0,81,32
0,0.250,99.750,0,0,0,0,0,78,0,0,68,35
0,0.250,99.750,0,0,0,40960,0,78,0,0,87,66
0.250,0,99.750,0,0,0,0,0,0,0,0,99,39
0,0.250,99.750,0,0,0,0,0,78,0,0,102,40
0,0.250,99.750,0,0,0,0,0,78,0,0,90,33
0,0.250,99.750,0,0,0,0,0,78,0,0,96,39
0,0.250,99.750,0,0,0,0,0,0,0,0,89,33
0.249,0,99.501,0.249,0,0,24576,0,78,0,0,100,50
0.250,0,99.750,0,0,0,0,0,78,0,0,67,38
0,0.249,99.751,0,0,0,0,0,78,0,0,63,40
0,0.250,99.750,0,0,0,0,0,0,0,0,86,28
0.250,0,99.750,0,0,0,0,0,78,0,0,93,37
0,0.250,99.750,0,0,0,0,0,78,0,0,96,42
0,0.250,99.750,0,0,0,24576,0,78,0,0,115,61
0.250,0,99.750,0,0,0,0,0,0,0,0,86,28
0.250,0,99.750,0,0,0,0,0,78,0,0,87,29
0,0.249,99.751,0,0,0,0,0,78,0,0,58,35
0,0.250,99.750,0,0,0,0,0,78,0,0,73,53
0,0.250,99.750,0,0,0,0,0,0,0,0,89,36
0.250,0,99.750,0,0,0,24576,0,78,0,0,97,43
0,0.250,99.750,0,0,0,0,0,78,0,0,88,32
0,0.250,99.750,0,0,0,0,0,78,0,0,98,42
0,0.250,99.750,0,0,0,0,0,0,0,0,91,33
0.250,0,99.750,0,0,0,0,0,78,0,0,99,37
0,0.249,99.751,0,0,0,0,0,78,0,0,58,26
0,0.249,99.501,0.249,0,0,24576,0,78,0,0,72,52
0.250,0,99.750,0,0,0,16384,0,0,0,0,82,38
0,0.250,99.750,0,0,0,0,0,78,0,0,103,48
0,0.250,99.750,0,0,0,0,0,78,0,0,100,40
0,0.250,99.750,0,0,0,0,0,78,0,0,94,41
0,0.250,99.750,0,0,0,0,0,0,0,0,89,31
0.250,0,99.750,0,0,0,24576,0,184,0,0,103,59
0,0.250,99.750,0,0,0,0,0,78,0,0,78,44
0,0.250,99.750,0,0,0,0,0,78,0,0,75,50
0,0.249,99.751,0,0,0,0,0,0,0,0,71,28
0.250,0,99.750,0,0,0,0,0,78,0,0,88,27
0.250,0,99.750,0,0,0,0,0,78,0,0,93,39
0,0.249,99.501,0.249,0,0,24576,0,0,0,0,108,60
0.250,0,99.750,0,0,0,0,0,78,0,0,96,33
0,0.250,99.750,0,0,0,0,0,78,0,0,102,42
0,0.250,99.750,0,0,0,0,0,78,0,0,72,28
0,0.250,99.750,0,0,0,0,0,0,0,0,65,37
0,0.249,99.751,0,0,0,0,0,78,0,0,79,47
0,0.251,99.749,0,0,0,24576,0,78,0,0,98,47
0,0.249,99.751,0,0,0,0,0,78,0,0,92,31
0,0.250,99.750,0,0,0,0,0,0,0,0,94,36
0,0.250,99.750,0,0,0,0,0,78,0,0,92,33
0,0.250,99.750,0,0,0,0,0,78,0,0,100,41
0,0.250,99.750,0,0,0,0,0,78,0,0,71,20
0,0.250,99.750,0,0,0,24576,0,0,0,0,80,58
0.250,0,99.750,0,0,0,0,0,78,0,0,63,35
0,0.249,99.751,0,0,0,0,0,78,0,0,91,34
0,0.250,99.750,0,0,0,0,0,78,0,0,93,37
0,0.250,99.750,0,0,0,0,0,0,0,0,95,44
0,0.250,99.750,0,0,0,0,0,78,0,0,87,27
0,0.249,99.501,0.249,0,0,24576,0,78,0,0,100,46
0,0.250,99.750,0,0,0,0,0,78,0,0,84,36
0,0.250,99.750,0,0,0,0,0,0,0,0,65,43
0,0.249,99.751,0,0,0,0,0,78,0,0,58,31
0,0.250,99.750,0,0,0,0,0,78,0,0,89,32
0.250,0,99.750,0,0,0,0,0,78,0,0,87,28
0,0.250,99.750,0,0,0,57344,0,0,0,0,115,64
0.250,0,99.750,0,0,0,0,0,78,0,0,101,44
0,0.250,99.750,0,0,0,0,0,78,0,0,102,47
0,0.250,99.750,0,0,0,0,0,78,0,0,89,34
0,0.250,99.750,0,0,0,0,0,0,0,0,76,45
0,0.249,99.751,0,0,0,0,0,78,0,0,65,41
0,0.251,99.749,0,0,0,40960,0,78,0,0,120,80
0.250,0,99.750,0,0,0,0,0,78,0,0,108,52
0.250,0,99.750,0,0,0,0,0,0,0,0,103,48
0,0.250,99.750,0,0,0,0,0,78,0,0,97,35
0,0.250,99.750,0,0,0,0,0,78,0,0,110,50
0,0.249,99.751,0,0,0,0,0,78,0,0,99,46
0,0.250,99.500,0.250,0,0,24576,0,0,0,0,86,58
0.249,0,99.751,0,0,0,0,0,78,0,0,65,32
0,0.250,99.750,0,0,0,0,0,78,0,0,88,38
0,0.250,99.750,0,0,0,16384,0,78,0,0,106,47
1.500,1.250,97.250,0,0,0,0,0,0,0,0,191,166
0.500,0.500,99,0,0,0,0,0,78,0,0,179,137
0.251,0,99.749,0,0,0,32768,0,78,0,0,113,56
0.250,0,99.750,0,0,0,0,0,78,0,0,96,36
0.249,0,99.751,0,0,0,0,0,0,0,0,84,52
0,0.250,99.750,0,0,0,0,0,78,0,0,71,43
0.250,0,99.750,0,0,0,0,0,78,0,0,80,44
0,0.250,99.750,0,0,0,0,0,78,0,0,99,40
0,0.249,99.501,0.249,0,0,24576,0,0,0,0,111,57
0.250,0,99.750,0,0,0,0,0,78,0,0,103,38
0,0.250,99.750,0,0,0,0,0,78,0,0,100,38
0,0.250,99.750,0,0,0,0,0,78,0,0,99,38
0,0.499,99.501,0,0,0,0,0,0,0,0,87,45
0,0.249,99.751,0,0,0,0,0,78,0,0,65,35
0,0.251,99.749,0,0,0,24576,0,78,0,0,87,59
0.249,0,99.751,0,0,0,0,0,78,0,0,101,39
0,0.250,99.750,0,0,0,0,0,0,0,0,107,44
0,0.250,99.750,0,0,0,0,0,78,0,0,96,37
0,0.250,99.750,0,0,0,0,0,78,0,0,96,38
0,0.250,99.750,0,0,0,16384,0,78,0,0,113,47
0.251,0,99.749,0,0,0,24576,0,0,0,0,104,72
0.249,0,99.751,0,0,0,0,0,78,0,0,67,40
0,0.250,99.750,0,0,0,0,0,78,0,0,75,45
0,0.250,99.750,0,0,0,0,0,78,0,0,92,28
0,0.250,99.750,0,0,0,0,0,0,0,0,113,54
0,0.250,99.750,0,0,0,0,0,78,0,0,109,46
0,0.249,99.501,0.249,0,0,24576,0,78,0,0,108,59
0.250,0,99.750,0,0,0,0,0,78,0,0,100,35
0,0.499,99.501,0,0,0,0,0,0,0,0,100,43
0,0.250,99.750,0,0,0,0,0,78,0,0,67,36
0,0.249,99.751,0,0,0,0,0,78,0,0,72,41
0,0.250,99.750,0,0,0,0,0,78,0,0,94,35
0,0.251,99.749,0,0,0,24576,0,0,0,0,135,76
0.250,0,99.750,0,0,0,0,0,78,0,0,96,36
0,0.250,99.750,0,0,0,0,0,78,0,0,101,40
0,0.250,99.750,0,0,0,16384,0,78,0,0,111,54
0.249,0.249,99.501,0,0,0,0,0,0,0,0,108,46
0,0.249,99.751,0,0,0,0,0,78,0,0,62,34
