"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth0,macsec0--noheaders --output ethernet/ping-1579534859-macsec-chachapoly-e-frag-1500-dstat.csv",,,,"Date:","20 Jan 2020 19:03:32 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth0",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.935,0.846,96.196,0.023,0,21553.919,12869.407,0,0,0,0,3639.990,788.353
0,0,100,0,0,0,0,0,78,0,0,118,59
0,0,100,0,0,0,65536,0,0,0,0,114,61
0,0,100,0,0,0,0,0,184,0,0,104,51
0,0,100,0,0,0,0,0,78,0,0,118,61
0,0,100,0,0,0,0,0,78,0,0,97,41
0,0,100,0,0,0,0,0,0,0,0,76,44
0,0,100,0,0,0,0,0,78,0,0,67,35
0,0,99.749,0.251,0,0,24576,0,78,0,0,110,68
0,0,100,0,0,0,0,0,78,0,0,106,46
0,0,100,0,0,0,0,0,0,0,0,98,43
0,0,100,0,0,0,0,0,78,0,0,98,40
0,0,100,0,0,0,0,0,78,0,0,117,57
0,0,100,0,0,0,24576,0,78,0,0,113,59
0,0,100,0,0,0,0,0,0,0,0,71,38
0,0,100,0,0,0,0,0,78,0,0,77,47
0,0,100,0,0,0,0,0,78,0,0,96,52
0,0,100,0,0,0,0,0,78,0,0,102,44
0,0,100,0,0,0,0,0,0,0,0,108,52
0,0,100,0,0,0,24576,0,78,0,0,111,53
0,0,100,0,0,0,0,0,78,0,0,101,39
0,0,100,0,0,0,0,0,78,0,0,99,39
0,0,100,0,0,0,0,0,0,0,0,79,36
0,0,100,0,0,0,0,0,78,0,0,66,39
0,0.250,99.750,0,0,0,0,0,78,0,0,90,48
0,0,99.749,0.251,0,0,24576,0,78,0,0,110,54
0,0,100,0,0,0,0,0,0,0,0,97,34
0,0,100,0,0,0,8192,0,78,0,0,104,45
0,0,100,0,0,0,0,0,78,0,0,104,49
0,0,100,0,0,0,0,0,0,0,0,100,42
0,0,100,0,0,0,0,0,78,0,0,83,43
0,0,100,0,0,0,40960,0,78,0,0,82,57
0,0,100,0,0,0,49152,0,78,0,0,107,84
0,0,100,0,0,0,0,0,0,0,0,109,51
0,0,100,0,0,0,0,0,78,0,0,97,43
0,0,100,0,0,0,0,0,78,0,0,106,47
0,0,100,0,0,0,0,0,78,0,0,107,49
0,0,99.750,0.250,0,0,49152,0,0,0,0,114,66
0,0,100,0,0,0,0,0,78,0,0,89,36
0,0,100,0,0,0,0,0,78,0,0,71,40
0,0,100,0,0,0,0,0,78,0,0,72,49
0,0,100,0,0,0,0,0,0,0,0,95,42
0,0,100,0,0,0,0,0,78,0,0,99,42
0,0,100,0,0,0,40960,0,78,0,0,113,58
0,0,100,0,0,0,0,0,78,0,0,106,48
0,0,100,0,0,0,0,0,0,0,0,104,40
0,0,100,0,0,0,0,0,78,0,0,88,26
0,0,100,0,0,0,0,0,78,0,0,73,43
0,0,100,0,0,0,0,0,78,0,0,94,64
0,0,100,0,0,0,24576,0,0,0,0,101,58
0,0,100,0,0,0,0,0,78,0,0,103,42
0,0,100,0,0,0,0,0,78,0,0,105,41
0,0,100,0,0,0,0,0,78,0,0,106,51
0,0,100,0,0,0,0,0,0,0,0,97,43
0,0,100,0,0,0,0,0,78,0,0,98,39
0,0,99.750,0.250,0,0,24576,0,78,0,0,81,60
0,0,100,0,0,0,0,0,0,0,0,81,52
0,0,100,0,0,0,0,0,78,0,0,96,50
0,0,100,0,0,0,0,0,78,0,0,119,56
0,0,100,0,0,0,0,0,78,0,0,109,44
0,0,100,0,0,0,0,0,0,0,0,109,54
0,0,100,0,0,0,24576,0,78,0,0,106,54
0,0,100,0,0,0,0,0,78,0,0,104,48
0,0,100,0,0,0,0,0,78,0,0,77,42
0,0,100,0,0,0,0,0,0,0,0,76,48
0,0,100,0,0,0,0,0,78,0,0,78,40
0,0,100,0,0,0,0,0,78,0,0,98,39
0,0,99.749,0.251,0,0,57344,0,78,0,0,129,78
0,0,100,0,0,0,0,0,0,0,0,97,46
0,0,100,0,0,0,0,0,78,0,0,102,45
0,0,100,0,0,0,0,0,78,0,0,101,43
0,0,100,0,0,0,0,0,78,0,0,84,40
0,0,100,0,0,0,57344,0,0,0,0,83,66
0,0,100,0,0,0,0,0,78,0,0,64,35
0,0,100,0,0,0,0,0,78,0,0,104,45
0,0,100,0,0,0,0,0,78,0,0,98,41
0,0,100,0,0,0,0,0,0,0,0,108,49
0,0,100,0,0,0,0,0,78,0,0,97,43
0,0,100,0,0,0,24576,0,78,0,0,93,42
0,0,100,0,0,0,0,0,78,0,0,88,42
0,0,100,0,0,0,0,0,0,0,0,72,50
0,0,100,0,0,0,0,0,78,0,0,68,42
0,0,100,0,0,0,0,0,78,0,0,95,42
0,0,100,0,0,0,0,0,78,0,0,94,35
0,0,99.749,0.251,0,0,24576,0,0,0,0,111,66
0,0,100,0,0,0,0,0,78,0,0,100,38
0,0,100,0,0,0,0,0,78,0,0,92,37
0,0,100,0,0,0,0,0,78,0,0,94,41
0,0,100,0,0,0,0,0,0,0,0,63,42
0,0,100,0,0,0,0,0,78,0,0,75,45
0,0,100,0,0,0,24576,0,78,0,0,100,53
0,0,100,0,0,0,0,0,78,0,0,103,39
0,0,100,0,0,0,0,0,0,0,0,101,50
0,0,100,0,0,0,0,0,78,0,0,91,36
0,0,100,0,0,0,0,0,78,0,0,95,38
0,0,100,0,0,0,0,0,78,0,0,102,47
0,0,99.750,0.250,0,0,24576,0,0,0,0,82,58
0,0,100,0,0,0,0,0,78,0,0,69,42
0,0,100,0,0,0,0,0,78,0,0,71,21
0,0,100,0,0,0,0,0,78,0,0,98,41
0,0,100,0,0,0,0,0,0,0,0,92,40
0,0,100,0,0,0,0,0,78,0,0,99,41
0,0,100,0,0,0,57344,0,78,0,0,128,81
0,0,100,0,0,0,0,0,78,0,0,93,37
0,0,100,0,0,0,0,0,0,0,0,75,42
0,0,100,0,0,0,0,0,78,0,0,56,32
0,0,100,0,0,0,0,0,78,0,0,83,38
0,0,100,0,0,0,32768,0,78,0,0,112,60
0,0,100,0,0,0,0,0,0,0,0,97,42
0,0,100,0,0,0,0,0,78,0,0,96,40
0,0,100,0,0,0,0,0,78,0,0,90,35
0,0,100,0,0,0,0,0,78,0,0,95,34
0,0,100,0,0,0,0,0,0,0,0,95,60
0,0,99.750,0.250,0,0,24576,0,78,0,0,65,51
0,0,100,0,0,0,0,0,78,0,0,81,46
0,0,100,0,0,0,0,0,78,0,0,97,38
0,0,100,0,0,0,0,0,0,0,0,103,43
0,0,100,0,0,0,0,0,78,0,0,96,43
