"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth0,macsec0--noheaders --output ethernet/ping-1579534859-macsec-chachapoly-we-1500-1500-dstat.csv",,,,"Date:","20 Jan 2020 20:58:34 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth0",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.186,1.753,96.040,0.020,0,17974.671,12541.034,0,0,0,0,4145.113,660.273
0,0,100,0,0,0,0,0,78,0,0,109,42
0,0,100,0,0,0,65536,0,0,0,0,84,33
0,0,100,0,0,0,0,0,78,0,0,91,28
0,0,100,0,0,0,0,0,78,0,0,90,36
0,0,100,0,0,0,0,0,78,0,0,85,34
0,0,100,0,0,0,0,0,0,0,0,56,34
0,0,99.750,0.250,0,0,24576,0,78,0,0,66,43
0,0,100,0,0,0,0,0,78,0,0,92,44
0,0,100,0,0,0,0,0,78,0,0,86,29
0,0,100,0,0,0,0,0,0,0,0,87,29
0,0,100,0,0,0,0,0,78,0,0,94,36
0,0,100,0,0,0,24576,0,78,0,0,104,55
0,0,100,0,0,0,0,0,78,0,0,86,27
0,0,100,0,0,0,0,0,0,0,0,57,31
0,0,100,0,0,0,0,0,78,0,0,56,28
0,0,100,0,0,0,0,0,78,0,0,88,40
0,0,100,0,0,0,24576,0,78,0,0,94,42
0,0,100,0,0,0,0,0,0,0,0,86,33
0,0,100,0,0,0,0,0,78,0,0,88,27
0,0,100,0,0,0,0,0,78,0,0,95,37
0,0,100,0,0,0,0,0,78,0,0,90,28
0,0,99.749,0.251,0,0,24576,0,0,0,0,71,48
0,0,100,0,0,0,0,0,78,0,0,58,30
0,0,100,0,0,0,0,0,78,0,0,83,40
0,0,100,0,0,0,0,0,78,0,0,88,28
0,0,100,0,0,0,0,0,0,0,0,88,28
0,0,100,0,0,0,32768,0,78,0,0,101,50
0,0,100,0,0,0,0,0,78,0,0,93,36
0,0,100,0,0,0,0,0,78,0,0,86,29
0,0,100,0,0,0,0,0,0,0,0,66,27
0,0,100,0,0,0,0,0,78,0,0,56,29
0,0,100,0,0,0,106496,0,78,0,0,123,97
0,0,100,0,0,0,0,0,78,0,0,87,28
0,0,100,0,0,0,0,0,0,0,0,84,28
0,0,100,0,0,0,0,0,78,0,0,89,30
0,0,100,0,0,0,0,0,78,0,0,93,39
0,0,99.750,0.250,0,0,49152,0,0,0,0,104,53
0,0,100,0,0,0,0,0,78,0,0,74,37
0,0,100,0,0,0,0,0,78,0,0,62,34
0,0,100,0,0,0,0,0,78,0,0,67,36
0,0,100,0,0,0,0,0,0,0,0,90,33
0,0,100,0,0,0,40960,0,78,0,0,94,44
0,0,100,0,0,0,0,0,78,0,0,96,38
0,0,100,0,0,0,0,0,78,0,0,91,36
0,0,100,0,0,0,0,0,0,0,0,91,29
0,0,100,0,0,0,0,0,78,0,0,77,27
0,0,99.749,0.251,0,0,24576,0,78,0,0,70,49
0,0,100,0,0,0,0,0,78,0,0,66,44
0,0,100,0,0,0,0,0,0,0,0,99,35
0,0,100,0,0,0,0,0,78,0,0,88,29
0,0,100,0,0,0,0,0,78,0,0,93,30
0,0,100,0,0,0,24576,0,78,0,0,101,54
0,0,100,0,0,0,0,0,0,0,0,90,33
0,0,100,0,0,0,0,0,78,0,0,78,23
0,0,100,0,0,0,0,0,78,0,0,59,28
0,0,100,0,0,0,0,0,0,0,0,59,36
0,0,100,0,0,0,24576,0,78,0,0,113,63
0,0,100,0,0,0,0,0,78,0,0,90,37
0,0,100,0,0,0,0,0,78,0,0,96,38
0,0,100,0,0,0,0,0,0,0,0,90,37
0,0,100,0,0,0,0,0,78,0,0,86,32
0,0,99.750,0.250,0,0,24576,0,78,0,0,96,48
0,0,100,0,0,0,0,0,78,0,0,58,32
0,0,100,0,0,0,0,0,0,0,0,64,42
0,0,100,0,0,0,0,0,78,0,0,77,30
0,0,100,0,0,0,0,0,78,0,0,92,32
0,0.250,99.750,0,0,0,49152,0,78,0,0,116,70
0,0,100,0,0,0,0,0,0,0,0,95,42
0,0,100,0,0,0,0,0,78,0,0,87,31
0,0,100,0,0,0,0,0,78,0,0,90,28
0,0,100,0,0,0,0,0,78,0,0,64,32
0,0,100,0,0,0,40960,0,0,0,0,78,65
0,0,100,0,0,0,0,0,78,0,0,73,31
0,0,100,0,0,0,0,0,78,0,0,91,36
0,0,100,0,0,0,0,0,78,0,0,88,33
0,0,100,0,0,0,0,0,0,0,0,96,37
0,0,99.750,0.250,0,0,40960,0,78,0,0,97,46
0,0,100,0,0,0,0,0,78,0,0,96,35
0,0,100,0,0,0,0,0,78,0,0,71,34
0,0,100,0,0,0,0,0,0,0,0,56,29
0,0,100,0,0,0,0,0,78,0,0,64,30
0,0,100,0,0,0,24576,0,78,0,0,99,49
0,0,100,0,0,0,0,0,78,0,0,92,35
0,0,100,0,0,0,0,0,0,0,0,95,39
0,0,100,0,0,0,0,0,78,0,0,86,27
0,0,100,0,0,0,0,0,78,0,0,87,30
0,0,100,0,0,0,24576,0,78,0,0,84,48
0,0,100,0,0,0,0,0,0,0,0,64,45
0,0,100,0,0,0,0,0,78,0,0,63,33
0,0,100,0,0,0,0,0,78,0,0,87,28
0,0,100,0,0,0,0,0,78,0,0,91,35
0,0,99.750,0.250,0,0,24576,0,0,0,0,100,53
0,0,100,0,0,0,0,0,78,0,0,93,32
0,0,100,0,0,0,0,0,78,0,0,88,34
0,0,100,0,0,0,0,0,78,0,0,84,30
0,0,100,0,0,0,0,0,0,0,0,56,33
0,0,100,0,0,0,24576,0,78,0,0,67,49
0,0,100,0,0,0,0,0,78,0,0,91,37
0,0,100,0,0,0,0,0,78,0,0,102,40
0,0,100,0,0,0,0,0,0,0,0,91,37
0,0,100,0,0,0,0,0,78,0,0,91,31
0,0,99.750,0.250,0,0,32768,0,78,0,0,100,52
0,0,100,0,0,0,0,0,78,0,0,90,32
0,0,100,0,0,0,0,0,0,0,0,61,38
0,0,100,0,0,0,0,0,78,0,0,60,28
0,0,100,0,0,0,0,0,78,0,0,74,19
0,0,100,0,0,0,49152,0,78,0,0,112,60
0,0,100,0,0,0,0,0,0,0,0,96,48
0,0,100,0,0,0,0,0,78,0,0,93,37
0,0,100,0,0,0,0,0,78,0,0,85,30
0,0,100,0,0,0,0,0,78,0,0,91,28
0,0,100,0,0,0,24576,0,0,0,0,69,52
0,0,100,0,0,0,0,0,78,0,0,56,31
0,0,100,0,0,0,0,0,78,0,0,76,33
0,0,100,0,0,0,0,0,78,0,0,87,28
0,0,100,0,0,0,0,0,0,0,0,95,39
0,0,99.750,0.250,0,0,24576,0,78,0,0,106,56
0,0,100,0,0,0,0,0,78,0,0,92,36
0,0,100,0,0,0,0,0,78,0,0,91,32
0.501,1.253,98.246,0,0,0,0,0,0,0,0,126,125
0.754,1.005,98.241,0,0,0,0,0,78,0,0,144,136
0,0,100,0,0,0,32768,0,78,0,0,80,51
0,0,100,0,0,0,0,0,78,0,0,89,31
0,0,100,0,0,0,0,0,0,0,0,94,39
0,0,100,0,0,0,0,0,78,0,0,88,30
0,0,100,0,0,0,0,0,78,0,0,91,34
0,0,100,0,0,0,24576,0,78,0,0,99,51
0,0,100,0,0,0,0,0,0,0,0,83,47
0,0,100,0,0,0,0,0,78,0,0,57,33
0,0,100,0,0,0,0,0,78,0,0,67,35
0,0,100,0,0,0,0,0,78,0,0,90,33
0,0,99.750,0.250,0,0,24576,0,0,0,0,101,49
0,0,100,0,0,0,0,0,78,0,0,89,32
0,0,100,0,0,0,0,0,78,0,0,90,32
0,0,100,0,0,0,0,0,78,0,0,90,30
0,0,100,0,0,0,0,0,0,0,0,84,40
0,0,100,0,0,0,40960,0,78,0,0,74,54
0,0,100,0,0,0,0,0,78,0,0,61,39
0,0,100,0,0,0,0,0,78,0,0,93,35
0,0,100,0,0,0,0,0,0,0,0,94,39
0,0,100,0,0,0,0,0,78,0,0,91,34
0,0,99.750,0.250,0,0,49152,0,78,0,0,98,51
0,0,100,0,0,0,0,0,78,0,0,93,38
0,0,100,0,0,0,0,0,0,0,0,88,40
0,0,100,0,0,0,0,0,78,0,0,64,34
0,0,100,0,0,0,0,0,78,0,0,57,29
0,0,100,0,0,0,24576,0,78,0,0,98,56
0,0,100,0,0,0,0,0,0,0,0,93,40
0,0,100,0,0,0,0,0,78,0,0,92,34
0,0,100,0,0,0,0,0,78,0,0,86,31
0,0,100,0,0,0,0,0,78,0,0,94,36
0,0,100,0,0,0,24576,0,0,0,0,97,52
0,0,100,0,0,0,32768,0,78,0,0,83,58
0,0,100,0,0,0,0,0,78,0,0,59,30
0,0,100,0,0,0,0,0,78,0,0,84,33
0,0,100,0,0,0,0,0,0,0,0,97,44
0,0,99.750,0.250,0,0,24576,0,78,0,0,99,44
0,0,100,0,0,0,0,0,78,0,0,87,28
0,0,100,0,0,0,0,0,78,0,0,93,32
0,0,100,0,0,0,0,0,0,0,0,94,37
0,0,100,0,0,0,0,0,184,0,0,75,39
0,0,100,0,0,0,24576,0,78,0,0,60,47
0,0,100,0,0,0,0,0,78,0,0,81,37
0,0,100,0,0,0,0,0,0,0,0,92,42
0.250,0,99.750,0,0,0,0,0,78,0,0,89,33
0,0,100,0,0,0,0,0,78,0,0,89,33
0,0,100,0,0,0,24576,0,78,0,0,101,58
0,0,100,0,0,0,8192,0,0,0,0,106,51
0,0,100,0,0,0,0,0,78,0,0,66,31
0,0,100,0,0,0,0,0,78,0,0,59,33
0,0,100,0,0,0,0,0,78,0,0,70,32
0,0,99.749,0.251,0,0,24576,0,0,0,0,103,57
0,0,100,0,0,0,0,0,78,0,0,93,36
0,0,100,0,0,0,0,0,78,0,0,89,30
0,0,100,0,0,0,0,0,78,0,0,87,29
0,0,100,0,0,0,0,0,0,0,0,96,40
0,0,100,0,0,0,24576,0,78,0,0,95,57
0,0,100,0,0,0,16384,0,78,0,0,71,45
0,0,100,0,0,0,0,0,78,0,0,65,36
0,0,100,0,0,0,0,0,0,0,0,98,39
0,0,100,0,0,0,0,0,78,0,0,89,28
0,0,100,0,0,0,40960,0,78,0,0,97,46
0,0,100,0,0,0,0,0,78,0,0,92,34
0,0,100,0,0,0,0,0,0,0,0,92,30
0,0,100,0,0,0,0,0,78,0,0,75,27
0,0,100,0,0,0,0,0,78,0,0,59,30
0,0,99.750,0.250,0,0,24576,0,78,0,0,64,48
0,0,100,0,0,0,0,0,0,0,0,102,45
0,0,100,0,0,0,0,0,78,0,0,87,32
0,0,100,0,0,0,0,0,78,0,0,85,30
0,0,100,0,0,0,0,0,78,0,0,88,32
0,0,100,0,0,0,24576,0,0,0,0,99,50
0,0,100,0,0,0,0,0,78,0,0,88,36
0,0,100,0,0,0,0,0,78,0,0,55,32
0,0,100,0,0,0,0,0,78,0,0,60,30
0,0,100,0,0,0,0,0,0,0,0,89,39
0,0,100,0,0,0,24576,0,78,0,0,100,47
0,0,100,0,0,0,0,0,78,0,0,90,33
0,0,100,0,0,0,0,0,78,0,0,91,36
0,0,100,0,0,0,0,0,0,0,0,91,35
0,0,100,0,0,0,0,0,78,0,0,90,27
0,0,99.750,0.250,0,0,24576,0,78,0,0,64,44
0,0,100,0,0,0,8192,0,78,0,0,68,45
0,0,100,0,0,0,0,0,0,0,0,84,39
0,0,100,0,0,0,0,0,78,0,0,90,34
0,0,100,0,0,0,0,0,78,0,0,91,27
0,0,100,0,0,0,24576,0,78,0,0,98,49
0,0,100,0,0,0,0,0,0,0,0,98,41
0,0,100,0,0,0,0,0,78,0,0,94,34
0,0,100,0,0,0,0,0,78,0,0,57,23
0,0,100,0,0,0,0,0,78,0,0,59,31
0,0,99.750,0.250,0,0,24576,0,0,0,0,82,51
0,0,100,0,0,0,24576,0,78,0,0,108,46
0,0,100,0,0,0,0,0,78,0,0,90,33
0,0,100,0,0,0,0,0,78,0,0,90,27
0,0,100,0,0,0,0,0,0,0,0,97,45
0,0,100,0,0,0,24576,0,78,0,0,94,43
0,0,100,0,0,0,0,0,78,0,0,75,36
0,0,100,0,0,0,0,0,78,0,0,56,30
0,0,100,0,0,0,0,0,0,0,0,75,40
0,0,100,0,0,0,0,0,78,0,0,86,31
0,0,100,0,0,0,24576,0,78,0,0,97,48
0,0,100,0,0,0,0,0,78,0,0,92,34
0,0,100,0,0,0,0,0,0,0,0,96,38
0,0,100,0,0,0,0,0,78,0,0,87,29
0,0,100,0,0,0,0,0,78,0,0,76,27
0,0,99.750,0.250,0,0,24576,0,78,0,0,62,44
0,0,100,0,0,0,0,0,0,0,0,72,46
0,0,100,0,0,0,0,0,78,0,0,92,32
0,0,100,0,0,0,0,0,78,0,0,88,36
0,0,100,0,0,0,0,0,78,0,0,90,35
0,0,100,0,0,0,24576,0,0,0,0,103,57
0,0,100,0,0,0,0,0,78,0,0,106,43
0,0,100,0,0,0,0,0,78,0,0,83,31
0,0,100,0,0,0,0,0,78,0,0,60,28
0,0,100,0,0,0,0,0,0,0,0,59,28
0,0,100,0,0,0,24576,0,78,0,0,105,54
0,0,100,0,0,0,16384,0,78,0,0,106,45
0,0,100,0,0,0,0,0,78,0,0,91,34
0,0,100,0,0,0,0,0,0,0,0,98,38
1.005,2.764,96.231,0,0,0,0,0,78,0,0,230,218
0,0,99.750,0.250,0,0,49152,0,78,0,0,92,48
0,0.250,99.750,0,0,0,0,0,78,0,0,64,37
0,0,100,0,0,0,0,0,0,0,0,63,40
0,0,100,0,0,0,0,0,78,0,0,84,27
0,0,100,0,0,0,0,0,78,0,0,86,31
0,0,100,0,0,0,24576,0,78,0,0,98,42
0,0,100,0,0,0,16384,0,0,0,0,105,51
0,0,100,0,0,0,0,0,78,0,0,90,30
0,0,100,0,0,0,0,0,78,0,0,85,29
0,0,100,0,0,0,0,0,78,0,0,63,30
0,0,100,0,0,0,40960,0,0,0,0,64,49
0,0,100,0,0,0,0,0,78,0,0,82,35
0,0,100,0,0,0,0,0,78,0,0,84,28
0,0,100,0,0,0,0,0,78,0,0,91,35
0,0,100,0,0,0,0,0,0,0,0,95,39
0,0,99.750,0.250,0,0,24576,0,78,0,0,96,46
0,0,100,0,0,0,0,0,78,0,0,88,34
0,0,100,0,0,0,0,0,78,0,0,72,36
0,0,100,0,0,0,0,0,0,0,0,68,49
0,0,100,0,0,0,0,0,78,0,0,80,35
0,0,100,0,0,0,24576,0,78,0,0,94,43
0,0,100,0,0,0,0,0,78,0,0,104,44
0,0,100,0,0,0,0,0,0,0,0,99,47
0,0,100,0,0,0,0,0,78,0,0,99,35
0,0,100,0,0,0,0,0,78,0,0,94,39
0,0,99.750,0.250,0,0,24576,0,78,0,0,81,42
0,0,100,0,0,0,0,0,0,0,0,65,45
0,0,100,0,0,0,0,0,78,0,0,70,36
0,0,100,0,0,0,0,0,78,0,0,86,28
0,0,100,0,0,0,0,0,78,0,0,96,40
0,0,100,0,0,0,24576,0,0,0,0,101,55
0,0,100,0,0,0,40960,0,78,0,0,115,57
0,0,100,0,0,0,0,0,78,0,0,99,41
0,0,100,0,0,0,0,0,78,0,0,76,30
0,0,100,0,0,0,0,0,0,0,0,75,52
0,0,100,0,0,0,24576,0,78,0,0,63,41
0,0,100,0,0,0,0,0,78,0,0,88,33
0,0,100,0,0,0,0,0,78,0,0,99,46
0,0,100,0,0,0,0,0,0,0,0,96,43
0,0,100,0,0,0,0,0,78,0,0,98,39
0,0,99.750,0.250,0,0,24576,0,78,0,0,95,48
0,0,100,0,0,0,0,0,78,0,0,90,38
0,0,100,0,0,0,8192,0,0,0,0,81,53
0,0,100,0,0,0,0,0,78,0,0,64,42
0,0,100,0,0,0,0,0,78,0,0,92,37
0,0,100,0,0,0,24576,0,78,0,0,91,41
0,0,100,0,0,0,0,0,0,0,0,92,37
0,0,100,0,0,0,0,0,78,0,0,97,45
0,0,100,0,0,0,0,0,78,0,0,89,29
0,0,100,0,0,0,0,0,78,0,0,97,42
0,0,100,0,0,0,24576,0,0,0,0,70,54
0,0,100,0,0,0,0,0,78,0,0,55,30
0,0,100,0,0,0,0,0,78,0,0,88,41
0,0,100,0,0,0,0,0,78,0,0,89,31
0,0,100,0,0,0,0,0,0,0,0,100,47
0,0,99.750,0.250,0,0,24576,0,78,0,0,114,59
0,0,100,0,0,0,0,0,78,0,0,91,36
0,0,100,0,0,0,0,0,78,0,0,102,45
0,0,100,0,0,0,0,0,0,0,0,82,55
0,0,100,0,0,0,0,0,78,0,0,70,44
0,0,100,0,0,0,24576,0,78,0,0,76,42
0,0,100,0,0,0,0,0,78,0,0,91,32
0,0,100,0,0,0,8192,0,0,0,0,104,49
0,0,100,0,0,0,0,0,78,0,0,91,33
0,0,100,0,0,0,0,0,78,0,0,94,35
0,0,100,0,0,0,24576,0,78,0,0,96,45
