"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth0,macsec0--noheaders --output ethernet/ping-1579534859-macsec-morus640-e-frag-1500-dstat.csv",,,,"Date:","20 Jan 2020 20:30:09 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth0",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
2.356,1.882,95.740,0.021,0,19419.702,13173.401,0,0,0,0,4470.858,709.767
0,0,100,0,0,0,0,0,78,0,0,117,52
0,0,100,0,0,0,65536,0,0,0,0,65,47
0,0,100,0,0,0,0,0,78,0,0,69,42
0,0,100,0,0,0,0,0,78,0,0,106,47
0,0,100,0,0,0,0,0,78,0,0,103,41
0,0,100,0,0,0,0,0,0,0,0,96,45
0,0,100,0,0,0,0,0,78,0,0,90,32
0,0,99.749,0.251,0,0,24576,0,78,0,0,112,61
0,0,100,0,0,0,0,0,78,0,0,97,42
0,0,100,0,0,0,0,0,0,0,0,64,37
0,0,100,0,0,0,0,0,78,0,0,73,44
0,0,100,0,0,0,0,0,78,0,0,88,36
0,0,100,0,0,0,0,0,78,0,0,98,42
0,0,100,0,0,0,24576,0,0,0,0,106,52
0,0,100,0,0,0,0,0,78,0,0,99,43
0,0,100,0,0,0,0,0,78,0,0,108,47
0,0,100,0,0,0,0,0,78,0,0,90,30
0,0,100,0,0,0,0,0,0,0,0,60,25
0,0,100,0,0,0,0,0,78,0,0,67,38
0,0,100,0,0,0,24576,0,78,0,0,104,64
0,0,100,0,0,0,0,0,78,0,0,103,46
0,0.250,99.750,0,0,0,0,0,0,0,0,87,28
0,0,100,0,0,0,0,0,78,0,0,98,38
0,0,100,0,0,0,0,0,78,0,0,104,46
0,0,100,0,0,0,0,0,78,0,0,96,36
0,0,99.749,0.251,0,0,24576,0,0,0,0,87,54
0,0,100,0,0,0,8192,0,78,0,0,60,36
0,0,100,0,0,0,0,0,184,0,0,100,58
0,0,100,0,0,0,0,0,78,0,0,98,42
0,0,100,0,0,0,0,0,0,0,0,100,40
0,0,100,0,0,0,0,0,78,0,0,100,45
0,0,100,0,0,0,106496,0,78,0,0,148,98
0,0,100,0,0,0,0,0,0,0,0,93,40
0,0,100,0,0,0,0,0,78,0,0,81,38
0,0,100,0,0,0,0,0,78,0,0,65,40
0,0,100,0,0,0,0,0,78,0,0,85,48
0,0,99.749,0.251,0,0,49152,0,0,0,0,100,55
0,0,100,0,0,0,0,0,78,0,0,100,44
0,0,100,0,0,0,0,0,78,0,0,97,44
0,0,100,0,0,0,0,0,78,0,0,106,51
0,0,100,0,0,0,0,0,0,0,0,94,40
0,0,100,0,0,0,0,0,78,0,0,83,33
0,0,100,0,0,0,24576,0,78,0,0,75,57
0,0,100,0,0,0,0,0,78,0,0,69,34
0,0,100,0,0,0,0,0,0,0,0,94,39
0,0,100,0,0,0,0,0,78,0,0,103,40
0,0,100,0,0,0,0,0,78,0,0,90,32
