"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","root"
"Cmdline:","dstat -N eth0,macsec0--noheaders --output ethernet/ping-1579534859-orig-we-1500-dstat.csv",,,,"Date:","20 Jan 2020 17:05:26 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth0",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.195,1.381,93.390,0.033,0,38666.449,19102.557,0,0,0,0,6454.601,1376.288
0,0,100,0,0,0,0,0,74,0,0,105,52
0,0,100,0,0,0,73728,0,74,0,0,91,57
0,0,100,0,0,0,0,0,0,0,0,57,34
0,0,100,0,0,0,0,0,74,0,0,85,56
0,0,100,0,0,0,0,0,74,0,0,98,45
0,0,100,0,0,0,0,0,74,0,0,91,38
0,0,100,0,0,0,0,0,0,0,0,92,28
0,0,100,0,0,0,32768,0,74,0,0,100,54
0,0,100,0,0,0,0,0,74,0,0,99,43
0,0,100,0,0,0,0,0,74,0,0,86,42
0,0,100,0,0,0,0,0,0,0,0,61,41
0,0,100,0,0,0,0,0,74,0,0,75,53
0,0,99.750,0.250,0,0,32768,0,74,0,0,95,47
0,0,100,0,0,0,0,0,74,0,0,98,42
0,0,100,0,0,0,0,0,0,0,0,92,36
0,0,100,0,0,0,0,0,74,0,0,100,50
0,0,100,0,0,0,0,0,74,0,0,97,47
0,0,100,0,0,0,0,0,74,0,0,91,40
0,0,100,0,0,0,32768,0,0,0,0,69,49
0,0,100,0,0,0,0,0,74,0,0,73,47
0,0,100,0,0,0,0,0,74,0,0,83,31
0,0,100,0,0,0,0,0,74,0,0,100,47
0,0,100,0,0,0,0,0,0,0,0,88,34
0,0,100,0,0,0,0,0,74,0,0,97,39
0,0,99.750,0.250,0,0,32768,0,74,0,0,102,52
0,0,100,0,0,0,8192,0,74,0,0,98,51
0,0,100,0,0,0,0,0,0,0,0,55,24
0,0,100,0,0,0,0,0,74,0,0,64,45
0,0,100,0,0,0,0,0,74,0,0,75,30
0,0,100,0,0,0,0,0,74,0,0,90,34
0,0,100,0,0,0,49152,0,0,0,0,94,48
0,0,100,0,0,0,57344,0,74,0,0,135,81
0,0,100,0,0,0,0,0,0,0,0,81,22
0,0,100,0,0,0,0,0,74,0,0,86,30
0,0,100,0,0,0,0,0,74,0,0,65,30
0,0,100,0,0,0,0,0,74,0,0,66,39
0,0,99.749,0.251,0,0,57344,0,0,0,0,81,50
0,0,100,0,0,0,0,0,74,0,0,92,44
0,0,100,0,0,0,0,0,74,0,0,87,32
0,0,100,0,0,0,0,0,74,0,0,92,34
0,0,100,0,0,0,0,0,0,0,0,88,29
0,0,100,0,0,0,0,0,74,0,0,89,38
0,0,100,0,0,0,49152,0,74,0,0,82,51
0,0,100,0,0,0,0,0,74,0,0,63,40
0,0,100,0,0,0,0,0,0,0,0,63,29
0,0,100,0,0,0,0,0,74,0,0,86,31
0,0,100,0,0,0,0,0,74,0,0,92,37
0,0,100,0,0,0,0,0,74,0,0,94,42
0,0,100,0,0,0,32768,0,0,0,0,95,48
