"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","pi"
"Cmdline:","dstat -N eth0,macsec0--noheaders --output ethernet1/iperf3-1579625450-100-macsec-aegis128l-we-1500-dstat.csv",,,,"Date:","21 Jan 2020 21:13:49 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth0",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
6.090,12.899,80.977,0.034,0,18306.235,68892.235,0,0,0,0,17709.049,11781.310
3.308,19.847,76.845,0,0,0,0,502250,33754388,0,0,4631,331
3.250,21.750,75,0,0,0,0,622098,39356240,0,0,2546,126
4.511,20.551,74.937,0,0,0,0,622914,39354970,0,0,2544,138
4.500,20.500,75,0,0,0,16384,622710,39286596,0,0,2560,144
3.750,21.250,74.750,0.250,0,0,139264,621792,39286596,0,0,2556,159
4.010,21.053,74.937,0,0,0,0,622404,39356240,0,0,2557,127
3.500,21.500,75,0,0,0,0,621996,39285326,0,0,2535,129
3,22,75,0,0,0,0,621282,39286596,0,0,2557,119
4.750,20.250,75,0,0,0,0,619548,39356240,0,0,2541,147
4.261,20.802,74.937,0,0,0,0,621588,39285326,0,0,2545,131
7.368,9.211,82.632,0.789,0,0,24576,212885,27879126,0,0,2528,697
6.162,10.924,82.913,0,0,0,0,270096,40302842,0,0,10572,1222
1.377,27.548,71.074,0,0,0,0,465834,46801272,0,0,34365,1691
2.192,27.397,70.411,0,0,0,0,468078,46727330,0,0,34311,1688
0.278,27.778,71.944,0,0,0,0,456042,46825252,0,0,34191,1670
0.556,27.778,71.389,0.278,0,0,90112,458184,46833066,0,0,34288,1691
0.829,27.901,71.271,0,0,0,0,451758,46902710,0,0,34290,1671
0.556,27.778,71.667,0,0,0,0,465528,46813384,0,0,34365,1671
0.831,27.978,71.191,0,0,0,0,468384,46757366,0,0,34330,1690
0.829,27.901,71.271,0,0,0,0,464508,46893382,0,0,34402,1680
2.426,19.677,77.898,0,0,0,0,348952,30503539,0,0,18305,1201
0.556,27.778,71.389,0.278,0,0,90112,469404,46739442,0,0,34299,1705
0.831,27.701,71.468,0,0,0,0,462162,46852504,0,0,34336,1687
3.468,12.139,84.393,0,0,0,3014656,308958,41472832,0,0,15279,1579
0.556,28.056,71.389,0,0,0,0,469404,46777048,0,0,34350,1674
0.831,27.701,71.468,0,0,0,0,462774,46849720,0,0,34362,1701
0.557,27.855,71.588,0,0,0,49152,461142,46810356,0,0,34185,1686
0.831,27.701,71.468,0,0,0,0,468078,46827010,0,0,34332,1705
1.374,27.747,70.879,0,0,0,155648,465018,46843420,0,0,34306,1781
1.108,27.701,71.191,0,0,0,0,470428,46908766,0,0,34398,1696
2.375,21.636,75.989,0,0,0,0,353745,33283604,0,0,21262,1186
5.638,2.374,91.988,0,0,0,90112,225624,37953438,0,0,2600,1297
2.029,16.522,81.449,0,0,0,0,356082,43256286,0,0,20780,1511
1.111,27.500,71.389,0,0,0,57344,487458,46700078,0,0,34364,1686
1.644,27.671,70.685,0,0,0,0,482970,46763422,0,0,34358,1700
0.833,27.778,71.389,0,0,0,0,477360,46883028,0,0,34475,1694
0.556,27.778,71.389,0.278,0,0,49152,489396,46736170,0,0,34515,1708
1.105,27.624,71.271,0,0,0,0,481032,46813384,0,0,34527,1684
1.108,27.701,71.191,0,0,0,0,479706,46703106,0,0,34332,1686
0.279,27.855,71.866,0,0,0,0,473280,46861588,0,0,34353,1678
0.549,25,74.451,0,0,0,65536,427370,41154629,0,0,30306,1550
2.957,25.538,71.505,0,0,0,8192,416078,37557016,0,0,28084,1495
1.381,27.348,71.271,0,0,0,0,447372,46751554,0,0,33969,1661
0.278,28.056,71.667,0,0,0,8192,479298,46887326,0,0,34443,1685
0.556,27.778,71.667,0,0,0,0,477258,46703106,0,0,34235,1684
0.831,27.978,71.191,0,0,0,0,480522,46774126,0,0,34337,1738
1.377,27.548,71.074,0,0,0,81920,472872,46796730,0,0,34237,1729
0.554,27.978,71.468,0,0,0,0,476340,46801272,0,0,34297,1658
1.381,27.624,70.994,0,0,0,0,473994,46875214,0,0,34345,1666
1.105,27.624,71.271,0,0,0,0,481950,46697050,0,0,34297,1687
0.829,27.901,71.271,0,0,0,0,480828,46848206,0,0,34357,1673
7.124,11.082,81.530,0.264,0,0,24576,240832,29891840,0,0,7345,904
3.406,0.310,96.285,0,0,0,0,223992,38163398,0,0,2494,1375
1.676,24.302,74.022,0,0,0,0,419934,45917478,0,0,30350,1619
1.105,27.624,71.271,0,0,0,0,456348,46963026,0,0,34324,1688
0.556,27.778,71.667,0,0,0,0,454002,46978166,0,0,34319,1699
0.556,27.778,71.667,0,0,0,90112,454818,47050594,0,0,34353,1703
1.105,27.624,71.271,0,0,0,0,463284,46910036,0,0,34343,1666
0.824,28.297,70.879,0,0,0,0,452268,46963026,0,0,34301,1690
1.374,27.747,70.879,0,0,0,0,460020,47036968,0,0,34435,1692
0.833,27.778,71.389,0,0,0,0,466854,46892112,0,0,34350,1685
3.183,17.772,79.045,0,0,0,24576,302959,33288234,0,0,15964,1067
2.985,8.955,88.060,0,0,0,0,274380,39888350,0,0,11428,1392
2.439,27.642,69.919,0,0,0,8192,468384,46777048,0,0,34405,1739
1.099,28.022,70.879,0,0,0,0,452268,46908766,0,0,34238,1663
2.446,27.446,70.109,0,0,0,0,461142,46867644,0,0,34391,1731
2.981,27.100,69.919,0,0,0,90112,457674,46902466,0,0,34374,1757
0.826,28.099,71.074,0,0,0,0,451146,46910280,0,0,34330,1678
2.717,27.174,70.109,0,0,0,16384,454716,46955456,0,0,34410,1715
3.504,26.954,69.542,0,0,0,0,462774,46805814,0,0,34387,1730
3.243,27.027,69.730,0,0,0,0,445638,46962782,0,0,34291,1711
1.070,22.727,75.936,0.267,0,0,40960,357926,34374362,0,0,24145,1321
6.793,9.511,83.696,0,0,0,0,237660,39453912,0,0,2960,895
9.615,6.593,83.791,0,0,0,73728,213792,36414728,0,0,2651,897
9.066,6.868,84.066,0,0,0,0,223584,37957494,0,0,2742,939
9.066,6.593,84.341,0,0,0,0,223482,38024110,0,0,2769,935
9.777,4.190,86.034,0,0,0,98304,224094,38096782,0,0,2700,1088
4.819,1.506,93.675,0,0,0,0,223482,38249696,0,0,2511,1374
3.235,26.954,69.811,0,0,0,0,463284,47009910,0,0,35444,1216
2.981,27.100,69.919,0,0,0,0,468486,46896410,0,0,35482,1206
1.913,27.596,70.492,0,0,0,0,475524,46926690,0,0,35576,1205
2.703,26.216,71.081,0,0,0,0,456451,45471561,0,0,34417,1163
2.933,23.467,73.600,0,0,0,24576,392299,32868130,0,0,25717,1059
1.918,27.397,70.685,0,0,0,8192,479604,46917851,0,0,35602,1215
2.717,27.174,70.109,0,0,0,0,489294,46878242,0,0,35702,1224
1.705,21.023,77.273,0,0,0,0,378930,44385936,0,0,26602,1223
3.235,26.954,69.811,0,0,0,0,475728,46901146,0,0,35348,1216
2.186,27.596,70.219,0,0,0,0,491640,46876728,0,0,35710,1191
2.710,27.371,69.919,0,0,0,90112,488376,46866374,0,0,35747,1228
2.717,27.174,70.109,0,0,0,0,491028,46881514,0,0,35681,1201
1.918,27.397,70.685,0,0,0,0,490416,46881270,0,0,35699,1208
1.918,27.397,70.685,0,0,0,0,495108,46857290,0,0,35723,1190
4.267,17.600,78.133,0,0,0,0,322941,33124931,0,0,19308,957
3.753,27.078,69.169,0,0,0,0,484602,46869158,0,0,35622,1219
2.710,27.371,69.648,0.271,0,0,90112,490416,46851234,0,0,35666,1237
3.243,27.027,69.730,0,0,0,0,491436,46855776,0,0,35691,1208
2.186,27.322,70.492,0,0,0,0,489600,46850990,0,0,35678,1235
4.278,26.738,68.984,0,0,0,0,489702,46880000,0,0,35688,1221
2.981,27.100,69.919,0,0,0,40960,483174,46875214,0,0,35612,1246
3.504,26.954,69.542,0,0,0,32768,486030,46878486,0,0,35643,1233
3.774,26.954,69.272,0,0,0,24576,486234,46850990,0,0,35606,1237
4.278,26.738,68.984,0,0,0,0,485724,46870916,0,0,35620,1226
1.326,21.485,77.188,0,0,0,0,404847,31944016,0,0,19890,793
2.459,27.322,70.219,0,0,0,0,480828,45318478,0,0,34490,1172
3.495,27.151,69.355,0,0,0,8192,475626,46956970,0,0,35475,1197
2.452,27.248,70.300,0,0,0,0,477972,46943344,0,0,35475,1210
3.243,27.027,69.730,0,0,0,90112,481440,46941830,0,0,35563,1224
2.452,27.248,70.300,0,0,0,0,479196,46955456,0,0,35512,1198
3.495,27.151,69.355,0,0,0,0,475932,46938802,0,0,35437,1213
4.011,26.738,69.251,0,0,0,0,479196,46926690,0,0,35471,1203
1.918,27.397,70.685,0,0,0,0,477360,46937532,0,0,35484,1197
3.763,26.882,69.355,0,0,0,0,477360,46925176,0,0,35502,1200
7.614,21.320,71.066,0,0,0,24576,381794,37132288,0,0,28203,1163
7.297,10.270,82.432,0,0,0,0,247658,36308612,0,0,3012,837
10.221,5.249,84.530,0,0,0,65536,223278,37977176,0,0,2758,964
7.756,7.479,84.765,0,0,0,0,223380,38080128,0,0,2771,944
4.225,16.901,78.873,0,0,0,0,369648,43409738,0,0,21320,1588
2.459,27.322,69.945,0.273,0,0,98304,496332,46789160,0,0,34682,1748
3.763,27.151,69.086,0,0,0,0,497046,46783104,0,0,34664,1731
3.763,27.151,69.086,0,0,0,0,501228,46692508,0,0,34570,1737
2.710,27.371,69.919,0,0,0,0,490212,46878242,0,0,34619,1723
2.981,27.371,69.648,0,0,0,0,503472,46786132,0,0,34684,1734
2.725,27.248,70.027,0,0,0,0,496332,46736414,0,0,34601,1731
6.299,11.286,82.415,0,0,0,24576,218596,30889044,0,0,4606,853
8.635,6.407,84.958,0,0,0,8192,212466,36170974,0,0,2630,914
3.601,18.837,77.562,0,0,0,0,350778,42850922,0,0,19705,1322
3.252,27.100,69.648,0,0,0,0,481950,46817682,0,0,34513,1722
2.452,27.248,70.300,0,0,0,0,473178,46940316,0,0,34528,1732
1.381,27.624,70.994,0,0,0,90112,480216,46816412,0,0,34510,1741
1.648,27.473,70.879,0,0,0,0,461244,46910280,0,0,34334,1720
0.552,28.177,71.271,0,0,0,0,470934,46869158,0,0,34328,1669
2.725,27.248,70.027,0,0,0,0,473994,46855776,0,0,34483,1748
1.913,27.596,70.492,0,0,0,0,478278,46958484,0,0,34590,1707
2.842,20.155,77.003,0,0,0,24576,441975,31879100,0,0,12959,791
4.250,20.750,75,0,0,0,8192,625770,39285326,0,0,2553,165
4.500,20.500,75,0,0,0,0,628116,39356240,0,0,2543,137
3.500,21.500,75,0,0,0,0,627198,39356240,0,0,2526,134
