"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","pi"
"Cmdline:","dstat -N eth0,macsec0--noheaders --output ethernet1/iperf3-1579625450-100-macsec-chachapoly-e-frag-dstat.csv",,,,"Date:","21 Jan 2020 19:03:46 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth0",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
8.520,9.502,81.935,0.044,0,33886.278,86075.485,0,0,0,0,14854.330,20365.650
7.756,13.019,79.224,0,0,0,0,479750,28323622,0,0,19212,1332
6.216,10.811,82.973,0,0,0,0,385450,23496774,0,0,13148,834
5.026,13.228,81.746,0,0,0,0,396350,23642984,0,0,10843,743
5.930,13.208,80.593,0.270,0,0,114688,360454,28913668,0,0,14377,902
3.412,8.661,87.927,0,0,0,0,275492,17874668,0,0,7973,545
8.564,13.260,78.177,0,0,0,0,513472,31528102,0,0,14442,968
8.223,9.814,81.963,0,0,0,0,263988,27445924,0,0,10683,766
11.406,12.202,76.393,0,0,0,0,162252,35403278,0,0,12214,894
7.733,16,76,0.267,0,0,24576,156366,35904190,0,0,14168,971
7.219,17.380,75.401,0,0,0,0,161898,36525228,0,0,16740,994
7.752,12.661,79.587,0,0,0,0,119527,15793600,0,0,4658,565
6.667,18.667,74.667,0,0,0,0,155424,36745234,0,0,17443,1062
10.160,13.369,76.471,0,0,0,0,165936,35461994,0,0,13282,870
4.313,21.024,74.663,0,0,0,81920,144630,37161348,0,0,19094,1153
9.524,15.079,75.397,0,0,0,0,161490,35866724,0,0,14551,923
8.245,17.021,74.734,0,0,0,0,156288,36307420,0,0,16347,994
4.313,20.485,75.202,0,0,0,0,151614,37311468,0,0,19427,1124
12.861,11.549,75.591,0,0,0,0,179430,35020474,0,0,10901,791
8.223,16.976,74.536,0.265,0,0,24576,159600,36349562,0,0,16301,1019
9.043,15.957,75,0,0,0,0,159354,36160326,0,0,15924,941
5.526,15,79.474,0,0,0,16384,139648,25478102,0,0,10772,834
6.400,18.933,74.667,0,0,0,0,170772,36654742,0,0,16665,1001
5.978,17.391,76.630,0,0,0,0,163572,36485636,0,0,15852,971
6.417,18.984,74.599,0,0,0,90112,163644,36940400,0,0,17437,1038
5.995,17.439,76.567,0,0,0,0,155208,36391050,0,0,16277,1000
6.812,15.804,77.112,0.272,0,0,2162688,164274,35997872,0,0,14753,1024
8.924,17.060,74.016,0,0,0,0,153990,36523416,0,0,16843,981
4.313,21.294,74.394,0,0,0,0,151440,37311370,0,0,20274,1114
6.667,18.667,74.667,0,0,0,0,158616,36672654,0,0,17112,1003
5.722,17.439,76.839,0,0,0,40960,150072,36624750,0,0,16874,1042
4.290,15.282,80.429,0,0,0,57344,110165,28655069,0,0,12373,930
5.292,16.992,77.716,0,0,0,0,435721,29886961,0,0,15622,1028
9.290,13.661,77.049,0,0,0,0,541346,34010980,0,0,14468,982
7.799,13.370,78.830,0,0,0,0,471910,34015958,0,0,15147,974
4.595,7.027,88.378,0,0,0,0,328202,21054752,0,0,8972,581
5.836,10.610,83.289,0.265,0,0,106496,182154,21308114,0,0,9368,661
4.787,22.074,73.138,0,0,0,0,163670,36994640,0,0,20186,1122
8.021,16.310,75.668,0,0,0,0,162000,36321698,0,0,15448,969
5.660,19.137,75.202,0,0,0,0,148476,36938638,0,0,18400,1036
4.813,21.390,73.797,0,0,0,0,153960,37243506,0,0,19771,1094
5.930,18.329,75.741,0,0,0,0,145872,36790758,0,0,17233,1037
3.046,18.020,78.934,0,0,0,24576,288856,15324581,0,0,5242,451
3.759,19.549,76.692,0,0,0,0,705174,28696746,0,0,7354,274
4.749,15.567,79.683,0,0,0,0,150582,30398302,0,0,13032,676
6.183,18.548,75.269,0,0,0,0,164976,36870994,0,0,17840,776
4.865,19.189,75.946,0,0,0,0,150852,36775384,0,0,18195,766
9.186,16.798,74.016,0,0,0,0,166860,36585722,0,0,16549,834
11.111,13.228,75.661,0,0,0,81920,154632,35501192,0,0,13971,728
6.504,16.802,76.694,0,0,0,0,152238,36403944,0,0,16421,797
8,17.067,74.933,0,0,0,0,160998,36496764,0,0,16973,744
8.777,16.223,75,0,0,0,0,154138,36305286,0,0,16712,763
7.068,13.351,79.581,0,0,0,0,143204,26030373,0,0,10133,641
4.533,21.333,73.867,0.267,0,0,81920,173482,37180338,0,0,19000,1108
7.427,17.507,75.066,0,0,0,0,158826,36387628,0,0,16250,1002
6.166,18.767,75.067,0,0,0,0,147408,36941502,0,0,17888,1048
8,17.067,74.933,0,0,0,0,156246,36449612,0,0,16844,1026
9.235,16.095,74.670,0,0,0,0,157962,36012222,0,0,15126,962
3.753,22.252,73.995,0,0,0,0,150276,37693936,0,0,20708,1170
11.316,13.684,75,0,0,0,24576,163032,35402000,0,0,13502,908
4.011,21.658,74.332,0,0,0,0,184950,37546116,0,0,18450,1068
8.267,16.267,75.467,0,0,0,16384,158718,36103122,0,0,16215,984
7.672,14.286,78.042,0,0,0,147456,130295,30195544,0,0,13061,991
5.080,14.706,80.214,0,0,0,0,319495,23960831,0,0,13493,862
5.080,10.428,84.492,0,0,0,90112,296556,18278878,0,0,13868,840
6.831,16.393,76.776,0,0,0,0,490956,34518096,0,0,15642,1024
5.094,11.260,83.646,0,0,0,0,367944,22141410,0,0,11482,754
2.880,9.948,87.173,0,0,0,0,180486,16489174,0,0,9786,558
5.135,12.162,82.703,0,0,0,0,328674,23877510,0,0,13360,609
3.430,15.567,81.003,0,0,0,0,274396,24234650,0,0,16949,696
2.710,22.222,75.068,0,0,0,24576,172560,37680406,0,0,19102,788
7.527,16.398,76.075,0,0,0,0,168750,36154278,0,0,15277,737
5.600,20.267,74.133,0,0,0,0,157362,37205412,0,0,19387,806
3.571,17.347,79.082,0,0,0,0,476422,23431615,0,0,7703,445
4.557,19.747,75.696,0,0,0,0,754280,30558526,0,0,8057,337
8.201,8.730,83.069,0,0,0,81920,267768,25737976,0,0,9525,666
3.753,23.056,73.190,0,0,0,0,218394,35545656,0,0,18801,768
