"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","r21",,,,"User:","pi"
"Cmdline:","dstat -N eth0,macsec0--noheaders --output ethernet1/iperf3-1579625450-100-macsec-morus640-e-1500-dstat.csv",,,,"Date:","21 Jan 2020 21:32:23 GMT"
"total cpu usage",,,,,"dsk/total",,"net/eth0",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
5.841,13.597,80.529,0.033,0,17178.089,67620.748,0,0,0,0,18456.674,11179.868
2.466,21.096,76.438,0,0,0,0,300290,32626890,0,0,20107,1086
1.081,27.297,71.622,0,0,0,0,315282,40086283,0,0,29289,1435
0.273,27.322,72.404,0,0,0,229376,319872,40075440,0,0,29304,1508
0.273,27.322,72.404,0,0,0,0,319872,40102936,0,0,29309,1438
0.815,27.174,72.011,0,0,0,0,322422,40077198,0,0,29366,1420
1.084,27.100,71.816,0,0,0,0,320382,40099908,0,0,29380,1434
0.272,27.446,72.283,0,0,0,0,318342,40090580,0,0,29305,1420
0.815,27.174,72.011,0,0,0,0,322116,40077198,0,0,29335,1436
0.813,27.100,71.816,0.271,0,0,24576,318240,40089310,0,0,29263,1446
1.081,27.297,71.622,0,0,0,0,321912,40086282,0,0,29335,1435
3.023,18.640,78.338,0,0,0,0,466863,25712732,0,0,3322,309
4.500,20.500,75,0,0,0,0,610572,33733920,0,0,2397,153
5,20,75,0,0,0,0,611490,33733920,0,0,2408,135
4.010,21.053,74.937,0,0,0,0,610470,33804834,0,0,2395,127
3.759,21.303,74.937,0,0,0,81920,611388,33803564,0,0,2362,146
4.500,20.500,75,0,0,0,0,609348,33733920,0,0,2393,137
3.750,21.250,75,0,0,0,0,610674,33804834,0,0,2384,128
3.759,21.554,74.687,0,0,0,778240,602718,33608502,0,0,3172,199
2.926,26.330,70.745,0,0,0,4218880,326706,40038180,0,0,29826,1030
0.272,27.248,72.207,0.272,0,0,40960,329868,40027236,0,0,29937,1000
3.368,18.135,78.497,0,0,0,0,224716,27524487,0,0,11045,617
7.910,5.085,87.006,0,0,0,0,155958,33569922,0,0,2362,944
0.850,19.263,79.887,0,0,0,0,235926,37992058,0,0,19886,1328
0.815,27.174,72.011,0,0,0,0,317016,40116562,0,0,29637,1450
1.351,27.297,71.351,0,0,0,81920,321504,40098150,0,0,29699,1462
0.815,27.174,72.011,0,0,0,0,317526,40090824,0,0,29640,1445
0.543,27.446,72.011,0,0,0,0,308244,40134486,0,0,29569,1449
0.813,27.371,71.816,0,0,0,0,313140,40128674,0,0,29608,1450
0.813,27.100,72.087,0,0,0,8192,310386,40143570,0,0,29598,1454
0.273,27.322,72.131,0.273,0,0,24576,309162,40175364,0,0,29609,1476
1.567,21.932,76.501,0,0,0,0,318454,29116388,0,0,17424,964
4.511,20.551,74.937,0,0,0,0,607308,33733920,0,0,2400,132
4.750,20.250,75,0,0,0,0,606084,33664276,0,0,2418,138
4,21,75,0,0,0,65536,606492,33663006,0,0,2402,139
4,21,74.750,0.250,0,0,90112,606084,33664276,0,0,2385,157
3.509,21.554,74.937,0,0,0,0,607206,33663006,0,0,2398,127
3.750,21.250,75,0,0,0,0,586398,33804834,0,0,2404,128
